# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.442002941817146944e+00 4.834015806884067068e+00 6.096567790472234627e+00 8.813503307909192896e-02
1.580158929909583954e+00 1.036883505677420558e+01 6.377941115907261427e+00 1.051174613807596137e-01
9.469112103292237625e-01 4.634014689678457977e+00 6.052410045519718729e+00 1.474709153633765868e-01
1.243551535080206438e+00 6.791195049743432577e+00 6.062795462757336828e+00 1.850941521652302302e-01
1.288463577791803427e+00 4.742728102997409323e+00 6.431924955525968990e+00 1.972554496574911720e-01
1.325092490817303847e+00 5.061251304226307646e+00 6.215566953020716490e+00 1.203794844635752564e-01
1.087230186058931736e+00 8.596271947122266610e+00 6.063973869186849441e+00 1.336424973853684584e-01
2.090308888921458941e+00 5.001443672272526619e+00 6.047553108417435652e+00 7.572309244369362924e-02
1.234892503971475097e+00 3.285123378754533974e+00 5.924948504902784130e+00 1.634962678004085734e-01
1.607239287741127898e+00 4.021366133610006166e+00 5.895473371063128631e+00 1.034698814476699980e-01
1.093127403276986653e+00 3.626158519708472916e+00 6.107937196473781860e+00 1.141266505300585904e-01
1.236816325591891808e+00 5.748060810660233777e+00 5.898958422136125535e+00 1.449534531607164500e-01
1.180687488577271127e+00 6.706139243215732293e+00 6.064382310791042840e+00 2.189923283586409086e-01
1.479445194078695014e+00 4.063472553644777108e+00 6.121652138037807056e+00 1.813645288142277656e-01
1.259838052698234012e+00 4.001984073470064907e+00 6.249428546359480308e+00 2.698889973816995247e-01
1.244548430273190842e+00 9.799235126918581784e+00 6.242434539060348619e+00 1.194364982715555856e-01
1.085761519704985023e+00 6.413639743413492411e+00 6.276187819195106599e+00 1.604903849157540696e-01
1.808462335230174745e+00 3.610876859578161291e+00 6.104432404740237850e+00 1.586384889182115010e-01
1.505499924537698320e+00 8.583383718784608263e+00 6.275275034040718403e+00 2.339247778617115636e-01
1.409463532668964403e+00 4.395250313066778602e+00 6.051457900280972524e+00 2.319108131025641728e-01
1.172823375756248510e+00 2.657330096555909460e+00 6.282937333479311270e+00 2.324265060931476889e-01
1.459105788167544437e+00 6.735151271182239441e+00 6.001286801069001697e+00 2.338760061700984050e-01
1.060474607926298329e+00 3.340074081059456468e+00 6.189295331304039749e+00 2.572349288308982684e-01
1.173946733733878700e+00 8.123974439060008379e+00 5.982590549516985767e+00 1.817993960009309795e-01
9.648979508298193286e-01 2.819197128449180578e+00 6.324319641234984246e+00 2.147606035901841737e-01
1.620142262847503734e+00 3.202117873092711342e+00 6.080785267075226486e+00 1.995344598727586405e-01
1.269960992728492277e+00 5.910404130887584095e+00 6.123836088597379046e+00 1.394827449241346218e-01
1.200364269736981848e+00 5.906711313099735072e+00 6.234844224834180437e+00 2.648733187332246719e-01
1.407727549782133547e+00 6.554882682662055871e+00 6.378144846237695731e+00 1.519238530370372042e-01
8.777310493505676714e-01 5.555919882294224621e+00 6.411108509895733221e+00 2.108344816875199479e-01
1.491414624627720453e+00 4.307873204900767306e+00 6.086871674056183679e+00 8.999190073528583189e-02
1.021835883879216533e+00 7.624270602994625001e+00 6.246078193854621929e+00 2.990261786331032678e-01
2.002637132442645296e+00 7.625956522093431111e+00 6.083609820132259038e+00 5.847162694385479170e-02
1.324166710155477045e+00 1.073271737271027426e+01 5.860889881497901577e+00 1.929153441847301087e-01
1.123321578982742430e+00 5.229040773869018111e+00 6.054127107408948660e+00 9.968226697421250782e-02
1.197648574498004548e+00 4.996882306719321321e+00 6.155586620787749652e+00 3.795626654551910728e-01
1.532824839350221291e+00 3.507538917953520130e+00 6.250989814617299523e+00 2.465865396529639542e-01
1.829982623572005584e+00 5.048876296873527458e+00 6.201632434191309606e+00 1.294709915725153482e-01
1.152967408954265638e+00 9.278279674754699613e+00 5.982002873876743010e+00 1.713465799865317996e-01
8.647440663006579209e-01 7.370000584332379923e+00 6.288056291202235748e+00 3.796644101013988415e-01
1.297302240050208777e+00 6.125846392020981135e+00 5.992709138618746323e+00 2.144251506101078619e-01
1.011459117757520287e+00 5.800414434750535975e+00 6.524758487324154643e+00 3.364850010676678771e-01
1.666114080424802468e+00 8.533454069359347471e+00 6.036363889277048145e+00 5.968558340057616984e-02
1.276137872292806286e+00 3.765682102344225957e+00 6.236077773910426281e+00 2.093917779782216715e-01
1.199432767337687222e+00 4.831183406847218365e+00 6.121301294066156196e+00 9.937783090630505911e-02
1.556601902170730911e+00 5.722833141826914272e+00 6.160634666788813441e+00 1.003382167500167926e-01
1.701591998921849092e+00 4.298104675000976371e+00 6.181614702421872387e+00 7.279069890268108356e-02
1.337681725124862719e+00 9.345890637651351085e+00 6.274363539711623083e+00 1.972313192457904318e-01
1.387063099828740098e+00 3.058904598565002075e+00 6.019596262272155940e+00 8.784918773515465462e-02
1.357976182117437425e+00 3.776803322577598099e+00 6.118675587005466987e+00 1.610137028356242450e-01
1.227569743067222108e+00 6.435855855182431640e+00 6.141693911539809037e+00 8.580462127791164961e-02
