# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.279117355159975489e+00 4.435760202645476546e+00 4.564516828886548083e+00 4.077038241949169917e-02
7.539575936214391039e-01 7.622812396974656401e+00 4.230676330573059474e+00 4.565120507893852264e-02
1.031541467398705114e+00 4.841754477570284543e+00 4.540207122512917692e+00 1.857129428245786473e-02
9.711069714144869858e-01 7.490042506079401363e+00 4.234730769114008808e+00 3.324403460141197586e-01
7.857287684887269696e-01 9.587809575116081007e+00 4.186117494881862022e+00 9.615091986475607366e-02
8.950218255182432747e-01 7.770782150788805076e+00 3.932009360408722731e+00 1.884233410718201829e-01
6.519895971389065847e-01 5.623158076999430044e+00 4.157685581269140229e+00 1.704174202810708194e-01
1.176856951023325548e+00 4.302374560556655680e+00 4.182538384825137179e+00 1.277952271778395599e-01
6.310272616662806477e-01 7.771122905069615783e+00 3.971178700635764613e+00 1.601813540976216588e-01
1.033405558732398699e+00 4.226621205959551375e+00 4.452535311386218275e+00 4.196436874626682800e-02
8.612866009928626942e-01 5.929030675264778338e+00 4.535031873166850858e+00 1.400084326117546074e-01
8.841918886404299682e-01 5.473751787989719730e+00 4.238532285246080278e+00 4.411501582606611876e-02
8.687220866603648783e-01 7.442453956655838532e+00 4.295497721302822924e+00 3.815470483872172858e-02
9.185992729646162980e-01 3.965962828672266127e+00 4.418924087224159969e+00 1.390787138044938254e-01
7.434482104628350463e-01 8.416468352834668210e+00 4.340235275479488841e+00 9.576756324666482745e-02
1.324606190637249492e+00 4.857037215269526698e+00 4.289302325933800120e+00 2.482684312764568135e-01
1.115999250614024829e+00 4.338813528221208138e+00 4.440191250643342080e+00 8.263938030186496198e-02
8.185893911860823158e-01 6.868422319908123796e+00 4.454060301568352642e+00 1.783233346198759006e-01
6.790409879864169884e-01 6.107879973200130763e+00 4.129834805658450847e+00 1.080015765702533603e-01
6.905727747030633301e-01 4.357818749113582690e+00 4.341686092190542468e+00 1.332127936971143622e-01
6.761874171958696111e-01 1.036909546505036062e+01 4.295140426796307587e+00 8.804517890249601020e-02
8.461575323254340031e-01 6.700378133094828215e+00 4.241809294145268083e+00 5.987854483005992240e-02
8.227912366369560804e-01 7.122030425852048374e+00 4.390740831483943118e+00 1.963488230867885265e-01
1.043163548687672471e+00 6.998830707738769696e+00 4.395435287296580285e+00 8.086658090485995820e-02
8.102326339970362667e-01 8.471494200972172095e+00 4.097915247528201910e+00 7.226062615818122647e-02
1.065937137476226315e+00 5.621228785535357098e+00 4.639003056930397939e+00 1.071201559281582671e-01
6.413890163936887268e-01 7.311214796134495764e+00 4.758001556416357580e+00 2.700434045438723785e-01
1.010217229922761861e+00 3.472332328267712320e+00 4.398989046962609173e+00 1.371644986756286599e-01
1.007600984135351041e+00 5.143590129097994179e+00 4.649577920163327605e+00 1.502321720269420569e-01
5.525143608574585308e-01 3.887686900385891153e+00 4.273528743712818212e+00 1.213359454070253307e-01
7.020240728900659644e-01 8.973061622429776563e+00 4.186916829131020812e+00 9.902546848707544092e-02
7.826929515024516615e-01 4.779162522271121816e+00 4.463496891533416111e+00 9.828864765849666674e-02
7.422228429439541308e-01 8.211169693369701150e+00 4.459680085067800448e+00 3.322071195019398182e-01
1.254820163858000992e+00 4.858389868128137223e+00 4.365300585559058533e+00 7.412557948900315441e-02
7.841683417911412546e-01 6.212430984964584013e+00 4.168459933062553802e+00 2.331667706661089134e-02
7.952313431827793266e-01 8.544380691405617512e+00 4.127556641620852673e+00 2.001620617075717257e-01
5.386725504359430872e-01 3.618293893222362723e+00 4.534065284711245702e+00 3.110706689894262578e-01
6.742519530128532335e-01 6.609259906963532494e+00 4.102038346512179245e+00 1.996298284027971381e-01
7.186950410846275616e-01 6.113624491170180697e+00 4.433040676661900825e+00 1.077095503817972755e-01
5.461403274748460879e-01 3.887327259933031520e+00 4.205402164993886416e+00 9.839082455128762839e-02
2.199366848538459873e+00 2.783293325968313248e+00 4.406725483595574921e+00 8.984027359088934961e-02
9.575954009561745695e-01 4.461800321893567123e+00 4.514976609819306930e+00 1.107095491924176278e-01
9.930600805773561746e-01 5.101800200758260573e+00 4.614001346354455357e+00 3.449252611643922051e-01
9.188824901373352505e-01 1.196393130133749239e+01 4.618204027265826461e+00 1.742701900207048182e-01
7.359721649731457704e-01 7.912420030629718326e+00 4.262640666950483492e+00 1.613094579194421785e-01
8.345455142282452998e-01 1.255792520635282017e+01 4.501789612846413213e+00 2.224728210212258139e-01
8.812126352368480076e-01 7.008248100373072553e+00 4.308773716720843971e+00 1.730807620383536527e-01
8.590230271516730021e-01 7.394775686571019691e+00 4.138682263645559800e+00 7.756807870521567616e-02
7.484718661963167818e-01 6.582655702274855081e+00 4.205191915098294153e+00 6.978083801145593124e-02
6.600833246126999176e-01 6.422648991369129590e+00 4.416614485726061190e+00 5.699011271660080202e-02
8.238938581870796085e-01 4.814366539231406783e+00 4.308471038694691835e+00 2.235380013369883678e-01
1.217217968656016280e+00 5.457184629581403712e+00 4.401688952994371462e+00 1.386051348595545019e-01
7.240194370760397735e-01 7.030752704896684691e+00 4.310627532621277069e+00 2.454371972439500782e-01
9.159798956066127484e-01 8.223631286888073433e+00 4.325097686617100479e+00 1.747054475227477477e-01
6.890935946228999853e-01 7.293189514602645751e+00 4.240222802585880579e+00 7.235196831397386341e-02
1.370107777257451032e+00 5.243156632273649365e+00 4.348977572177529005e+00 1.358100191222257613e-01
