# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
5.600891153461776684e-01 6.813806577950883181e+00 2.293911563937196085e+00 1.434679777342616758e-01
4.266612419129773293e-01 4.956169552252648991e+00 1.752966366712576995e+00 7.025001063998435880e-02
9.845886927072040606e-01 4.837616218092432696e+00 3.339659705385168209e+00 8.296192523931888996e-02
4.276715212536409405e-01 4.377549102991380892e+00 2.637566611882760093e+00 1.777612691314553184e-01
7.476640817592258292e-01 1.035347684592969841e+01 3.219955357213498903e+00 2.477793674690191295e-01
5.660869644780632814e-01 7.796979170476573628e+00 2.256919379281449700e+00 2.159607144818599944e-01
3.510339292634170882e-01 6.817579537993176508e+00 1.479170173451120895e+00 8.620905958239021005e-02
6.685617692879616270e-01 7.730931545157884166e+00 3.056586415939024359e+00 9.850229406729807402e-02
4.214719602059112114e-01 6.348500305168362168e+00 2.425097501261942234e+00 1.149771437034589477e-01
5.248869130693498697e-01 9.562988133562006610e+00 2.691205417061154126e+00 2.318008826963037228e-01
7.934319350045568875e-01 6.118532930409925186e+00 3.398870380095436960e+00 1.359713206352322068e-01
8.358011759208182623e-01 4.136922030599743394e+00 3.119859193844224610e+00 1.888333306293477343e-01
1.284437067582339553e+00 3.647129583117526330e+00 3.880504799549920225e+00 1.193924896804360453e-01
6.173285267947704602e-01 6.581558249156007179e+00 2.314565055874891808e+00 1.097723149061555353e-01
6.125817881427502165e-01 3.707619108189617485e+00 2.893256819246728728e+00 4.754137779833546990e-02
8.445569089642690486e-01 2.733083080527940467e+00 2.831301758620358822e+00 1.726254945380266415e-01
7.293978710532637022e-01 7.835876472811087012e+00 3.007651902673754041e+00 1.476761895494274057e-01
4.979891977330445085e-01 1.315437528260904188e+01 2.149939118123073367e+00 1.688265156040765214e-01
9.706716459138103881e-01 5.400792611256729714e+00 3.483157746374668129e+00 9.427359629421136478e-02
6.088947707822990330e-01 6.972418585420454562e+00 3.093821324768413650e+00 1.546319555472221163e-01
5.948656405166800054e-01 5.865815793898065067e+00 2.146469728422133461e+00 1.820434749480160930e-01
8.948484293377234611e-01 5.440803583364584917e+00 3.345858944007712221e+00 1.602688658582830938e-01
