# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.586921990829563311e+00 7.926158366670969180e+00 1.825514221711938223e+00 9.441641917768989201e-02
1.466119865676144052e+00 3.838697238438404824e+00 3.427097013715467710e+00 8.295677195083521471e-02
1.942732971207840498e+00 4.230316742660741092e+00 -6.891963232612466905e-01 3.739883339081649660e-02
1.471578349902914917e+00 6.324575510088187968e+00 3.917368936116944589e+00 1.216160489906110143e-01
1.324956116875823930e+00 6.052108927779002556e+00 2.188223433306184074e+00 1.470849440722037105e-01
1.267471432500067774e+00 4.579983069364468307e+00 2.899824556504355222e+00 2.419753794402642044e-01
2.542324731741243404e+00 4.562298811424917666e+00 -1.643702494499241107e+00 1.849463500863874066e-01
6.504046147683698598e-01 5.965248179319497801e+00 1.882891863033001600e+00 1.859665865103644899e-01
9.971885931314833362e-01 3.013123074651224087e+00 -1.140422479910283560e-01 2.120122870113758662e-01
1.968653114408963400e+00 5.243876423691419042e+00 -1.606954898444880264e+00 1.405340878802173177e-01
1.986539500361182320e+00 4.811598597984248826e+00 4.164766382974619319e+00 9.748371636123075168e-02
2.305384853852256555e+00 8.347044086309454158e+00 -5.249829065704674225e-01 7.993633820207307616e-02
7.053399344770567847e-01 8.678392304544992442e+00 3.279393499972428128e+00 1.508596303882142331e-01
1.840421890620748346e+00 9.453943141824844076e+00 -1.182664386807755319e+00 1.746874356496420089e-01
6.076199172759193523e-01 2.528448732384577902e+00 2.016930402606178507e+00 1.280759104390105096e-01
1.705469393206777262e+00 8.167506561635290652e+00 1.720294524784594881e+00 5.264143302096530030e-01
1.593759423222182114e+00 1.067549819213111384e+01 3.184144152636595670e+00 2.848670837322164751e-01
1.368146669939964921e+00 6.818916383151111482e+00 1.408327837625527268e+00 2.560247895041504740e-01
1.565734662437284985e+00 6.435077271632451357e+00 2.658545576912185293e+00 2.260255858786990035e-01
2.844063152554148655e+00 9.296491093341431977e+00 4.360082107916552374e+00 1.834660216736882510e-01
7.899499038176490684e-01 4.250439429909767419e+00 -9.993700203839327445e-01 2.511813719162365732e-01
1.162302035310787129e+00 5.417531794732934891e+00 3.354029553865604640e+00 2.079416005013885183e-01
2.703392020991108424e+00 5.056802486673284136e+00 4.350072328697751622e+00 6.698314467456530086e-02
8.761319029732304031e-01 3.792638156190432763e+00 2.445770389801841915e+00 1.278438068549711260e-01
1.129999941783012218e+00 7.154798157244660395e+00 -1.122891726446890726e+00 2.014121864084136848e-01
4.578463238578864836e-01 4.410895368280043805e+00 1.726301256688620445e+00 2.327752506250214681e-01
1.348048993626352887e+00 5.973149977536098554e+00 2.322917857524778640e+00 2.035510193400702772e-01
2.204665782831314313e+00 4.711361310721334128e+00 -3.005446078669848919e-02 1.838785618820324708e-01
1.276071639693397763e+00 5.752568078708394594e+00 1.455360142415165647e+00 1.433109357816498286e-01
7.099737154373658710e-01 7.020500674492543780e+00 1.003063327022335471e+00 3.857256833750419278e-02
3.167566841761350283e+00 6.504443097991688738e+00 3.338366366250536732e+00 6.572286890053680164e-02
7.505282712425042080e-01 4.511475355495789152e+00 7.081450077078054184e-01 1.871166913087712602e-01
4.877127183947441713e-01 5.399363972752325935e+00 -1.341099282931257630e-01 1.353658806989503360e-01
1.600338979272944107e+00 7.320242467521339336e+00 1.410725285182874655e+00 9.834219478730428510e-02
5.322109923472795323e-01 4.451889898535731582e+00 2.866467862327444216e+00 1.568552006066493698e-01
1.904766040094628687e+00 7.577788919592618022e+00 4.209242416814501730e+00 2.094993534217398923e-01
1.719351777519902535e+00 6.186312901939476916e+00 4.606065214273686870e-01 2.137092970593832686e-01
2.149737743756044761e+00 6.356156175909653427e+00 -1.271395272782406050e+00 2.082543107536687088e-01
2.367185758974801324e+00 6.277070557956018426e+00 -3.671015459998674402e-01 2.316996987812935949e-02
9.447401144834904896e-01 6.731422366064660601e+00 -4.283823560766535365e-01 8.987910477350979921e-02
3.104153677193792760e+00 1.133485715738996902e+01 -1.453308243418895307e+00 1.811669064593479928e-01
5.126396196612990064e-01 3.667911230185248783e+00 1.505150523002485086e+00 1.998576947759282685e-01
4.101526417450679918e-01 2.727042416273609327e+00 7.541683794324394174e-02 1.588187511679313157e-01
5.026510953547896898e-01 5.706227776284165998e+00 1.709220515269300300e+00 6.753289441048004882e-02
8.767681444382209310e-01 6.332518865635990757e+00 2.026590337295292255e+00 2.205041922862688575e-01
7.246731128055068361e-01 7.182747586716469179e+00 2.692853961228778292e+00 2.001237413903537710e-01
3.790616426413226381e-01 4.251705311154798217e+00 6.302141743108004013e-01 9.319480311822764262e-02
1.351147394503208199e+00 3.576272334552889731e+00 7.987788938875410860e-01 2.497509245882853501e-01
1.411970192028653148e+00 6.240113922776730604e+00 6.118179838434417706e-01 1.406338373611175363e-01
6.413848351076458787e-01 6.830483725197629141e+00 1.219414813627251348e+00 2.513093247992163048e-01
7.601350821909821365e-01 4.763155553918489993e+00 1.348609004385253662e+00 2.066448616788220116e-01
8.767160587856772658e-01 3.974239659036220562e+00 -6.326324897422965776e-01 1.886515754297148906e-01
8.409100148762642668e-01 6.094569735640720687e+00 3.215954298999920802e+00 7.094069090101749742e-02
1.581077662138289819e+00 8.002801812080980071e+00 -2.629276676938300250e-01 2.391982454735359087e-01
4.010446770568520392e-01 6.842779707883353879e+00 1.724133225111431855e+00 2.004563805502989626e-01
3.463084144912196294e-01 3.570156498590492333e+00 1.246814858318175734e+00 1.453341910290884831e-01
6.555145041068312084e-01 4.230187905606331178e+00 1.770420006627863474e+00 2.232817196598753939e-01
1.523484551450903668e+00 5.382793884382315319e+00 1.724429741930621374e+00 7.275275142716775001e-02
1.189973174756037810e+00 5.644542271948352230e+00 2.694060962066849862e-01 1.764692679670944453e-01
1.835186944442640966e+00 4.761065671973665481e+00 4.126066704163013021e+00 6.560644192959580456e-02
1.403281410204882063e+00 7.949229027517260349e+00 8.189015766664314855e-02 7.626691970402925402e-02
