# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.745134050079687471e+00 3.607683814615989526e+00 5.520446267226508219e+00 3.759008455383661129e-01
1.493427539568360718e+00 5.566037840182856300e+00 5.534795256145041975e+00 9.287474175441440272e-02
1.574278623047657089e+00 3.055927734122255490e+00 5.528268047000559626e+00 1.818583896838113501e-02
1.049704773809009950e+00 4.712517577244033973e+00 5.312271282792712768e+00 2.308080568616447947e-01
1.418004731926687523e+00 5.882100513752103410e+00 5.489254928429574854e+00 2.124893791729333681e-01
1.245944516699510007e+00 6.725689529564616187e+00 5.327693848042841296e+00 7.150507628310949493e-02
1.797217179118245856e+00 4.062487849335749246e+00 5.387842176391951732e+00 1.010242464634427129e-01
1.482388671446469131e+00 3.793188782645447343e+00 4.946024435461871427e+00 3.240822622197941372e-01
1.353387901802704629e+00 3.812330347524076846e+00 5.417459260280200972e+00 5.417635748559374714e-02
1.286188709385833073e+00 3.794169024508411425e+00 5.435254162486197416e+00 3.035514638798637518e-02
1.637056084474396433e+00 5.159089897514432366e+00 5.324061603932104703e+00 1.579190585443693007e-01
1.538623257756919216e+00 4.956292192755737958e+00 5.607312139209112978e+00 2.602510896622396985e-01
1.183315818819469012e+00 9.962640967194634101e+00 5.352160618429776306e+00 2.120025611606371763e-01
9.518164198225442796e-01 3.789039968480104825e+00 5.371805661239115182e+00 2.118017082095247083e-01
1.424326727290340155e+00 6.025443895722179199e+00 5.225475194810271340e+00 1.389302515336243160e-01
1.554966298378287481e+00 7.659476567851482898e+00 5.570334981695823195e+00 1.094371130875258502e-01
1.467433668553948856e+00 5.731454075611715382e+00 5.447459093203547376e+00 7.575691273506668377e-02
1.339010747680860369e+00 5.583483380823108355e+00 5.591585689802732517e+00 2.198165782909679566e-01
8.974789350613301409e-01 5.171001892462518512e+00 5.403019983191263975e+00 7.322781918199953999e-02
1.069577822471241335e+00 4.737826334180310184e+00 5.513021272322528255e+00 5.232169370349984971e-01
1.215721768500752642e+00 7.022047560309833791e+00 5.117807668579440694e+00 2.376992041444261627e-01
1.026489438789830455e+00 5.441033650387815612e+00 5.548525080193273951e+00 1.429228924187186667e-01
1.754309797205470867e+00 4.105410241943646454e+00 5.544491534116512632e+00 2.172598535416389587e-01
1.056229613539760637e+00 4.411089162175938938e+00 5.530030864572363924e+00 1.244731456647147905e-01
1.293999474970404018e+00 4.738647448498739756e+00 5.477891259797257995e+00 6.970813777290701951e-02
1.596653864266330380e+00 6.305029960572184677e+00 5.324222125271885986e+00 1.825215586839268322e-01
1.271022762593239541e+00 2.824190646564496809e+00 5.469885091821486078e+00 4.543680418933070814e-02
9.809237197589320001e-01 2.905749776351237657e+00 5.575267410021620407e+00 8.833525118680193855e-02
1.121005453444322342e+00 2.725207576400900500e+00 5.348707936936190066e+00 1.389072285983140864e-01
1.105649610460821997e+00 4.039601140482887764e+00 5.462239127996489252e+00 8.223316922801053586e-02
1.414266716434718685e+00 6.693792903746166090e+00 5.579762066095621087e+00 1.318382077859305002e-01
1.293101501902072403e+00 8.338437614889247840e+00 5.494333945582925871e+00 9.754751863863217465e-02
1.701249493745652153e+00 3.732187359455687581e+00 5.556577542183982921e+00 2.727328766104288871e-01
1.325598706222067991e+00 6.199700110323974833e+00 5.412531663821485317e+00 1.503068501503567744e-01
2.252706634165343225e+00 2.983390756806104438e+00 5.331012629951007220e+00 5.942906395119777752e-02
1.419504951130477366e+00 3.648065573143965956e+00 5.154078877770380096e+00 1.643357438888236044e-01
