# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.370060161129109444e+00 1.027142874130802142e+01 5.289077468206738963e+00 2.050517802442567150e-01
1.280544815373940715e+00 3.357049617138718745e+00 5.067068248686656062e+00 1.061980369947711222e-01
9.929087076348264151e-01 9.059938675821271659e+00 5.651676345948636104e+00 4.876891596780401628e-01
9.741290259624619807e-01 5.805201187322333922e+00 5.336807963802111310e+00 1.018849758825513541e-01
9.981051482008377329e-01 9.404912217159258958e+00 5.091473406240797139e+00 1.987168315204186908e-01
1.275101781273095591e+00 6.744751773179231691e+00 5.108616967083419169e+00 3.323418006022554883e-01
1.259204395161651835e+00 4.236745207547818026e+00 5.551056271070794246e+00 1.127247750502223672e-01
1.048003753397888760e+00 9.901200542289313233e+00 5.209565638089114437e+00 2.354798863847178403e-01
1.048529084565125169e+00 4.630559205943449719e+00 5.123752682565924310e+00 1.524117839723984347e-01
7.715667536671279025e-01 4.964603954045441192e+00 5.350512423896573111e+00 1.458035066682080161e-01
8.814416711154191564e-01 1.256956545582505669e+01 4.995579984072195501e+00 4.130667285342248807e-01
1.068857094213589987e+00 7.175743218017693437e+00 5.251264901545952490e+00 1.702134197845012187e-01
1.164059498107380408e+00 5.995998979881946411e+00 5.241298751858271210e+00 1.942877066607590353e-01
8.596004671284714904e-01 6.290117748874030745e+00 5.347541236437428402e+00 1.014674730668329306e-01
1.132085362175218934e+00 4.066422712843899667e+00 4.961006211023943457e+00 8.619973904863864611e-02
9.447690034271571946e-01 8.081842287012094062e+00 5.567863040876924074e+00 3.688128103213088038e-01
9.687753905043827718e-01 5.753472087841307925e+00 5.054135973842210028e+00 1.936783736582241566e-01
1.292768695789770605e+00 7.042226521429449271e+00 5.287448867495388782e+00 9.168347489308750764e-02
8.905862482404376390e-01 8.761192135444336060e+00 5.157323489761082236e+00 4.932607906190132618e-02
1.037221789473449896e+00 5.621872517076112352e+00 5.498330169511049803e+00 1.075553333320304616e-01
8.611894622582170200e-01 9.644456603135822093e+00 5.199282574020937631e+00 2.394841002942348362e-01
1.190219492897333531e+00 6.715140992846606594e+00 5.024972101633569110e+00 2.600992106019060501e-01
1.137194983235558565e+00 8.347792048992562997e+00 5.253698092795751506e+00 1.168390907988593602e-01
