# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.030332788773977049e+00 8.712435981786882166e+00 6.496015197721320966e+00 5.747319740773609159e-02
9.307500324726096785e-01 8.527039348920460782e+00 6.420749553944693488e+00 1.110395181009374010e-01
1.092778647416621896e+00 7.049435702649372359e+00 6.571786518668571553e+00 1.637711742645170110e-01
8.405928149068975230e-01 4.791093841998426583e+00 6.458336539574436763e+00 9.827542317254178705e-02
1.078515805542200612e+00 2.553412683471144362e+00 6.412254469113286781e+00 3.879968212290906271e-01
8.434805844764343696e-01 6.325542916559234286e+00 6.456641478572300308e+00 7.500297758250530633e-02
1.004471177963505379e+00 3.454668164524198115e+00 6.458636271387878658e+00 4.458833417142878119e-02
1.388224092879367877e+00 1.000584447340554384e+01 6.446100679781593179e+00 4.978822429404400340e-02
8.049635152516879666e-01 5.235249984681651370e+00 6.469986566260662819e+00 1.058422069210648297e-01
1.216794995086689868e+00 6.167684739010833361e+00 6.523687688602930912e+00 8.815783908467596242e-02
2.625046044762145314e+00 6.512765814853747948e+00 6.699625014395073741e+00 3.780886216742572192e-01
9.458473050244928793e-01 6.724805814802978787e+00 6.662785666616886537e+00 2.993757340383022547e-01
1.009204858682579253e+00 9.561298755889042766e+00 6.323227878473027808e+00 3.292148903293194984e-01
1.183083451410664289e+00 5.311985051750719222e+00 6.857750215375224556e+00 3.048667696043114717e-01
7.542794610254722754e-01 8.233517408063269372e+00 6.301518424453337097e+00 1.805020942291891972e-01
8.797889891363197545e-01 4.219819910392941686e+00 6.583286166844185772e+00 1.734309181014634382e-01
1.555182560016434623e+00 3.333985082004317313e+00 6.492098400142988446e+00 6.669733054146523288e-02
9.687394882401119123e-01 7.344806672420094884e+00 6.406759675243189456e+00 7.666527082425789175e-02
1.200741529204474745e+00 4.530063315534443191e+00 6.609108226214707393e+00 7.686640390622895280e-02
8.634999652430132011e-01 7.669490052094319665e+00 6.504080089260225961e+00 6.513282321752250636e-02
1.380741663594121205e+00 1.027442094775053150e+01 6.562244423513859282e+00 2.929926706945465420e-02
8.382488044989884202e-01 6.202767068155678132e+00 6.642724857732318355e+00 2.012119995425016850e-01
9.081653439533947658e-01 1.085739030096708291e+01 6.448785890562593437e+00 1.344170268092816090e-01
1.009878261084348861e+00 4.855827508450655472e+00 6.524089753421559834e+00 1.627020074693973362e-01
8.625587757560937430e-01 4.480193842794395920e+00 6.686521289453099648e+00 2.552389193181284210e-01
1.102810709114406817e+00 5.589217466275317570e+00 6.618986640713673708e+00 2.089751728102090256e-01
1.228936320854044917e+00 4.558776788321028839e+00 6.647075186968001148e+00 2.376169381646079382e-01
1.057402386289464591e+00 5.231697917121133301e+00 6.368260476492641153e+00 1.279701529880140909e-01
1.313979308404373603e+00 4.390647699303427132e+00 6.436405276533839981e+00 1.611743105322569758e-01
1.172912010953212736e+00 5.065188642742725733e+00 6.688821012890938889e+00 1.421640500842242527e-01
8.389169642525488024e-01 8.961368645087482321e+00 6.534985491121376278e+00 9.104653215400160260e-02
8.373234614378096685e-01 7.595651896996638897e+00 6.654661836389687224e+00 1.046565091350615817e-01
7.631970877146760923e-01 6.811152587644774492e+00 6.080084937004588852e+00 3.216025642911786719e-01
8.427366803196515432e-01 6.000051819613711146e+00 6.511246819207634040e+00 6.768503900521927186e-02
9.348318163980132711e-01 2.307095952533595895e+00 6.522430088386995450e+00 2.441257946062649065e-01
9.994613175013024042e-01 5.179582124977532231e+00 6.577436189468960137e+00 4.673114124688814569e-02
9.935655856023868360e-01 4.464389389335716274e+00 6.520804438928305302e+00 9.431422477150044892e-02
9.730113607157718780e-01 5.373073903584066002e+00 6.460869368129040780e+00 1.241265178157733851e-01
8.984246187448829968e-01 4.643453128771986016e+00 6.692796298499073870e+00 3.023058249473445369e-01
1.037058932271346379e+00 3.693411770665534277e+00 6.535802988894604759e+00 1.321868137318322478e-01
1.177889959681852616e+00 4.693880661541907529e+00 6.589375822917438619e+00 7.112863816729103617e-02
8.398579523033170569e-01 3.485177524972031815e+00 6.439129423415590026e+00 1.351368678752691843e-01
1.253239220160465184e+00 6.225349473244829568e+00 6.697021139563602787e+00 1.032290861627453704e-01
9.831402552341148571e-01 5.098651545742535873e+00 6.603386362406716614e+00 1.617749708951460308e-01
1.248521938544022492e+00 3.754739411319679920e+00 6.556579483406027364e+00 5.848497251236034478e-02
9.726271312835460536e-01 8.712344357608561296e+00 6.387941773667254353e+00 1.821205132526350634e-01
9.219007892105555158e-01 1.097124013045811353e+01 6.713289321876880322e+00 1.615779452520131887e-01
1.098860670043928955e+00 6.409189841103864360e+00 6.553285353309729722e+00 9.422594631311118074e-02
1.085270882663794900e+00 7.698959858294051273e+00 6.527221925182941753e+00 1.119546966085881445e-01
8.844788470057980412e-01 3.232552234308009531e+00 6.534452306061051097e+00 8.834918610800335248e-02
1.135012685439009239e+00 7.556484017832868716e+00 6.461510517858571667e+00 1.997313716843664988e-01
1.042571968976297558e+00 5.607506504766531563e+00 6.567492964479964890e+00 1.052427353647003294e-01
9.655814763198440343e-01 6.798758584930448379e+00 6.505229359140329848e+00 1.594711545999426550e-01
9.096172484332911701e-01 7.056010959058995446e+00 6.308328869238581937e+00 1.383684910573980131e-01
1.205190713043079231e+00 6.519653702929751660e+00 6.326888845363457747e+00 9.417729622601281325e-02
1.156477925645021720e+00 4.187498293506530800e+00 6.398391796658047248e+00 4.544830991886083388e-02
9.571607447749851394e-01 6.876873874636090456e+00 6.536486941190011279e+00 5.439691365579653326e-02
1.122604057984938120e+00 6.885162001396452069e+00 6.793067093549581159e+00 3.748373057723436985e-01
8.740083167695023025e-01 4.434875357317363154e+00 6.440861821609509263e+00 1.084209273717777477e-01
8.962434204945601834e-01 5.043564643107282919e+00 6.821200922122248045e+00 2.609255475808081037e-01
1.114313462574923808e+00 4.678234497593360963e+00 6.326212440949178450e+00 8.029901452535408157e-02
2.383650246587125654e+00 3.852787329817401574e+00 7.205117098047451485e+00 4.212546928620472531e-01
2.022916559497630828e+00 4.955803066239336196e+00 6.801969785377684374e+00 3.100517336133644664e-01
9.950553824811629866e-01 3.772232545105595580e+00 6.290825780645898924e+00 3.973458026575409918e-01
1.328047950190310411e+00 6.957558271587870102e+00 6.335366282335978205e+00 1.154411394395974677e-01
1.852108846574307410e+00 2.942788763386887663e+00 6.754500991452528247e+00 1.679465696088254245e-01
1.056082408258723015e+00 1.459028140608164215e+01 6.277006731704338982e+00 2.025374748910966916e-01
1.171821726570690281e+00 7.561593499260507834e+00 6.410549131099481102e+00 1.391337554731165993e-01
1.516328122150241819e+00 7.532627836454095949e+00 6.423549476678133807e+00 8.741266008631892737e-02
9.991380858629466122e-01 9.054355240084007050e+00 6.653821785974311176e+00 1.311782873320452014e-01
1.134438188119954560e+00 3.649923502943919651e+00 6.381012826791306658e+00 2.308731642402247208e-01
2.024783053904866126e+00 7.441035042274765310e+00 6.736031642791470375e+00 2.150016720439845430e-01
1.149524084660337619e+00 2.488200922736761189e+00 6.777536613300235047e+00 9.955323397902478277e-02
1.120129306736962871e+00 4.525385118472408763e+00 6.532804193104787771e+00 9.031837502378542437e-02
1.241406799822510010e+00 3.093668571266093625e+00 6.674531738666905412e+00 1.445346925375520786e-01
1.263457971530759005e+00 4.204378406060237161e+00 6.354150534985278043e+00 1.044241788461035686e-01
1.700912265146373503e+00 4.345491378570667251e+00 6.478249574803879973e+00 6.067647356392988356e-02
1.148139595754715359e+00 7.079433113129359967e+00 6.689266893030294092e+00 1.904656380793202930e-01
1.102924081470985307e+00 1.110013619223709469e+01 6.488959033408551846e+00 6.563745514422339444e-02
1.297783498111294564e+00 5.291754404319661376e+00 6.263060413771516011e+00 1.635628993330028036e-01
1.478049970587255624e+00 4.180265323445718550e+00 6.377595248102579717e+00 9.442676129255604678e-02
1.402858691464960561e+00 3.305307404088385859e+00 6.323168425331664899e+00 1.542248080028774948e-01
