# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
2.630148150062666890e+00 4.819985926591653147e+00 3.284311749339630104e+00 1.271028248799863092e-01
3.036987036644797300e+00 5.462060222483236416e+00 2.823294271288419921e+00 2.877562887824263171e-01
3.780301511293436167e+00 3.502559159470592043e+00 3.037157341788888409e+00 2.155337824215456388e-01
4.275670719072643955e+00 6.143248575392758148e+00 1.687554792759307309e+00 5.757994587885000293e-01
4.101637948328785477e+00 5.760168493581935500e+00 3.924399863178474668e+00 5.336009540351521752e-01
3.150900391345047069e+00 4.637946311058509963e+00 3.262368268699310736e+00 1.533190830418184325e-01
3.737904559598178800e+00 3.179438633562480465e+00 3.007087514272982265e+00 2.311021501131599876e-01
4.327045341569025538e+00 3.589523850358671275e+00 2.991272905406612281e+00 1.704979598310729094e-01
3.819154765883428393e+00 5.234576056554164580e+00 3.099048522519935567e+00 1.465825145696752208e-01
3.176877064975144549e+00 4.979624923280908888e+00 3.015327369536736857e+00 2.996592606597981989e-01
3.026329153245283621e+00 4.390624770404029320e+00 2.898027527427897265e+00 2.915768456298683531e-01
3.646793589265913127e+00 4.226619073223065293e+00 2.904035415054349478e+00 3.417014564903886331e-01
2.858242196319310757e+00 3.487259364013477914e+00 3.090789579688712596e+00 2.008465269914036233e-01
4.223595511304075067e+00 4.691725472849144651e+00 3.314677577804260533e+00 3.265135133827098968e-01
3.646252022556705441e+00 3.323003940412800006e+00 2.840969088962957301e+00 2.571107372035567606e-01
5.790132051908064348e+00 1.134396378727564070e+01 3.094296850840930535e+00 3.107457709913836186e-01
4.261266772043266648e+00 5.117894187239395265e+00 3.039283573752700640e+00 3.853069990195377437e-01
4.090634911500626636e+00 4.349973163828660283e+00 3.177183155648440671e+00 2.240309950352708246e-01
4.729799992214496207e+00 8.416598086118172617e+00 2.650440919085437663e+00 2.584701155017891661e-01
4.400580287456700823e+00 5.040227476406938578e+00 3.172466342493761360e+00 2.155031206247327857e-01
2.993747371957453218e+00 2.688791765930726996e+00 2.641281534181969981e+00 2.352712276791362744e-01
4.705670851290197909e+00 5.910508321158754796e+00 3.028935066013978439e+00 2.231973515061517199e-01
5.367120444083218977e+00 4.652919033641458313e+00 3.166401896924756265e+00 2.193697629470404420e-01
4.618991104365092859e+00 5.316028272992064707e+00 2.955916537794200494e+00 3.815631169589908667e-01
3.454101027089443665e+00 5.917525852974921285e+00 3.130288508448862750e+00 2.387349116112622849e-01
