# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.740720011607816975e+00 6.038274262065556286e+00 -3.533357272618283806e-01 2.086217303705887316e-01
1.734026880503564350e+00 4.814379215170403015e+00 1.680384200778787696e+00 8.274997889381291438e-02
2.061956887654105675e+00 6.337160958001919475e+00 2.088409707811792693e+00 7.118389601020254365e-02
1.539712739216260617e+00 4.380815536678110078e+00 5.628753662053507245e-01 2.757209627301039911e-01
1.244775393691275767e+00 9.024831661900215352e+00 6.874481504268963317e-01 1.286261314006399425e-01
2.360720665235967353e+00 4.174487028286705481e+00 2.540030212290420142e+00 2.512710411301807834e-01
2.341923366508732229e+00 5.668946152008318862e+00 6.805050074195393428e-01 2.261557176564977512e-01
1.746037678790010261e+00 4.716074660076948533e+00 -8.030218353055562641e-01 8.480282572536093633e-02
1.312578706141819040e+00 6.543060650853061766e+00 2.341733720944068065e-01 8.766730982797986405e-02
1.929777698722366930e+00 6.405615696965061723e+00 4.232637530726178210e-01 1.111657556385023116e-01
7.157265297070734000e-01 4.546232844766803005e+00 2.218118809210433140e-01 2.894519912112624160e-01
1.677504532980028440e+00 4.064816033192669487e+00 -6.515784098964139126e-03 2.294787184014980830e-01
1.182259195611215175e+00 7.956627255024038448e+00 5.157861741989410165e-01 1.150328982223276508e-01
9.890717315236005058e-01 5.120671334863339474e+00 -8.689300968400383018e-01 2.102039340568697540e-02
2.068831296411179022e+00 9.738674524486448547e+00 1.224134317138518002e-01 3.787968563551233347e-02
3.222835539032549157e+00 7.518230877464781692e+00 1.159720207724173058e-01 2.241051634278456717e-01
5.837769323085059137e-01 5.185808995844544356e+00 3.253074199820883416e-01 1.812714059609201733e-01
1.930033680724494882e+00 7.979825967039420931e+00 -1.130962898150367213e-01 1.702577785746763606e-01
2.262416812543514233e+00 5.909055464653453882e+00 -1.095152448985613702e+00 2.104699764380200955e-01
1.805026005418101320e+00 6.779061519095273880e+00 5.906127373462483066e-02 1.176285720935618534e-01
1.623681037971214991e+00 9.652946666085254535e+00 5.418283789314610743e-01 2.519151929350820773e-01
9.672421665218999820e-01 8.066748660786535297e+00 1.857767672262013559e+00 7.318515916988727055e-02
1.424910734828955805e+00 7.688430615380379862e+00 2.844223758421925430e-01 9.228925651810315767e-02
1.855739794475773419e+00 6.419004786308463828e+00 1.892839344281573855e+00 2.308064242042730807e-01
3.972673339939485349e-01 2.975346562183412757e+00 -1.349070193411125995e+00 1.211576140703392174e-01
1.292119478902382435e+00 9.857395694153009202e+00 -9.108761747213957038e-01 8.846299927727602208e-02
1.002518285698350553e+00 3.395060370706828756e+00 2.745683244628494002e-02 9.707411384882468075e-02
6.698920967899382184e-01 9.601119793655414014e+00 -4.552426497539670547e-01 2.013239203653159892e-01
2.159922776224207475e+00 8.771243720045028169e+00 1.020873402140975106e+00 1.705840741450218578e-01
1.490750461082032796e+00 5.360889853537001315e+00 1.744359202146675170e+00 1.965764206561150251e-01
1.948492881902704310e+00 4.574366765512376531e+00 -1.466673087528373332e+00 5.984770694291258186e-02
1.890546033819165306e+00 5.505708923073366456e+00 1.543612420323038137e+00 1.912344749943452049e-01
1.647733287685756443e+00 6.055922997225312798e+00 2.120287206412695191e+00 1.170737268011098342e-01
1.792686219661185465e+00 8.484499278596336680e+00 -1.243506165012125297e+00 2.956811982491662216e-01
1.523106249242692112e+00 3.522615115223475257e+00 7.010403793954105289e-01 1.928820856062623545e-01
1.408623008074337823e+00 5.634337340439490305e+00 7.125358439157183366e-01 1.432459911690339704e-01
1.967435163795282937e+00 7.577200797144163502e+00 1.381572097570342050e+00 1.060091554325012508e-01
1.595443843244456428e+00 6.512774170499069371e+00 9.916243713642088897e-01 5.988634970561492604e-02
8.696960750500022375e-01 4.317016599691624101e+00 1.041708661030118721e+00 2.759086290950859555e-01
1.500925129009180736e+00 8.749403643622219562e+00 9.316980229919694656e-01 3.087682068316536244e-01
1.877488042407830626e+00 2.912369449137147015e+00 -8.100866062843768978e-01 1.769279251879792847e-01
2.400741300445177195e+00 3.027576474814183349e+00 1.133992830610901503e+00 6.465972112387972925e-02
1.844625398660076243e+00 2.724176616211271718e+00 4.686444797568072307e-01 1.619504647274274123e-01
1.666129349758183942e+00 7.348060176311101976e+00 -8.322623904174140108e-01 5.132959743099660965e-01
2.196615853504308102e+00 5.556789158315576849e+00 -2.752793762592572469e-01 2.392776938850025015e-01
1.674511202072626714e+00 5.503547083447470456e+00 1.848768962807935567e+00 1.781383513571584420e-01
1.928743669272968697e+00 6.060723524763357517e+00 -1.285573551123739278e-01 6.797537954728787024e-02
1.320645099005557377e+00 7.976275542737430335e+00 -1.618344218898259079e+00 2.047358937289013858e-01
2.979212627056289087e+00 4.636258632798382351e+00 -1.859476728996157791e-01 1.355810633378814190e-01
1.776350029729165891e+00 6.152318480123767586e+00 -2.729153791591171219e-01 1.376863933901784909e-01
1.420396059469637429e+00 4.442778036886727122e+00 -1.375558545362560503e+00 3.991782545253456105e-01
3.139086318730063052e+00 1.024987568139585647e+01 2.635700492619829749e+00 2.067689671327246348e-01
8.965456506819281524e-01 9.602926830358338606e+00 3.855169015574100855e-01 2.631121327571350199e-01
1.708799785238296565e+00 7.544211415531344223e+00 -8.891594944333425232e-01 2.185360003328431777e-01
1.696482235259467286e+00 7.231191446117192001e+00 -1.550530271815276084e-01 1.673617050700064446e-01
1.394219299545980562e+00 5.549734384678894017e+00 -1.125268859017878986e+00 2.119049720633491563e-01
7.507970920662787595e-01 3.084207050406799766e+00 -1.470708040314260279e+00 2.893350335793639649e-01
