# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.257674835176224803e+00 1.012263082356252575e+01 2.082198464193856680e+00 1.238253216236893522e-01
2.751000012410539597e+00 5.809262631845117042e+00 2.863478059260223141e+00 2.527326733332018738e-01
2.134317645179760525e+00 2.855725720185430472e+00 2.732937605050595131e+00 2.972518119949714710e-01
2.385576048476600874e+00 3.984446954817193021e+00 2.995618722936870704e+00 3.215225488718644331e-01
1.361511749255432946e+00 1.026821785772144757e+01 1.601033324807056513e+00 2.797431715549038023e-01
2.157825952965452210e+00 6.379318976833190824e+00 2.924946256582123372e+00 1.408076294338081735e-01
2.517654081362278085e+00 7.342753055239765736e+00 2.970894915183413865e+00 2.448409215591745014e-01
1.719076134662909983e+00 5.845379232270939696e+00 2.865550810323139519e+00 8.464579719096117227e-02
2.297313088377455514e+00 5.393940397607789095e+00 2.144200676406889272e+00 3.339483631617968795e-01
1.772518058926217055e+00 1.220046919113728556e+01 2.617275240671419478e+00 1.408343862489952469e-01
1.276989995542394896e+00 3.338420187854367338e+00 2.516849501394214705e+00 3.214879707825451516e-01
2.736792058528054739e+00 3.355721155694988411e+00 3.178417486378757317e+00 1.169551545195983283e-01
1.422757124925138061e+00 8.710336642477344071e+00 1.041920080844112251e+00 2.700553964622283698e-01
1.767517553069673619e+00 5.451547456675048586e+00 2.766668496171999170e+00 3.314078794810489947e-01
2.149620355493088386e+00 5.753562156999221244e+00 2.870848826244591923e+00 2.000771427814591608e-01
2.116552761066620825e+00 7.358931237593525410e+00 2.800054297556229699e+00 2.386282280866716399e-01
2.196833093530988101e+00 8.182914149003106985e+00 2.826963835984337425e+00 2.138062155160930788e-01
3.081709392592673069e+00 4.199729422092607578e+00 2.659302857592770852e+00 2.247149337954489345e-01
2.925295769452782135e+00 4.331121322843737076e+00 2.548186156694428828e+00 5.613404834150594880e-01
9.163905021805512918e-01 5.915041851792113725e+00 2.460612298547877774e+00 1.444356192197603361e-01
1.665658335840557891e+00 4.556514864459352054e+00 2.846238350457501731e+00 8.763872734450081636e-02
2.512260120607058500e+00 3.808048625399122589e+00 2.967056444032615037e+00 1.004919785367402590e-01
2.511821346225082685e+00 6.016791838912727286e+00 2.881710774205286985e+00 2.107090880379917097e-01
1.564828763136735024e+00 6.217110035526707712e+00 2.500185296086751219e+00 1.283816005483908729e-01
1.435509193651905102e+00 1.073209302687363476e+01 2.918602355421788364e+00 2.834927630538474630e-01
1.666519254199023914e+00 2.649013396066175030e+00 2.728859153758300238e+00 2.799826792203132797e-01
1.432643623322448656e+00 1.019338608149485026e+01 2.027002257819823683e+00 4.432489542477189293e-01
2.320157100184562893e+00 4.563746968431829032e+00 2.878256077278750880e+00 2.517190892299779881e-01
1.341514967034431516e+00 4.937246166739986286e+00 2.975823348818410263e+00 2.953426768646597589e-01
1.641292297735037042e+00 8.148738107085611304e+00 1.788870151047159629e+00 2.824617827009459070e-01
1.652666446437985215e+00 4.983851174360018454e+00 2.538204670452614220e+00 2.662761479033534662e-01
1.432471343193967517e+00 9.403155548916554807e+00 2.426350597432430867e+00 2.055959288997131762e-01
1.156751158893718934e+00 4.796044346627940769e+00 2.284642885556714464e+00 2.102148480298247357e-01
3.330463660384692659e+00 4.640069070905250115e+00 3.066733421625435163e+00 2.310489842658103310e-01
2.315461062901747802e+00 5.052816771782344674e+00 2.993244213085584526e+00 1.530240940087731483e-01
1.878475160586170922e+00 4.148138043285827692e+00 2.271355183081803730e+00 1.596415854477853391e-01
2.295920211549049572e+00 3.391429215909207429e+00 2.635297494907353766e+00 2.936699910541027414e-01
2.219118329283549240e+00 5.976282175350887016e+00 2.697638671538574950e+00 1.838228274440801835e-01
1.025548909894647975e+00 7.202150288725078120e+00 2.632170683035159442e+00 1.312833149778879771e-01
1.233161336632397242e+00 5.466352132771599592e+00 2.572949804938535312e+00 3.084246003864040686e-01
2.411835866211857748e+00 5.027814483119604105e+00 1.973862071803868634e+00 3.120680107999279085e-01
1.097700715073339328e+00 4.559553587089338222e+00 2.174009674960364791e+00 4.284590678481787207e-01
1.321611871379715808e+00 5.810548832413073406e+00 2.342262137531242683e+00 3.785575635340841516e-01
1.210095162732444773e+00 8.695024816333411621e+00 2.657459173652537476e+00 1.709282704319447233e-01
2.129391658877409998e+00 4.320160472714446698e+00 2.854272026530566997e+00 2.898440829891718584e-01
1.236557645783929793e+00 3.308311758709266748e+00 2.566906598126304839e+00 1.347071619113371088e-01
1.741215560981527855e+00 4.776759915915762100e+00 2.793263371835491782e+00 8.908207044231296334e-02
2.406077847663287361e+00 5.976032245131881915e+00 2.369123818164299067e+00 4.589854592924590415e-01
1.298748207959358414e+00 3.210135003876966486e+00 2.320399001891856106e+00 1.965527009396784985e-01
2.529795261000118867e+00 4.819318628589419617e+00 2.843075722852651310e+00 3.347365061279229392e-01
1.503454236261968280e+00 4.184153575163144012e+00 2.971217503057675735e+00 1.761657240938973301e-01
