# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.164547265599510162e+00 8.038492600432480373e+00 4.384276132917056756e+00 1.364480033869566733e-01
1.195384589163363431e+00 3.505483786820662750e+00 4.283630690535705554e+00 1.035061286745933840e-01
1.009604733573215229e+00 4.712018679936198495e+00 4.411408522831947288e+00 1.066002909484058542e-01
1.246761047955705415e+00 3.651995488924634881e+00 4.225275538326755509e+00 3.090595090962177105e-01
9.509892447268053495e-01 4.546486345815825558e+00 4.338936201939700865e+00 1.781273712250021624e-01
9.661191036941836341e-01 4.330286791721444928e+00 4.232374818032971220e+00 1.834963423470513666e-01
8.886320536810602411e-01 6.691989870522078832e+00 3.883790930334740210e+00 2.682655623199145523e-01
9.454332930954059133e-01 4.529055082253987230e+00 4.328511208290362511e+00 1.222231481138666004e-01
9.632213501841568881e-01 4.281758677890555198e+00 4.376568940492902016e+00 8.953661273240837160e-02
8.012320352519968214e-01 5.512217482268891189e+00 4.313298803526545377e+00 2.230871216958973946e-01
9.264802983297036887e-01 6.998526395768299047e+00 4.358862155017112272e+00 2.388181395483960912e-01
8.262086386963564122e-01 4.031540499412068712e+00 4.346437645237894998e+00 2.083604535002130664e-01
1.081085189576775241e+00 3.933299498274576145e+00 4.589188418359428923e+00 2.408188555618337445e-01
1.053014625847504160e+00 4.324542966130895394e+00 4.343265599637120111e+00 2.157670672069285089e-01
1.318368875656703132e+00 3.636016620123409648e+00 4.335462895236140035e+00 2.760167570481975585e-01
1.164354245556147305e+00 4.679805309970440419e+00 4.138580486495941457e+00 1.525460166044034227e-01
9.814772757301497563e-01 2.753778763144574260e+00 4.284372741830179798e+00 2.748209408768391149e-01
1.606680456861316220e+00 3.761409550166121996e+00 4.381699460196315066e+00 2.226598198494914027e-01
1.233865593833546992e+00 6.219815072149669000e+00 4.210862651713318527e+00 2.352460372990682336e-01
1.851322961330278849e+00 4.765668455408557769e+00 4.074596466369653669e+00 1.325312548935240198e-01
1.033171264537037892e+00 5.467951272209550240e+00 3.901528152200027577e+00 2.169837372723440738e-01
1.127095285287923909e+00 5.521647469074106418e+00 4.313210643490616114e+00 1.355514527454269591e-01
8.186941510322847115e-01 4.819217410513584987e+00 4.263349142646474021e+00 1.683556374311646620e-01
8.628814642285103087e-01 3.548143557647286617e+00 4.291028379017875594e+00 1.629193298391713174e-01
1.824995305298982018e+00 4.673851221712645554e+00 4.269733520361527646e+00 1.225776689244882228e-01
1.151582313167710314e+00 4.650090081453762458e+00 4.232143039108113847e+00 1.132829591643217254e-01
1.406479779330688462e+00 4.068680131571436043e+00 4.365568145308786008e+00 2.172063619077956309e-01
7.312162237826504985e-01 4.457344650825984189e+00 4.113616961008614403e+00 1.489681284530798844e-01
9.292246299525602771e-01 5.357517218767631206e+00 4.107384995067609346e+00 3.459393120183074655e-01
1.385554977428205881e+00 4.774522490914893780e+00 4.390197970773339620e+00 1.897716352375085624e-01
1.306885322760988011e+00 2.863956815812767509e+00 4.414893914843483813e+00 8.015185569874061500e-02
1.580542954001677991e+00 3.800961707949972901e+00 4.413794584628235818e+00 2.450938142983433710e-01
8.845775228093821774e-01 6.899124920912982795e+00 4.146206962736728840e+00 1.901527231568137244e-01
1.315666383473868217e+00 6.947093969680425474e+00 4.488804795540470849e+00 4.548107258420960308e-01
