# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.472221553392777826e+00 5.380127611977350455e+00 3.621372458857111454e+00 1.119025830227909774e-01
1.494612927553677695e+00 9.777936802901654900e+00 3.452958701617766302e+00 7.792245354206611685e-02
1.128040890964798537e+00 6.315429786973455251e+00 3.395475406521375472e+00 5.946871068202722044e-02
1.406520763923949424e+00 6.372604786348127881e+00 3.634840701664471041e+00 1.377446432008547217e-01
9.930157475495944297e-01 7.171000536660406155e+00 3.589214558887851236e+00 2.673434291092307569e-01
9.776219254580488238e-01 6.078681785495106737e+00 3.414589159594721757e+00 1.460803328065885531e-01
1.011040117569256269e+00 6.733767195983724640e+00 3.327569486750931560e+00 8.101948418776508398e-02
1.096202317324643571e+00 4.582941572590876866e+00 3.351163504524014680e+00 8.970568346078280908e-02
1.123754772695279458e+00 4.567192162348669981e+00 3.329553289823668827e+00 1.785934334694949666e-01
1.244510034737017490e+00 7.299186936238759138e+00 3.340964168696546110e+00 2.535405192042503586e-01
1.296786789831924525e+00 8.034598061003521252e+00 3.520450541236464392e+00 1.128290576279894070e-01
1.214208385250839850e+00 8.751158428724311378e+00 3.405997456357412911e+00 5.060980429478437181e-02
1.245998580361690422e+00 6.579912715085121100e+00 3.406080282915122659e+00 3.308578990623017163e-02
1.110189321271813467e+00 4.688705307950110424e+00 3.509721439581302338e+00 1.054811354725665590e-01
1.451555653594887474e+00 6.257900097338308321e+00 3.544939779965366800e+00 1.283848082464781604e-01
1.277733322228884250e+00 3.646629604836955085e+00 3.477115671960111953e+00 1.165623415781175815e-01
1.198914418882036870e+00 6.750941688760184967e+00 3.496576733352445121e+00 1.737525962701679805e-01
1.144187413587328006e+00 8.313832062728081951e+00 3.506991724701412849e+00 1.259949350923716682e-01
1.563853163887237274e+00 6.889084528216873338e+00 3.474437645027548704e+00 2.027871411396331425e-01
1.185177845565317911e+00 4.428833975702815451e+00 3.534213079285527748e+00 8.563184462547229758e-02
1.233738132040655078e+00 6.317869966208093047e+00 3.389074909295989091e+00 1.728374026088377313e-01
1.074426592511354972e+00 6.110343292599355713e+00 3.365277134996431219e+00 6.670770085428451290e-02
1.773255455334501018e+00 4.070594874396685547e+00 3.369016292741278118e+00 1.433810269480637056e-01
1.206814687100729477e+00 6.465410535655141899e+00 3.353621968519365559e+00 2.933205925135051045e-02
8.489189495081757020e-01 8.479928134821772545e+00 3.471172208021412242e+00 1.081044024625569672e-01
1.088203700606717117e+00 6.852687651646772515e+00 3.434255495414627379e+00 7.810412163059968216e-02
1.135215257319873716e+00 6.007888804094479340e+00 3.470704469718833174e+00 6.079316640904391944e-02
1.182341357562035844e+00 5.334161323664857512e+00 3.491474091420246229e+00 1.945372144461643693e-01
1.188704855605847710e+00 6.033496152653937905e+00 3.351005253484207191e+00 9.645344102497931116e-02
1.219009105947474580e+00 6.287355311502489386e+00 3.342889711054802593e+00 1.485258261835996629e-01
1.348464947912602296e+00 6.059402313207453261e+00 3.558585945949149121e+00 1.196421533302035878e-01
1.190001923091546843e+00 3.644676904802235384e+00 3.453207990823058626e+00 1.199638105939968974e-01
2.184186351700299511e+00 4.363850518235791398e+00 3.437923835734236544e+00 1.557185249794570403e-01
9.180306704169775012e-01 4.589088411455403360e+00 3.461005966524488553e+00 9.199504906692015926e-02
8.912351563007140376e-01 3.975705139377750275e+00 3.468248741998262830e+00 1.660780972992884630e-01
1.132277007748139663e+00 1.598926705277844107e+01 3.394832176994913908e+00 4.041093772122104910e-02
1.104600731294248517e+00 2.667418720216505612e+00 3.481168707322260136e+00 8.792123056635357814e-02
1.471254307907581049e+00 4.508632113292368793e+00 3.466230481647494255e+00 1.227016581941919315e-01
9.224673412021009433e-01 8.393363730716835391e+00 3.344522727424986464e+00 2.503699300711188097e-02
1.237801959878429336e+00 4.998744313415109275e+00 3.250051119253119403e+00 1.742934734259247997e-01
1.176906034810353274e+00 9.753778555092294411e+00 3.432976797210141484e+00 2.159133432897537008e-01
1.182404417835574151e+00 5.856243474164888774e+00 3.324868137114207478e+00 1.924273897708275172e-01
9.765687936094997745e-01 5.290836281200943958e+00 3.391925134585937585e+00 1.548191775498784228e-01
1.009267722598558015e+00 8.056442073096611978e+00 3.775940198620931110e+00 1.591081370951394347e-01
8.205499562624574139e-01 2.946676832002474100e+00 3.688153858683860697e+00 1.670747745514087890e-01
9.848293515108901275e-01 6.839054680020312027e+00 3.460755896494531303e+00 6.513830036993387140e-02
1.089886717142025674e+00 8.020463985524228789e+00 3.483608183630418687e+00 6.706557990296929672e-02
1.579072966891529983e+00 4.977113310683695779e+00 3.703778253269251142e+00 2.280719854328262797e-01
1.249446279586382769e+00 8.208442776431830623e+00 3.431360101894492587e+00 1.198640001133896571e-01
1.321078594934024020e+00 6.054089678842003330e+00 3.446323661949195039e+00 4.906025986334659056e-02
1.237930277739197837e+00 5.248350685364581381e+00 3.410741793066548677e+00 4.523421276599651208e-02
1.424599268211006020e+00 9.427191551417749338e+00 3.512693827557253456e+00 7.608177139962953028e-02
9.213532737208587342e-01 4.131567606032361617e+00 3.436687843159179412e+00 6.536462436709959689e-02
8.988980431986380859e-01 4.030854927976387891e+00 3.370429258918446358e+00 9.154551589355874874e-02
1.523972315452460036e+00 6.275778681101445322e+00 3.507434877402523021e+00 6.803882400978789047e-02
1.189645504871728265e+00 8.694501061428173472e+00 3.358108062950730055e+00 1.060588138079746751e-01
1.059407509266427683e+00 6.447342588484678672e+00 3.378789934747741697e+00 8.971963955752502995e-02
1.275118364525757775e+00 5.810630810361555376e+00 3.466644546102163549e+00 8.052054032586108967e-02
1.358273520339909224e+00 6.031833803549834450e+00 3.233041660093698422e+00 9.466086532599925218e-02
9.118774580968193044e-01 6.865735104021761792e+00 3.388691988935824906e+00 2.566811507842696738e-01
1.254311647966608323e+00 6.005365020362847694e+00 3.544013918648674100e+00 2.286917798054997064e-01
1.210986105641438826e+00 5.324008521730800858e+00 3.479092957307212242e+00 1.917964043633187121e-01
1.172693211324207008e+00 5.533468289233779203e+00 3.667263006668685321e+00 1.483085769017158106e-01
9.669470476120961555e-01 1.063423604408637502e+01 3.087262584896932172e+00 2.117379510975813117e-01
8.963123624915134702e-01 7.306996866761664933e+00 3.380281085346899861e+00 1.608111783761476121e-01
1.668019498686717395e+00 5.980933496289492446e+00 3.384653370637753511e+00 1.036610861227137831e-01
1.182633114135207553e+00 1.075652705849301505e+01 3.456381289198978912e+00 1.005376338404997683e-01
1.087316106652872483e+00 4.734138959758009690e+00 3.300819108797987678e+00 3.133694541022813418e-01
1.072037451008291509e+00 2.782350088164956325e+00 3.413454231108848269e+00 3.955862874534961382e-02
1.267160382822862807e+00 5.461177546932760585e+00 3.267806734165826565e+00 2.413281500981510619e-01
1.146905586729910942e+00 7.238148190060583076e+00 3.063887898123454967e+00 2.828373760580850105e-01
1.245617481846643892e+00 6.915540832310282049e+00 3.423631051571295547e+00 1.065741767025249614e-01
1.546973271994916521e+00 5.112121575780090410e+00 3.272485718462005089e+00 1.423275040530180835e-01
1.031345957519118395e+00 6.982433664412662999e+00 3.439824070418046720e+00 1.506263506375757621e-01
1.321277366321688351e+00 4.638446790161780520e+00 3.296356067560834546e+00 9.292319827709705216e-02
1.355631849837852787e+00 6.396847014486766625e+00 3.572768035505745399e+00 1.694029467916262355e-01
1.141562194257799145e+00 4.922295341724688633e+00 3.321686691634888167e+00 5.639788602534628187e-02
1.465966993220589432e+00 7.249317314263704404e+00 3.381884369900339582e+00 1.608371268801964127e-01
8.551161684784139849e-01 5.376567093528185737e+00 3.647259658211578603e+00 4.035606012158203804e-01
1.754057179553827117e+00 4.783938019200568270e+00 3.350378459600194869e+00 1.861425813951695929e-01
1.177441945503638676e+00 8.950388927722448429e+00 3.393841219011493937e+00 1.849372191144219579e-01
