# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
2.049244659746011887e+00 5.549811791096467495e+00 3.193174273236967231e+00 1.377931909909791419e-01
1.796834374234729470e+00 4.659298971837868564e+00 3.369401187826021271e+00 7.985886733054924080e-02
1.681551924622904925e+00 6.241979166403176293e+00 3.138030014321771421e+00 2.934647083005671453e-01
1.775722323502750388e+00 3.754476489105563974e+00 3.257317207208332732e+00 6.283986060547980257e-02
2.299991835929094286e+00 4.408041409605860217e+00 3.367898690003837014e+00 5.907790047516552068e-02
1.904336067417791600e+00 8.783531236461799452e+00 3.044328941405539890e+00 1.821872018573423568e-01
2.065407952175559725e+00 7.775128448712052887e+00 3.186312137594247584e+00 9.139691021514052827e-02
2.050040683837499156e+00 5.060467483847276959e+00 3.386531017584687664e+00 1.304951654879557277e-01
1.896394119699316150e+00 4.735333185967841807e+00 3.329743779294194628e+00 9.164028740174318122e-02
1.704156955408286267e+00 5.932660732063226305e+00 3.122500346345772559e+00 1.173548086120706491e-01
1.685224557040887028e+00 5.661171395188921984e+00 3.079876788074392024e+00 1.307592695916586500e-01
2.471311600275136744e+00 8.730284879949556043e+00 3.257492470819197461e+00 4.637253663570405082e-02
2.248175813672624201e+00 5.991114915458302548e+00 3.272174632648115811e+00 1.318328684846647170e-01
1.360602506711800608e+00 5.762603532457999833e+00 2.994078297468229621e+00 8.695705152578528385e-02
1.421415496505347598e+00 6.790498099802453780e+00 3.280315826593706685e+00 1.308181219695085384e-01
3.470418461919354769e+00 3.537367042510199511e+00 3.353715462977019168e+00 1.881555822096419028e-01
2.685894311270794699e+00 4.240499370776824151e+00 3.202488549083354563e+00 6.976873274461113661e-02
2.096464860656604312e+00 8.276846047340713497e+00 3.203107570733255027e+00 9.094943065661910409e-02
3.233417489464690320e+00 4.835568605120563745e+00 3.285978886085183515e+00 7.712735532086081869e-02
2.156118804230741315e+00 5.042638181781719631e+00 3.257756071909147622e+00 2.501248171776734863e-02
2.792521901381405325e+00 3.346032120451257086e+00 3.122921027998996735e+00 1.917303841658801189e-01
2.363931159559166328e+00 3.349030428797055148e+00 3.490887423696314329e+00 8.517389391256946496e-02
2.235040173927927754e+00 6.744921803773325841e+00 3.331019638031008867e+00 3.033961939965224563e-01
2.670283301388630459e+00 6.821256270887606554e+00 3.417576224300149068e+00 1.848296437469732767e-01
1.777466245528969813e+00 5.360246222552519590e+00 3.175335960038327077e+00 1.740631259660060659e-01
2.312098571857519325e+00 7.976409624274639398e+00 3.623616849659467842e+00 1.528668901227289156e-01
2.453894422204500270e+00 4.035175103278244357e+00 3.314344292106128798e+00 6.204004163020837570e-02
1.310534085144669847e+00 8.602475212691507167e+00 3.133805242210839559e+00 7.631708318690991200e-02
1.698582350391741436e+00 5.855435300014979028e+00 3.343500390446951798e+00 9.378377698479370417e-02
1.999004181007132841e+00 3.085426914863935721e+00 3.285147378467026869e+00 1.307513818041505793e-01
2.047836007613199616e+00 1.135312169068292221e+01 3.444173436325346671e+00 1.728606911459066864e-01
2.223799733458605044e+00 6.146870968504728694e+00 3.321333712091774970e+00 6.745573885258585034e-02
1.616447252615206720e+00 3.864077964906527995e+00 3.304061532986036998e+00 1.006161390501379704e-01
2.974614324512774299e+00 4.930713585947660960e+00 3.170937069670697550e+00 9.574744448598301871e-02
2.113843501566071037e+00 5.105093476277168030e+00 3.337551342233290530e+00 1.268132276242869561e-01
2.102654915389491563e+00 4.711091596360786227e+00 2.941852371850981474e+00 3.071472661782049807e-01
2.035000163244682359e+00 5.846034867218556919e+00 3.241805110195421946e+00 7.729549098699257936e-02
1.419829140309867288e+00 4.922208848663165881e+00 3.205964293430531242e+00 7.439770362680776794e-02
1.699194690360541271e+00 2.991881368176231959e+00 3.303681841273778286e+00 1.563219074133674613e-01
2.028586265111095965e+00 8.996311901267670663e+00 3.316952498343039402e+00 7.496782681288227668e-02
1.933658839868111601e+00 6.758071526831745501e+00 3.286870716911165058e+00 1.008781669586957530e-01
1.370371233982622838e+00 8.949238470645829224e+00 3.176934735896737916e+00 1.693968963799065142e-01
2.398902040920661172e+00 4.897130353583390772e+00 3.293490111782599872e+00 1.392001884232896558e-01
2.701613699355910558e+00 6.694866362384933822e+00 3.260751474829814089e+00 4.639592060235871174e-02
1.730557534714809664e+00 5.095522803283972557e+00 2.839947970503645891e+00 3.538156821861049850e-01
1.486830607019243633e+00 3.215164477192415937e+00 3.166427403249751915e+00 1.264395730574650323e-01
1.729356084760824253e+00 3.131285492774805945e+00 3.059454709760352387e+00 2.318154171298206778e-01
2.311158500052426845e+00 3.927181813989029990e+00 3.180070431580003465e+00 5.868767121553955524e-02
2.699049350702807271e+00 7.154308851985255124e+00 3.233571507080454044e+00 1.948404424702953053e-01
1.847449864484405957e+00 4.853005277398704465e+00 3.250592494194603166e+00 9.166398247735073335e-02
2.287758940089174242e+00 6.686362973029863710e+00 3.501821372484235972e+00 1.419188574674018488e-01
2.160541446035892044e+00 7.990281045619008538e+00 3.212062255171284075e+00 7.227851848811037150e-02
2.130286039889345506e+00 1.142343259210560902e+01 3.322226881883931782e+00 7.493422540201218063e-02
2.086368083155869080e+00 5.710454679298765157e+00 3.388907405269996342e+00 6.937140693111609746e-02
2.454831440114445762e+00 5.576431641515583237e+00 3.337813830966397166e+00 3.138779898025276238e-02
1.607114417336641621e+00 4.403835393694167877e+00 3.137843119557091498e+00 1.552841671656083888e-01
1.828214430748155150e+00 4.955247406839673019e+00 3.257959617153501242e+00 7.928493872141156862e-02
2.690543448059774523e+00 7.308729513978200920e+00 3.262018379383925470e+00 1.452888209698624256e-01
1.021284918345110926e+00 2.811605275589304842e+00 3.118985876196274987e+00 9.461522599055102734e-02
1.835412249835822296e+00 3.780066622471005999e+00 3.168549005277635278e+00 9.480119054673898094e-02
1.906645325140996938e+00 9.725636977897810453e+00 3.308157901294295655e+00 8.579850221323009896e-02
1.892897746651990509e+00 5.195968248640774334e+00 3.383968673044954745e+00 1.141564187285363519e-01
1.931541091862418069e+00 6.684671233414325009e+00 3.325248543273874091e+00 1.242804242067184900e-01
1.514475513478874547e+00 5.582341368831313488e+00 3.289527035910680297e+00 9.007819674402975374e-02
1.986393701828822911e+00 5.209538240634993933e+00 3.305681866614087472e+00 1.033375988902007769e-01
1.555379844944053902e+00 2.896210380811059970e+00 3.117269982382216309e+00 2.339728547763185451e-01
2.667668228038793998e+00 5.132162044810837820e+00 3.313042871268532252e+00 6.987780470546603451e-02
2.032677441017665565e+00 9.512413115185109902e+00 3.293120270234111135e+00 1.474304445848500233e-01
2.465531380085874247e+00 6.261955600191867255e+00 3.181273417595547492e+00 5.073699489228457316e-02
1.416470995485582529e+00 5.303481290643622614e+00 3.204471372229681592e+00 2.079519346885869424e-01
1.798710033600589453e+00 4.830470244454280859e+00 3.413195205443054991e+00 1.309980005213577103e-01
1.301885885510731589e+00 3.736079770744915596e+00 3.265724394359593941e+00 8.992656718611199973e-02
1.512694643430740227e+00 8.636814181716484740e+00 3.071498679819359090e+00 6.908164012645226504e-02
1.871425870831373572e+00 8.118254694599558619e+00 3.011224017575885537e+00 1.759646319358146582e-01
1.791173585364166598e+00 8.542397538215601216e+00 3.241033502217844475e+00 8.581484898914693016e-02
1.729934402499201607e+00 4.500445554637056311e+00 3.178386457437707424e+00 3.704092205412535393e-02
2.633362063362683525e+00 4.806463503357292666e+00 3.253602554187460250e+00 5.113931404268041991e-02
1.430328014801752534e+00 6.422335399035489445e+00 3.560447232906673420e+00 3.293183373872425879e-01
2.445641606560796877e+00 5.007242059197421824e+00 3.265951738183614506e+00 5.653968703515105387e-02
1.423775775745640404e+00 3.322979632097786684e+00 2.938549347410080337e+00 2.053917498361777783e-01
1.885125463215003183e+00 6.195017193893182395e+00 3.298809472151860156e+00 8.837003732523363020e-02
1.267010175367420555e+00 8.280879263205431329e+00 2.993363076923774457e+00 1.848203926348446213e-01
1.676218716752019500e+00 6.799664408379743286e+00 3.252489094674309467e+00 1.911847867964469594e-01
1.643418057335653826e+00 4.001445606969324054e+00 3.128633398189577530e+00 8.349576650529112742e-02
1.974861306732241584e+00 3.918736574757689439e+00 3.108157263222586231e+00 1.006478378059789680e-01
2.220061291322607655e+00 5.705885194290406304e+00 3.242265337165228356e+00 1.346419696025827895e-01
1.338799821691868397e+00 7.022480639013092052e+00 3.313976930954293909e+00 2.043925315987704106e-01
2.212059664634819178e+00 1.024978432454936694e+01 3.304973377543579893e+00 2.937517960692400190e-02
1.244623494041863010e+00 4.021436218141342778e+00 2.959327105465266339e+00 1.298845363920824170e-01
1.081972152171844392e+00 4.317111120219889742e+00 3.200327294089987173e+00 1.378632808519836273e-01
2.284902866400367216e+00 3.708625092839607174e+00 3.370919938487671796e+00 1.002822077706546078e-01
2.162603747752736005e+00 5.048586635235402298e+00 3.081812416752065076e+00 2.604402571751904261e-01
1.559645819569403180e+00 5.921165489853747133e+00 2.979181856465065614e+00 1.356486261240107960e-01
1.881190916703189053e+00 4.642266261989104414e+00 3.260105929753224885e+00 2.773846330991968159e-02
1.629402210074450741e+00 3.783188667704063146e+00 3.091597543919036184e+00 7.082615121733852603e-02
1.990457255519844537e+00 3.859826452527033602e+00 3.213367745767229611e+00 3.584011786372988395e-02
1.615050377192070119e+00 5.208698297538269628e+00 3.116198204018494788e+00 7.172890123765621184e-02
2.314663380049615249e+00 1.295561746902998834e+01 3.235381517583119315e+00 5.745835775312392590e-02
2.034988116560612958e+00 1.539386221151432999e+01 3.292603658448624238e+00 2.276431181516744839e-01
1.818813057758646101e+00 6.508687806022509292e+00 3.265075102630357051e+00 1.164399703198224084e-01
1.886479813231870306e+00 6.665947353340634152e+00 3.059019884067696982e+00 2.175972721430572410e-01
1.733907164646348198e+00 8.189729499134578816e+00 3.260120266772387421e+00 5.298532127896974503e-02
2.706730916340273296e+00 4.988651104797565239e+00 3.190586819094878734e+00 3.576420742703766420e-01
1.317236128298293174e+00 2.918332202177130519e+00 3.316509036159232426e+00 1.328435018704772763e-01
1.911665296604732056e+00 6.609207314599247596e+00 3.199489822442386444e+00 5.583623971211194859e-02
2.343550584360996503e+00 3.940884584566962889e+00 3.090834933546608987e+00 3.111960098793832286e-01
2.296298780389396388e+00 6.437034648174457807e+00 3.261885562715429288e+00 1.816586814132958583e-01
1.868141540199309336e+00 2.886671375123853522e+00 3.420523165096469143e+00 2.478247958703727050e-01
2.257643601304983871e+00 1.073899227187270178e+01 3.369115894011295520e+00 9.561646012512457771e-02
2.061071099684902208e+00 8.151654497082398976e+00 3.698978257826823324e+00 2.928548445279794965e-01
1.507015873666518013e+00 6.299042606435940606e+00 3.467632773485467723e+00 1.120481397349605002e-01
1.752576456722574116e+00 5.802952201734081328e+00 3.375520607934923145e+00 1.892832975037796461e-01
2.431834592781670690e+00 4.238129776088443101e+00 3.321347586609882718e+00 6.749469377567897388e-02
2.054071238916321374e+00 1.218074977348406307e+01 3.268576267416136716e+00 3.660666058617943752e-02
1.655186668632843361e+00 5.437877792663718957e+00 3.099178648575397155e+00 6.815624144593379619e-02
1.542964741784977889e+00 3.405729436750638772e+00 2.995312000560033550e+00 2.739256898318866429e-01
1.941805842598330889e+00 6.195846291576156517e+00 3.145557835783320044e+00 1.026049343413208137e-01
2.319369548198951136e+00 6.294248938743120192e+00 3.211497297041507437e+00 4.619173334304310652e-02
1.579357157924474730e+00 5.082098745019527186e+00 3.119466686274429357e+00 1.066775378205589708e-01
1.776044202286758189e+00 5.396277467423133523e+00 3.291250850946822570e+00 6.831914134774909331e-02
2.010528926294720353e+00 8.718101171119224446e+00 2.982462399704230105e+00 1.974696534735507214e-01
1.793611698911687480e+00 5.232230564575456100e+00 3.361500198415739771e+00 1.530732622631797157e-01
1.621674340885560062e+00 5.488096358620520476e+00 3.317868921529977033e+00 1.519562740581986704e-01
1.557354138831851476e+00 8.370890989731361032e+00 3.168943201512631980e+00 9.135457900853777291e-02
2.225400990361129150e+00 1.477218414703389371e+01 3.093479563782997488e+00 9.623003796817926336e-02
1.565046957201396083e+00 2.644536809727325632e+00 3.218901405090298873e+00 1.720160167246499450e-01
1.384483506418485499e+00 4.147535682211793251e+00 3.300961117207773299e+00 6.486035247651801561e-02
2.946946767796000177e+00 4.631879411241494715e+00 3.340570739629419972e+00 5.487306746619031311e-02
2.051375649060870110e+00 9.534246109295498428e+00 3.281387422999526127e+00 3.033523067012828395e-02
2.291901056855069729e+00 8.169218130422587265e+00 3.234452200135934152e+00 1.063813288606971080e-01
3.577654977708323081e+00 5.567634602976799130e+00 3.418272111442649308e+00 1.668574518337628543e-01
2.178427162917633275e+00 1.119734164026722212e+01 3.281312288332954186e+00 1.741884724611994506e-01
2.094648196754044900e+00 8.246146781672987203e+00 3.119552814140126529e+00 1.397824687567743585e-01
1.747260266738595913e+00 5.645596965176356896e+00 3.157075617377927745e+00 8.377472992238618743e-02
1.845890286073848197e+00 7.287180603673288459e+00 3.175296292722040725e+00 5.227088908062372391e-02
1.207757174341554496e+00 2.442362881750201886e+00 3.406969565160357760e+00 2.378898943841576963e-01
