# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
7.251517357628248783e-01 4.593105811456180021e+00 4.008890163101201942e+00 6.639395009907353429e-02
8.637870963868891083e-01 4.569487791534195154e+00 3.997810656344888969e+00 7.687965186929365813e-02
7.436564574969970476e-01 7.673077279417287677e+00 3.919910916844031146e+00 1.567389780313746539e-01
7.067384829844625127e-01 4.351525473744249695e+00 3.975325364399195038e+00 4.829994211589713760e-02
8.182697305675140642e-01 6.880637836420465447e+00 3.998777807238218518e+00 1.128232613487741148e-01
7.274828472599749185e-01 7.921549629253004987e+00 4.110966180665047709e+00 8.464191099542212049e-02
5.682253098411126357e-01 7.743379807403571569e+00 4.002431925119735112e+00 4.883552998866202283e-02
7.517176550288859893e-01 1.330581495054663321e+01 3.927965256236592317e+00 3.656210591525986542e-02
8.763634195875366073e-01 4.761796357624365150e+00 4.011439813268952825e+00 1.080126248399829181e-01
8.519217066368326430e-01 5.302319897302530727e+00 3.892327517671470893e+00 1.360191182027411794e-01
6.904077572372495641e-01 4.834603194243411117e+00 4.108029231292682937e+00 3.210758675329443146e-01
6.042453628095580953e-01 6.513210362234766571e+00 4.215023827029353853e+00 1.412578783944124505e-01
5.910679895957025032e-01 1.121043025417798056e+01 4.053192606291469602e+00 9.221905162631394148e-02
6.772789010292536993e-01 6.571434064544288134e+00 4.112708696434725475e+00 2.475816498722109293e-01
7.152789792813448733e-01 6.431077370745415855e+00 4.316691618737648284e+00 1.374592891168120445e-01
6.046799918313746636e-01 5.053988029603592835e+00 4.201550954145462313e+00 1.503199973497015840e-01
6.590116702091165513e-01 8.792279416014052273e+00 3.957453528864709913e+00 6.861111062887957635e-02
7.704024914931277834e-01 4.440518140297506022e+00 4.113561223216724017e+00 7.706889033920684418e-02
5.749285563007393574e-01 4.375694947458340422e+00 4.180762091806007774e+00 9.874344546348870488e-02
6.612225291208433386e-01 4.968729556048858242e+00 4.042329876432281921e+00 1.747557660766057008e-01
6.458646201270566989e-01 1.297329497983244551e+01 4.028502341662282049e+00 1.139980158976626190e-01
6.496422385492280904e-01 2.791774054729258214e+00 4.160508520275948641e+00 1.061186384884825751e-01
6.627378325789274882e-01 2.764141029317245923e+00 4.040130005327243978e+00 1.829819755837796547e-01
5.323557297143237665e-01 5.302870982277197776e+00 4.122459602807232670e+00 1.195518993073875907e-01
7.506414137372895423e-01 6.927797666514719843e+00 4.076262364236135305e+00 4.356636018400469879e-02
8.292457711015261967e-01 2.963126494612584594e+00 3.784257393130876501e+00 1.319866447934223419e-01
7.646921289121209053e-01 6.552449927981764510e+00 3.861408412703597470e+00 1.477720809544940672e-01
7.616497266806214750e-01 6.502930304512079651e+00 4.232740656028362025e+00 8.563715944749827891e-02
5.974282872517214793e-01 5.279742576610209959e+00 4.064828250705633472e+00 8.998698330369156451e-02
7.140483395850998338e-01 4.934853386693271560e+00 4.143828205595474934e+00 1.040388026566331503e-01
7.764823527303462702e-01 8.293877368311651566e+00 3.918823591786972038e+00 2.355973477351314682e-01
5.806707403095876519e-01 1.169748728202065458e+01 3.959042257815118315e+00 9.469262048834958811e-02
6.327276052462305067e-01 9.014259064671900745e+00 3.959291354117360662e+00 1.636281607501160681e-02
7.677651873349282674e-01 5.103428626206044427e+00 4.135236939621893093e+00 5.479377449938808986e-02
6.238160647007030546e-01 8.880264192352329999e+00 4.013812739792765427e+00 7.946724609894603719e-02
6.652161120509055836e-01 5.890544898274258756e+00 4.007294834083558577e+00 1.033748532897598021e-01
6.767589004556777699e-01 1.386030510688942385e+01 4.335015994226163016e+00 2.100585688172759979e-01
7.182281991608239213e-01 6.896264115372491510e+00 3.915357790505609614e+00 5.543804300684153363e-02
7.830716360145943966e-01 5.843564263443920659e+00 3.993163385992057002e+00 1.135618958754858882e-01
6.349810874472405775e-01 9.372173356574243996e+00 3.960395730217684207e+00 1.047850417524442690e-01
5.203682386515918745e-01 5.999319988910728263e+00 3.859928166048656184e+00 1.626546911883006707e-01
7.450529203649325360e-01 5.039776864811591928e+00 4.001499472278498004e+00 1.691943656318029010e-01
6.164159134844315879e-01 4.309621919804119017e+00 3.979921392678325454e+00 9.323534888879704552e-02
4.904696459180583057e-01 7.818042471170698171e+00 3.983488641405271924e+00 1.323774426716672059e-01
9.041345150379603846e-01 5.556343186523539757e+00 4.069199836382519919e+00 7.798638464366544620e-02
8.316574999212198449e-01 4.943107752099303198e+00 3.905759984447367827e+00 5.200431893694507091e-02
6.946850237598276578e-01 7.003757875032841085e+00 4.222179541029357885e+00 8.288186517274503951e-02
6.798012103153158181e-01 7.897205822871417702e+00 4.053537375599145953e+00 6.912825453535029196e-02
8.906180237892095120e-01 5.699873102128524494e+00 3.723498833775364503e+00 2.434254223387856408e-01
6.779251287686618443e-01 7.760793089440564785e+00 3.989953201584246933e+00 9.512967376520808926e-02
6.686312730238437307e-01 8.295605659386874109e+00 3.680539391911550773e+00 2.445030465737786651e-01
6.234290335995262833e-01 5.071776236836832652e+00 4.039354315065804890e+00 2.876773059295593959e-02
7.663749306985088161e-01 6.101791777144789819e+00 3.897250050664272436e+00 1.774329634619864760e-01
7.002099962642412967e-01 5.045959613641281649e+00 3.981147530629442155e+00 9.422717110579820199e-02
