# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.516949757814145094e+00 9.947042278834880236e+00 4.239528691899199231e+00 2.167215869680579332e-01
1.502581884099874143e+00 3.964112895068656606e+00 4.519043516209271694e+00 1.060775999404739711e-01
1.763415864102220842e+00 6.617817043282068212e+00 4.825889572966002738e+00 1.798044602579722817e-01
1.617451437361600242e+00 5.248355374617548641e+00 4.714048011635907365e+00 9.928490933106885741e-02
1.772269482177361244e+00 4.835778611471103439e+00 4.353555323424376233e+00 2.047953827003063387e-01
1.396702455561851908e+00 1.008782976177626978e+01 4.507149428336910901e+00 1.763975401280305222e-01
1.449461320543770304e+00 7.597793907007162062e+00 4.131566264167025437e+00 3.554191644322560739e-01
1.870250247466216154e+00 5.513502863842393076e+00 4.612896490094179569e+00 1.234593464470583185e-01
1.468028618999347223e+00 4.199980981544486625e+00 4.277284870880030176e+00 2.030866022636317880e-01
1.353416584739983719e+00 3.876990323075839129e+00 4.748651849919775181e+00 1.063361104647061461e-01
1.206859072152478785e+00 4.366119157294162889e+00 4.539135490525644023e+00 1.676585042377271018e-01
1.478262222888776289e+00 9.208356364815532658e+00 4.362563079212709027e+00 2.066291549857150467e-01
2.134821024047247828e+00 4.531123315184521161e+00 4.723230445258123744e+00 3.321867882385901583e-01
1.564187627261475422e+00 3.548912016188510155e+00 4.631324485688391057e+00 8.178497132189804786e-02
2.075736000220565813e+00 4.344224379313272877e+00 4.606279087114590887e+00 8.588459786758988190e-02
1.066752541769192542e+00 8.245835446213130027e+00 4.204019042672566542e+00 4.238842594595272906e-01
1.604109548256503759e+00 1.336628541492385125e+01 4.551712277256790173e+00 7.117286968783467782e-02
1.386044497468567727e+00 5.634603878527568277e+00 5.011177602825047650e+00 2.620101155642068358e-01
2.158582507400256922e+00 6.037283578208679558e+00 4.588708308892264220e+00 1.395243487685270956e-01
1.311447747511850004e+00 5.940085433497429790e+00 4.762630269473888234e+00 1.815503538283688156e-01
1.063749734808741021e+00 3.529481416332139077e+00 4.430241359093733067e+00 4.961204694330554471e-02
1.974245916676233836e+00 9.181131967684397210e+00 4.754000925237261477e+00 1.828336854150748314e-01
1.952587428425554883e+00 1.119604466381334973e+01 4.550506032057791472e+00 2.854647801631673421e-01
2.005819546159509414e+00 5.947282084343504138e+00 4.759852977735301138e+00 1.176103093895019269e-01
1.977526677728345117e+00 8.171734324561475304e+00 4.723755339935457265e+00 1.396391416534239482e-01
1.552813020754697737e+00 1.025361546447309102e+01 4.421973535521193988e+00 4.876474468690122910e-02
1.445487750056476006e+00 4.618609591403202153e+00 4.536897747568282568e+00 3.088560765480572456e-01
1.515367185306547348e+00 8.927050303588902835e+00 4.541539693573724890e+00 2.985236558965622677e-01
1.274544059286809139e+00 9.040540032977840923e+00 4.909282769412746994e+00 4.844319779481272015e-01
2.519214528599644343e+00 1.451264410886447820e+01 4.715848000734697898e+00 7.711035526551673902e-02
1.674536886807716618e+00 8.137723348408879787e+00 4.774474145241136114e+00 1.624124925467188563e-01
2.436476747025526191e+00 8.959677634343373498e+00 4.710705730498484733e+00 1.744532454146970613e-01
1.656031839448379728e+00 3.770567494737589787e+00 4.340422906064000941e+00 5.852601226305658155e-01
1.239511641147988064e+00 4.482928333730976433e+00 4.439551451739453647e+00 4.344821472585960187e-01
1.561233377911099396e+00 8.711179370795514743e+00 4.325108816319733762e+00 3.447468266684785010e-01
