# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
4.400028074574186654e+00 8.047578330779511901e+00 4.185461160938419134e+00 2.733795359113746493e-01
3.827029142978458864e+00 6.256705050775026145e+00 4.405263906725809697e+00 2.678861043655481611e-01
4.367366374242921623e+00 7.092218900870612686e+00 3.397059189404790569e+00 3.212760914964673531e-01
3.598722703101576936e+00 5.615299681031027390e+00 3.947226120974152153e+00 4.226844575592708653e-01
3.502600985250823751e+00 4.070804527003155648e+00 4.338282730137060561e+00 7.689420421930016625e-01
5.151390599638260959e+00 3.365087229569986071e+00 2.967261866857636043e+00 3.194537892331045237e-01
3.247361469662146227e+00 5.426040644223687259e+00 3.246846648422129888e+00 2.975556279804265070e-01
4.082629234338383206e+00 5.089897616616733345e+00 3.648976518113630441e+00 3.363618831780733065e-01
3.562472166023139764e+00 3.642677942392416046e+00 4.122454887703702830e+00 1.719487945515159599e-01
3.278690786902399346e+00 2.876800518427382602e+00 4.284609405468589927e+00 2.984448168954511593e-01
4.005684294365232212e+00 4.967458654556433650e+00 4.383117024837825504e+00 2.774523172689388750e-01
4.010208466377398473e+00 5.817260739379156220e+00 3.878484964163115833e+00 3.905376388210023419e-01
2.371357219134019978e+00 2.543938070315097111e+00 3.670933165209532945e+00 5.612540786043413998e-01
2.043753935548113354e+00 4.743170554313218545e+00 3.648131320628217988e+00 4.939274608717463821e-01
4.190243549340072704e+00 8.157649150123008397e+00 4.004281131872269306e+00 2.818426123749239731e-01
3.494226987454684963e+00 5.088939678132250677e+00 3.784231092220915471e+00 2.850774353880147771e-01
3.357769180778850782e+00 3.221302527217493328e+00 4.547135029691463437e+00 4.813174512779392344e-01
2.465234720810102864e+00 4.320902716368697938e+00 2.593256733148781468e+00 5.088299465295587076e-01
4.201739382917804910e+00 4.608289854193166057e+00 3.985896670751331250e+00 5.343721953168386607e-01
1.844743389004749767e+00 5.055903086015195669e+00 2.049154072045848540e+00 5.447423416744064939e-01
