# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
2.047733686077053417e+00 5.162311989193610451e+00 4.484595656581904066e+00 5.285179373532757074e-02
1.492854698460084784e+00 2.273417479941880259e+00 4.555165876743227038e+00 2.599177272310440601e-01
1.276591544416151081e+00 6.112538455253656799e+00 4.298350605450266926e+00 1.751418209022776451e-01
1.910924016663287484e+00 3.866478534782885390e+00 4.489848902007023135e+00 8.075523961583003230e-02
1.129085145816869806e+00 6.141218226189170792e+00 4.243710035675975156e+00 2.881599857221282535e-01
1.573333582217686599e+00 5.679539645042955165e+00 4.482804426789582131e+00 7.976923487211254327e-02
1.236836419874350002e+00 8.936128477513411994e+00 4.511621588366640623e+00 2.723413628731822245e-01
1.927916814863103401e+00 8.802799852365113864e+00 4.400077619044286514e+00 1.778128919461711144e-01
1.670558064167742662e+00 3.657863648074840324e+00 4.862402408363959871e+00 2.446397521621461180e-01
1.851821743184129065e+00 5.404819348410569546e+00 4.507428676749059449e+00 1.997002829502219079e-01
2.005691605857921278e+00 4.937476881793159578e+00 4.595074562296019849e+00 1.938230966044583448e-01
1.832628643845303884e+00 9.694183333086181520e+00 4.580450512448167366e+00 1.534038433364182108e-01
2.033407269860012967e+00 5.628773150942051551e+00 4.522347304776267229e+00 4.726983275601377710e-02
1.951829418187438048e+00 5.399915284977476304e+00 4.552019132401074586e+00 6.802504694208115488e-02
1.665633023751567965e+00 2.988765416056375024e+00 4.529457884278852653e+00 7.100654804844480639e-02
1.947447331048457908e+00 9.967339086619244171e+00 4.640995231392521347e+00 3.940534000093771222e-02
1.413991776737994588e+00 4.587623061898668198e+00 4.550951830485251648e+00 1.558241968609772876e-01
1.694520928758603606e+00 2.363654598896194337e+00 4.396082227916725316e+00 7.727178930874405161e-02
1.836402335497065330e+00 8.432347808281193124e+00 4.579492682749383370e+00 1.796398478167219037e-01
1.753222129805244389e+00 4.565848019606455921e+00 4.436427863390333570e+00 1.913011787927138274e-01
1.813529762494684672e+00 5.424897872897194162e+00 4.504006595956556502e+00 1.026929748294732880e-01
1.754877086191011459e+00 6.145674706327615588e+00 4.526680090751476371e+00 9.307654401601876681e-02
1.211023172677113902e+00 1.242663381795466293e+01 4.200561348731403299e+00 1.590550125194485076e-01
2.041907078309314283e+00 3.384615532710241403e+00 4.603125240143312702e+00 1.475235257134425160e-01
1.618385242334894114e+00 6.070173035444420329e+00 4.447118007705062936e+00 1.869461251283255632e-01
1.953895396110538751e+00 7.647282308864593148e+00 4.388174791160545318e+00 1.640404569168131543e-01
1.872355847689242347e+00 6.913788187957838893e+00 4.426237371475259863e+00 1.827055768882603903e-01
1.632586523069481821e+00 6.697938725819617467e+00 4.550622529770807390e+00 1.190319028753674957e-01
2.010833907240923146e+00 5.002180150748678500e+00 4.414433151829504354e+00 1.463049029376814747e-01
1.354921712324081318e+00 4.696870570142078982e+00 4.517890585518231639e+00 6.760126841346855708e-02
1.432263265140528041e+00 4.131871317837410018e+00 4.325835916790675029e+00 7.871733408609374316e-02
1.287885039140398646e+00 4.392773182082467365e+00 4.301284378630077398e+00 2.067137546734171827e-01
1.906465294247647435e+00 3.889654451625339959e+00 4.548105469596018580e+00 6.759998972268808914e-02
1.897795158954245442e+00 5.590001222023728289e+00 4.399566992085893524e+00 1.019148528513817709e-01
1.501391265427327593e+00 7.749919886120369306e+00 4.403675295515447452e+00 6.917083178642124963e-02
2.143408644462339918e+00 4.075513008294449513e+00 4.551062813575263100e+00 7.746865975960239015e-02
1.061368705894975673e+00 4.220443217727625651e+00 4.532791752472073554e+00 4.164167320840583275e-01
1.861546359797722650e+00 1.046786086865721721e+01 4.742779777746322090e+00 2.844969429959205987e-01
1.755643573997018869e+00 8.953011826559308162e+00 4.431932057072232034e+00 1.709619433882044182e-01
1.838679929159644066e+00 2.832651219825101041e+00 4.419236838419206670e+00 7.666555171713099193e-02
1.493916051260154365e+00 5.131921346419464847e+00 4.642618092436872956e+00 8.974705379291816887e-02
1.662992760115933555e+00 4.775231591696394773e+00 4.627617249787165044e+00 1.118195414430427914e-01
2.416457460748456132e+00 4.031000364762057586e+00 4.825134274676790014e+00 9.413849135712561156e-02
1.571619503699059228e+00 7.087968174326183757e+00 4.614576585975521894e+00 1.364109315177742254e-01
1.381739736228779325e+00 5.696175698291867207e+00 4.351257041859962094e+00 1.619347141704075010e-01
1.685355729210685993e+00 6.667261898587676150e+00 4.812699772746210414e+00 2.245518417554478452e-01
1.815758927490552121e+00 6.135295988733227901e+00 4.719800168328793788e+00 9.229888271882891182e-02
1.730311204875491615e+00 3.755646237602145110e+00 4.555173933243981566e+00 2.550365317208702076e-01
