# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
2.821411123003232380e+00 7.603381339426801944e+00 3.894786615642411576e+00 8.337600123226186766e-02
1.765105339738092027e+00 6.258130599223639123e+00 4.602642231882097867e+00 2.448963354167341677e-01
1.300859083823574514e+00 5.784966305861984459e+00 3.857334910696683661e-01 1.080749043840657786e-01
1.234609425836513452e+00 6.277271171344137812e+00 4.202923180220558663e+00 3.003018832644854808e-01
2.191900807145700014e+00 5.940153301580811451e+00 4.554214780234076443e+00 8.323501648525793994e-02
1.760901139987463893e+00 6.703189812274218617e+00 4.371234393395456941e+00 1.771157842189685638e-01
1.565102258544670333e+00 4.533118131059739930e+00 4.529114797707118001e+00 4.554894001382839286e-02
2.996463006559993758e+00 4.704648093093345196e+00 4.304335011100749675e+00 3.173499068102392240e-01
1.204281632663246393e+00 4.137003551944625102e+00 3.093333434763842149e+00 1.611773647846175550e-01
1.147229872630495473e+00 3.305691233486322211e+00 3.724168702233669137e+00 1.462196263598657953e-01
1.766471486281684156e+00 1.206339514261113166e+01 4.531101865903368164e+00 1.438918598568646456e-01
1.607478108219787760e+00 7.961187491093161483e+00 4.628137717088438130e+00 1.045209040801023392e-01
2.623793977230450380e+00 3.445138271609679670e+00 4.694873332137278865e+00 4.104092904258437313e-01
1.365279015258461959e+00 6.434711634547562120e+00 4.012695264256854522e+00 1.924742939806031727e-01
1.180536942819377932e+00 5.729802359276076729e+00 2.812922679819149785e+00 2.015171601519797351e-01
1.669269736268992999e+00 7.169629244896556841e+00 4.542342357894735727e+00 1.651698608464390594e-01
2.369322835849983377e+00 9.323389094452162240e+00 4.390211723480190287e+00 1.573452208750285852e-01
1.471532372979955872e+00 6.773570949650995487e+00 4.417716758088215734e+00 8.565931125649123290e-02
6.665815672498980327e-01 5.861390041150847274e+00 2.375299952913489498e+00 1.653663998505338073e-01
1.832336162301357430e+00 5.097411484836044337e+00 4.880792787808792887e+00 1.523527182469560648e-01
1.389169821747059386e+00 3.510354504228655692e+00 4.291645802740998050e+00 1.699185516078794422e-01
1.119800758184914313e+00 7.855294704326418298e+00 3.480176894225456508e+00 3.134131478469663334e-01
4.386286295234236854e-01 4.290551663045281572e+00 1.872252053829384977e+00 6.987852787557204126e-02
2.946895500193297490e+00 7.921235482092909841e+00 4.758159081282645531e+00 2.250627312134360625e-01
1.222812557151455426e+00 4.713263604152687414e+00 4.089119388014137435e+00 2.389727283378091371e-01
1.243131852913051727e+00 5.001455029686284526e+00 3.672612143329252898e+00 2.868034232813737594e-01
1.559923360118420366e+00 4.932643208897537157e+00 3.279277404356002901e+00 1.607547034154874765e-01
1.783930206962147214e+00 4.355429838797268971e+00 4.818176196085078189e+00 2.040219869685968024e-01
2.244906361934872585e+00 7.086768940339299050e+00 -3.106697018905748009e-01 2.147264416982920254e-01
1.667939652693519292e+00 3.525880486739719100e+00 4.412334005040360552e+00 7.897339726162809492e-02
1.032572109416677764e+00 5.313059402763521177e+00 4.103262203228016602e+00 1.361809571632091043e-01
1.186744865246656122e+00 3.470573699685608915e+00 4.699160115477711841e+00 1.624000035616924298e-01
1.730148133653952591e+00 9.666472745654152376e+00 4.279116599864345005e+00 1.051986790646762121e-01
1.187296837049775622e+00 7.263617928543118829e+00 4.089684977751264938e+00 5.633716621240723171e-02
1.571448051189337614e+00 5.149656675991168164e+00 3.474088855341384452e+00 1.382806760494902365e-01
1.114409257223428318e+00 5.065837316410600977e+00 4.401699198160252458e+00 1.773812710930139924e-01
1.676344171584133846e+00 6.442095822918705750e+00 4.595913730556421939e+00 1.307011313035266742e-01
1.128459495933891166e+00 6.810784487413514832e+00 3.400633343802401232e+00 3.031472141606889048e-01
9.378710388427367040e-01 8.059010509969068536e+00 4.331768201281685826e+00 1.457599362013290434e-01
2.442643446461814083e+00 8.284756078487781394e+00 4.879736372073113060e+00 6.961649657654078727e-02
1.902880317700949675e+00 7.004216535192369975e+00 4.238071210505431452e+00 2.205881131556724217e-01
2.298697331826248469e+00 7.457374265999769491e+00 4.338523511222536655e+00 2.034474624628373751e-01
2.005199222591255825e+00 3.876529778694224770e+00 4.457256306352493702e+00 1.198325230171600198e-01
1.292365823927330126e+00 4.235978373762166349e+00 4.996512435339293567e+00 1.892874950820109536e-01
1.562985787160482198e+00 8.304906574973911049e+00 4.694118145468759273e+00 3.402826642542181035e-01
1.758576642259696676e+00 7.520458330653208456e+00 2.886080582375253112e+00 6.580591013745444584e-02
1.584796655557861200e+00 8.963974916152448458e+00 4.480489735047095579e+00 1.611905058614984398e-01
2.083930296535732030e+00 7.511559902745593931e+00 4.693795888763010460e+00 5.551060626690106775e-02
1.569857883286438716e+00 6.739411503819656701e+00 4.409315509107527120e+00 2.205480767347338111e-01
1.477658948456351817e+00 5.838736853372903823e+00 3.904767754391742951e+00 8.973512338859174209e-02
1.372049658212606271e+00 7.616656961139333326e+00 4.351712427786590176e+00 7.273989184025055066e-02
2.097198355508335332e+00 7.126898813892110773e+00 4.885799570249385937e+00 9.003991437700915867e-02
1.696421383862080745e+00 3.202230917915377173e+00 4.539874357649912540e+00 5.450466391519742659e-02
1.303868656230388723e+00 2.666355498639849220e+00 4.491667990512225650e+00 2.955950775148084020e-01
7.221701889563929555e-01 4.172710174584185694e+00 2.888609737483553985e+00 7.310052186692317377e-02
2.057738363905252221e+00 4.765877894307067209e+00 4.887633654917826753e+00 7.812429241333529450e-02
1.167333819028567365e+00 2.665028038025038626e+00 4.043243098465662655e+00 1.002727527973049926e-01
2.671123956579289693e+00 6.243209919459214774e+00 4.203473011030940398e+00 2.576916572663832117e-01
1.225198365256825017e+00 4.831562658969254187e+00 4.342411386128991246e+00 3.440809452043862571e-01
2.120385342375595172e+00 4.017187840515938468e+00 4.740601139742220305e+00 1.576360151592161585e-01
2.331100140116618924e+00 7.068010755591046745e+00 4.824251408593066337e+00 1.087862061297120292e-01
1.206882533909402477e+00 4.883007682134127947e+00 6.779380271655243151e-01 9.909380386198143875e-02
1.298297710774101610e+00 3.790845289089399550e+00 4.017028531890618481e+00 9.363014384601177353e-02
2.307131562354970633e+00 5.560376514445870555e+00 5.067866863105932040e+00 1.376640775272897077e-01
1.017360701425764624e+00 6.104564876704252185e+00 4.072867382230660915e+00 1.029919271279959581e-01
1.751609928146035999e+00 5.002674434803295433e+00 4.451611984936393540e+00 5.441341479182333629e-02
1.524780588718924301e+00 4.672792600492808646e+00 4.768057245540237687e+00 1.088830093648532060e-01
1.407941716677840516e+00 6.000481673716702602e+00 3.977868453057469278e+00 3.193090281749257908e-01
1.254389688778083878e+00 3.679918504210191621e+00 4.352477468067101007e+00 1.771307867252031876e-01
1.828936186615998327e+00 3.922987208439567386e+00 4.414040675078505060e+00 3.648028981077644506e-01
1.616652842585045935e+00 6.860199405225330338e+00 4.407288388760542297e+00 2.744497388061040710e-01
2.160475643179518457e+00 6.564782789441517608e+00 1.370101841995305270e+00 2.460404813097426258e-01
2.661503458695194002e+00 5.345082516154604058e+00 4.716817403142661291e+00 1.265047203149170518e-01
1.968272373042720069e+00 1.100202395106004616e+01 4.604122146280928973e+00 1.691274959370386854e-01
1.505837157840815843e+00 4.822093414294124969e+00 3.528543494311504602e+00 5.911733940402036369e-02
2.712575031676989656e+00 6.028834715600040361e+00 4.730991583363799435e+00 1.424586591304161098e-01
1.615817557443750552e+00 4.804574606473506648e+00 4.261186062096889771e+00 1.719752140094179260e-01
1.389744420831353189e+00 6.489203575379413280e+00 3.751195267613861350e+00 1.464258174632553644e-01
1.317551239516968398e+00 8.344129017207027488e+00 3.992064956410553478e+00 1.462036988217530753e-01
3.556620981857815611e+00 4.892374217092593014e+00 4.889884544609209627e+00 1.016601976158617027e-01
4.568320276837583571e-01 7.299451087500703927e+00 3.507218370058614032e-01 1.490547776656016565e-01
1.396640172203158503e+00 3.969134656384059490e+00 4.521421943662555343e+00 9.080269030763925275e-02
1.456944538532876310e+00 6.781270559888220362e+00 2.197805818886004126e+00 6.540134095876208586e-02
1.001547071785089615e+00 4.823497975219400935e+00 4.498470069663961013e+00 3.646048694751358177e-02
1.574094018690579633e+00 3.886652803473779283e+00 4.126724961790056767e+00 2.546995213795856250e-01
2.499609886081677335e+00 7.216470546688062981e+00 4.769972317864596079e+00 2.587754016881638197e-01
1.804733177653881748e+00 4.976509679178581891e+00 4.126501829506967312e+00 1.096529700707244009e-01
1.824400961213165306e+00 9.342309406799596871e+00 4.635837065546444258e+00 2.253803266925722415e-01
2.026750389844119038e+00 5.847302812489184376e+00 4.650922588676942304e+00 9.480745852472516333e-02
1.152622802731455121e+00 8.450099026879312802e+00 3.889343595866218362e+00 1.607520738212338540e-01
1.854164355229036998e+00 4.506059441956238310e+00 2.159832825122703248e+00 5.239114555934756834e-02
1.203169300362991967e+00 4.077123302000550176e+00 3.821400344891288992e+00 8.005020569641216333e-02
1.446587522225942779e+00 1.077213553224703269e+01 4.130376314789110381e+00 1.908689717275850739e-01
1.079767050694423913e+00 5.407631205457592571e+00 4.133154431848982568e+00 1.119134104690155118e-01
1.488935886914550366e+00 7.011803133059870241e+00 4.231405133801716900e+00 2.451530038714345161e-01
2.151934677390119344e+00 7.312217629010437037e+00 4.663609697481386540e+00 1.242274322024384120e-01
1.194353381976478001e+00 4.964878074672853359e+00 2.869151855720099231e+00 2.358975995640317236e-01
2.531882889509402546e+00 5.624621869316555944e+00 4.698248795428786373e+00 1.313396383594879202e-01
1.273076887035603288e+00 5.920725069252664952e+00 4.284102045190666175e+00 7.548840129330194881e-02
1.549908729522118334e+00 7.661937505685966876e+00 4.080904345313066450e+00 2.036599459879521457e-01
1.811620825625362752e+00 6.799109823500031347e+00 4.642070437319269161e+00 2.204359264164506282e-01
1.779405445522544982e+00 7.238804199868112299e+00 4.527595371018254156e+00 1.264348377824527359e-01
1.849426963401289870e+00 4.394782911608516862e+00 4.113985609839387436e+00 2.163352561556878273e-01
7.880061894414978063e-01 7.731179006344198967e+00 9.094399734642326649e-01 1.774071891967854697e-01
2.245258853162991119e+00 1.201029199294334404e+01 4.730614795579977994e+00 2.483630433211115873e-01
1.269703682129466271e+00 2.958611986401247229e+00 3.827117171950634056e+00 3.744929329918895156e-01
1.606390518040084814e+00 6.646079240360059259e+00 3.157144773732823317e+00 1.427146343076019230e-01
1.909621436289014484e+00 3.232067777605371894e+00 4.341951210869437361e+00 1.184351939378580909e-01
1.685875293305539202e+00 6.206745065184065879e+00 4.599236973412360818e+00 8.232841468584331523e-02
1.924045002441356678e+00 4.428264047797441982e+00 4.287622153986076157e+00 2.125792169886968064e-01
1.676613082761335694e+00 6.885119978070510349e+00 4.437090629974769662e+00 1.887289084949682338e-01
2.284765515859253693e+00 3.965762662662179139e+00 4.333132792114218645e+00 3.296163999217956442e-01
1.061390217313793904e+00 3.522970327617883424e+00 3.948775834432299625e+00 1.853459205779034447e-01
1.429348302797333936e+00 5.729109345887103188e+00 4.313076533290395531e+00 1.129848995151587626e-01
1.061698973472150254e+00 4.412951069129878334e+00 4.292862562670001658e+00 2.695793416709724166e-01
2.116205443914610296e+00 6.441536753767808321e+00 4.733027939757165292e+00 1.643812256915513914e-01
1.395678159823990461e+00 5.727386977762622955e+00 4.169112927743304553e+00 6.469384516392796824e-02
2.061997188640463552e+00 7.413982895725252931e+00 2.642302867390283971e+00 2.440321750289905223e-01
