# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.584543140721306420e+00 5.153226726736649610e+00 5.268712355855432961e+00 7.851231157345775480e-02
1.450698218667099360e+00 5.870154191316939496e+00 5.368439252606750145e+00 5.769638734211897380e-02
1.039078226388117532e+00 2.934253206970782735e+00 5.437556556651519379e+00 1.752176206827861793e-01
2.096620400891738623e+00 6.571804957370977363e+00 5.403132661761908651e+00 2.533882361194679800e-01
2.008128445941297358e+00 7.231874492463675530e+00 5.330369556170819756e+00 6.147194887001269925e-02
9.996492061049992994e-01 6.112980583856692185e+00 5.157668718144471143e+00 1.952221231083734188e-01
1.966637544792301906e+00 7.304822067965525356e+00 5.304278249940492351e+00 2.331970130421251730e-01
1.636029444893874363e+00 7.653126064886063062e+00 5.405132621568458084e+00 1.619686257334552182e-01
1.835723026366229416e+00 5.568557854700483922e+00 5.287741337331531177e+00 5.333112360138798913e-02
2.096633233998991042e+00 6.211150428811525792e+00 4.668689198217139236e+00 2.037096173321534254e-01
1.735351449657998479e+00 5.581526510054154677e+00 5.063768461530984588e+00 3.338947973303444394e-01
2.054153157697860443e+00 6.181068938356274245e+00 5.297561985420228048e+00 1.447965742300371117e-01
2.126430478594029339e+00 9.381739874749737140e+00 5.383115071971005250e+00 7.570704296709571124e-02
1.660673503635862414e+00 5.394674854531810837e+00 5.386730577157668343e+00 5.086403602286321268e-02
1.704183459423130875e+00 2.780757809345009157e+00 5.341162271855298904e+00 6.642119507001603695e-02
1.980375700372422054e+00 6.992444183896100895e+00 5.359338374458521237e+00 1.429316585772265613e-01
1.722723757724748506e+00 3.196476280195973629e+00 5.297053304898715176e+00 7.094346662251901914e-02
2.400668345580989183e+00 4.098181239563480460e+00 5.414095782787492261e+00 6.758560067878566224e-02
1.766344476462168744e+00 4.635198995066011740e+00 5.257597462656586451e+00 8.141747495279548497e-02
1.325982286001612831e+00 6.601950859601293686e+00 5.386825993983242356e+00 7.039746550992326268e-02
1.835717637232276545e+00 3.797670092544444209e+00 5.665415984464678090e+00 2.415542421858985489e-01
2.321124922373888566e+00 5.379196511872154751e+00 5.146229955248690757e+00 2.103696839706550581e-01
2.320943127242531823e+00 1.041576876832988141e+01 5.372440951423722133e+00 1.457192212307034940e-01
2.370733303946745529e+00 4.211859850697904584e+00 5.242995768747783281e+00 1.110567092967996716e-01
2.936529370636371539e+00 4.603799753144050655e+00 5.402314501200178753e+00 1.342641204258587795e-01
1.729349664303913015e+00 6.267166396164705944e+00 5.271285476180302076e+00 4.710142487842217118e-02
1.593772387471274365e+00 7.351327339875527223e+00 5.387415647721992329e+00 1.148509361594300393e-01
1.454195646297296696e+00 5.530638076968543260e+00 5.342830871145641147e+00 1.354402602142239509e-01
1.714850505444722950e+00 3.517647767523103930e+00 5.244650811919870925e+00 7.837285316238706834e-02
1.590669172787313013e+00 2.931229777404854353e+00 5.255926840444486103e+00 9.046249514848689333e-02
2.325201554427957618e+00 5.302795651949192113e+00 5.251595069471606259e+00 4.905017423206064348e-02
2.131211438654658341e+00 5.309186989329737649e+00 5.356512349560272668e+00 4.797557001180990238e-02
2.116999718733437064e+00 5.500089780823001817e+00 5.261299104359545176e+00 1.907091587231295737e-01
2.556383313223705933e+00 3.849936576838184799e+00 5.278679917323493953e+00 6.788580051364148660e-02
2.305394225102107342e+00 5.587763955300855123e+00 5.371778497901962268e+00 4.153395641629499535e-02
1.456052265144258229e+00 6.783075368231043178e+00 5.219302652968615952e+00 7.676010511234071521e-02
1.633695655315641204e+00 9.534191626976575407e+00 5.402518355995498567e+00 1.143656514532898488e-01
2.276671696481721074e+00 6.829009870486435041e+00 5.330795801055273841e+00 9.891824429132195506e-02
2.261938351772547318e+00 4.815535197202204465e+00 5.351486021588291564e+00 1.635587562951522911e-01
2.321565365480311449e+00 6.395198713596485618e+00 5.051577137919029958e+00 2.447794972065757413e-01
1.683193415728962083e+00 7.178543819858465014e+00 5.209284005777504944e+00 2.125823155235494755e-01
1.943140692967325167e+00 7.166427097160328330e+00 5.367464091471709331e+00 1.611456647845863899e-01
2.065665879687887951e+00 6.549766361588442720e+00 5.299010701678628088e+00 7.400941561353660547e-02
1.656994504613507058e+00 4.919429412652404743e+00 5.303565590570177513e+00 4.914097692163484771e-02
2.340400773016857894e+00 6.477861014682941843e+00 5.202977626803818367e+00 8.932040095301710392e-02
2.018527664910352737e+00 5.935282261958667149e+00 5.466528733989325595e+00 9.968840283010309278e-02
1.938287400775828617e+00 3.237742338638931905e+00 5.643448712319270477e+00 2.419188197327761247e-01
1.495499159824083879e+00 4.862465245968770944e+00 5.334096734451308386e+00 1.412586150016772457e-01
1.894854759269441580e+00 8.772856122946997459e+00 5.714212978469690007e+00 2.783711962261738448e-01
1.724100827020082605e+00 6.711544513242766463e+00 5.169581254661758329e+00 1.113989597399125536e-01
2.028691582187652109e+00 3.722668575561915105e+00 5.675704432580638503e+00 3.588352060322630988e-01
2.047463697780306013e+00 4.416780149680246126e+00 5.383415243476934897e+00 1.311655547698505342e-01
1.899966708757941047e+00 8.364617336256110036e+00 5.348095189960991647e+00 7.174749264575375207e-02
