# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.697696288733536507e+00 7.073358085403261164e+00 4.483458123308455612e+00 1.338017441557257659e-01
1.892951743873753534e+00 5.987911707641939252e+00 4.648252482335186286e+00 3.618961156111098754e-02
1.862112284158730091e+00 6.035374845232579055e+00 4.432094206973204109e+00 5.182151691627565060e-02
1.239430311546123598e+00 3.984843553377837022e+00 4.488903386169268650e+00 1.170198202750334232e-01
1.687621173592296575e+00 5.776979483939628679e+00 4.728474791208165051e+00 3.305892831017502864e-01
2.036184625575005125e+00 5.905962275077230927e+00 4.736769738577869759e+00 2.017128281017471214e-01
1.334868021425143603e+00 2.682212763913126352e+00 4.394253676654976459e+00 2.275708586518342402e-01
9.014858008675168399e-01 6.100706182946527001e+00 3.701166858410273264e+00 1.265994602420991433e-01
1.888422090892477367e+00 4.508192310522271207e+00 4.540128718351099657e+00 1.113268840338535876e-01
1.616895531275230224e+00 4.913737798473984952e+00 4.454771939412756510e+00 1.136362375119636114e-01
2.066005526881904864e+00 3.414194310252662401e+00 4.265271372547823070e+00 2.593187062321016256e-01
1.440236504985919153e+00 5.626334193808237849e+00 4.513674279100706954e+00 3.350605561564307111e-01
2.289115655018757245e+00 3.426857067142870861e+00 4.573923533465716673e+00 8.384271001005651203e-02
1.806237521419323144e+00 7.201163711208188545e+00 4.509049737270158786e+00 9.538267359811332391e-02
1.800759944464020768e+00 4.653561714526105675e+00 5.138194987417726622e+00 3.974758601832792393e-01
1.796409161891430850e+00 7.176903835908293061e+00 4.384333634843320837e+00 8.689437046365366957e-02
2.319317906128198103e+00 3.732575624330136677e+00 4.555850201510191155e+00 7.988998204513036994e-02
1.673715256748514513e+00 3.349904742883349495e+00 4.175501614172931752e+00 3.876961561542791590e-01
2.103578735402323208e+00 8.229776845275653230e+00 4.735318376158136111e+00 1.389112776831784579e-01
1.946570133438016326e+00 2.422305917913480044e+00 4.260268074720015008e+00 2.330041750452291061e-01
1.155598289878027707e+00 5.404118976241273131e+00 4.031471845394635878e+00 1.348235783716621172e-01
1.805405600077995887e+00 4.894539046663272330e+00 4.054349030501193774e+00 4.499244057227141935e-01
2.320276069858723922e+00 4.475177223331445298e+00 4.935785538585371057e+00 9.730854816821141173e-02
1.542347267076049189e+00 5.005149788277989842e+00 4.298685738578711835e+00 2.224953385015552842e-01
1.386520714076072913e+00 8.717964430643974083e+00 4.414550191572556237e+00 5.333782895894238069e-02
1.262115978594417376e+00 4.150038455516013691e+00 4.316574174502141759e+00 3.204537545966054113e-01
