# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.058161098787006482e+00 6.541489227704927245e+00 6.946134872780782565e+00 1.217063085937563627e-01
9.822121926366986777e-01 9.450790651749496618e+00 6.925281055010151121e+00 3.133978554533310007e-02
9.303424592745076493e-01 3.504557312394623647e+00 7.093424609161957939e+00 9.233255824092941044e-02
1.050324972707289417e+00 3.969614547350571954e+00 6.845356500102407260e+00 1.460153414047603015e-01
1.420989215374000914e+00 5.645983134971026551e+00 7.101027465285493889e+00 1.653802443359023433e-01
9.629870778142074483e-01 9.484371501501987822e+00 6.999613569308907657e+00 9.147812603394839259e-02
9.318668852237074196e-01 8.108205106866710921e+00 7.012243404155614535e+00 2.423515622838541272e-01
1.095768380782061291e+00 8.616657285740595640e+00 7.175616470146832349e+00 2.141634536739959738e-01
9.060863558283264174e-01 7.192290160883985095e+00 7.001856458567741193e+00 1.043766583460815495e-01
7.841817030740431127e-01 9.023233055204270769e+00 6.896643636122083088e+00 1.267078991731905302e-01
9.446403560641141173e-01 6.827927679023818364e+00 7.020415670927114604e+00 1.097400249609002398e-01
1.363788326661193429e+00 4.353902917396788474e+00 7.001016932422676753e+00 2.912474321048564851e-01
1.070334603864972145e+00 7.424581365316599957e+00 6.800423464422583386e+00 8.229329560497503082e-02
9.985754680181976317e-01 1.044124223123924189e+01 6.981553493128997090e+00 9.503197599058135769e-02
9.414747642174235986e-01 7.292934298549864636e+00 6.881969949354995286e+00 1.132913423956899979e-01
9.303246913241681737e-01 4.735121705949500992e+00 7.036298059645806902e+00 1.873717241804473410e-01
1.187939209826036624e+00 6.497683854726735042e+00 7.055679010502893256e+00 1.935079564519775752e-01
1.102553490898909416e+00 5.697820893659109487e+00 7.010388477893396697e+00 1.000948013822818006e-01
9.388590091649320346e-01 4.353145013005975450e+00 6.923946867962487595e+00 8.844847325287158446e-02
1.233364450512790755e+00 2.774203144502945584e+00 6.917077250273822031e+00 1.180055185101883952e-01
7.077076882053895401e-01 8.702307454455644020e+00 7.089592903838502380e+00 1.216015074057754941e-01
8.984936941512644548e-01 6.784084184565413622e+00 7.027187567310908101e+00 1.289527053477330654e-01
9.285235724243511291e-01 4.758629258611184909e+00 7.028159417729479941e+00 3.724403685246204243e-01
1.148506469050848189e+00 9.340362910309476518e+00 7.344477087935405990e+00 1.508698590163091158e-01
1.124490267272505228e+00 6.018467994397674659e+00 6.982710410035124937e+00 1.766148363730509485e-01
1.004923151225015410e+00 7.278273336950499051e+00 6.820928576005871768e+00 1.554594592925095942e-01
1.000548099525262691e+00 4.856255703627973652e+00 7.180888281148993357e+00 9.844368653833432403e-02
1.045154906213241697e+00 7.723289356084190871e+00 7.470362806445160153e+00 3.326419958942814503e-01
8.700943801288031354e-01 5.737597548846222750e+00 7.287879772601750794e+00 2.683618419910124842e-01
1.080148438557996693e+00 1.035166308393840850e+01 7.007719983869455938e+00 1.350878154921676955e-01
8.979480346787264144e-01 9.121138081619596605e+00 6.944706205583494274e+00 1.206087487336829633e-01
8.556517243264631922e-01 6.205857159992191008e+00 6.921613581320410269e+00 1.395263205776594018e-01
8.580429664787401212e-01 7.560726554112996212e+00 7.011778378573930937e+00 1.037118576873523323e-01
7.920614039307105614e-01 9.182506816170119990e+00 6.930202456127022792e+00 2.129429094533374089e-01
1.073065873289277938e+00 6.244257722777606823e+00 7.188405066143294775e+00 1.586554996625808289e-01
1.133869805766560823e+00 1.032191665964282912e+01 7.082447375257360456e+00 1.358545603080076047e-01
1.028331300175230112e+00 4.425588701997860142e+00 7.041931588501719297e+00 1.335180085838120756e-01
7.332712686764760734e-01 5.455826774259218581e+00 7.022491581564810126e+00 9.184305592081577763e-02
9.007512412363863907e-01 8.527479714105837161e+00 6.804381559677255886e+00 1.667975539716662903e-01
1.102998593903485869e+00 6.128513087057074316e+00 6.923020477943873097e+00 9.009299303825876737e-02
1.011554449983583126e+00 4.172042676859905264e+00 6.934156850587569032e+00 9.510040445883578830e-02
1.036508532311037678e+00 8.903795737104932329e+00 6.999053154231500429e+00 1.044598900198622088e-01
1.114670705299112274e+00 6.861697848575682990e+00 7.008036378222675999e+00 1.559415145745123021e-01
9.854138088369138737e-01 8.207295441179294215e+00 7.083203198661727207e+00 1.098997253358343362e-01
1.110980774972322394e+00 8.768206804163812151e+00 7.004204413094591963e+00 1.572213165873948548e-01
6.971572368941240105e-01 4.948576234169558496e+00 6.971891556049682137e+00 1.702624375448381078e-01
7.786574419113125867e-01 5.602436774124996965e+00 6.958909427980993101e+00 1.306229864303379840e-01
7.686751480556397453e-01 3.977243125670278268e+00 6.900922704532365337e+00 3.252822822652792767e-01
9.296981503262489177e-01 4.432256955752415628e+00 7.167703006109943153e+00 9.640586052176082499e-02
1.213249203376101759e+00 3.200801441766354394e+00 6.977767639679660405e+00 1.930333066681627630e-01
1.139201725896507922e+00 6.190851632316267228e+00 7.053914923568168405e+00 1.270352432039835444e-01
9.123813885297590298e-01 3.893756381376412001e+00 7.155385963817330719e+00 2.867686856264328732e-01
7.764160866441655040e-01 9.285742928016464504e+00 7.009493138330009643e+00 1.044054096517297997e-01
1.131473717294913195e+00 7.129429778028003817e+00 6.544872107799494465e+00 2.562866972150124600e-01
7.803239158098080885e-01 6.043338722258823736e+00 6.922209763974860763e+00 1.114862707450647583e-01
7.760633403175348777e-01 9.050075087526277429e+00 6.846145438245198278e+00 1.130583269341874919e-01
1.234535996335846875e+00 5.113090501925808162e+00 7.162034779691499153e+00 2.511972373739269626e-01
1.022234927148387928e+00 7.784815926679867992e+00 6.915199169295857651e+00 1.262440165731801567e-01
1.473995461671437468e+00 5.460997448459030679e+00 7.110573274959328671e+00 1.294042456282709919e-01
8.972182550560082737e-01 5.790405158095876637e+00 6.828064117624010443e+00 2.265898618841989398e-01
9.805060354704199233e-01 6.921157196700046477e+00 6.929228986297271575e+00 1.045172274392718453e-01
7.660688202351217946e-01 5.018671239671711248e+00 6.770788128458183230e+00 4.189371048751549531e-01
1.006757396264450710e+00 6.220156043830842307e+00 6.813607945673076038e+00 1.440411836510422927e-01
9.545457862935406990e-01 4.848540282363671849e+00 6.905371325172349195e+00 1.644626404193351155e-01
8.870078276558738262e-01 5.875648249177278792e+00 6.872102858217093768e+00 4.417168839897674948e-01
1.272070152970344425e+00 9.924173354375586342e+00 7.038747707089526351e+00 1.725824425401701889e-01
9.093314133699261781e-01 8.316661260452537618e+00 7.052198167517005345e+00 1.400387575191368861e-01
1.270020142272691777e+00 7.303196283555891455e+00 6.684131158348874280e+00 2.888985554967636316e-01
9.544649652980814469e-01 7.883725579856571741e+00 7.102600644708410016e+00 2.620948937581240590e-01
9.380278242560977642e-01 8.115060867513911091e+00 7.189082189307208992e+00 1.172136443691852437e-01
9.489399945508745216e-01 7.699464149784962075e+00 6.854847112794833386e+00 2.244667394391818005e-01
9.739256853203451803e-01 1.106293335566677882e+01 6.828443126305518085e+00 1.394707198954857341e-01
1.401034282995992752e+00 5.686798340579262145e+00 7.245762813421163351e+00 3.032695729277727348e-01
9.774993332787301759e-01 7.638232718190048232e+00 7.166583634444671169e+00 1.365707053709422636e-01
7.433570026149360910e-01 4.383848186910624278e+00 6.992628919859368963e+00 1.589662730831873372e-01
8.714320323472812824e-01 7.719201177364897859e+00 7.052164692374826238e+00 1.377386167055788813e-01
1.073333519629317223e+00 8.042619289075641831e+00 7.062297053789603929e+00 1.570534744809281014e-01
9.985535581219933121e-01 4.739037471879939289e+00 7.012981771940677511e+00 1.791183786203538464e-01
1.006816806433070033e+00 7.698931470880000738e+00 6.731704672979181403e+00 2.332935364338216411e-01
7.170007833057365776e-01 5.842445665856445203e+00 7.246733926858743402e+00 3.073585338510866904e-01
7.748790444362052554e-01 4.199407691134501519e+00 6.937175942116022398e+00 1.677370412118833060e-02
1.057803164774453464e+00 9.351630502939734413e+00 6.866910296431372629e+00 8.077067877671803564e-02
9.152554517652032873e-01 7.380680363597815763e+00 7.078533526907436091e+00 9.780821373938362873e-02
1.213416883720382700e+00 4.990908095114800602e+00 6.941039685736632769e+00 1.973730800963091059e-01
9.843383677013841648e-01 8.205710126624541800e+00 7.284033445599783718e+00 4.345520454848947334e-01
1.066090569398469023e+00 7.181556696249967509e+00 6.762439857530623932e+00 1.247229834901282530e-01
1.029755748821925998e+00 9.625614727549882232e+00 6.871095365074561201e+00 1.316495753575002148e-01
1.019142215448605615e+00 9.266653995120261555e+00 6.886857769169806076e+00 2.426298308831359996e-01
1.059198746773065247e+00 9.110959264505659405e+00 6.768691130493913910e+00 1.972908099534876059e-01
7.949534962721557241e-01 3.774111133200070967e+00 7.209804624080075719e+00 1.620098326229629238e-01
9.761697848090777896e-01 1.055353595990948534e+01 6.872373631565239727e+00 1.885162489234230576e-01
9.496320180196620164e-01 7.147877258705065628e+00 6.798021506649577717e+00 2.188277353374906142e-01
1.688137183642294481e+00 4.452312571533205698e+00 7.213825235363366950e+00 1.968634316147016283e-01
8.278726202814568058e-01 4.963759109714565021e+00 7.181500466063974741e+00 2.542321948877668270e-01
9.154002450900716736e-01 7.194671938992566851e+00 7.005295602438117442e+00 1.117530182235652730e-01
9.651180239761592006e-01 4.329544455414970017e+00 7.135552525640545873e+00 3.233259523702703420e-01
1.217587039442413310e+00 3.030896746925738405e+00 6.996657693919382304e+00 5.572673719397995551e-02
7.552606487921409428e-01 4.864709566356211212e+00 7.131376836338110259e+00 9.832421309599556625e-02
1.173000131531091617e+00 5.191146807734814850e+00 7.051902109869281787e+00 1.223961517855885472e-01
8.883549721074359695e-01 8.522563061018535890e+00 6.858501425629946802e+00 1.313364280144398155e-01
1.028169533071524144e+00 1.029427134399483990e+01 6.973567342093692112e+00 8.548213041044461225e-02
1.203658094184281380e+00 3.652004763571238488e+00 7.166709207630426626e+00 1.054105569179371454e-01
9.800016035020744365e-01 5.536270005699979180e+00 7.083581118224832274e+00 4.120032608011457986e-01
1.070251156119819802e+00 5.879267234181162927e+00 6.989037830223506553e+00 1.306754091532218442e-01
8.469958989809289740e-01 6.698598901215654600e+00 7.093396833678003333e+00 8.390883727997078267e-02
1.020837819455577167e+00 6.536631917423278537e+00 6.820862468666323508e+00 7.909274061973275982e-02
1.030470401014633497e+00 1.226152616966273001e+01 7.100469206391598398e+00 8.359225001373536690e-02
1.276415754981248485e+00 3.906653759249099966e+00 7.055524838104494378e+00 9.549831907613363924e-02
8.853183697236429728e-01 3.145530057897252707e+00 7.259243703243769552e+00 1.499859078408087021e-01
1.259891283906313442e+00 6.508292714018428349e+00 7.003717681762134717e+00 8.055956425832297430e-02
9.601164048771384518e-01 6.129837223988295669e+00 6.980776499404409918e+00 3.382125676166957140e-01
1.035481101398122661e+00 7.243210329479072840e+00 7.107042180567867184e+00 1.428878863728595683e-01
1.139200536597758218e+00 5.341077010462064401e+00 7.456523743277765348e+00 3.787446306766715232e-01
1.703318220034823138e+00 4.928677268537997591e+00 6.854664052754039894e+00 2.116504739007749603e-01
1.027943385120420050e+00 9.986054088319113120e+00 6.746493839241065160e+00 2.522349297854514227e-01
1.310622317358905997e+00 3.412364778075315019e+00 7.279040909313102325e+00 2.054440264931839399e-01
6.212809057897727971e-01 6.789094121215841326e+00 6.983608624558750755e+00 1.670088936899355447e-01
8.447142772338753769e-01 6.981017179562635455e+00 7.579706908675408528e+00 3.026734745461692189e-01
1.080434632474792656e+00 4.601138049501320104e+00 6.986004523554683487e+00 2.008848350417914985e-01
