# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
7.723236123140654330e-01 6.187957133659428344e+00 4.302018217740612549e+00 1.922806762292892102e-01
1.079624398062808188e+00 6.692986495099590982e+00 4.784277907443964750e+00 1.907181583938477032e-01
1.079311819631987523e+00 5.673170615759913993e+00 4.630796879704664804e+00 1.793293793269997438e-01
7.465000630872178355e-01 4.536797793263812828e+00 4.673134294390580479e+00 7.683013909997568613e-02
6.642858140695646618e-01 8.309915558637102961e+00 4.553880041757716768e+00 2.656152520534610928e-01
1.134199609294233024e+00 4.704713151251091574e+00 4.804890101126993329e+00 3.248021395514742449e-01
8.560148882336633402e-01 5.462997494631317785e+00 4.740942522060280773e+00 2.202278029753588218e-01
1.108695214059049583e+00 5.176431101908227639e+00 4.718107774946243893e+00 2.127559496617363044e-01
9.992848629473976008e-01 6.847307894453095400e+00 4.546064009224507707e+00 4.410969101078620058e-01
9.871674478113412476e-01 4.990232574492165618e+00 4.713292865787762409e+00 9.232948639657163892e-02
7.328305070818331712e-01 4.846342518441348446e+00 4.432681307472409848e+00 9.785032186567803325e-02
1.192590271814840897e+00 6.466596993741799082e+00 4.537292346426233358e+00 4.987290953319803433e-02
7.317022924986728016e-01 6.583216537250637934e+00 4.795252967045291470e+00 2.536464015749376744e-01
9.652612659262884698e-01 6.784964139601052935e+00 4.692114670539528021e+00 1.098266553831815234e-01
1.055902379664915625e+00 4.323655808538465983e+00 4.709891896492655050e+00 5.181156180671346589e-02
9.586096770967451608e-01 6.199070004632030617e+00 4.360973277828522399e+00 2.034649230534421316e-01
8.846358659918309719e-01 6.990321487631888431e+00 4.663615067702571615e+00 7.079731232051587886e-02
8.478602552439729045e-01 4.039113352797470746e+00 4.758043197934776813e+00 6.846119895329776106e-02
7.576892720151697791e-01 7.033325650240840332e+00 4.201944251114168694e+00 3.198588383946914804e-01
8.527183736118411073e-01 8.457124305332884617e+00 4.544599858339398502e+00 2.093422441687599611e-01
1.174081036089634100e+00 5.499678068458570657e+00 4.830552864924843703e+00 1.906152856869703371e-01
6.504622803199361369e-01 4.049189424667018145e+00 4.702678568782821422e+00 8.606845882683904214e-02
8.100074194536824868e-01 7.727989362628793657e+00 4.678150229521495618e+00 1.065324286376762714e-01
8.985946492077381276e-01 4.143796969380566964e+00 4.660539780942510646e+00 1.033442511135491959e-01
6.549112099121083830e-01 1.153081206264746328e+01 4.585840525159039061e+00 2.792537668089962177e-01
1.120512919236083427e+00 4.391907449111948303e+00 4.745097438737150064e+00 1.342028160893444788e-01
1.126237211617442835e+00 4.410669575333943548e+00 4.635112018911171639e+00 8.492894575749476704e-02
1.350839444748927143e+00 4.964266044101623976e+00 4.702675760811886541e+00 2.109164147389153143e-01
9.515912740945229320e-01 4.864789427736682548e+00 4.456842604739257752e+00 3.175047364551837337e-01
1.029925626101839908e+00 1.155733691485670178e+01 4.521003519597019071e+00 6.059826249708684387e-02
7.894743783458261221e-01 7.225484594502256996e+00 4.650776036621715903e+00 2.081834662090908949e-01
9.929632947335539361e-01 6.755667480781270662e+00 4.646756206483264151e+00 1.035314108421828000e-01
6.969514099161434606e-01 9.591181348507074489e+00 4.576195810668727937e+00 1.016207462063190847e-01
1.006447952818471991e+00 1.208114804952215238e+01 4.573486956071295850e+00 3.085674713878371334e-01
1.399159034621268560e+00 3.742461821418430645e+00 4.682932597407351238e+00 1.202684172128239276e-01
8.392039749578712460e-01 6.659655301898493640e+00 4.761580318966383452e+00 1.902505738246731415e-01
9.441894285953504884e-01 5.982504912653224594e+00 4.610789854604378846e+00 4.067157056812813198e-02
8.126911500427388413e-01 4.634735102771329274e+00 4.731355207028038024e+00 1.293027546241824477e-01
1.394031858262617218e+00 5.166268131190398627e+00 4.755899958576895514e+00 1.716032616188588600e-01
1.006556519119545356e+00 9.439570223192436771e+00 4.336174853500848414e+00 2.650323370396926448e-01
6.964387366110349475e-01 8.152558487450646041e+00 4.598920205229707570e+00 1.784311681046591158e-01
1.070477290307753071e+00 5.309361609062142939e+00 4.534654048426820516e+00 1.869873054601416118e-01
1.047784428627910991e+00 4.737584343119898733e+00 4.688671928314924742e+00 1.145827545887263821e-01
8.524768698130860134e-01 6.895322671006672621e+00 4.528544617016121876e+00 9.956357099343532413e-02
7.684414785481942234e-01 7.654556677021203015e+00 4.377435815887757542e+00 1.564903474228382940e-01
1.501432324387018236e+00 3.785617735431880515e+00 4.609199200031781629e+00 1.038265006214975084e-01
7.755248342143074014e-01 1.025128304681611269e+01 4.380308514525764529e+00 2.287734873839981919e-01
9.154773033889305189e-01 5.118295721317751124e+00 4.396895061584096709e+00 2.068978535418202758e-01
1.085042557801878971e+00 6.274638767996219890e+00 4.667678034702730905e+00 8.106622116264747269e-02
8.252788112050088998e-01 9.859183070997241671e+00 4.875047018583261504e+00 1.148497533369057244e-01
