# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
2.658578266589119998e+00 3.814068073695077388e+00 4.371066325056684576e+00 1.835196422458205967e-01
4.512532832173917541e+00 5.566793883853524250e+00 4.349751601390160261e+00 5.797815999605742537e-02
4.994514290998383288e+00 8.620649467193340243e+00 4.401624082856205433e+00 3.029878581024429349e-02
4.238123773005407990e+00 4.811612661636086585e+00 4.494500706016779645e+00 5.728517567505216762e-02
2.935722090474168322e+00 4.807376034824324407e+00 4.445393599987013999e+00 1.700081466173091194e-01
4.511777015340895147e+00 5.945502556631057978e+00 4.384958034911023539e+00 9.658648081370542482e-02
3.539975857491371336e+00 2.598784251372955989e+00 4.358118781100793093e+00 1.121001041188148528e-01
4.244213803006806174e+00 1.006856440231276117e+01 4.349833002179732233e+00 1.010664148610667668e-01
4.159294569833096311e+00 3.532192605005543662e+00 4.429684348726437015e+00 4.654148397003927962e-02
4.919715307758242950e+00 8.964810580840859799e+00 4.320332118266873245e+00 7.625261864366589259e-02
3.440347474096886238e+00 4.505049981914711843e+00 4.375510811780609188e+00 2.411178970524697207e-01
4.760992908174773497e+00 6.649539678052769354e+00 4.440619090179850126e+00 3.394252486200376867e-02
3.066342503663820995e+00 4.481935509274086904e+00 4.379570059735566900e+00 1.066479035192623576e-01
2.519584333608582138e+00 2.933500457608020806e+00 4.355137048108494113e+00 1.139692424691591960e-01
4.158176871237551531e+00 4.741393627409700606e+00 4.363725300076890079e+00 6.379165090608904243e-02
5.132513247992132044e+00 9.452066936029375199e+00 4.335966340491830273e+00 1.145665139623195383e-01
5.413783643301060877e+00 9.940928486622004456e+00 4.760923455681464134e+00 1.451812319556691488e-01
4.699649626141739311e+00 8.129310029233076662e+00 4.423973107009595118e+00 5.602489732293410712e-02
4.101878404160395952e+00 5.073943268188410016e+00 4.270446789954569056e+00 4.704060920061543805e-02
4.766707878764762540e+00 9.378913129538331006e+00 4.240934035329587459e+00 4.465628872745909528e-02
3.631440296103046528e+00 4.003061921754691888e+00 4.401776261338516072e+00 1.155483933839008270e-01
4.498276638679893580e+00 8.433506793036379179e+00 4.319302199271913167e+00 4.603378106636483308e-02
3.549575687625061704e+00 4.999465670860990585e+00 4.209715634109400639e+00 2.277152893569850400e-01
3.773704725380832681e+00 3.987714828935969624e+00 4.308229330150092018e+00 9.126594652268324448e-02
2.811509219254790803e+00 3.426092543391200174e+00 4.347476421050757267e+00 7.095248240686677366e-02
5.180231131910039366e+00 8.506162209411188613e+00 4.367752938478191460e+00 7.874051235367933443e-02
4.579666021516954899e+00 5.909699007518117497e+00 4.334656492628928603e+00 3.400547901329594586e-02
3.503858805373954333e+00 5.076932556205437486e+00 4.547084276995608576e+00 1.063340040280318366e-01
3.576409090266093216e+00 4.090546174709999150e+00 4.423897933775672087e+00 1.119204732695420201e-01
