# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
2.110771829739719774e+00 5.137856307323027671e+00 2.808577251788782370e+00 5.054393228267214377e-01
1.840789851115778752e+00 4.974931791238259571e+00 2.448668599167475257e+00 5.171787955643565304e-01
1.398368988178102956e+00 4.984799043409699593e+00 -7.421360465384607696e-02 7.608930350899801853e-01
1.517625868137192802e+00 4.010592321604409705e+00 1.775621552914835588e+00 5.937031375497645591e-01
2.122949150122933837e+00 6.106740077203495431e+00 3.171075503511322946e+00 2.895385005719884886e-01
2.778344575330871979e+00 3.576947385837008220e+00 3.482606756874295328e+00 1.935871555303714242e-01
1.269013750498482196e+00 6.257722283534090657e+00 2.171784635484784509e+00 7.202230470039390209e-01
1.925326088454387907e+00 3.131984869320118658e+00 1.345312041756625332e+00 6.005445547411587537e-01
1.372065335397703034e+00 3.820251558343921161e+00 2.303309650920990492e+00 3.703832539294839021e-01
1.635927573102916144e+00 5.580814221998058322e+00 1.992017489715525613e+00 3.825648401732427706e-01
1.645079735579599856e+00 5.817943263537805443e+00 2.657654402068089006e+00 5.103987698438317011e-01
1.054888072301787050e+00 4.416140086495893513e+00 2.243556820542192742e+00 5.118353101615745748e-01
1.879529285732971955e+00 3.088382064427253049e+00 2.954952969468142676e+00 3.469104964182864737e-01
1.668410329327828956e+00 4.597976747037119338e+00 3.091251008108872878e+00 2.716409715995055651e-01
1.589648683577149058e+00 7.438475156953056278e+00 2.850877047893187743e+00 1.480707698712217246e-01
1.727997558260050859e+00 6.898080678030351187e+00 2.442246962231454432e+00 3.602663774649959572e-01
1.372367989008149491e+00 7.464015131071538356e+00 2.156063133806424670e+00 4.679311466439880496e-01
1.629621659971292269e+00 5.991635980234448766e+00 2.979591624624557067e+00 2.766709498319955829e-01
1.760035542990197932e+00 6.916574043751391621e+00 2.484301020162289930e+00 3.649153348656269946e-01
1.396973433981501422e+00 5.039618167190166531e+00 1.976586575516894539e+00 5.622913236195061781e-01
1.738561974451666492e+00 6.323018919714305852e+00 2.209179055871319797e+00 5.000015999533538036e-01
2.492260193565658088e+00 4.696615738357948544e+00 3.268612527659395806e+00 1.487113507462850537e-01
1.966502761761970808e+00 2.932409306988589037e+00 3.711765267291210257e+00 3.415930509749984245e-01
1.999712337463064316e+00 4.533398512879355025e+00 2.853998761575827103e+00 3.783979057627240850e-01
1.201580637398169671e+00 5.298315145490816391e+00 1.596396277205657466e+00 5.279120491043787222e-01
1.470752221328914144e+00 7.750169263978390788e+00 2.625731357260451038e+00 3.457713850621420004e-01
1.686655782120092928e+00 4.832823761708424648e+00 3.302629435625100918e+00 1.551164687787215946e-01
1.265633358766663941e+00 9.495469018736748978e+00 1.675360999012917906e+00 3.165398065995161936e-01
1.550767273564177540e+00 4.574588135929039012e+00 3.228458080589904799e+00 3.183178215850917536e-01
1.971989835088813647e+00 3.308669896048788139e+00 3.501090559271515801e+00 1.866077278350856683e-01
1.737338837152066162e+00 5.048862361512954422e+00 2.957204223161451928e+00 2.352156852390906439e-01
1.159613847146793830e+00 6.724349763092877907e+00 3.661213570806916007e-01 3.886811099583323825e-01
1.359911884820605099e+00 3.797467173535873375e+00 2.441619302011664328e+00 6.611033486058043307e-01
1.635594846348936482e+00 3.306481520539293228e+00 3.404934587620397579e+00 4.194927366276039460e-01
1.834451544072373652e+00 4.075639822728193806e+00 3.325815671832496268e+00 1.438095614168748149e-01
2.556975254794647601e+00 2.719414568967135626e+00 3.472793299025549452e+00 7.156982619811191881e-02
1.333512582114922074e+00 6.115763195978289879e+00 2.294205852718641303e+00 5.428404413475410584e-01
1.317971613679693510e+00 5.535610247509900717e+00 2.317325790274839203e+00 2.910981302538983573e-01
2.638149201194889937e+00 6.492404902572078917e+00 3.200427135332942097e+00 3.549948396193142175e-01
1.475119080228394886e+00 5.515930693443536370e+00 2.692133539841854439e+00 3.151130098073636754e-01
2.017768618180843188e+00 4.355186938888505388e+00 3.121007225368080285e+00 2.026371320000427967e-01
1.636836155095242384e+00 6.357487158428479113e+00 2.341460908507043470e+00 5.254087633838075977e-01
2.724600725566592274e+00 3.975537266273189374e+00 3.027933682350514744e+00 1.887713800186751611e-01
2.247039519976613775e+00 5.657268076711475580e+00 2.264602958282659007e+00 3.602350377508991008e-01
1.658808351170607986e+00 5.090950122666919597e+00 9.422112630995681526e-01 5.130402488397258765e-01
1.604166389867805353e+00 3.456995519267524131e+00 2.588334412804753626e+00 4.502514570333497335e-01
1.599308099946247674e+00 4.830669172130786393e+00 3.625366126330367589e+00 2.019652166252352277e-01
1.461888872200377110e+00 3.032699491171941375e+00 2.206719873690648370e+00 5.331989632854888805e-01
1.118323410629984194e+00 3.847551822833207513e+00 3.281161817013008353e+00 3.610885422226175478e-01
1.079698989581731716e+00 6.095431205252996421e+00 2.449003807868604721e+00 3.816073470930534950e-01
2.012929167528651142e+00 5.050505495435659853e+00 3.040704574239012636e+00 2.641388199759815425e-01
1.741045371213320037e+00 4.964764751053764691e+00 3.437567866887073720e+00 2.518498519429077653e-01
1.827975068678520332e+00 5.502951818060845213e+00 2.716650448708694210e+00 4.147117319511409161e-01
1.442269963085987428e+00 4.307650227033217760e+00 1.928007068324125717e+00 3.860058590395195610e-01
2.567646539431578390e+00 3.058793072521242884e+00 2.937763550049101724e+00 3.473702373782818764e-01
1.483290670729835448e+00 7.207126104340546568e+00 3.107858256841047329e+00 3.206761604267202581e-01
2.156631497110127249e+00 5.242301100745152986e+00 2.837946585474752315e+00 3.059522855139583108e-01
2.697424121988486689e+00 5.458862143575024639e+00 3.595412178746701048e+00 2.124024685141081559e-01
1.750569510248480620e+00 6.046759101167923589e+00 2.445977704684040521e+00 3.048313165477466447e-01
1.363347346038622510e+00 5.665890725535714267e+00 1.780116578733737409e+00 3.790046314436702479e-01
1.661147030366073807e+00 6.148076170831378029e+00 3.306411982873849631e+00 2.494623045800477557e-01
2.663064258080805047e+00 2.864897657095428762e+00 3.665895408994171767e+00 2.452992774579726143e-01
1.160836665809595658e+00 9.197558933495495026e+00 3.097369946062792145e+00 4.080462659519640822e-01
1.859200243764503657e+00 3.983569805295031685e+00 2.896342445328822901e+00 4.689350527673821767e-01
2.564000067224958990e+00 3.793498203356085341e+00 3.217839490571158922e+00 3.868823436618910039e-01
1.889461749392953749e+00 2.183645795902199094e+00 3.624084496430926006e+00 1.999465171032875355e-01
1.418632514212765816e+00 5.501288414049171571e+00 1.790102959528074411e+00 4.279631409504050521e-01
2.687121363605881275e+00 6.233949692267670706e+00 3.620653561498999196e+00 4.343187567484660394e-01
1.394770518311926111e+00 5.220886694479297319e+00 2.375954168032331282e+00 5.565720613371903935e-01
1.961638567882229012e+00 4.560472026086235253e+00 3.435228781023530242e+00 3.314365254246533499e-01
1.683566901650376035e+00 3.616030599339831841e+00 2.815048159701851738e+00 2.050934148246254807e-01
2.378396910810411047e+00 5.185900897579351465e+00 2.717103201760917575e+00 2.098977427771233639e-01
1.479000919767350153e+00 3.488562524568276757e+00 1.837396444131723650e+00 4.290657427009543223e-01
1.873946356447253159e+00 5.403511429077216377e+00 1.966283464625366406e+00 5.521398040887901537e-01
1.912932309629122640e+00 4.631090692600374759e+00 3.338160894493004349e+00 1.990688330972503750e-01
1.656307603171578657e+00 8.328833285058207636e+00 2.794350733967670308e+00 4.224010705415401912e-01
1.056680568923166419e+00 5.337221879210813036e+00 2.205344538156385426e+00 7.183295999590938452e-01
1.842080152909173929e+00 5.567089901166251131e+00 2.918176398490038181e+00 4.239659786140429487e-01
1.562609822129294779e+00 6.532207272114888497e+00 2.426261117809882073e+00 7.194859555241714943e-01
1.081812570521773154e+00 6.388669481289099394e+00 1.961028381045751168e+00 7.279714994196826439e-01
1.419480873332490400e+00 3.143272221867500882e+00 2.808480856811716553e+00 3.114477167295640059e-01
2.542976658553566249e+00 5.653835965410245912e+00 3.823477501207614981e+00 3.731927269331160035e-01
3.630638010813892258e+00 4.746841269404070474e+00 3.860611779509332209e+00 1.682010816876070569e-01
1.424757861922077540e+00 6.541303448675813037e+00 2.801954523541519748e+00 2.217727946538287642e-01
3.183166142480274630e+00 4.317402324719905593e+00 3.429262789434868619e+00 3.941238310664051392e-01
1.694294504999358741e+00 6.457692508380012519e+00 1.882126783483675236e+00 3.517968218807377423e-01
1.589385308692430332e+00 6.447212649767390502e+00 2.231712306692788861e+00 2.340928021515368274e-01
1.360431272912292711e+00 9.022623321489730230e+00 1.698155831377220926e+00 4.039542157005656109e-01
1.469131585080671876e+00 4.256947188852149289e+00 3.137255888757193745e+00 3.040024910569339989e-01
1.588404172189397334e+00 7.152269510617617954e+00 2.354057493059937389e+00 3.039112134712415036e-01
1.100892421454204406e+00 3.557010895123150718e+00 2.270251270430357682e+00 3.238364396566846271e-01
1.221345223197031649e+00 8.823440532792368174e+00 1.815317325427784789e+00 2.959001000766443013e-01
