# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.193849998301919957e+00 5.378960872070605248e+00 3.271142105908104725e+00 2.577685672952592100e-01
1.924577388427843205e+00 6.657233429599740404e+00 4.058881800657985650e+00 4.097975617925032205e-02
8.635878090475118674e-01 4.381921955540367897e+00 -1.921038098250503534e+00 3.930038419596942889e-02
1.096450623526216583e+00 4.827842359225349433e+00 2.598806365047051870e+00 2.291223143386518779e-01
1.932192586464448469e+00 1.068474394702432662e+01 4.140854455446073779e+00 1.770503877132300063e-01
5.112192982570020749e-01 7.879572411567369095e+00 2.961947371922917682e+00 5.454557592451594189e-02
1.888792222763262751e+00 7.258984889125354556e+00 4.094994447225067447e+00 2.561219820821191151e-01
2.086349010902990297e+00 4.992747165287987343e+00 8.429437746299313083e-01 1.813028180029978009e-01
2.017285675159879332e+00 1.047621709883993368e+01 3.435849471416428713e+00 1.915346027553835040e-01
8.155024560883147311e-01 4.832193989600102491e+00 2.497396168278674722e+00 1.068478388342023189e-01
2.275367213966884794e+00 7.877389122344605532e+00 4.405946650185875946e+00 6.430722976627629983e-02
8.180091746228301819e-01 3.254096465503850677e+00 3.604361017155913061e+00 1.234281384826133726e-01
9.937863064086247533e-01 3.589654228874056940e+00 3.738320232700239831e+00 1.611483291709412957e-01
1.324014720113671162e+00 7.397210669395051674e+00 4.207977622937699280e+00 1.531898033769748535e-01
1.291318660751546110e+00 4.869245545790500174e+00 4.266100338777492063e+00 2.135668919043728908e-01
1.388779353877309886e+00 3.263798517621714801e+00 4.046624842987255555e+00 1.094085668608927031e-01
7.190865303241074091e-01 7.223194840309119513e+00 3.403695535483121315e+00 1.068609220289310213e-01
1.026399322385582069e+00 7.857978966650408736e+00 3.619980895085594064e+00 8.919815308601752868e-02
1.104963115221250458e+00 1.092601416355734223e+01 3.807737056351541138e+00 1.885577897156500982e-01
1.675023936411296654e+00 5.920116083507846128e+00 4.144491701879870149e+00 9.330647070826676714e-02
7.895004633000992644e-01 9.770567089092878632e+00 6.373208914081401888e-01 2.710894555905717374e-01
9.573134991127549842e-01 1.148998519100686977e+01 3.645034180030089388e+00 8.033663259614325092e-02
1.281008987931268051e+00 4.367824672740375114e+00 3.432715988946608121e+00 4.215212067229430759e-01
1.171355955668651916e+00 7.094543944161490145e+00 3.079896738348764984e+00 1.360901239913547001e-01
1.302858973894396977e+00 3.139681449774363919e+00 -1.040031847063626724e+00 1.076203692072070783e-01
1.342224228221429394e+00 4.208490184035917459e+00 3.741690891467381874e+00 1.076199665551820228e-01
