# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.285550963230909449e+00 6.179822379349907635e+00 4.673786929414348812e+00 4.621712453630721223e-02
1.024893695493149570e+00 7.709203151361153417e+00 4.811426316537587233e+00 8.416281777089670846e-02
9.630130920132479178e-01 5.358515054376989717e+00 4.835507445159993090e+00 8.199849670220368814e-02
1.059480022315136383e+00 6.028998130397301480e+00 4.590995651351302165e+00 7.671452560732079651e-02
9.271607931181106155e-01 6.372100540556293602e+00 4.711835686546186786e+00 4.468036377315121738e-02
1.105248358393815078e+00 7.475828258626912692e+00 4.550714526460949649e+00 1.570487314344549135e-01
1.363754540818594929e+00 4.116151094481754313e+00 4.918241873407326104e+00 1.890908842981345872e-01
1.267772636158710942e+00 5.778512182957275201e+00 4.744644988648004436e+00 1.098713028573250483e-01
1.234095751693382148e+00 6.425580939294699867e+00 4.738946065140987152e+00 1.470710794855360493e-01
1.249767735845348060e+00 6.600709858110097805e+00 4.643319119355041380e+00 3.928091993752109989e-02
1.625093674199475480e+00 5.731643241813761946e+00 4.800985833259669988e+00 3.969782572189484854e-02
1.148050544820039098e+00 1.136552625939918393e+01 4.368244805254487773e+00 2.020191501581046212e-01
1.617719449485784056e+00 3.143362756042414663e+00 4.776912265419893444e+00 1.010179539534128146e-01
1.398948064429435867e+00 7.647302527889806356e+00 4.552567190139969355e+00 2.110113303968599308e-01
1.612264086917589712e+00 5.508396284797543174e+00 4.652393263717864436e+00 8.142199526474890037e-02
1.103816898199112773e+00 5.902363746161501723e+00 4.609182775779485652e+00 1.015880999151633352e-01
9.997608763040410906e-01 9.227687523860948815e+00 4.651112250620653477e+00 7.128882230520826313e-02
1.562824820435908979e+00 9.415911079162835762e+00 4.622914859109300778e+00 6.481020978017953960e-02
9.692150262134205940e-01 3.314143427459856905e+00 4.360295833385816167e+00 1.656555942657597091e-01
1.452570975396188624e+00 6.251010634901459362e+00 4.683175667907197415e+00 3.219355964479258397e-02
1.171888776059602844e+00 5.138619657026130660e+00 4.737591350854978955e+00 2.588732379652957868e-02
8.081725602406834019e-01 8.544393678544560444e+00 4.815164427481705367e+00 2.115537963765828922e-01
8.871958699688191619e-01 7.117747710359705771e+00 4.717229563134640813e+00 8.672452401379207587e-02
1.507008927023423261e+00 3.715562875428599643e+00 4.799566321732874563e+00 7.622645540790894125e-02
1.300311964942107323e+00 7.838746451987378627e+00 4.802811449258111764e+00 2.899830117600001728e-02
1.113193703136642565e+00 3.655872284296880714e+00 4.842227917568650675e+00 2.911552122952997257e-01
1.068219046553024798e+00 7.234378482089883100e+00 4.637876804394920782e+00 6.550150165116656875e-02
1.455322884731168553e+00 5.798799467119179596e+00 4.668684821565602050e+00 9.350137015244355809e-02
8.189912826741343466e-01 2.319981222419609246e+00 4.679993052924046104e+00 7.950126456512354722e-02
9.326294865846864734e-01 8.393127010720052184e+00 4.684673367299836855e+00 1.811350224641199991e-01
1.146640312124011629e+00 6.038490035046963911e+00 4.736713450655567925e+00 9.869434046949274175e-02
1.338020656914057582e+00 9.028266504111813973e+00 4.675805926101390675e+00 2.949235571529517652e-01
1.363194231946641466e+00 4.948327269176660437e+00 4.770992508384235720e+00 1.220336863229034841e-01
1.227336142712974087e+00 4.763788310445660201e+00 4.684286750608548822e+00 1.430516783882312126e-01
1.439997258948845005e+00 7.256648744153516795e+00 4.713212819225327088e+00 7.493331082359802608e-02
1.218433076838271623e+00 5.059200064153068332e+00 4.775026495448224217e+00 8.359926295206962510e-02
9.986201146081505886e-01 5.105898652956878614e+00 4.704776753007029022e+00 4.917844745783924582e-02
1.860665914801818754e+00 4.865578815548206038e+00 4.853894564068512274e+00 6.300107274484829933e-02
1.066204799092187239e+00 9.429133325074470662e+00 4.663716236822515349e+00 1.561476665279294129e-01
1.464744444861798112e+00 9.133660599583006245e+00 4.796366692209859117e+00 1.534041964905654420e-01
9.963883614022744917e-01 7.895648822901891961e+00 4.750158026117716759e+00 2.995844072876142905e-02
1.020102423733688202e+00 4.662497914814551336e+00 4.591498702250722985e+00 1.538731905086252183e-01
1.091407429202799095e+00 1.093885763231897634e+01 4.696840605534933211e+00 3.430987742472937224e-02
1.524334317349397949e+00 5.868996758059856766e+00 5.061632406551948904e+00 2.747240549251036557e-01
9.792956896680031775e-01 4.628109155809069009e+00 4.587529684898144389e+00 1.759945567139981903e-01
1.265043641077369996e+00 4.931658838197254369e+00 4.552791829555864034e+00 2.485630853847252131e-01
1.162945228496589989e+00 6.631235576843216961e+00 4.602140511630826936e+00 1.151753068307444644e-01
1.570150142981620256e+00 2.471712622580747087e+00 5.002971916092478821e+00 3.010285582308444008e-01
8.205423176570905142e-01 6.580311374025433757e+00 4.661993936110206072e+00 1.504565507502126920e-01
1.306176057958254644e+00 4.720046757218398170e+00 4.687245842407877561e+00 3.672684050736488293e-02
1.285280452361598158e+00 8.147308864682498708e+00 4.630274310012205241e+00 1.606052322178526115e-01
1.240116473563079635e+00 8.876403162127104451e+00 4.746145651437300828e+00 6.157522406455031433e-02
1.413845156981399453e+00 3.363112549862607104e+00 4.745520998666705736e+00 9.154366578756356621e-02
1.400369678534640006e+00 4.568585076854495775e+00 4.798992533691765594e+00 1.619827577213330538e-01
1.599737895345751282e+00 7.172878821961026219e+00 4.784926895735538643e+00 7.310426857317532667e-02
1.377895143392350308e+00 1.032473263442843425e+01 4.745973314149549260e+00 2.693778648021153896e-02
1.053987117883277147e+00 4.341144036475833801e+00 4.647397041718019928e+00 1.681548824135502274e-01
7.988495292989531427e-01 5.898562334789778205e+00 4.693050904068956086e+00 6.636733984946222020e-02
1.269722080141452825e+00 6.099711352615297955e+00 4.730674659781758606e+00 1.486301358939831341e-01
1.282723713846745772e+00 2.884624206768108046e+00 4.843434960939388745e+00 1.707911121478267735e-01
1.392582212288663746e+00 4.885332453731827229e+00 4.778689147673862436e+00 1.034724477012430033e-01
1.536145134442446158e+00 4.003380764125830105e+00 4.749957267652720638e+00 3.999770736552721306e-02
9.214404712600899883e-01 4.440269725183526361e+00 4.697143720677448009e+00 2.644161314332106327e-01
1.276382154651580336e+00 5.974002066774867892e+00 4.549557372830815183e+00 1.195366786843907042e-01
1.219791385369692449e+00 5.384443835337575202e+00 4.707546433091420290e+00 2.671752729298650791e-02
1.301748677254909392e+00 6.245436745532419565e+00 4.728789709278381714e+00 5.656074953289733781e-02
1.005697191962620973e+00 6.486971766709208609e+00 4.496801855436862283e+00 1.564043288306876112e-01
