# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
2.085863978731710144e+00 5.907505976171247397e+00 4.534383622584989837e+00 9.951521768873199114e-02
2.154713830858086432e+00 6.169980855624225491e+00 4.669668811950175247e+00 1.094929122411190670e-01
1.953089411794053154e+00 3.910542385435170853e+00 4.223704976009520884e+00 1.762807914219197136e-01
1.833065545546793684e+00 7.058140941144750435e+00 4.356250606800968761e+00 1.744035284814021147e-01
1.484873255913506940e+00 5.399217515223893038e+00 4.068538568646081544e+00 1.975919110905274556e-01
1.263424432469492320e+00 6.255268008817401970e+00 4.404278959335116816e+00 2.817153379900355636e-01
1.745047859814329971e+00 4.710832685301609146e+00 4.318799670657216261e+00 1.442278752204539383e-01
1.275636034538319308e+00 4.398679119097898216e+00 4.385821983786335920e+00 9.452038215050054260e-02
1.819879148666630142e+00 4.135179181264524217e+00 4.665576936494415072e+00 1.974137318227834892e-01
1.820990117048954415e+00 4.027870173557650091e+00 4.213449849384859114e+00 1.885686977806999010e-01
1.602562595496228148e+00 4.305692961759437942e+00 4.404105490620168872e+00 1.833681995748690230e-01
2.411209411688837179e+00 3.141081439618006232e+00 4.312285205119438025e+00 2.788616868918269431e-01
1.393233101988604616e+00 3.152171528907227405e+00 4.227190281370448055e+00 3.368676612061032305e-01
1.570765398607753660e+00 7.460645602034334800e+00 4.105448555757618578e+00 2.012588434883808008e-01
1.890436371699433238e+00 6.758083606360807849e+00 4.283781944837850020e+00 2.875576214884631443e-01
1.682941886657736363e+00 5.811434790071777989e+00 4.275243533554415443e+00 2.173959507831645099e-01
2.242188175563157859e+00 5.699419160815889285e+00 4.575241551316183042e+00 1.355767899675203170e-01
1.298475641618740628e+00 3.961307043750791568e+00 4.222356034008613257e+00 2.270224804322360512e-01
1.207513739021605081e+00 5.651508646469240560e+00 4.127433484600100400e+00 1.911603729466206381e-01
1.436282020801685100e+00 5.597534027662377731e+00 3.988712771289592673e+00 1.678536632657150751e-01
1.143473819400039782e+00 4.834363584662974667e+00 4.373281613198078510e+00 1.763970129518409591e-01
2.965108993651394798e+00 3.825697278129579715e+00 4.686686912810200667e+00 1.185924609047633027e-01
1.307677632814800539e+00 8.620563982441478146e+00 4.486982497085665322e+00 2.904925376490500311e-01
1.504535498224259138e+00 3.203221859510065439e+00 4.328416301971031110e+00 3.074292750977778432e-01
1.921227168836328936e+00 8.948252965483607824e+00 4.401002794944202101e+00 2.026990964838792930e-01
1.131785834500843135e+00 1.006064121274208745e+01 4.213307601253557522e+00 4.570626845262616422e-01
1.269298900394350671e+00 6.247620573550385359e+00 4.080529457704752616e+00 4.299713185585185560e-01
1.962392696802299552e+00 4.206093580544234989e+00 4.342115307018123538e+00 8.607378457489650581e-02
1.854972390247387359e+00 7.228882282351903221e+00 4.453562796101204313e+00 1.292412573462979886e-01
1.736670138800311403e+00 6.918903205545985813e+00 4.368511000875090922e+00 1.552668932002861935e-01
1.476469245032526967e+00 3.741827493171228092e+00 4.164514074381228781e+00 2.035376757826911076e-01
1.488781901519433015e+00 7.831191081724139025e+00 4.317349310361083603e+00 1.211760370172339646e-01
1.758615716998325640e+00 5.682051853436057343e+00 4.432491320705540083e+00 1.291021853631368621e-01
1.498649486293650357e+00 7.374293810460811116e+00 4.676187353532092139e+00 2.447150468248994182e-01
1.507812570660145957e+00 5.254405486174707818e+00 4.233910160695184111e+00 1.753178361884913106e-01
1.472238921063812267e+00 8.853222815442418181e+00 4.457634028770744550e+00 2.650323826201402277e-01
1.458942917100959136e+00 7.221093592709724618e+00 4.450069138019619785e+00 2.284048416449125929e-01
1.432353677844667716e+00 3.529569156722329737e+00 4.509342181164698538e+00 1.198599717700538358e-01
1.620087842016401103e+00 9.739777636114421711e+00 4.363447562295405646e+00 4.636307233085732449e-01
1.434487281078404841e+00 1.303342990802147838e+01 3.631752695797976660e+00 2.555369901189534776e-01
1.819892385783775879e+00 6.492057228487285059e+00 4.149294139832014672e+00 2.000342477629409865e-01
1.839011359946621793e+00 5.717435505693695852e+00 4.190829243012547778e+00 2.399700893031709026e-01
2.200820409411429424e+00 4.261979074833199377e+00 4.553389075576396827e+00 2.203241218031392890e-01
1.238123096124917444e+00 5.173425001920442412e+00 4.133170933075259512e+00 1.987864166096220409e-01
1.654271819172177471e+00 3.522759149835449577e+00 4.803378604409092922e+00 2.195113733280790180e-01
1.542538955362346309e+00 4.009104014637513203e+00 4.390563724499804366e+00 2.360591357264660850e-01
1.697492052874458812e+00 5.382778316427141441e+00 4.455750715448371757e+00 1.738178888388079990e-01
1.938769740559926458e+00 5.519355171053425657e+00 4.384320600577854776e+00 2.082258691251870908e-01
1.327965222247043497e+00 8.827038950933602024e+00 4.285395129927628943e+00 2.434163830985945076e-01
1.366752869798179226e+00 4.137644613298848917e+00 4.130230353978488367e+00 2.457250126114073341e-01
1.544039401723671823e+00 5.946363484727350546e+00 4.259418539173418949e+00 1.532468008499405787e-01
2.114081097900440742e+00 6.506333566015818803e+00 4.544180095952906839e+00 1.544502690804101519e-01
1.131612151080872986e+00 4.604426838081494999e+00 4.711564188989071589e+00 3.239775889232231476e-01
1.494229796314961112e+00 6.038993914557084786e+00 4.411596591711710147e+00 2.983092474861007148e-01
1.800532639654406575e+00 4.929927161341283615e+00 4.399564160006381286e+00 2.424973064260564359e-01
1.908651069906199815e+00 4.365797223497651203e+00 4.390727972052125949e+00 1.598809503275578914e-01
1.674800315874831469e+00 4.404195722697312299e+00 4.659185212573039969e+00 2.710181544284074873e-01
2.398602520728488230e+00 5.611670907901164185e+00 4.453358466942351157e+00 1.031223711741861282e-01
1.938127382353503902e+00 3.511735381362594222e+00 4.429549389955988126e+00 1.907272174381994534e-01
1.149763054024308451e+00 6.502099309567783259e+00 4.005921600947409900e+00 3.313551317932732498e-01
2.107464812781650210e+00 7.375597943451060345e+00 4.357314892606279244e+00 1.115267113908912505e-01
1.192660477711388500e+00 5.288459405136351599e+00 4.180024395912234070e+00 2.163734449183601916e-01
1.800213920832598680e+00 6.090079714310483894e+00 3.932448488630398309e+00 3.359529511620429898e-01
1.891792337472771646e+00 7.319667862402679859e+00 4.537604984232688210e+00 3.963267107883607365e-01
1.447175239971877136e+00 7.574743557814093364e+00 4.555959146374696900e+00 1.788410071577773985e-01
1.539676921875103854e+00 3.934067483867872195e+00 4.056427146035259668e+00 2.889572658978847297e-01
2.803095122914876836e+00 3.152890530139077274e+00 4.527023483745100663e+00 1.402033859084035605e-01
1.417118207163259980e+00 4.005602727847330513e+00 4.265541001298225332e+00 1.946202831533443700e-01
1.945181123214041019e+00 5.093548024311137290e+00 3.876484174348936662e+00 3.523602375490951788e-01
1.456109977591421245e+00 3.275718605595275612e+00 4.072286084992403410e+00 1.721479091242096582e-01
1.920592048389957451e+00 4.167997642806179570e+00 4.366968408757181841e+00 1.035651709366050832e-01
1.395996533717783095e+00 4.959237273244427868e+00 4.403133661589286874e+00 1.118885433756283965e-01
1.936067716069938882e+00 4.246076199658009642e+00 4.093276891107632487e+00 2.407016185812010656e-01
1.012128696553250773e+00 4.558899278967270874e+00 3.942825967697087375e+00 5.467972708462850440e-01
1.810742375859567099e+00 4.817416366887667500e+00 4.554044259328460242e+00 1.597298715333798635e-01
1.532411641677096314e+00 8.405361631612887408e+00 4.202965238845061791e+00 2.113553365477214563e-01
1.715914171723183612e+00 4.670143485856523391e+00 4.179767028592674016e+00 5.884978017382853643e-01
