# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.179626644255737711e+00 5.813369895254151487e+00 6.053233453903774652e+00 5.736088628477928886e-01
1.514140184100896791e+00 6.826992077770972500e+00 5.769360383162579708e+00 1.669278144520848495e-01
1.392805768428029056e+00 4.980877092430760378e+00 5.606425165273456024e+00 1.446980879785330076e-01
1.248534535522803024e+00 4.728252668083146482e+00 5.485680094096429649e+00 1.941868984555252808e-01
1.182739154990405606e+00 5.927349488565360147e+00 6.067728498335569931e+00 2.620702154303124476e-01
1.118637981512585755e+00 7.823045349350654654e+00 6.190166913365566792e+00 1.501262547021262883e-01
1.016955057006089902e+00 6.191965837470356782e+00 6.044170007524338750e+00 2.618990925135043502e-01
1.207597543415018793e+00 9.519268500158593937e+00 5.945141877502275740e+00 1.755429216484985233e-01
1.178655156113044500e+00 1.041890136795070099e+01 5.821892421082641711e+00 1.185132250478824201e-01
1.836587283183084951e+00 3.028409871336773751e+00 5.955697938627959154e+00 2.318323868797171061e-01
1.148964298279645302e+00 8.340775650044353284e+00 6.548552662595988672e+00 4.394048536081711642e-01
1.020168738898365790e+00 4.943456886988531807e+00 6.058580730519402380e+00 1.192873095552696855e-01
7.622186493967288978e-01 1.228644360287887061e+01 5.733335692152455643e+00 1.475066185116635509e-01
1.047317111774086484e+00 8.587022788118739314e+00 5.786414780146281522e+00 1.346754687911457249e-01
1.163956372888423241e+00 5.365130983424879929e+00 5.968416221601446914e+00 1.910344007764716578e-01
8.983845401286886245e-01 3.461021750289822396e+00 5.341296853523343380e+00 3.619852491570089148e-01
1.187491417554757511e+00 4.980897550063918544e+00 5.832647521909799515e+00 2.581718889694614161e-01
2.193780018505357532e+00 4.429516538023241523e+00 5.434294800833705530e+00 2.549674185890346001e-01
8.570002825278111303e-01 6.337544158050044452e+00 6.008564578483032825e+00 1.061517861382370587e-01
1.077489200052953233e+00 6.950159938338945409e+00 5.931184465145040718e+00 1.433986099716522689e-01
1.087447764299606545e+00 8.390162139319286894e+00 5.663928858494714724e+00 1.410671957522879605e-01
1.778454884493712918e+00 8.501931587472386198e+00 5.675516343875314895e+00 3.173849167118368841e-01
1.254524661530418417e+00 3.903002265641929647e+00 5.755358877346973934e+00 2.535234695653252324e-01
9.916738708981648331e-01 4.986262462894723413e+00 5.793759282277273215e+00 1.901776557344942720e-01
1.156744327606062051e+00 4.582740648029904662e+00 5.667296003726396414e+00 8.967475483431830430e-02
1.682147201329158737e+00 8.188970627095207178e+00 5.897628870779190180e+00 2.640926117659922467e-01
1.719817184790445097e+00 3.653664957329882501e+00 5.940051323999642641e+00 1.753343926445393164e-01
