# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
8.980080841498309097e-01 4.967561263207823430e+00 5.567745506208790829e+00 5.828162874075923927e-01
7.746264047136509623e-01 7.953740919290500422e+00 5.791549040799421455e+00 8.489969675403014060e-02
9.205749884895011448e-01 1.128312313824610769e+01 5.734772423859096691e+00 1.182709115800928829e-01
1.036015821264939518e+00 6.793738953077380849e+00 5.729762116075189482e+00 1.576827468557449596e-01
9.433006576307451096e-01 2.999661831863130512e+00 5.795819479848863587e+00 1.175985039541782573e-01
7.415851540445824730e-01 4.781109126332345305e+00 5.835014947112502348e+00 7.128983518991138801e-02
6.816440819448063015e-01 7.681261563899763445e+00 5.917384987205060121e+00 1.474083494721405152e-01
1.095967864545264403e+00 2.766079746415129215e+00 5.854003115900063392e+00 7.714890425332307511e-02
7.902234006487820483e-01 5.038154599787212362e+00 5.843014581912885141e+00 2.615215841977342609e-02
1.003470908604707779e+00 7.422681429844701029e+00 5.732487070574464383e+00 6.973301206391088747e-02
9.820034330107846321e-01 1.137544400237666764e+01 5.739084795106731640e+00 1.400667036139132959e-01
1.030070034040387661e+00 6.939470481796751855e+00 5.957738670386947710e+00 8.149513810471138708e-02
6.612778473583842409e-01 3.841525946577569517e+00 6.000930092398562898e+00 9.796612285818011301e-02
1.092203143971959056e+00 3.974778282886653358e+00 5.862100643049100057e+00 4.746624613294872508e-02
9.569946513712174196e-01 4.327348076965609636e+00 5.954636478567212343e+00 1.208067473243491785e-01
8.560233476931359275e-01 7.976685831995233400e+00 5.778462178989275166e+00 1.762695152662021592e-01
9.491842335752704862e-01 4.618698189691198053e+00 5.657757373314169058e+00 6.520686416540283359e-02
9.162114989920171482e-01 4.197394524456900200e+00 5.860188068614664125e+00 7.997302598540578789e-02
7.937243797558869440e-01 7.946369236124917634e+00 5.961801171744098404e+00 2.197248460727451447e-01
1.204008709130292232e+00 6.840071556944083753e+00 5.834084682164653479e+00 1.944388365758316639e-01
8.035392067645609204e-01 3.015533825814013191e+00 5.781755653856735400e+00 5.346833319905325288e-02
8.666849637972955378e-01 8.750768996960465174e+00 5.828282876448929173e+00 5.524079566378194833e-02
1.118353872907350999e+00 9.261842135377781560e+00 5.744215173416241882e+00 5.220068966560677259e-02
1.155756322882347087e+00 5.776977845484623231e+00 5.723075787472859055e+00 1.160128274257385128e-01
6.869025552298466675e-01 4.879125580759023251e+00 5.876021027053451640e+00 1.275081994276243136e-01
9.844749693149102976e-01 4.896648241513297251e+00 5.857813320757561115e+00 6.490741629187139761e-02
1.352069953409642089e+00 2.833661196740766997e+00 5.720697580001380622e+00 1.205259729475120639e-01
8.212517274015151969e-01 5.336752840740682124e+00 5.866588943735384198e+00 1.068780905331284531e-01
8.705266066319320428e-01 2.715211722328625399e+00 5.612038548887363199e+00 1.579392603746576362e-01
1.049488791669765497e+00 6.516865908029568999e+00 5.617832481764900798e+00 1.159521323187443359e-01
9.651586381569772222e-01 5.912586008106192281e+00 5.850542654758667638e+00 1.742308813224363595e-01
7.079862231086504476e-01 1.223945599221478808e+01 5.416337051325252006e+00 2.627228303617177296e-01
1.020930356520773241e+00 8.145688103805840186e+00 6.050107160404112783e+00 2.449998461410994866e-01
1.265482141704324937e+00 5.715396824294770362e+00 5.840040943738569190e+00 5.011720210147381505e-02
9.173208738803557694e-01 5.898392780875067132e+00 5.828102277487134941e+00 1.381952132856907045e-01
