# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
5.596855785940876515e+00 7.172465920201407386e+00 4.892720490858314619e+00 5.762517713184424351e-02
4.251104935152710596e+00 8.966729547776333575e+00 4.892770536557439875e+00 8.933614950596971416e-02
4.317176202019390452e+00 4.918600918940644995e+00 4.840361830949635902e+00 6.514893011210261264e-02
4.232982025642557211e+00 6.362822307083908946e+00 4.748554118003651681e+00 1.975032647711535139e-01
4.825376352718605766e+00 1.063867125696263294e+01 4.832550411077402686e+00 6.385424977842137084e-02
5.429808130908936548e+00 4.443979640402634601e+00 4.861787272719388930e+00 3.453165459630899714e-02
5.058571814976474457e+00 1.123042778897806038e+01 5.055747993340006019e+00 9.403049774288907425e-02
4.683798027981336709e+00 1.021246836825937088e+01 5.028761656380527967e+00 9.146216487344240031e-02
5.086985164588456954e+00 1.052289977762509743e+01 4.814084047972345459e+00 7.899740788060805041e-02
3.518118235521689119e+00 4.464190682967433155e+00 4.763978438645463775e+00 8.337301176295729144e-02
4.196219430332212674e+00 6.969332154368022003e+00 4.896149116381937283e+00 5.028806183717886985e-02
4.539169299764592935e+00 7.048507346091497539e+00 4.893233754131677493e+00 6.154677765880230828e-02
4.029621718215095072e+00 6.675723661069950410e+00 4.986434151572562534e+00 1.585071795608050393e-01
3.754920664169100863e+00 6.760223839713824567e+00 4.854014294850660605e+00 8.838039984919990322e-02
3.260630454140870604e+00 4.551008478682382119e+00 4.837764081411318529e+00 8.430248271923264369e-02
4.962989348287274893e+00 9.990874285085878270e+00 4.964939843665688635e+00 8.081961101194203023e-02
4.993868022031772824e+00 1.381346993484538466e+01 4.986825168427673205e+00 2.039393514023313259e-01
3.880826109362263576e+00 5.173582755289253043e+00 4.797627042561527944e+00 1.446734232972438083e-01
4.105413670280148253e+00 5.847369335813611180e+00 4.905935596847826652e+00 5.612150144595576262e-02
2.847588725696825751e+00 2.635672743423533859e+00 4.889204801040140325e+00 5.695759684103429699e-02
2.146526497516120457e+00 3.339558773453144891e+00 5.095625064495551193e+00 3.459828701268187201e-01
4.193199270926267985e+00 7.171244105806401592e+00 4.898073684383383863e+00 1.056753208670511424e-01
5.098791365349233828e+00 7.135458021161900533e+00 4.888329085585937150e+00 5.694294590236537862e-02
3.585307505521872162e+00 3.872586444979135401e+00 4.885646893850656092e+00 3.061431376467806456e-02
3.728316915179636482e+00 4.979564634566813197e+00 4.860428829261472572e+00 8.890061507232402405e-02
5.307273780374909045e+00 9.067135915933816293e+00 4.962098125661846382e+00 1.133404524709135525e-01
4.428792446568277974e+00 6.273146458749078391e+00 4.892604457788938710e+00 2.648366935432400898e-02
2.397025741461761505e+00 2.434953863322053991e+00 5.074668391709245441e+00 1.249652318369343373e-01
4.776514799618051477e+00 5.349088499292183663e+00 4.929501232613311856e+00 9.211071068013276797e-02
4.694533571835557417e+00 7.376161612999644568e+00 4.903498384734158222e+00 1.104030134786811029e-01
4.521546723049707062e+00 4.394443774195000429e+00 4.956949363556733879e+00 5.600788958594112715e-02
4.294521313174263000e+00 4.983221044107159159e+00 4.884069728833559942e+00 1.111978501613348630e-01
2.829956878640662143e+00 4.631552079079903628e+00 4.781360814702745543e+00 1.069609243564400985e-01
4.026692583155162097e+00 5.941479959242140119e+00 4.763097696870315367e+00 1.076391967400198019e-01
3.011082268886368318e+00 4.693546557671680830e+00 4.881171591296919132e+00 8.916022122663436189e-02
4.218687515557753009e+00 4.490236348748102735e+00 4.919712774902605723e+00 2.155116091226570718e-02
4.654737538097336369e+00 4.853852340559833500e+00 4.905317204667531961e+00 2.358986344228566553e-02
4.054857493567188165e+00 4.187678010189777034e+00 4.933277018576696982e+00 5.659895351211614856e-02
4.136921185060511874e+00 5.062906555739160375e+00 4.816490897690480111e+00 8.260760284374867035e-02
5.171599847672156969e+00 1.365805094550833410e+01 4.854891246193936638e+00 5.313082355823447317e-02
4.122832996900035241e+00 7.819959687955329031e+00 4.935931998753834371e+00 1.123256858815013803e-01
4.497523846231282540e+00 7.469358436376541732e+00 5.050552083414545201e+00 1.178762216090527559e-01
3.660169897666408101e+00 5.339347035229683236e+00 5.007741019004194882e+00 1.109920275670184669e-01
3.920720443808112687e+00 6.300303394590017092e+00 4.778503067789891645e+00 1.342132388486092787e-01
4.447219935437565219e+00 1.023269523902128952e+01 4.977039778528565606e+00 1.407364569242872121e-01
3.873100888576053169e+00 3.886404869666564732e+00 4.877688149983947952e+00 9.495336882604832329e-02
3.761782288431636534e+00 5.500572364796598279e+00 4.977461319219784741e+00 8.039241078765038684e-02
3.584381512737608855e+00 4.182200102723901303e+00 4.882272503180056233e+00 6.065493642297732635e-02
3.254721258829305963e+00 6.001788582498146063e+00 4.872841230592475981e+00 1.528993058083802370e-01
5.044176632452796127e+00 8.301329192848315941e+00 4.872654698463496636e+00 9.145970120320223717e-02
2.725489791495836922e+00 3.955061362945312187e+00 5.018738268831286931e+00 2.208724231802155213e-01
4.826189735241136702e+00 1.032420551797291353e+01 4.785078011686817234e+00 1.870661910306030129e-01
4.330166666591010127e+00 4.493964405668678275e+00 4.909780714591322592e+00 9.192789478222412880e-02
4.829576619415149707e+00 5.834230650300914256e+00 4.915406008492690937e+00 9.880089028358679526e-02
4.313846867337202795e+00 5.724353097984870686e+00 4.837504871850522470e+00 1.253444249074666950e-01
4.081765958460978894e+00 5.534048274538796441e+00 4.861956904380019040e+00 1.025383311036262290e-01
3.799326510755932862e+00 5.213321765794507456e+00 4.939424007310123876e+00 1.398694696167858131e-01
