# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.007964118026368316e+00 5.045487163122942320e+00 3.829384184999435448e+00 3.044665784688227461e-01
1.240016875193231671e+00 8.078892694085256565e+00 4.712721991635646646e+00 1.014765519280840106e-01
1.030381862785786584e+00 6.598452606442964274e+00 4.467122252801191351e+00 3.213355648286746469e-01
9.474964501189593324e-01 8.375890564025748830e+00 4.509430900303426526e+00 6.088782778424764452e-02
1.171210994008027306e+00 7.702373242570543788e+00 4.934086267740775966e+00 2.461793468184307609e-01
9.682310577457424738e-01 6.219699345927168110e+00 4.364253730051886215e+00 5.333804369363837061e-02
1.249724220792997276e+00 3.196775621499548414e+00 4.832733395738497251e+00 2.236574102323080418e-02
1.085321742952003454e+00 4.763858729775487966e+00 4.459513960745341343e+00 3.495463253600757381e-01
9.961769636413794204e-01 7.515357081902544145e+00 4.624223311087682475e+00 3.168660453990685549e-02
1.145947330690900934e+00 4.205428830377142546e+00 5.147656659606900220e+00 2.725885867777270155e-01
1.250249830306504606e+00 4.938995903373651686e+00 4.910062589017050172e+00 1.836835479224369627e-01
9.629336707053385291e-01 5.605692334690165701e+00 4.951043214614776922e+00 2.931990796070617078e-01
1.010034641899482777e+00 7.797186052397553802e+00 4.385732343453563331e+00 1.133552112818917990e-01
8.175045774145337507e-01 1.024910510596026469e+01 4.529943944409485113e+00 1.653595956473380979e-01
7.761968845922578852e-01 7.485648294203433473e+00 4.583977267006262402e+00 1.088725183516562750e-01
1.191285306318250026e+00 3.856947438698249186e+00 4.671502956275469742e+00 2.204097900405651081e-02
1.928156563067814577e+00 4.077132605858543535e+00 4.930116053065874304e+00 8.876499564633641426e-02
1.167863584877888439e+00 4.783599144850586349e+00 4.642649009607645816e+00 5.839991751552700561e-02
9.484385982932187487e-01 5.011986558450103324e+00 4.504820160167624543e+00 3.484460500014116002e-01
8.602492476756610218e-01 4.294281377445511971e+00 4.480238255314713314e+00 6.459097379604623879e-02
1.263494034338072947e+00 4.433020343782731132e+00 4.708370336976560822e+00 1.727869225411388654e-01
1.091496589914517923e+00 3.717066793894067800e+00 4.686770660131807098e+00 1.099679140029930086e-01
1.677817824886028930e+00 6.138894855716717558e+00 5.112886950639973449e+00 3.151904214438645546e-01
1.161027329681399545e+00 4.988937731693780187e+00 4.522944999197800797e+00 2.408308786462606821e-01
1.014620554890970583e+00 5.539097294310519004e+00 4.339150721897162555e+00 9.398920658342380108e-02
1.125593726471666667e+00 4.966696337120999338e+00 4.701737123114350325e+00 2.235252488879963528e-01
1.188569608863370819e+00 3.975617749870696827e+00 3.960052601820960749e+00 3.794763015355304692e-01
9.422624331227746897e-01 6.018348371050160850e+00 4.706727492692741599e+00 1.740728493445894975e-01
8.002112050645029395e-01 9.498182737245576490e+00 4.589584440025959111e+00 3.816867378246903142e-01
2.210802903103911365e+00 5.328644410856254510e+00 5.024216602934792775e+00 2.083736679469207209e-01
9.810765366726967862e-01 3.322216544985678865e+00 4.636731386502555452e+00 4.272941121942194220e-01
1.121348156499951676e+00 5.197920768739363595e+00 4.457802352894654874e+00 1.479857879541880694e-01
7.675357623871745805e-01 8.717002657510747099e+00 4.182507282914158964e+00 1.915718030869218158e-01
8.609004945929882302e-01 6.144272683853085226e+00 4.592657095101660758e+00 7.044523026564958323e-02
8.445415048025355365e-01 2.424691181407226725e+00 4.513831113667695405e+00 2.071077870418281397e-01
9.570406006197766935e-01 5.592882694245089326e+00 4.708809158115751181e+00 9.285077640494587836e-02
8.531993307589970099e-01 5.844480327625255711e+00 4.731357404028942781e+00 7.831910703170216759e-02
9.788185816129832961e-01 1.201907062241077284e+01 4.637896780843328237e+00 7.816219862490852988e-02
8.644658031566301304e-01 9.937326490520282718e+00 4.461855761680023846e+00 6.577136444323325448e-02
1.504391156665911389e+00 5.265843601824181874e+00 4.734854816403872846e+00 1.308140195938100325e-01
1.281590016442320401e+00 5.080184482353555353e+00 4.397800915116230058e+00 1.480165339417260084e-01
1.041075840881722003e+00 5.593846070493524891e+00 4.738988834526108640e+00 2.280438457636266847e-01
1.100205105032040276e+00 5.219542733746177277e+00 4.666083633404492836e+00 5.653885463538869255e-02
1.044822956256588276e+00 8.223382739124835084e+00 4.895911294995311636e+00 2.517683899686683491e-01
1.443164702610164829e+00 1.407533170107986997e+01 4.918433069818221703e+00 1.497100838843756776e-01
1.117902307866474043e+00 6.217416504022839518e+00 4.775715321416768688e+00 1.712328418761664139e-01
7.110863015601170956e-01 7.949436688111909177e+00 4.374507778867488206e+00 1.144983003846253844e-01
1.722927452475467636e+00 3.361054590935168562e+00 4.855156569687130386e+00 1.878031138139019396e-01
1.228235567468055622e+00 6.422033392045637612e+00 4.805720178837134426e+00 2.164048396233480553e-01
1.189413347670124965e+00 9.798818564851123014e+00 4.597127846206748636e+00 2.436876961979748124e-01
8.962741840496966095e-01 8.022493992081521696e+00 4.441932645079590181e+00 9.612799063997719273e-02
1.299868955356521916e+00 9.462967027238168072e+00 4.600160153575624022e+00 4.015892594515297481e-02
1.039551690828838693e+00 3.969797556361090329e+00 4.632665578866555833e+00 1.059733852187815240e-01
1.044726902552794545e+00 9.387951470102953166e+00 4.611149147360586120e+00 4.285351576124593609e-02
1.799615986631110998e+00 3.974395917160777003e+00 4.871610312853023039e+00 6.477329432908210394e-02
1.214561280138239940e+00 4.794650268268812354e+00 4.870176069895800985e+00 1.987130958469463249e-01
1.498058995558480211e+00 6.037464062875787185e+00 4.588408452394058479e+00 1.237704067578802442e-01
1.590656492074693951e+00 8.195711915388134372e+00 4.687716608305724897e+00 1.707455923001311160e-01
2.200512443323204170e+00 8.118996702670983723e+00 4.987463081320690605e+00 1.940058625380851332e-01
9.181525834334377523e-01 6.127945009980083846e+00 4.701753571891264194e+00 1.829603448524289577e-01
9.118642208228875390e-01 5.208562248272814443e+00 4.541764221930719714e+00 2.111435727789451322e-01
9.707458939338062809e-01 3.931700231006457713e+00 4.875650046504868662e+00 3.023670715906057183e-02
1.225690221107605726e+00 1.046679901079827246e+01 4.610341936431644250e+00 1.242177872872403249e-01
1.243639184578366974e+00 5.067602394599768800e+00 4.714075462173222597e+00 4.895310780433045905e-02
1.153985095719200160e+00 7.200764553876116025e+00 4.478787177201627223e+00 1.952592023945271538e-01
1.193199572197219060e+00 4.493744396291229570e+00 4.685550211738849669e+00 6.405338528287098099e-02
9.170619389663274834e-01 5.994368709912577309e+00 4.256659341003753205e+00 2.700116918961856238e-01
8.766968796576513068e-01 4.935844304286084672e+00 4.445095290590954207e+00 1.925687409873574063e-01
7.827726742726059950e-01 8.206369934664635934e+00 4.324222803993382769e+00 9.741959096458231715e-02
9.809551450600298983e-01 7.049160142152459230e+00 4.606067012730935772e+00 9.241047987223842408e-02
1.257179985874386174e+00 5.656661526943262075e+00 4.665013324888485080e+00 1.271615513220038518e-01
1.114479516583620988e+00 6.868179952249757747e+00 4.616292673676045233e+00 1.757815292907625448e-01
1.145829474131543790e+00 4.542519110339693356e+00 4.587720526507061969e+00 6.721507104009002975e-02
1.841124070918270794e+00 5.387037202887285048e+00 4.612050052611524897e+00 2.766884645029111245e-01
1.095700706002578739e+00 3.698966017083672675e+00 4.687188536029783137e+00 2.293087420170429880e-01
6.581697545058854404e-01 7.115949050826384514e+00 4.255002533414509180e+00 1.534874257573237699e-01
1.646397053749748096e+00 4.325731651152910473e+00 4.474660095251812741e+00 2.490944182003329566e-01
1.342996902570408935e+00 5.258623518424169418e+00 4.579195445272145726e+00 2.524406490390145308e-01
1.481999944367728528e+00 5.528676116968538778e+00 4.898043608369486712e+00 1.545234575480649297e-01
1.173707399691177322e+00 8.344154108119839819e+00 4.705055814826175187e+00 2.027373236069445750e-01
9.998061004167575483e-01 4.683314260283362174e+00 4.495089884108622869e+00 1.146646366591242833e-01
1.239902213690683874e+00 5.894370894224186586e+00 4.687497173978816711e+00 1.149281424534363688e-01
9.933273298134499552e-01 7.313346667747992136e+00 4.471638389715927531e+00 7.365130747332382377e-02
1.062465212944076809e+00 8.239332345014950931e+00 4.360648590816689207e+00 5.542055074213469990e-02
1.372648050309843049e+00 3.323963992039479898e+00 4.725981334572036729e+00 2.201372038946888821e-01
9.205436438666123600e-01 7.371393897108606375e+00 4.539242842843999703e+00 1.028486266386855474e-01
8.227437345544230674e-01 4.237209636569374993e+00 4.269655838462338870e+00 8.439966928193191886e-02
1.392447358216213349e+00 4.588777704853926664e+00 4.735250504822364093e+00 1.183567919249723654e-01
2.048700753269415920e+00 3.444553293839735186e+00 4.697343102196655629e+00 1.047036721636349227e-01
7.828596777621701364e-01 9.789966611633008853e+00 4.438015837558663357e+00 1.674876557024540247e-01
1.155451587651251222e+00 4.919720833466302068e+00 4.568636022929874585e+00 2.245914104707437131e-01
7.839934262386145658e-01 5.472539060279873802e+00 4.247653533509959445e+00 9.844750192465434591e-02
8.143959029570387864e-01 6.129271160957923570e+00 4.454502724332242813e+00 1.302697895944097128e-01
1.130333968212604123e+00 5.926872365659631825e+00 4.470403960917582076e+00 2.414524633468473902e-01
8.742477573374707323e-01 1.039207209550806965e+01 4.627593785097131374e+00 3.314201411548991505e-01
1.026913192751151449e+00 7.984036788289489373e+00 4.572246548407541411e+00 9.830043206267033429e-02
6.150402515042643348e-01 5.952957848656068585e+00 4.841094638349653145e+00 5.804786730883003676e-01
1.076711664308655170e+00 3.629280372770496754e+00 4.667668204476249194e+00 1.828929099795664759e-01
1.979718114238529170e+00 5.756203727672213333e+00 4.877338894628875821e+00 5.921554974526076209e-02
