# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.949909620165777957e+00 3.531784159342238993e+00 4.898667209509327769e+00 1.190320386618786419e-01
8.777935377747656531e-01 3.707283070697508620e+00 4.899955636541321269e+00 8.557085374181092052e-02
1.198582250931904181e+00 4.258407616184281430e+00 4.482095594068928435e+00 1.637990224342178169e-01
1.250354541361802019e+00 2.513572136398608325e+00 4.845238076447808240e+00 1.833833132174542413e-01
1.530024733309212515e+00 7.591633458025568437e+00 4.832101798289692773e+00 1.459331864539675505e-01
1.623176338379330064e+00 3.639469079602414503e+00 4.897555076306903565e+00 7.723887480962876584e-02
1.336935080634977346e+00 8.408984690434106568e+00 4.812394804854310593e+00 9.986025329658619609e-02
1.420409625745608917e+00 6.788639035678748712e+00 4.768481475660641067e+00 5.415362672428669644e-02
1.254551729907671831e+00 5.543270567068616650e+00 4.709578255682224324e+00 1.459928689808191737e-01
1.140652892130522567e+00 3.671938472730234437e+00 4.908692382845122104e+00 1.310286083093919751e-01
1.159168973153459126e+00 7.725308146263267339e+00 4.660935311520018054e+00 1.330389614228661421e-01
2.075673812003405061e+00 4.721926957608783226e+00 4.940575258379335644e+00 3.938527161343142319e-02
1.681802061531751047e+00 3.254696546519689981e+00 4.927569433748875127e+00 8.150390144670732750e-02
2.290155118929484868e+00 4.950628072948255465e+00 4.992142119356634211e+00 7.509992661048352225e-02
1.965088842070183528e+00 3.848901271141538238e+00 4.975625002973599997e+00 6.164914245820638655e-02
1.985185074714896469e+00 7.116612065430135914e+00 4.978333334622425888e+00 1.423841345268946068e-01
1.579682933089457508e+00 6.860355410378208063e+00 4.938028018182500034e+00 8.667791616660555643e-02
1.643082109306752470e+00 4.013345298811730189e+00 4.873028965963687398e+00 8.577903380731961847e-02
1.167353841558668837e+00 4.679543199328804803e+00 4.795470078129529412e+00 1.736938191118105324e-01
1.665230613590058528e+00 7.212468498444335907e+00 4.811406527306028025e+00 1.100255019369834192e-01
1.363216238595793994e+00 5.070003229640061448e+00 4.683111323075609178e+00 1.877604657011800737e-01
1.601908114317323717e+00 4.137658827173077647e+00 4.854756045264727149e+00 5.716214377867452623e-02
1.433177859522241748e+00 8.496832482396630581e+00 5.033875045572426821e+00 1.395426240974532717e-01
1.748641861108831463e+00 6.298509236570710712e+00 4.860420768865649777e+00 9.866752793304567337e-02
1.558001534997049076e+00 6.560411840657428328e+00 4.878520668442674513e+00 6.908901816057928802e-02
1.695061685216009861e+00 5.721467624970291155e+00 4.779141024230860957e+00 9.306996060824668238e-02
1.312561291291430621e+00 4.967198958971033917e+00 4.916192279020886957e+00 2.239877120752891970e-01
1.548150818251414984e+00 6.794071424724585029e+00 4.787781922752391672e+00 1.485295050668968830e-01
1.543547256783843080e+00 1.049702598701116329e+01 4.795099934141584086e+00 1.357878479568629948e-01
