# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
8.271222722367811420e-01 7.790108469621813470e+00 5.532745323864121545e+00 2.137151299311799146e-01
8.397897737883414093e-01 7.431755713586623457e+00 5.489968675112527841e+00 1.560009624973982822e-01
8.348666094052833442e-01 6.793597571939643309e+00 6.042534576034846339e+00 2.322087166270526137e-01
8.790940930736825809e-01 9.295263528361310534e+00 5.632253898996604669e+00 1.627232148003829315e-01
7.804455519670687735e-01 8.673941860151643368e+00 5.149403821370171386e+00 1.227874599787499021e-01
1.292961417902867671e+00 5.244216877349399120e+00 5.211598788863410547e+00 1.399836640033873258e-01
1.182921104896702769e+00 4.773498943165599862e+00 5.508591043570677748e+00 1.003896462030461484e-01
1.201586178244183678e+00 4.173753509940612894e+00 5.525133065759574968e+00 2.156371688223048255e-01
1.016069638025290933e+00 4.971408093383090865e+00 5.320160450466668856e+00 1.576387394789668384e-01
1.044161081242400257e+00 5.984074249868924333e+00 5.422789365374335979e+00 1.378527897336904451e-01
1.097429654193227799e+00 9.602463415338531760e+00 5.452589373334508771e+00 1.085088118327691281e-01
6.150224037005657118e-01 8.302244255658173699e+00 5.672882102559214879e+00 1.218942589987079689e-01
9.548642073431973243e-01 6.351800413161153180e+00 5.365584360080146276e+00 1.606940545751326110e-01
1.114024315720853364e+00 2.486960201776349688e+00 5.361249109221102316e+00 1.714678102249853897e-01
9.678639630042756847e-01 5.952941447602810854e+00 5.206049763094950933e+00 1.800969124434596003e-01
1.073725397825686434e+00 5.590918886348625882e+00 6.047516624469331248e+00 2.598813612228915715e-01
9.159810939967620858e-01 7.640909912596112186e+00 5.202892300198486808e+00 2.186316419357623719e-01
1.278297658581809548e+00 3.296801653160262191e+00 5.237457726103142086e+00 1.446575034522089853e-01
1.362684484165405996e+00 1.489852736477520345e+01 5.567527000378571955e+00 1.560632025746439694e-02
1.009969561707117158e+00 8.595505612925297356e+00 4.878021625764906055e+00 3.161606355474776975e-01
1.007852053492036992e+00 7.042707141391308490e+00 5.461706196945709912e+00 1.114832722674983095e-01
1.172022641047322455e+00 5.567949356818181705e+00 5.364143998135798341e+00 4.439845252371597134e-02
1.092684374909899114e+00 6.215864495995752748e+00 5.329006201929797015e+00 2.092918435767179286e-01
1.262072928328265009e+00 4.182233019905579496e+00 5.346079818285956797e+00 1.407788871104872497e-01
8.299472687575804031e-01 6.957833705987039430e+00 5.410087120934403693e+00 3.005560632654709630e-01
7.702902452434945424e-01 4.915551551737473268e+00 5.449892522932344718e+00 6.170095435132631062e-02
1.070700609810782744e+00 9.234015529899862074e+00 5.537514524967691365e+00 1.258286165109722965e-01
1.181114051609188476e+00 6.938943473161630848e+00 5.331994836539966087e+00 4.855613156883804155e-02
1.218681516096303596e+00 8.431721425326822228e+00 5.490528162386478783e+00 2.905479301448775087e-01
9.120829045291543036e-01 5.903981347821941839e+00 5.466842959019075465e+00 1.973928690164833966e-01
1.252809085495094177e+00 6.229726622582551165e+00 5.391774627804186260e+00 1.009664779139829716e-01
8.646929738114598196e-01 6.353391351300109235e+00 5.655597546886995453e+00 1.443951853354491499e-01
8.265367005831625313e-01 7.373036106495979958e+00 5.540549591375953931e+00 1.263178762048534631e-01
9.474876219721062309e-01 3.455423432251681248e+00 5.609380777044905564e+00 1.717923918352156354e-01
9.398187958800670039e-01 3.074427014688512649e+00 5.346974736090829516e+00 1.432384778011043802e-01
