# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.183238304934794316e+00 8.334989768513430874e+00 5.290078214928884748e+00 1.922750974173154659e-01
1.246274336367790614e+00 9.086842308537367074e+00 5.386407551006223926e+00 1.620217932300305197e-01
8.678456052872951521e-01 5.218554743155388920e+00 5.395555594403997013e+00 1.209922259036119857e-01
9.676904149844467451e-01 6.566690186627052839e+00 5.376368502940867877e+00 1.255526800550654798e-01
9.913173684512563977e-01 3.963819236221627129e+00 5.256962389706485439e+00 3.659244078937336497e-01
1.299102867074059864e+00 6.778670369995014156e+00 5.212115251070268407e+00 1.905110798319357701e-01
9.591469530934080279e-01 4.006614590549280486e+00 5.448743484262800862e+00 3.139081344686287661e-02
6.033173600114574153e-01 6.278023524658834731e+00 5.241791996990563085e+00 1.251162946864657344e-01
1.377108921751725612e+00 7.986742293979290253e+00 5.438980943603391793e+00 4.730607023547291068e-02
1.034879055293086658e+00 4.516024302602496654e+00 5.365405806374828224e+00 5.870451892937107036e-02
1.121612186494735930e+00 3.843897889701555659e+00 5.483173597315499137e+00 2.052289565756446887e-01
1.069053552036811183e+00 9.097971303392725417e+00 5.420142686172055413e+00 7.860289937567843666e-02
9.095572526449793305e-01 5.251785052047695856e+00 5.231903965672997536e+00 1.632087092316643617e-01
1.101494722431643813e+00 4.231489452500092341e+00 5.522453170273047718e+00 1.026197266497451549e-01
1.183817022853748124e+00 5.574175382367711151e+00 5.485917953420734960e+00 1.773243511712110920e-01
1.056641562849960803e+00 5.536607150276924294e+00 5.301321014355600880e+00 2.501629986572065922e-01
1.173630919431549735e+00 8.427697924445272548e+00 5.180397050913843060e+00 2.639539201963767012e-01
1.081718538402932639e+00 5.733166343386162822e+00 5.297781189886798359e+00 7.882522705841020494e-02
6.901805628407180482e-01 7.084650058988547272e+00 5.426905100694257911e+00 1.585131743378808966e-01
8.614893910027656698e-01 6.606630283320293451e+00 5.352291411565088808e+00 1.012839283392698853e-01
7.460201648471487257e-01 1.199708631164029349e+01 5.462830981603051583e+00 7.742222061666090283e-02
8.915903085122139915e-01 1.429583225661364132e+01 5.507505079132291037e+00 9.938752952346384395e-02
1.011777980000839072e+00 5.769142263627439426e+00 5.822890767275675117e+00 1.802866340374837117e-01
9.335283315272515647e-01 6.035319054476998346e+00 5.481540113828597072e+00 9.377579464652843755e-02
8.223436672536801328e-01 5.408525308053894420e+00 5.345450954942609023e+00 7.674604770005732934e-02
8.725740440651983398e-01 6.210736514449436640e+00 5.318516445558111982e+00 2.913282219226544512e-01
1.179277600485048927e+00 8.641919048564028927e+00 5.182802835874018577e+00 2.561233624960020938e-01
9.200005337627202850e-01 6.842986333968909207e+00 5.439964015771858286e+00 1.463078786336408921e-01
1.328811660715248477e+00 8.819279789398287051e+00 5.463399709798744119e+00 1.034619573268313886e-01
8.397960396103368863e-01 6.218898727609099453e+00 5.370491943503133747e+00 1.511111105588158754e-01
8.653878331916559086e-01 6.483900673949998250e+00 5.359343980249240857e+00 8.233260298002105515e-02
9.011217133851695538e-01 5.846909317463638622e+00 5.353862045660850555e+00 1.164227963139439492e-01
9.455238123331219935e-01 7.021095171629723630e+00 5.359610863345546150e+00 2.285053962888597967e-01
8.338812483461696123e-01 6.590707017757598152e+00 5.306298116062788672e+00 8.861499231522781961e-02
1.153611740278432496e+00 5.891362032037871010e+00 5.278080825393985265e+00 1.224704172660182611e-01
7.893898713883783502e-01 9.734448985049551695e+00 5.313336548482292088e+00 1.128370019474934233e-01
1.122545186855338883e+00 5.056433110682752030e+00 5.378729157783606496e+00 1.655829469106875340e-01
9.881154855896168154e-01 5.084542241558786202e+00 5.580052745170858586e+00 6.597175869221805211e-01
1.063353652383671299e+00 4.020003102002682738e+00 5.304902945288987759e+00 2.057221386059691903e-02
1.242784915072289387e+00 4.108550254772808330e+00 5.391204488054451183e+00 1.177248516195790601e-01
1.242722128403532578e+00 5.152066563525793619e+00 4.861416094400755838e+00 2.403546897753546241e-01
8.164936703790446337e-01 5.498006204178082612e+00 5.194333977049117479e+00 1.775618595766506602e-01
9.774021143628299768e-01 4.877485518485666915e+00 5.054809352193863958e+00 1.770058572604051861e-01
9.851636407580648402e-01 6.937384060591093693e+00 5.242037527627224414e+00 3.048822750843506735e-01
1.112376109295761140e+00 3.156180448683873152e+00 5.374111885368854757e+00 2.454627100509393367e-01
1.061032204756506170e+00 4.826242574317129552e+00 5.379139085540182386e+00 9.721377351463614258e-02
9.318588808148554614e-01 5.885436764298370704e+00 5.386406114587979133e+00 9.964890248509197801e-02
9.958780868517300711e-01 6.311011989082395246e+00 5.633646137670977438e+00 1.302782726577585704e-01
7.828662180145106175e-01 3.797910895400710363e+00 5.338112030831620558e+00 1.421302119207938919e-01
1.157255757347098513e+00 4.961540230542762053e+00 5.589432462013895098e+00 8.693325821815046928e-02
1.237057487330019523e+00 4.492725625088064945e+00 5.393620377204962679e+00 3.994822510800137838e-01
1.048619659638038160e+00 5.074676203326922597e+00 5.449662052226216247e+00 1.613745911287025603e-01
1.128508144210953690e+00 5.038295868371016617e+00 5.385678596655559147e+00 1.970222698353808477e-01
1.375440176810270421e+00 4.344383291542272651e+00 5.317023866873916482e+00 2.349951271757101112e-01
