# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
6.204435116354350965e-01 6.853570966864725555e+00 6.456377265089490614e+00 1.514611831506857131e-01
7.237312288276946948e-01 5.531953482955096035e+00 6.230810354007227936e+00 1.342351967322863993e-01
7.977791848367928873e-01 3.679947568662736312e+00 6.209721140305835441e+00 2.910750409199627242e-01
8.176083629264497832e-01 3.875213616126745642e+00 6.535263711328440195e+00 1.582674291275935896e-01
6.216392690240937213e-01 7.399168926655215195e+00 6.567360161162355325e+00 2.125975500636247129e-01
8.972999339110419026e-01 5.324064989153096228e+00 5.911728927814629664e+00 1.245464732235800204e-01
5.427243882643113526e-01 9.229440415300224743e+00 5.824475942722010302e+00 2.018140361631062529e-01
7.616427510105466814e-01 4.084131674529256628e+00 6.467976289448631455e+00 1.869521760995599136e-01
9.588455320778844770e-01 9.186028595156644272e+00 6.278740573863881735e+00 1.974449084181504055e-01
7.427795822705958173e-01 6.825367179427462183e+00 6.012225647289974440e+00 1.613326385519588124e-01
1.126228681129328058e+00 5.469357807701917373e+00 6.197604122903753066e+00 1.241302213881442379e-01
7.187290139572116709e-01 3.301053329858174124e+00 6.108094106057107453e+00 1.516691230752947595e-01
5.984628874039567004e-01 7.324045090208797681e+00 6.361914179415792958e+00 1.117345210789219140e-01
6.104203103444986178e-01 1.030512692099573790e+01 6.080702736952989795e+00 1.325189260167745631e-01
5.698175939687736280e-01 3.923669871742042403e+00 6.244924589891463818e+00 9.754089136256718917e-02
7.604851862502717275e-01 6.737882876525352671e+00 5.952075208076728963e+00 1.886953774639766601e-01
7.634790213789757196e-01 6.264516859199719789e+00 6.280178204957922006e+00 7.172875711823473166e-02
6.298801135308176313e-01 4.963915352854275653e+00 6.179954783891523640e+00 1.123653669415585477e-01
7.288409828785678002e-01 6.009472449616436229e+00 6.143214096892104514e+00 1.258097581786216390e-01
6.512342406624640478e-01 6.417679996040678070e+00 6.430477291494754333e+00 1.673012332483247155e-01
8.728818932068237446e-01 6.380624814607130268e+00 6.289947956750304492e+00 1.173207331768216788e-01
