# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
6.501071808161993371e-01 1.029330077023550238e+01 4.520464109210757364e+00 1.175315836612386700e-01
5.372718126637895386e-01 1.399821205629408993e+01 3.950887717808415189e+00 1.441345467633555755e-01
3.800783774620642985e-01 2.772196747359805258e+00 4.283967772053808964e+00 1.467605714747267365e-01
9.087075687938711566e-01 7.205364634599912499e+00 4.676721829189514068e+00 7.887501233826360592e-02
7.502859039339694336e-01 2.886819881569240742e+00 4.233842423182119674e+00 2.154909117126073415e-01
7.144888954513326507e-01 7.606565019761752033e+00 4.427932185658894682e+00 2.385052720362112189e-01
7.270712391212259540e-01 1.122378076960665005e+01 4.355620481719457260e+00 1.152321387015295684e-01
7.481540190666895462e-01 6.377555861310002072e+00 4.507218399037371981e+00 1.661337998560294404e-01
7.409784328098050210e-01 6.675565447282318488e+00 4.943473410726308970e+00 3.050590815631984420e-01
5.724940678796084370e-01 4.043867091819662640e+00 3.774143855508973022e+00 2.968264141662724231e-01
5.796279294583991382e-01 8.038531509462895741e+00 4.259757182353229865e+00 7.580065506959128563e-02
4.981244304950340762e-01 3.457279368531393615e+00 4.286953421182245982e+00 3.208598576231986299e-01
5.665860067751806728e-01 4.196481083120036537e+00 4.006807016004528599e+00 1.755114857317654348e-02
4.806905198198923590e-01 4.170525929910100515e+00 4.209050821023770261e+00 7.921307386222604940e-02
7.582742860472764246e-01 6.874631154825658896e+00 4.521468181025469768e+00 7.430593281256087090e-02
8.470957388418117739e-01 3.430391932240975272e+00 4.401121231435176639e+00 2.409543273474823444e-01
5.465993973449111420e-01 6.428850204244774602e+00 4.054739007444690735e+00 2.145192296832377776e-01
6.046990933087719178e-01 1.123017146757541163e+01 4.216371689614196505e+00 2.195146948624359939e-01
8.177330310740039687e-01 3.008679595700341824e+00 4.509259634794132943e+00 2.775431753515129052e-01
7.875665415798935864e-01 6.656128332019998872e+00 4.319494099716674640e+00 1.594035575435411856e-01
8.661051709655325226e-01 5.267809838344568618e+00 4.505041172336065713e+00 1.215338984464176125e-01
5.417346713081435672e-01 6.031982209425171604e+00 4.153500323973853270e+00 2.635671504684114486e-01
6.934002254749980221e-01 1.232244591559910418e+01 4.678667334559820645e+00 2.800193697674311366e-01
5.653950116397165049e-01 6.978373001419141630e+00 4.197432340662230921e+00 3.239021357042523586e-01
5.576145987435758844e-01 1.101931909222544625e+01 4.293566673707237769e+00 1.171141082813701439e-01
8.340703725586793293e-01 6.408221861551446352e+00 4.488032132950740660e+00 4.907337978584169758e-02
7.497910441105293256e-01 5.571759263942723805e+00 4.495792019352196967e+00 8.103302795599828801e-02
6.565189371635167248e-01 7.182960519212122641e+00 4.267801225414343591e+00 1.064848928995376781e-01
8.348047845920256727e-01 1.052504444197269429e+01 4.469207857301404907e+00 8.520747195416450426e-02
6.836830883920810287e-01 9.628774279835820238e+00 4.544782120971285089e+00 9.554471939495777499e-02
6.791747518254054317e-01 5.846398037911458623e+00 4.432753725977430115e+00 1.629991269968079082e-01
7.979002215381028051e-01 4.572740270557449804e+00 4.392147819370927131e+00 1.815731565537747061e-01
5.838472865024528780e-01 5.771260053762990339e+00 3.871726057234905038e+00 1.164285874457852699e-01
6.001866146061869411e-01 8.918125145031428502e+00 4.331936150214604986e+00 1.013176684162118701e-01
