# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
2.534063821460620591e+00 6.515344049495822354e+00 7.910245779923582576e-01 1.684044811104580264e-01
1.494698832688286849e+00 3.636320753111736082e+00 -1.402825666635264312e+00 1.108292873725817973e-01
9.082022150021703544e-01 4.316101422244817520e+00 4.809489832762177675e-01 1.247933096927568708e-01
1.455414184923736309e+00 4.512238818456085987e+00 1.900700216194726622e+00 2.025852697847810857e-01
2.939255638278078120e+00 6.259639110888900682e+00 -6.671235766223366781e-01 3.518256286774941177e-01
1.115773462181701481e+00 5.787332095122896369e+00 2.584935690389419172e+00 3.062003283317309421e-01
1.840678331324247186e+00 4.991582344945820537e+00 4.289991753611700487e-01 2.122434824964593569e-01
2.349366222909585744e+00 6.508650870069362604e+00 3.991764163801059695e+00 1.835823799764776387e-01
1.730109165337744059e+00 6.441448875170578070e+00 3.862750889825575795e-01 2.576639578927999996e-01
1.003955292045005443e+00 5.688523088593553823e+00 3.044407619266709553e+00 1.120196909858272444e-01
1.481972536398352247e+00 1.025260413443502649e+01 4.022919046659350073e-01 8.772681407486196403e-02
2.578429366020178470e+00 6.295903664820841072e+00 4.264699454079477370e+00 1.097036327449978366e-01
1.075980752975741028e+00 3.899218356308462141e+00 3.564232627634743356e+00 2.152345567685239325e-01
8.663548390559900891e-01 2.913167988565468658e+00 1.210992838948360184e+00 2.240416000662898699e-01
8.061743046151357284e-01 3.829954292043155739e+00 2.104875344378343005e+00 3.238542284578773134e-01
1.483603798028491516e+00 1.108816302574850710e+01 -2.171079152561321557e-01 6.562415008691814544e-02
1.337369546964829681e+00 4.598073348978028108e+00 3.635792677646040971e+00 2.358158551284428583e-01
6.038224826125397904e-01 5.555162879432247180e+00 -2.699333092012619062e-01 1.098747402403919271e-01
1.077069674334238503e+00 6.206763217989777814e+00 4.894493865435685098e-01 2.802285050965536706e-01
1.627767384847321752e+00 3.721514609848785238e+00 3.648584527738499617e+00 1.984709647288719903e-01
1.220864917096335045e+00 4.319462843753396619e+00 4.502670320248859381e-01 9.371909894058348678e-02
3.224105576525906347e+00 3.520382943624414729e+00 -1.194905048180202045e-01 6.816974483625515280e-02
1.562801135504105821e+00 4.932379078212454360e+00 2.766952841250933659e+00 2.934998907031861615e-01
1.207747758636342095e+00 6.090880688153607281e+00 1.917518849154699723e+00 1.522571769121547625e-01
1.735402703296242688e+00 4.111388468421926845e+00 -9.245998804605100041e-01 5.032314712422952807e-01
1.729075818162620459e+00 1.114657207481257117e+01 -7.440870670138213239e-01 1.425726494292489099e-01
1.524391045467781591e+00 6.384247111903164296e+00 3.947986677477933526e+00 1.279722316628835177e-01
9.860306033269852222e-01 6.186038909335519698e+00 -1.793471519771461242e+00 3.624940562231980246e-01
2.801486080843304194e+00 5.966053373383473968e+00 -1.442556752195660374e+00 2.130813467887835433e-01
8.118541642639409694e-01 6.687425328247355694e+00 1.758545431628281808e+00 1.428047730942274551e-01
