# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.337545301832843592e+00 4.127755629391234748e+00 5.368295617994978564e+00 2.507078269292493666e-01
1.297397652176299987e+00 3.662913687692724629e+00 5.772723725190939348e+00 2.069109869659373768e-01
1.265741980174463599e+00 6.268505295111269859e+00 5.087178581535224176e+00 1.499625497024638099e-01
1.657367647380337372e+00 1.187771528791621911e+01 5.914117175681053773e+00 2.866543134968800310e-01
1.122090952083103943e+00 3.941599136213973509e+00 5.417852602700698128e+00 7.738821260633307886e-02
1.352196231832033080e+00 1.000721615975270851e+01 5.466213516022056851e+00 9.569279252266789382e-02
1.858608224393961894e+00 4.865402613945376764e+00 5.560172627603204631e+00 1.129338516596481712e-01
1.191604016750826833e+00 5.177004248576658085e+00 5.424151836078642042e+00 9.536570997978405240e-02
1.724079329941020200e+00 7.577134615037856236e+00 5.371477550568027226e+00 1.455625279123905491e-01
1.547094744787219867e+00 1.069199291769096405e+01 5.399628467531492504e+00 1.466569752288219286e-01
1.333265944880577480e+00 8.368544430688817926e+00 5.483495439425730034e+00 7.599274420904665595e-02
1.048672405679011099e+00 4.406425136625263583e+00 5.404643902668911259e+00 5.022907780486952911e-02
1.203583718612726283e+00 3.560404023019279496e+00 5.422428631412421041e+00 6.671671223025044117e-02
1.498063759808306195e+00 6.252288634511739218e+00 5.478658607537718161e+00 8.022005891745498385e-02
1.977605123776082774e+00 3.948754255212814535e+00 5.052606109041725801e+00 2.499756375112068829e-01
1.065744341504371695e+00 3.221419385613280451e+00 5.578223807835362535e+00 1.116670907417185166e-01
1.562274377437093076e+00 4.933737169360750130e+00 5.527707736615731449e+00 1.285395742887360804e-01
1.138712218021066036e+00 5.348336565339617543e+00 5.386999517808594540e+00 4.762268769840037608e-02
1.519737360886764810e+00 5.087685188322206287e+00 5.487880026636118735e+00 9.080521616773314098e-02
1.813606646071195927e+00 3.202554562524813964e+00 5.404809632688810872e+00 4.712503628967286418e-02
1.345645460586571307e+00 3.211163698042010850e+00 5.382461072166040417e+00 1.455417219597704426e-01
1.163347011991177515e+00 6.214395888426862413e+00 5.457886428908709675e+00 3.511551584090973066e-02
1.544166734127935037e+00 4.890196915628739482e+00 5.549059457388283434e+00 8.734343803100942660e-02
1.638599740341927902e+00 1.085958052868900481e+01 5.377955755462788368e+00 1.845720386843033856e-01
1.088178556955273102e+00 5.223167092531785904e+00 5.299050370325599779e+00 1.881457058466181609e-01
1.335503955318102065e+00 4.413545137911620841e+00 5.480130502380665014e+00 3.760869910372623137e-02
1.434694607682998280e+00 5.633949871570837153e+00 5.644652058111297777e+00 1.434234601773031470e-01
1.299678048413855924e+00 7.677226020129927164e+00 5.306536959209150695e+00 9.603379752437893324e-02
1.165565971103391663e+00 1.012265332511857707e+01 5.457973522739606231e+00 7.446338717708075872e-02
1.246025900084060334e+00 8.280066597137178519e+00 5.408116754273643245e+00 8.658505561097259995e-02
1.053743311764463231e+00 6.058544544136915455e+00 5.450652405433562109e+00 9.039880888717566343e-02
7.733615232229726910e-01 6.022962747278108431e+00 5.326027995384507996e+00 1.472173315525027171e-01
1.924727867624486555e+00 3.946568210472654492e+00 5.539085187844833058e+00 1.781394215242107226e-01
1.336663271428677247e+00 5.967191347089499942e+00 5.395943299979458985e+00 2.129661813834704542e-01
1.300218600291488391e+00 5.171236060262005552e+00 5.542453850583272335e+00 8.908113863949312927e-02
2.254676152244224241e+00 4.412637022000021503e+00 5.438934436624201396e+00 5.245411296642315396e-02
1.191585740266829729e+00 8.464632706067934720e+00 5.492767583031021417e+00 1.504524144873488345e-01
1.086417830659439643e+00 6.822697592396049338e+00 5.399257540076308537e+00 8.075287644593653891e-02
8.621254291213303889e-01 4.937538811324956534e+00 5.481220176177357573e+00 1.886248736827872974e-01
1.582099825612361066e+00 4.684268255532574976e+00 5.459742119601239452e+00 7.982748086320252956e-02
1.366331437414565864e+00 6.724372702122767720e+00 5.300665998095232645e+00 3.344409100023862935e-01
1.413295648256478687e+00 5.039313191821341853e+00 5.402292499928377012e+00 6.947535191615611394e-02
1.660416717108629481e+00 5.593465187257050886e+00 5.363234422770155163e+00 8.506204146603016381e-02
1.373006416401894025e+00 1.186673953233717427e+01 5.500289169150254232e+00 9.249190079174532397e-02
1.482976013676930993e+00 5.591991823974212572e+00 5.426378939368541765e+00 7.260531239125837810e-02
9.104509350826088809e-01 4.899647912305145958e+00 5.300208850591733523e+00 3.433051733709757136e-01
1.167242530425425251e+00 7.109330422439167130e+00 5.416871157300691131e+00 3.696256061936881165e-02
1.860475849953600047e+00 4.521352040352587309e+00 5.485655257026484044e+00 4.798668621389522160e-02
1.619069169202984604e+00 4.285909993793723949e+00 5.507447154337726580e+00 9.509328887624228510e-02
1.259175900479962529e+00 4.756010832497175933e+00 5.502722386879294270e+00 1.615190335614212769e-01
1.543921025214902265e+00 1.009712901831034415e+01 5.621922021488531485e+00 2.236806839895344734e-01
1.489020529556928762e+00 5.197459968158221422e+00 5.390836389799328998e+00 1.195380446633111937e-01
1.473070909087041747e+00 6.759314208407641189e+00 5.452398156680104968e+00 1.128675007756290288e-01
1.304083907182729041e+00 6.012940344781771529e+00 5.511251281906972110e+00 9.880007738575423415e-02
1.419868854370643252e+00 7.531564834034315759e+00 5.521015401633281527e+00 8.264409241706754949e-02
1.246059147491244579e+00 4.199657899051486787e+00 5.574478388885149016e+00 1.031703978556768320e-01
1.233825477438002860e+00 1.448686706350355280e+01 5.312576543252514050e+00 2.403606220448699093e-01
1.499962443183907590e+00 5.044769788896001472e+00 5.625174463062580621e+00 1.567273917640585323e-01
1.400993628319128881e+00 7.810043749502446175e+00 5.367519399219381704e+00 7.943430742542892387e-02
1.267519071107907846e+00 5.222204477295009362e+00 5.496614735388924089e+00 9.371327811357080262e-02
1.213979234660029993e+00 5.389578551966668130e+00 5.239209787180444167e+00 1.796752994502824885e-01
1.643752886666249413e+00 1.047457796714970790e+01 5.412535668143802603e+00 5.702482962403522537e-02
9.731444360906821300e-01 3.756103975579003329e+00 5.452551836080790970e+00 3.142786924498879031e-02
1.573788708926066260e+00 1.060639441852097420e+01 5.363601483897663336e+00 7.208371796158970224e-02
1.820248787069899343e+00 4.852293412065180611e+00 5.515697390523365939e+00 9.899519131107306635e-02
1.062182992399884229e+00 7.245669535493841629e+00 5.295769701858628942e+00 3.535876332216578710e-01
1.130588323849730514e+00 6.965744267457633754e+00 5.368053964807939948e+00 1.251822209841119693e-01
1.393776462507688052e+00 4.006368838490693918e+00 5.376106585946897276e+00 3.554312478569950084e-02
1.289058564160372011e+00 7.270508471759766778e+00 5.430617246522194463e+00 1.228818400121890336e-01
1.145630885367459273e+00 9.932843106221319829e+00 5.181341558115112100e+00 1.330047604457900712e-01
