# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.410159288874258454e+00 3.094648995566721350e+00 5.274862902675884868e+00 5.554486283702569915e-02
1.310614086399243927e+00 4.959221736317688922e+00 5.373944760099925055e+00 1.667087529095578058e-01
1.803802161136700777e+00 6.006935142629787450e+00 5.313965497310034536e+00 5.283517885538448894e-02
1.704265510201161682e+00 3.977346908264042913e+00 5.397121699421923324e+00 1.424331740161804971e-01
8.589070796940339036e-01 3.282899697943783224e+00 5.309379266014083498e+00 4.270704679106426815e-02
1.254032698047349959e+00 5.356802564140364709e+00 5.465212542554930053e+00 1.728596671653428174e-01
1.294416375471605596e+00 5.722403549729047079e+00 5.522983385030784120e+00 1.822474366291805814e-01
1.441497076800760446e+00 3.789865598984074158e+00 5.345043915460409245e+00 7.640552111686615966e-02
1.784093340198388056e+00 7.739585439619035334e+00 5.053658151502228080e+00 1.172543479317749993e-01
2.125241836421605246e+00 8.100095148794848043e+00 5.268526201220676164e+00 1.963525360467636982e-01
1.449408368439334849e+00 8.918868635712799531e+00 5.304201875415354372e+00 6.687973649983253166e-02
1.720635086485280851e+00 4.945851146629760997e+00 5.058626545455144452e+00 1.601803900556558191e-01
1.442540711167985990e+00 7.791333467626217590e+00 5.483208947215194584e+00 9.055348056941329993e-02
1.869433890286436251e+00 6.506138380938326193e+00 5.256552619085596234e+00 7.215608207515283867e-02
1.449193213129304159e+00 7.809464627141655235e+00 5.326043219082557734e+00 4.228511841750527689e-02
1.605255999727195126e+00 7.218169289087493112e+00 5.334429298976521849e+00 2.989719412620542305e-02
1.502061872632484363e+00 3.155507067968544632e+00 5.266547953860772679e+00 2.331420959092401213e-01
1.146352064145491401e+00 5.147194249608157968e+00 5.237240987940205983e+00 6.502780835516891456e-02
2.511573024895391804e+00 4.780771317582352964e+00 5.150151851092653388e+00 1.134285434797150938e-01
1.781888588080795310e+00 6.043579532432415746e+00 5.337660253548563105e+00 3.810631144348130411e-02
1.284061841591912501e+00 6.045167151620066903e+00 5.164455078334408533e+00 1.367745750868438748e-01
2.277441831802037076e+00 5.550627156011405994e+00 5.334333899583060479e+00 3.881813225685987190e-02
1.815779552385984319e+00 2.407461880234403218e+00 5.265482055138759776e+00 4.796758253060219579e-02
1.749093296536214037e+00 7.141152609851603827e+00 5.327382364966469552e+00 8.214200584140507466e-02
1.671893612742999524e+00 6.895003882964763520e+00 5.273162286729443871e+00 1.657990566799303900e-01
2.151864146682032075e+00 5.054483129966608423e+00 5.292448443443521278e+00 7.588141055448327510e-02
1.575724371086996811e+00 7.751263564633926961e+00 5.434346740573145595e+00 1.370880311645628624e-01
2.240332921587731008e+00 8.500324224151773578e+00 5.543857867601808209e+00 1.278657318830050960e-01
1.909874540359170147e+00 5.856629244874648421e+00 5.282014897823206212e+00 5.214842260232190052e-02
2.157671913445587730e+00 7.900734413720306826e+00 5.369858615237023791e+00 8.573192338087140540e-02
1.405760685526247222e+00 1.305314994261443395e+01 5.264380975372191074e+00 1.658127168391859696e-01
1.539810480204858889e+00 4.822703609603665953e+00 5.210809151970122066e+00 1.484032703184655633e-01
1.769876027426298792e+00 6.953793916248204532e+00 5.436373303091500020e+00 8.690712486203240605e-02
1.872030739227379836e+00 4.216341440052425504e+00 5.665320945093442973e+00 1.910752682349372289e-01
1.633120925861679673e+00 5.223893219172667912e+00 5.502738855116414918e+00 1.606002848866380228e-01
1.495115018204130619e+00 5.472300344679156936e+00 5.270149743221969274e+00 1.464451805841074650e-01
1.075875080763836422e+00 3.826389263288323850e+00 5.034286315855393212e+00 1.057406574181292691e-01
1.658361772476783846e+00 7.705948457743169833e+00 5.279684835899319140e+00 5.182868780816928672e-02
