# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.294684409930067837e+00 6.815864130112733399e+00 4.958927526960460241e+00 7.293370547022853811e-02
1.439440967065878985e+00 4.547915165834474749e+00 4.991967460495404296e+00 7.640004489299183355e-02
1.561985129824194241e+00 1.289146366787804432e+01 5.049691460276222621e+00 3.088068152362876545e-02
1.080196684535724261e+00 7.370113530474383445e+00 4.943358828706639230e+00 1.130338800782099973e-01
1.782990965943924033e+00 3.137904938600953209e+00 5.029689745837702120e+00 2.186041422841619730e-02
1.567253523415260474e+00 6.410560775524564825e+00 5.356471366500854536e+00 2.369398562047580203e-01
1.013487690516791329e+00 3.594013418592900244e+00 5.018562297164039343e+00 1.632805134625220644e-01
2.058168753013269292e+00 2.999208027787875874e+00 4.908020089111985840e+00 7.970350314621052479e-02
1.549155746293696234e+00 9.768391864157385029e+00 5.098953688673157458e+00 9.764184590335188429e-02
1.557348176667638251e+00 5.395617053978595479e+00 5.015729371968099315e+00 9.006028315128170036e-02
1.145356999398704723e+00 6.066652684964878084e+00 5.144623476885049840e+00 4.638701206329785831e-02
1.380811214386294061e+00 6.127657721286534631e+00 5.031338240467655432e+00 3.373186221083191993e-01
1.312061803054598297e+00 3.363146904211111288e+00 4.907277822578806514e+00 1.608329572051966916e-01
1.439795786765263541e+00 6.077387230972381538e+00 5.066641749185359700e+00 1.022430408659504714e-01
1.433610531409470257e+00 9.395149566611728176e+00 5.102418718265991693e+00 5.153203227128787256e-02
9.190045908467441294e-01 6.149347166492637129e+00 5.009218266540365505e+00 2.139893472365406446e-01
1.314185510201491658e+00 3.339676691494406491e+00 4.988444100195474462e+00 3.896855884481352505e-02
1.163292294314844488e+00 8.614246584243172578e+00 5.079244018550632234e+00 9.857936761402205650e-02
1.323541815057684756e+00 7.722889231727194215e+00 5.047586418575842337e+00 2.568643914867310141e-01
1.105719132022360274e+00 4.740315457233973184e+00 4.734832992213838132e+00 1.170071170907460989e-01
1.096382096915581084e+00 6.496372857614407081e+00 5.110310573401374512e+00 1.434491123461774653e-01
1.224162253355802532e+00 6.303199352042604175e+00 5.072108844482821510e+00 6.174618627818202754e-02
1.547968308005090332e+00 7.014774453526566589e+00 5.075689087471996430e+00 5.390218817046736610e-02
1.387491859194333266e+00 6.873687062076148990e+00 5.052468376531792593e+00 1.060205832300742251e-01
1.047095807504391018e+00 3.399118889917509101e+00 4.849327883167547704e+00 2.809384759442585811e-01
1.283257607606411943e+00 4.229417686609803440e+00 5.025597546411214367e+00 7.427732608260007030e-02
1.566500980460747039e+00 6.081435998536873555e+00 4.992184781662539095e+00 1.060140550577403085e-01
1.338859068998744295e+00 5.492945414843219964e+00 5.011653678815608970e+00 1.014315793410291572e-01
2.348001777126645262e+00 4.301872383531855526e+00 5.074568178364612159e+00 8.416736048257089653e-02
1.330557807518082170e+00 7.011882533299535147e+00 5.050000478820140692e+00 6.961098506058277513e-02
1.544099135348989460e+00 7.325419659912914661e+00 4.920536780487292816e+00 1.239389005953300954e-01
1.324228952922039904e+00 3.641350682937497751e+00 4.910718162041192159e+00 1.042895797885216858e-01
1.463230287755482362e+00 4.466907292766427062e+00 5.133200149754941322e+00 2.486656402697019763e-02
1.268615214660335333e+00 9.504634773593798158e+00 5.026683803316466026e+00 5.372178874292739270e-02
1.101537167616760238e+00 3.480009672808477728e+00 5.061717163462989610e+00 2.356702091640364843e-02
1.684440554669631940e+00 4.833431439315114098e+00 5.004071550208776920e+00 7.903999392402648316e-02
1.371834707641114592e+00 3.043699107300010809e+00 5.087336592101094901e+00 4.519952866105009237e-02
1.613186301185103089e+00 7.745911738657921042e+00 5.069086488001948609e+00 1.589740131493091735e-01
1.615433172424227237e+00 1.130844490371380040e+01 5.123219378812494007e+00 1.064918803957905780e-01
1.153534336307008967e+00 6.752090348575473300e+00 5.361178273574040531e+00 2.172739607020229002e-01
1.349396398608923242e+00 4.776119315530821474e+00 4.803723525982778852e+00 9.790999134166532281e-02
1.515039810005170073e+00 3.905713881995009906e+00 5.033951307173912149e+00 4.979388211700994105e-02
1.522424606199288322e+00 6.501192499818095882e+00 5.110980074104140236e+00 1.100661889303055363e-01
1.180718761007873097e+00 6.902415653998711598e+00 5.058886775422315019e+00 1.392995244844547065e-01
1.690322291695997459e+00 5.257679480213727885e+00 4.997274925800443413e+00 1.338281804528564795e-02
1.116063549668889099e+00 9.544984014666619387e+00 4.902147053548592481e+00 1.121338695149829423e-01
1.497112970372413532e+00 1.126740552393115458e+01 4.950928719118380172e+00 8.943160764381952177e-02
9.991866904358089885e-01 5.776275126908720914e+00 4.703664304286229836e+00 1.327153323194370238e-01
1.297559473117086082e+00 5.569683838770039586e+00 5.028261254751694054e+00 2.436824799574601602e-02
1.224345462461409850e+00 5.304689009675666256e+00 4.856595177133525176e+00 9.962921338631050561e-02
9.541392736783560480e-01 2.781962763480543721e+00 4.839283692413800964e+00 6.949176481623765833e-02
1.043062414206926913e+00 7.377964126908220344e+00 5.027490858079215030e+00 9.105849587690398317e-02
8.859247002916070812e-01 4.910648424865881267e+00 5.031470802670025222e+00 1.461807697572374831e-01
1.347598472212567566e+00 6.261922665711644242e+00 5.386830345892160032e+00 2.301342899579127133e-01
1.577944744925069864e+00 7.206625140373372318e+00 4.833358530116210972e+00 2.169264788927239007e-01
1.166697626473785609e+00 4.339504310954256816e+00 5.123706867819933564e+00 1.016826380011066067e-01
2.946667434186285739e+00 4.736991674707305755e+00 5.164521178300459425e+00 5.091129930140657345e-02
1.110330686651763488e+00 7.499229803766655600e+00 4.765498226045757235e+00 1.954095069599534606e-01
1.462819523763966068e+00 7.894720166292797714e+00 5.004078754349269964e+00 4.608812991068080012e-02
1.308480640885712587e+00 6.917336701769375651e+00 4.949972775573868056e+00 1.224767129739289528e-01
1.588558765656778560e+00 5.985473264518144987e+00 5.072007921862438096e+00 3.839100479976363667e-02
1.248453032022176279e+00 7.675761968872922836e+00 4.923525041299347649e+00 1.167675637979983527e-01
1.022366557961749578e+00 6.299664762335301482e+00 4.994531272846099768e+00 9.725068874701046917e-02
1.221161388302263173e+00 5.128338602947338565e+00 5.021525499412353710e+00 9.410794498256384866e-02
8.000317454721566079e-01 4.902071410775301175e+00 4.374460285099172729e+00 2.434185582583943963e-01
1.634344400956037058e+00 8.027640366959108320e+00 4.971160459324694081e+00 1.490608070026053777e-01
1.635268501596720325e+00 4.894845261874387177e+00 5.061954185946099471e+00 4.239479256533604246e-02
1.263009162133631902e+00 6.971688826209117451e+00 5.012243207662352873e+00 1.619872321078393296e-01
1.525143784036262717e+00 5.834900739660663582e+00 5.099427253620985923e+00 3.176230405734567497e-02
1.026371600976867748e+00 6.833138189025302012e+00 4.991661793673227265e+00 7.651697086261016745e-02
1.444591242750508764e+00 7.264483347929345136e+00 4.985309921099540631e+00 8.642746376917906370e-02
1.841940212192892057e+00 3.362906094435612392e+00 4.891766385173395015e+00 1.087139678653266661e-01
1.219875344086732927e+00 6.112646167209700110e+00 5.012068036702704177e+00 1.455148273076570797e-01
1.598738235380901429e+00 4.303236407992418577e+00 5.207994836946597594e+00 1.278232919240106791e-01
1.433475039153791819e+00 4.510190574319820733e+00 5.006717027506151219e+00 3.996192605078665444e-02
1.546651127755952260e+00 5.242361258262620005e+00 5.039416077980996000e+00 1.094636879513793543e-01
1.632033408790333873e+00 9.352850889887726282e+00 5.176767638432290930e+00 1.002044012448665006e-01
1.041742493068702036e+00 9.405580951699178627e+00 5.024932353021073439e+00 5.728323395910839277e-02
1.777878031715281137e+00 4.553985527440233660e+00 5.260957407138129760e+00 1.052151310838445875e-01
1.559151363592385264e+00 8.975746229013152444e+00 4.979660227050521470e+00 5.149048134919142344e-02
1.617537475009955816e+00 7.074190634138882494e+00 5.114276292910714616e+00 7.878492290713619284e-02
2.402749295219735348e+00 5.193818919916096455e+00 5.007334382495399083e+00 7.111381463580014606e-02
1.909353907578536402e+00 5.831108744024009027e+00 5.065554251391807483e+00 1.987257597594180997e-02
1.412195559392701805e+00 5.166983973033898891e+00 5.017417096107152474e+00 3.076830790398524945e-02
