# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.720181890177226780e+00 6.105067069850757200e+00 5.189373336433196648e+00 2.220365373733462766e-01
1.283678825113042654e+00 5.617537564364209146e+00 4.603288172686640145e+00 1.604696417930870089e-01
1.747385909047210140e+00 4.464075222017407363e+00 4.828332134273406240e+00 6.067584078982573431e-02
1.348871241201916149e+00 5.649564644817473891e+00 4.930476586156290253e+00 1.413494053674568540e-01
1.621058189385895076e+00 7.610747795639351665e+00 4.907656935442868296e+00 7.917888141599252472e-02
1.324084337205620798e+00 8.208212508498419879e+00 4.528588431626573652e+00 2.234531188898838949e-01
2.520919654650339403e+00 7.901132508432153756e+00 4.980618873126772428e+00 1.990396398162873060e-01
1.470058124180352754e+00 5.392275553655475839e+00 4.837129001626598424e+00 6.420320002345591970e-02
1.279451616366632960e+00 3.191804732705219916e+00 4.740748898970672087e+00 8.820788639050722302e-02
1.857120930605431486e+00 6.278288080833291929e+00 5.101463712864414468e+00 5.184651890092541876e-02
1.502519142562133148e+00 5.851806490779770442e+00 4.757280685356733763e+00 1.687608098905355736e-01
1.926091869149533897e+00 4.666180841218952935e+00 4.942923985713275847e+00 1.709604960963607700e-01
1.982614725823492519e+00 3.489595529840345378e+00 5.115278764343136331e+00 1.428191825928461500e-01
1.998535286061155603e+00 3.529886432722454170e+00 4.960899484893593225e+00 2.833164059182992078e-01
2.432144806961024752e+00 7.031685629075228761e+00 4.980236030388513591e+00 7.097168505704123942e-02
9.245091474402271636e-01 6.002824084127744264e+00 4.935412655180104302e+00 2.202039916899969363e-01
1.729105832189022696e+00 3.951230799141148164e+00 4.970496189113583263e+00 1.049206178035560488e-01
1.814050556805589576e+00 5.292438748534914694e+00 4.861422036085891740e+00 8.938668084117439017e-02
1.884773309783652762e+00 1.457965365941048752e+01 5.174516589592869309e+00 1.117935042084504532e-01
1.458180958321011245e+00 6.524590235568417107e+00 4.731691550976033334e+00 9.783387580185577692e-02
1.818684826182519032e+00 2.974274357530330093e+00 4.693324365847556301e+00 5.842895053834198937e-02
1.348566927715039609e+00 3.671654964401064092e+00 4.909887827662849702e+00 1.456221655088213163e-01
1.251860162327306014e+00 5.205740416005888882e+00 4.877092343526569174e+00 1.122868336014060248e-01
1.779781365922023850e+00 8.064077808697547312e+00 4.916079821255659787e+00 5.455887977423348051e-02
1.134214306235620473e+00 5.136667779392383615e+00 4.835578836573442452e+00 5.613750267921409354e-02
1.195284581945970315e+00 6.779786036382617453e+00 4.987327024011595000e+00 1.311186709346390811e-01
1.457311210519997680e+00 3.577066075605850326e+00 4.862168660062661019e+00 1.055679377552723591e-01
9.801739903364974360e-01 4.518477503647178040e+00 4.909105345001903764e+00 9.638273059421267885e-02
2.053350234375621142e+00 3.928170884612268932e+00 4.965334330594209256e+00 4.460140212879930288e-02
1.733831482830169524e+00 3.376704992276132966e+00 4.708047485744638827e+00 1.813282347938693084e-01
1.363138076592743664e+00 5.852032371642829744e+00 4.895079381359206394e+00 8.225153472108953645e-02
1.345257896417977772e+00 4.129920635592128519e+00 5.039926776631993732e+00 1.620354412467203686e-01
1.681942555778711545e+00 5.864116828093088429e+00 5.052661910251690536e+00 7.379582679666303602e-02
2.439608289977360123e+00 3.187291389719622892e+00 4.995846131583849825e+00 1.719823277424295804e-01
1.975374222438567084e+00 1.144483807689884713e+01 5.049880482970382722e+00 6.279718505215595159e-02
1.301280084655380254e+00 7.492677044502530137e+00 4.616566185115846821e+00 1.468173372185464509e-01
1.554297383372395647e+00 3.427659102302484051e+00 5.024548075122154067e+00 1.844067146681961922e-01
1.933063140620929543e+00 6.031422949124110033e+00 5.035871357551095606e+00 6.320094157480307673e-02
1.637280204663879912e+00 5.048738022667056846e+00 4.776810325524664336e+00 1.028613376603717960e-01
1.239056679349876067e+00 5.890648324512921086e+00 4.899847058657320176e+00 1.482277289383431840e-01
1.772640222055189341e+00 7.534651173990631001e+00 5.068063996279930983e+00 9.709322123738473032e-02
1.758822796814327516e+00 5.944958936121184756e+00 5.037642763077006869e+00 1.287520819713820208e-01
1.322071457929694160e+00 4.953744341450699196e+00 5.064314138106494667e+00 1.116204210098230010e-01
1.854472511374720911e+00 6.872650598461544469e+00 4.849297501926729481e+00 2.855222142518958894e-01
1.515719751173940200e+00 5.129715145756122752e+00 4.962915537316556325e+00 1.559169478950375165e-01
1.721325204433840739e+00 4.065103672253818523e+00 4.794954031567425723e+00 6.924894433473102739e-02
1.712557079284632078e+00 5.816075136733154238e+00 4.837025858576996740e+00 1.627166996719087988e-01
2.145084950002385860e+00 3.780166403668994590e+00 5.046588577658772223e+00 1.467984264092402347e-01
1.516423046599546520e+00 4.169781554777444832e+00 4.622342779606806396e+00 1.998493700706535647e-01
1.733636989036837273e+00 8.876519626223270620e+00 4.988484254508955829e+00 1.121143210610816565e-01
1.333349638303683804e+00 7.927087487257860943e+00 5.091758743438028922e+00 1.763882167996143058e-01
1.366238236962430630e+00 9.859179153679122010e+00 4.992336471719914570e+00 7.704440686036352626e-02
1.099928045039157976e+00 5.853105783489573000e+00 4.863897488290514382e+00 7.726723836454593708e-02
2.529297193333600369e+00 3.875198239800265121e+00 4.923706750640302054e+00 8.106314917201495884e-02
1.173457824565270258e+00 3.413932988925311385e+00 4.925298192028604305e+00 7.155141562581351922e-02
1.705140905363470294e+00 4.605196315805719642e+00 4.975106980689666614e+00 4.057119620805990645e-02
9.522286089372915541e-01 4.114392095807280825e+00 4.882563587754924050e+00 1.842947708232737791e-01
1.755776060661965232e+00 3.436546291052901658e+00 4.843640136900927651e+00 7.332720347389840021e-02
1.886162234803958615e+00 9.978184830854209153e+00 4.942468972204828503e+00 4.667986371593513262e-02
1.621887606118296077e+00 5.993909949691985872e+00 4.862829795012534539e+00 1.122020122790091112e-01
1.290954626685488993e+00 5.417755050507119030e+00 4.705051282208109420e+00 1.061301610671230716e-01
2.454324338382984916e+00 3.173739402814431898e+00 5.096948840145348214e+00 1.367179272350812491e-01
1.681227311065399910e+00 3.127808391709034463e+00 5.089449610723541184e+00 1.825073167386262463e-01
1.431901922857512943e+00 6.926886594180741596e+00 5.118085895822903630e+00 8.959566029844895363e-02
2.021719750925134562e+00 7.848835648373521323e+00 4.768764542292639241e+00 8.295206478996328125e-02
1.697002529177829677e+00 2.918505931679254317e+00 4.763033915342948177e+00 1.430698542524181938e-01
1.369340361831071107e+00 5.540431675597716321e+00 5.020996628059126721e+00 1.193663729292601117e-01
1.704658787466363457e+00 7.710084715254294174e+00 4.894586661424128238e+00 1.009886299358239148e-01
2.025148507586831403e+00 4.489149724736508418e+00 5.025719005877142820e+00 7.296045624719786626e-02
1.790260255365483388e+00 6.896088435483049395e+00 4.939230787660763511e+00 1.403303609568446464e-01
1.381214840641725727e+00 8.704027097193634432e+00 4.861725944307631941e+00 6.386603053741718439e-02
1.722029148914989927e+00 1.032429122614144745e+01 5.082695714357829964e+00 9.031892263192189962e-02
1.668106313707147459e+00 7.383747526166465569e+00 5.145798080318731316e+00 2.381638697477409250e-01
1.515972096780736411e+00 1.297891156272672042e+01 4.870553606836877769e+00 1.772669880316401492e-01
1.157867231443085565e+00 4.651733827894924289e+00 4.857557109555400210e+00 1.474471564462204731e-01
1.624555732230771543e+00 2.672092195610928478e+00 4.942584083422072894e+00 1.579932469290330210e-01
1.384393988646212215e+00 1.004851586570580935e+01 4.809373448936638873e+00 1.541293162932498018e-01
1.392545613513093805e+00 4.217308927764787718e+00 4.886054782901391391e+00 4.288255284359430292e-02
2.052704187231304545e+00 3.258160652793576695e+00 4.730942473756109656e+00 1.691488380965112948e-01
1.170329831681155008e+00 5.819623903180343838e+00 4.561853319442995769e+00 2.947520329460779354e-01
1.376716592568602016e+00 8.149670501761324459e+00 4.813960927254658628e+00 6.893125371504112142e-02
1.870795588675318255e+00 7.508230002453039731e+00 4.968058767819516497e+00 1.094322903958115656e-01
1.164775066686063898e+00 5.838251822952399195e+00 4.770842813093841173e+00 1.439457088174217470e-01
1.400274459991988962e+00 9.069847264039193391e+00 4.927903608333946472e+00 5.097148484822157377e-02
1.527098065723800913e+00 5.957444284501617560e+00 4.814099254818827944e+00 7.077193613486744417e-02
1.486207512403860953e+00 9.610247278717013231e+00 4.886801948059414258e+00 3.658475071421324332e-02
1.569796406742895112e+00 4.994910393526006409e+00 4.990742982418498563e+00 2.521229095073737256e-02
1.642996649969496792e+00 8.987785884693535010e+00 4.844267655624430624e+00 2.270789060299270856e-01
1.579211991736977350e+00 5.788468720889667907e+00 4.711760900124871476e+00 3.447846534042705580e-01
2.079657170483143691e+00 8.760037247650666714e+00 4.961508450137311677e+00 1.212987886586101294e-01
1.996739420173915258e+00 5.423664433558800901e+00 4.971736038309749084e+00 2.109513799454198757e-01
1.499100697931724957e+00 5.689389393901095993e+00 4.920743262796965389e+00 4.569743459623368254e-02
1.538210199677162660e+00 3.113818908127768292e+00 4.945027269621996346e+00 2.142515307802970170e-01
1.715886456688001438e+00 6.965164549401799299e+00 4.954592914786505986e+00 6.174707012364537978e-02
1.309715687127463335e+00 3.873434796963314941e+00 4.931734897815682750e+00 1.209242657748927224e-01
1.444336763312472849e+00 5.270062664394354890e+00 4.909684038372255088e+00 1.136347425791164878e-01
2.656585708992575512e+00 4.427289962525115641e+00 4.989774063621542410e+00 1.229198886483435366e-01
1.182409458980266059e+00 4.789121499628862466e+00 4.821371787723506053e+00 2.195510876240069076e-01
1.850161836596669884e+00 7.654761676100371837e+00 5.255662255504381264e+00 1.833162371208880981e-01
2.432166120593903358e+00 6.688413074543439585e+00 5.357103042453423392e+00 1.717041393938190108e-01
1.473560917863208530e+00 4.438645087981998749e+00 4.884517206048458959e+00 9.217992049097134544e-02
1.355743272113627107e+00 5.040530704585156840e+00 4.853006074363825917e+00 5.358421677839744768e-02
1.279338807066072725e+00 5.868794892146353526e+00 4.932783922510485475e+00 7.506144925479224517e-02
2.384480943902292704e+00 5.209988654397666785e+00 5.038994500807737253e+00 4.017196969745115420e-02
1.962869922411011325e+00 4.043006206409450520e+00 4.843005521215382636e+00 1.461002570282055324e-01
1.217399455176051859e+00 4.983046391619119220e+00 4.871727705538043018e+00 1.447912758748425288e-01
1.527097305908101221e+00 4.334276969974742322e+00 4.870892194073701553e+00 9.564867144997085679e-02
1.339984087141238955e+00 5.466311670756653918e+00 4.868663119048388666e+00 1.245626870512130530e-01
1.772704065751363744e+00 9.669674722755118523e+00 4.956222271091354159e+00 6.443963095009720699e-02
1.631308895470416243e+00 6.215853963514137881e+00 4.895162473542995052e+00 6.746758511277151094e-02
1.796630862038513188e+00 6.714024890730026840e+00 5.075555510315893137e+00 1.400118333325881814e-01
1.811123453411615181e+00 7.235635069421043397e+00 4.899021878039587996e+00 7.078025162501405676e-02
1.579785833207099310e+00 8.082019750761020305e+00 4.985420046714432729e+00 1.030778900377042895e-01
1.356711175361037691e+00 4.464653082526295336e+00 4.807441240593307796e+00 1.044564974763620979e-01
1.263154023032624362e+00 7.583672515545019088e+00 5.011591699660953303e+00 6.978512280756052344e-02
1.174106558708949644e+00 4.887695725216127940e+00 4.833188592943887585e+00 7.567777965381422556e-02
2.068116823607048183e+00 4.075571956937101170e+00 4.858205407600620696e+00 9.892797441202123843e-02
1.714288615223182877e+00 1.094785185534825800e+01 4.899619188525346836e+00 1.128632018263209663e-01
2.374036376806157200e+00 8.648483237585569583e+00 4.998941611251457751e+00 1.663192150602995356e-01
2.105839319357620365e+00 5.377349456521317350e+00 5.050073586016764260e+00 7.053656180553236066e-02
1.732276956356998410e+00 8.861722794460614949e+00 5.016412295140676214e+00 1.580697457831000130e-01
1.434777046926982269e+00 8.065386507295690066e+00 4.854837874802841569e+00 1.107474500948114338e-01
1.849324036015242090e+00 4.156841569361671596e+00 4.884988562466125117e+00 2.051001735044791219e-01
1.883241259158934477e+00 6.033960720712345349e+00 5.064002968557898221e+00 5.050245984762059825e-02
1.869035693621306615e+00 6.911313825781146392e+00 5.188971340331139714e+00 2.176236607821868396e-01
1.475158727706387118e+00 9.072008304624441521e+00 5.061717382287416633e+00 1.476978895532187475e-01
1.578812947625596541e+00 7.643550899943933885e+00 4.965652515700395675e+00 6.760276939925455308e-02
1.356200017156996118e+00 4.358441137295279155e+00 4.822212066427047361e+00 1.377227024670116540e-01
1.463079097739177215e+00 9.754293389752268340e+00 4.930543990543013066e+00 1.327238101125999825e-01
1.684542927082927299e+00 6.553655827332153017e+00 4.975766004031256351e+00 1.669480172616512603e-01
1.411283290478740460e+00 6.498069042967031805e+00 4.873462305072799872e+00 9.933092918301632268e-02
8.229232168726096086e-01 5.603688494527448327e+00 4.742370541377754378e+00 1.178619913943665387e-01
2.014615472743788160e+00 4.089359134303681920e+00 5.118462295131369189e+00 1.510592521566758439e-01
2.079844156731287086e+00 5.517703912755417051e+00 4.956278308584049164e+00 1.763024451295876205e-01
1.037395842319039252e+00 7.885968002349716066e+00 4.514704719324683424e+00 1.681621135045124338e-01
2.108615766169536165e+00 7.270362038791189363e+00 4.863505414795008086e+00 3.184965949652345807e-01
1.574425090469477428e+00 6.444388825535874332e+00 4.848438223098413324e+00 1.186282697665506647e-01
1.518987555141020351e+00 5.558488879533756588e+00 4.908643149699389419e+00 6.803408378957108427e-02
1.845341203466163371e+00 6.508426170904582975e+00 4.880794995094805522e+00 8.683435630292882235e-02
1.537658647044135130e+00 4.633783097924476735e+00 4.869664994411178505e+00 6.057869409171566522e-02
1.333780433471495552e+00 5.892992269970516617e+00 4.788799579040585286e+00 1.612321891200541868e-01
1.820911428529353060e+00 4.722905008712563912e+00 5.013131832572579327e+00 1.188518857279396851e-01
2.116777304771015000e+00 6.006551761692197289e+00 4.687321681696519526e+00 1.724784954168653295e-01
2.524809395116512700e+00 3.539435746694880702e+00 5.018362618082269577e+00 2.219544750324911608e-01
1.631842806174749860e+00 5.078867725100002950e+00 4.923933169100092044e+00 3.814083798432992695e-02
1.988300290654229086e+00 3.716009906261191098e+00 4.888863840700817143e+00 2.350110283567393155e-01
2.552412090658322974e+00 3.750592816622361436e+00 4.843235554283446653e+00 1.724551992221936558e-01
2.193735522337562749e+00 5.728433186497357887e+00 5.172719241852394845e+00 1.459944154286970108e-01
1.540399453712188338e+00 6.674422039071191470e+00 4.947076209319669182e+00 1.423651942093844269e-01
2.074801513281665510e+00 9.130651140362848750e+00 5.099018348577245341e+00 1.644576053086391210e-01
1.501687342207809417e+00 6.601274912223460412e+00 5.007191879280713742e+00 1.150391409654144131e-01
1.424209781447687062e+00 6.313237854017959449e+00 4.817184194484358528e+00 1.677768212073251219e-01
1.778034499536879753e+00 8.291258684776952492e+00 4.821213995512956707e+00 7.628262585219466874e-02
1.747432911991985360e+00 7.101531702399381807e+00 5.142785020170539845e+00 1.176162530659223410e-01
1.170948593614392186e+00 3.888138788395337109e+00 4.882607529299001214e+00 1.214412886785895956e-01
1.262305824609254445e+00 4.435847125450830042e+00 4.299764160352485654e+00 2.804001059771951687e-01
2.240800386590645399e+00 4.087047299389537258e+00 5.037218530941133920e+00 7.119870635085598365e-02
1.719236952474500812e+00 4.106339217476122627e+00 5.101699701017738064e+00 1.243880271023532907e-01
2.445130833892703137e+00 3.546011010732994073e+00 4.770643393309982550e+00 1.512510362897661609e-01
2.209629073335514615e+00 5.241254386666915899e+00 4.927292097417225847e+00 1.874478355488348735e-01
1.836048747907731427e+00 3.667834063169090442e+00 5.017746952284096729e+00 6.406861515686543274e-02
1.806565854770410207e+00 3.719463628981600323e+00 5.023493381758524556e+00 1.613966943331252846e-01
1.606074622739602553e+00 1.216991372262013726e+01 5.095334430658507330e+00 1.382143465060805820e-01
1.258658980349687040e+00 5.598058804476897521e+00 4.625014276285610570e+00 7.731075302379802894e-02
2.172364964026644252e+00 3.337805104657368016e+00 5.508491316358481882e+00 3.728116960284710846e-01
2.310190388695086305e+00 7.426935498475916830e+00 4.834901801385012021e+00 1.349529680971001122e-01
2.285032076578116467e+00 3.334348452226195025e+00 4.800767282923019685e+00 1.708017671689096018e-01
1.311253873762296962e+00 4.831538073735996974e+00 4.980051089510932449e+00 2.332513289186646105e-02
1.300795621533667124e+00 8.819388735790543166e+00 4.857006254449126814e+00 1.011788352176837547e-01
1.341160256398098660e+00 3.042797810468078623e+00 5.079488727950782767e+00 1.549926728765933792e-01
2.080995037886285814e+00 5.098161561947359921e+00 4.982037845721067448e+00 1.149690040863661777e-01
1.878946790604901107e+00 4.223706746910727006e+00 5.003307295345098993e+00 3.157198892205591301e-02
1.451757649331188116e+00 8.939931795884485055e+00 5.078603371758572571e+00 1.997144027681255762e-01
1.747191445000732868e+00 6.690396995802871949e+00 4.689488880166996942e+00 2.185903178453500462e-01
2.418395962763248530e+00 1.060272164883278201e+01 5.103537427515725255e+00 1.235111558471070070e-01
1.167527716084532097e+00 6.378800837593451512e+00 4.984846864446581982e+00 1.663325982726324981e-01
2.157886879698665883e+00 5.901778782113217936e+00 4.917409472992083863e+00 2.147797112303215517e-01
1.477950067234774068e+00 4.085965442991220442e+00 4.854942898761840375e+00 8.535801342214650866e-02
2.656579292228868905e+00 6.447621378044941842e+00 5.001145632758905002e+00 5.951601865629028293e-02
1.510429425766104616e+00 6.150761216335239645e+00 4.830701383353847689e+00 1.260422687013020016e-01
9.225980116754298743e-01 3.489277848034293417e+00 4.975841151376734217e+00 9.608113843249171948e-02
1.343193673964395485e+00 3.984402556483422675e+00 4.863579222884674813e+00 7.971418120182693912e-02
1.786210132148511764e+00 6.722134489435030780e+00 5.012805696332542915e+00 2.090818946055976180e-01
1.437948222391590480e+00 3.729984445803496307e+00 4.648876722135440787e+00 2.347859059755103006e-01
1.798751941246530706e+00 7.320241971999586816e+00 4.867238322003929696e+00 6.722665048928722076e-02
1.289169313868050004e+00 2.418110407718701005e+00 5.062692383264142393e+00 1.178621120021564328e-01
1.987769421318297480e+00 4.612797377769703999e+00 4.939046825369030280e+00 8.174292898357521375e-02
1.494738957477836472e+00 9.888765954390290602e+00 4.864674970348097816e+00 8.697632996537101036e-02
2.130644076272114606e+00 5.969148754543064150e+00 4.790132943886572292e+00 1.290072429969370826e-01
1.753386993448911024e+00 9.232040984474933154e+00 4.921324358365865237e+00 2.352016120134396981e-01
1.503259772447310239e+00 4.733764222690421519e+00 4.767683154409092516e+00 3.335818391800596250e-01
1.480773891926397301e+00 8.521300110205526579e+00 4.977268312387408855e+00 1.801213496436721850e-01
1.261421706322678915e+00 8.980788872439976700e+00 5.240356761105751993e+00 2.573238233404250286e-01
1.392330542225039380e+00 6.167706627015364873e+00 4.798858165784720242e+00 2.088324825471635227e-01
1.752519258063703012e+00 5.412157524882696080e+00 5.188875709082567234e+00 1.333814907549872864e-01
1.540264378630085140e+00 6.173028852658722698e+00 4.848330226130640241e+00 1.485251461770189796e-01
1.517547565901070872e+00 7.784061892937304883e+00 4.948188244529359459e+00 3.660231326490483161e-02
1.525650056609520355e+00 4.986396169464899053e+00 4.563214383445593825e+00 6.519213277908762760e-02
1.277960317406177548e+00 3.321597805383078583e+00 4.492100510313777662e+00 1.548751102230021548e-01
1.367064363154161022e+00 4.355564163631985508e+00 4.790825087218783196e+00 1.049745965746889387e-01
1.629944032836801560e+00 3.612850276093743318e+00 4.996390697519056623e+00 2.129184533103621324e-01
1.379180528009832152e+00 7.511617031908151887e+00 4.872341665835524083e+00 9.582119291043136866e-02
1.916157080836543347e+00 3.943231454167616779e+00 4.796219080026035364e+00 1.589170830404180723e-01
1.226324025354758485e+00 7.536767391160654306e+00 4.793200129527092734e+00 2.491662170418897787e-02
1.239683875425535486e+00 1.039178967935566966e+01 4.728602270877115821e+00 1.016436475672709006e-01
1.768318450268797637e+00 4.303382006124071957e+00 4.766310957471310061e+00 1.117483276694358901e-01
1.259285367990619076e+00 6.681444033469658095e+00 4.728293450227425865e+00 1.367353795517200765e-01
1.454113366604597335e+00 3.653472981418734111e+00 4.832909707844780911e+00 5.580094535528171140e-02
2.402259005225002131e+00 3.587894773838682383e+00 4.675075283140166960e+00 1.542108031869341422e-01
2.164183545778576079e+00 2.835438240593617820e+00 4.880566846111995538e+00 2.835971737788770680e-02
1.634897426570976808e+00 6.930966821411321810e+00 4.986929260666450148e+00 7.960343316258873536e-02
1.732965992339066563e+00 6.679658939942254570e+00 4.859676309160868790e+00 8.426999279846514312e-02
1.510229899620487926e+00 4.030416786541233698e+00 5.129549203746520014e+00 1.834917029202174921e-01
1.552795754158612818e+00 6.049898592374891138e+00 4.982062285884713226e+00 8.520468026651585591e-02
1.785218701674422537e+00 3.221184410181561653e+00 5.135492503649317975e+00 1.974191859166271878e-01
1.328062179805562515e+00 3.242534701676651476e+00 5.216594562654938372e+00 1.830074470401991671e-01
1.192526553410802714e+00 3.183619711561773702e+00 4.914338714588454948e+00 9.822851446217131799e-02
1.355443079819979024e+00 6.149162968366176152e+00 5.053330221352743123e+00 1.103346363844279199e-01
1.311792178769401573e+00 7.745519595668020507e+00 4.900559690630472254e+00 8.135617804807432352e-02
1.325321341622017979e+00 5.713822614190139149e+00 4.820032807696069455e+00 1.342793556403659716e-01
1.927186940967146933e+00 5.541543306620342335e+00 5.219403217253611338e+00 2.689829588804297233e-01
1.949573305208999630e+00 1.023740446180765318e+01 5.237635866678799879e+00 1.174388517391545123e-01
1.195795465331595864e+00 9.982935985088831288e+00 4.777466585135207389e+00 3.688985167438472296e-02
1.724075347856307117e+00 6.045318248914872683e+00 5.031118150459024108e+00 6.824946368224671378e-02
1.512461661544206803e+00 1.044619229930936655e+01 4.793780671589347619e+00 8.255156860259463270e-02
