# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
8.192467352384994461e-01 5.709032163716011965e+00 6.760104971585805700e+00 2.294634103414972814e-01
1.158117735789005787e+00 4.177601890384737615e+00 6.397381961939904826e+00 6.947707041009662521e-02
1.024748441018672240e+00 4.926683877134721889e+00 6.382688495909372151e+00 8.185230333351536935e-02
1.429379108247510688e+00 5.032216635442129160e+00 6.282646288134227319e+00 1.038095350470232409e-01
1.001333721262984477e+00 6.395010187790365563e+00 6.598425109404257860e+00 1.241598625713094955e-01
1.652213159974733614e+00 4.496923216378463373e+00 6.411384680300086458e+00 3.911968478448092645e-02
1.075069284376555245e+00 3.936181830516649161e+00 6.476454619233463106e+00 2.410535466336505284e-02
1.610080136018851471e+00 4.010174502044733913e+00 6.395158837378760452e+00 3.118684484297317705e-01
1.338032757673256690e+00 5.928511757226015533e+00 6.561304364137122924e+00 5.553628253077121102e-02
9.777669023468441578e-01 5.935129425459799712e+00 6.438570066180010265e+00 4.770700869948758804e-02
1.494437251309408854e+00 3.209415198112195444e+00 6.770017363140294897e+00 1.313608699330315044e-01
1.116837576046128877e+00 2.660427333037659103e+00 6.616615234331550965e+00 1.239779969151890426e-01
1.228501335445784104e+00 6.355300499728315344e+00 6.430834672782602901e+00 5.569540783831972153e-02
1.163020017359155611e+00 5.275548997450838939e+00 6.510481504519987084e+00 5.892552549928102568e-02
1.086928561132811000e+00 6.417042588820745408e+00 6.492119618054017494e+00 3.430711552709211909e-02
1.162246782196864059e+00 4.715921207928187364e+00 6.516219056048290881e+00 8.780775797465191490e-02
1.083458627446140632e+00 3.678085099344725162e+00 6.502016464350958813e+00 1.118609136219475275e-01
1.078595597125594496e+00 3.222228501424088343e+00 6.428223927428837747e+00 1.077916483337448134e-01
1.632246968827013145e+00 4.249439733967895982e+00 6.173579497094938695e+00 1.686998226794345634e-01
8.616286846462046789e-01 3.750637158131773674e+00 6.454189039178637621e+00 7.904948538141183534e-02
1.207783097688137408e+00 4.203646085208273320e+00 6.521343938341408020e+00 8.253073201485948418e-02
1.300305585435962863e+00 7.533773582727197216e+00 6.580702502178525926e+00 2.142235218419032694e-01
8.890043766882274046e-01 3.964367476435775473e+00 6.440438540644302101e+00 5.749604804337917763e-01
1.116572680845297816e+00 5.329859684205169756e+00 6.605525992879312192e+00 1.562241611829737753e-01
2.043310127252069286e+00 3.070381622040637026e+00 6.529160818394046828e+00 1.478224890255734614e-01
1.155026965570102870e+00 7.172257536173987980e+00 6.658516944210717270e+00 2.486853681482936729e-01
1.423831481778924601e+00 6.604392126174482236e+00 6.479762858291210570e+00 1.092052152689279021e-01
1.446940780632069323e+00 7.150477011983205067e+00 7.155974261353772015e+00 2.791397119594656306e-01
1.602968013762901656e+00 3.489723699491632303e+00 6.440761256182779171e+00 8.216811733393002137e-02
1.301273639709056074e+00 5.187451806221446304e+00 6.692280496601757278e+00 1.902618150130019059e-01
1.390368784412864045e+00 3.786911332508246630e+00 6.596217931251825206e+00 1.631143829784740817e-01
1.103001411323945247e+00 4.257706780035150906e+00 6.439816229805877867e+00 1.148960408833569341e-01
1.117163398753770132e+00 4.550779872476257815e+00 6.378879841488042324e+00 7.030506936366320847e-02
7.850118244431949499e-01 4.146599190663969203e+00 6.458702963986072021e+00 7.829322593128246188e-02
1.163584466788971428e+00 4.546944692492469464e+00 6.178223605029000254e+00 2.273445565405495250e-01
8.957737279334654357e-01 5.668293973464969326e+00 6.697534752707853478e+00 2.515776240170775058e-01
8.532845188589144314e-01 6.860097513904680255e+00 6.546880672413231572e+00 3.711343260372056141e-02
6.714410249748016257e-01 3.476599300861435538e+00 6.313563953592555400e+00 1.440429932167426874e-01
1.062180170687591296e+00 5.170397806680438357e+00 6.405580503347547250e+00 2.821980423799120841e-01
1.002060843791815037e+00 2.669240495349959996e+00 6.555206243571003455e+00 3.816946797893285004e-02
1.189631443390273269e+00 4.243649687186585417e+00 6.590874957838475545e+00 9.578896865864926224e-02
1.093090345419389431e+00 4.261979968336706115e+00 6.241829338822179274e+00 2.526871657918970948e-01
1.109196682459339334e+00 4.853838408868830001e+00 6.484240636828504378e+00 1.267832126240306112e-01
8.752717524844748631e-01 3.605453765166025004e+00 6.569522214664810456e+00 1.008124122851744853e-01
1.143098067350655445e+00 4.581136087603813856e+00 6.380670755726793431e+00 4.700394132245864359e-02
1.021983647137091111e+00 7.086152956396261970e+00 6.365249795142615241e+00 2.445256543931265680e-01
1.117612409027652909e+00 2.934463435504417905e+00 6.649124556428612109e+00 1.234748120717047981e-01
1.022929744248569639e+00 6.619485904705853407e+00 6.533613892582046390e+00 1.370912371231057802e-01
9.559452665865567633e-01 5.344746242561582150e+00 6.440224179039880426e+00 1.077647574371902728e-01
1.566878958451498827e+00 3.229876070929710963e+00 6.259181757929757950e+00 1.427285924446132781e-01
1.672868487804874960e+00 7.412407956866834624e+00 6.457087275001662796e+00 2.508205011884623303e-02
1.100002287521543831e+00 5.780014713312690233e+00 6.463813239439014424e+00 1.170810301782250207e-01
1.052616719574123838e+00 2.644582523787543771e+00 6.289960617731916948e+00 1.660881332884415473e-01
1.216830286770229197e+00 6.405419917552293008e+00 6.439687015658352998e+00 2.531952220297998823e-01
8.128114132354194998e-01 7.057034416918431141e+00 6.297718720970806316e+00 1.513846628774107028e-01
1.061310156775271185e+00 5.396534003637062149e+00 6.456844722896495803e+00 1.369542920227715677e-01
1.206096627822216494e+00 4.938238293180178040e+00 6.379554941471087481e+00 9.645070369122245302e-02
1.102833516531658731e+00 3.847420538870157891e+00 6.409108365073295843e+00 8.079584583150321853e-02
1.220342705005628359e+00 3.942109150329706768e+00 6.430720987514066067e+00 1.447604161986493776e-01
1.021104402634035013e+00 6.046260078264475091e+00 6.315402039042449012e+00 2.625463926910238111e-01
9.727198219579151761e-01 3.738283324905832927e+00 6.426881329936706244e+00 7.681358072817713600e-02
1.321493933623390182e+00 3.517461490993880169e+00 6.445621378736834828e+00 9.065654670619251176e-02
1.177061574178603909e+00 4.304835260930450325e+00 6.384307970409428101e+00 1.368874848454007809e-01
8.883863132707898735e-01 4.258131945882446701e+00 6.498735946133353814e+00 6.351883723119197689e-02
6.818312426284273142e-01 4.642844866046528907e+00 6.502592449547949016e+00 7.753911070971292174e-02
1.350188946412654634e+00 5.914985498679873999e+00 6.576280062033631246e+00 2.830055930340965031e-01
1.019187455694826383e+00 5.302018711386567773e+00 6.493418888324809402e+00 2.356377146512926291e-01
9.431342313363619834e-01 4.920727523098529232e+00 6.397173898410066784e+00 1.352145058155133084e-01
1.443986311852788473e+00 6.726368328265520447e+00 6.380735495478314867e+00 1.125606456214385542e-01
1.723340960215273610e+00 2.995551510964964859e+00 6.209208035090925115e+00 1.745283842827370091e-01
1.852184600094814337e+00 5.095007504761687400e+00 6.509529597867956596e+00 1.309520991363003484e-01
8.325612830406218245e-01 8.933801600149381628e+00 6.320677624721096066e+00 1.035786414014644718e-01
1.454987647379990312e+00 4.933231603089388351e+00 6.569597683724164305e+00 5.305591958781429029e-02
8.846407956274217055e-01 4.744014212679023679e+00 6.438071918730784660e+00 1.417861934112131239e-01
1.020199791392661925e+00 5.899196811606510771e+00 6.496701507437941281e+00 5.217803877518070732e-02
1.484740723051384492e+00 5.461590538983708498e+00 6.789339280112198338e+00 3.302855816846118620e-01
8.090581857802441323e-01 4.424994663313612797e+00 6.522603583677514472e+00 2.932489204391112159e-01
1.076288489283944827e+00 5.305086255969307274e+00 6.614647989857584953e+00 1.878276983005347789e-01
9.199692822720416663e-01 1.490621113804277442e+01 6.662880940526378915e+00 1.184448647609981781e-01
8.562029249866476288e-01 4.457228323481047916e+00 6.596033612164976745e+00 1.640151221112003954e-01
