# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.189093364142419285e+00 1.292629026839554740e+01 4.531112204109267516e+00 1.154357548341765349e-01
1.059834068978188437e+00 1.093406414137094096e+01 4.741565956266274640e+00 1.903496941500980588e-01
1.297840284854409942e+00 5.439346826265758494e+00 4.690054146235530297e+00 4.079693713018431867e-01
1.134288203218104085e+00 1.019173250850683665e+01 4.508054186733498447e+00 3.497604213343443597e-02
1.142135506356249719e+00 8.071948447495717716e+00 4.490859037673520682e+00 7.495225110310091421e-02
1.416267735001908612e+00 7.682602641942515298e+00 4.769466033865513488e+00 2.222900737984595254e-01
1.151154359325330390e+00 1.147859102275091736e+01 4.159375815015982525e+00 3.250827476759349799e-01
1.444535233586625944e+00 4.143292024679592345e+00 4.723089838117791039e+00 1.295107151957640979e-01
9.942925603104953991e-01 6.152572318118076033e+00 4.577335921587409651e+00 2.135812632607818340e-01
1.043387435733335922e+00 7.321393234268712469e+00 4.523193197114179220e+00 8.214592656216951339e-02
9.953942716462728102e-01 1.038486805819868941e+01 4.446996513777512483e+00 2.112906984317485248e-01
1.178088213323414957e+00 4.573618047693686073e+00 4.668439933129498343e+00 7.551686980901649304e-02
1.026802274304690066e+00 8.221513613706118662e+00 4.606281454595533731e+00 1.840709010805395840e-01
1.093848124698460822e+00 1.024223929549199319e+01 4.817886994438511650e+00 1.715662404659217821e-01
1.136923813584574061e+00 1.238731267599284713e+01 4.537224561880131013e+00 9.759454765231660722e-02
7.146470549028951513e-01 4.931568510685390372e+00 4.410945721834281130e+00 1.271269193777868067e-01
1.189569583569201283e+00 5.662422831327915240e+00 4.665444125659940156e+00 2.607304961349167782e-01
1.216262989606107903e+00 4.096515602199306549e+00 4.660043703975226492e+00 1.653542526574635074e-01
9.694579318214058272e-01 3.674144855833032519e+00 4.692097590821161290e+00 2.255759279344400348e-01
1.573303952418628748e+00 7.648029126115202914e+00 4.495938721082370471e+00 9.047521287901053033e-02
1.051934659553766194e+00 1.594707860264194466e+01 4.777306006280845452e+00 1.408366092552359450e-01
1.016501723188567574e+00 7.518181163729794392e+00 4.728299126885110226e+00 2.036947429640106888e-01
1.239614692336147073e+00 7.543532971353308803e+00 4.586335885091343378e+00 1.860606570496419754e-01
9.458896613538926301e-01 6.284059647354632183e+00 4.656123603213675466e+00 6.994579573058896937e-02
