# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
2.167168451105907501e+00 8.424755827480948867e+00 2.960573591128931259e+00 2.533325724591016792e-01
1.969945722706271996e+00 5.386922682759427872e+00 2.847175532132055320e+00 4.544635814674575780e-01
1.985959208292362721e+00 1.120808697489212058e+01 2.668549660667176582e+00 2.267473804314439623e-01
1.770220287893024658e+00 2.239691702603695767e+00 3.028280912804029334e+00 1.012594985635497102e-01
1.450719207850411419e+00 4.592493443376319817e+00 3.111695193155275874e+00 4.466486676543022782e-01
1.237396540049585880e+00 1.318699420413863166e+01 2.110300566137036427e+00 3.252515844475685203e-01
2.184750101516373721e+00 6.526120844760035844e+00 2.403092903945802661e+00 2.967287225653338911e-01
1.609602048722382106e+00 5.979075493664063323e+00 2.544299670882906650e+00 1.958800378616443183e-01
1.914388005836260342e+00 5.253113059954204189e+00 3.089878652870377884e+00 1.929072413966954336e-01
1.615557446838387978e+00 6.213246433895079690e+00 2.610364873780107509e+00 1.814845461972217078e-01
1.806265780703187662e+00 4.433168915128996801e+00 2.373067658826519377e+00 4.934358019579266896e-01
1.941137138285213837e+00 2.554852723375637069e+00 2.887004883454076687e+00 1.356899261964274461e-01
1.526015732823734039e+00 4.020756509303540227e+00 2.516407634043164254e+00 6.058621391163682146e-01
1.534133600990145396e+00 5.268010412359591221e+00 2.726320798748025354e+00 3.550463462260896597e-01
1.927109162485002747e+00 5.177580965937668367e+00 3.282806576856623249e+00 5.574633187609350227e-01
1.212362168717121325e+00 6.365375972847717279e+00 2.206544028265616575e+00 3.316747807162006567e-01
2.234857296978582042e+00 6.001636938094044638e+00 2.887832931651005630e+00 1.596750321232006664e-01
1.832733131105463986e+00 4.471705928668260555e+00 2.182560228734041541e+00 1.870460234678437139e-01
3.145625362137477676e+00 3.054408677566093910e+00 3.180096652716302597e+00 1.601196097649060790e-01
1.823556948315657289e+00 7.769576538022109347e+00 2.757217230670505170e+00 1.012349489124061835e-01
2.034434526800586784e+00 5.641203159800197042e+00 2.501783068764875217e+00 1.016216119484036062e-01
1.805561624928001763e+00 1.037006771246404924e+01 3.220425139805098258e+00 3.496560363335316501e-01
1.358072353367029805e+00 6.570949992377907556e+00 3.005517628555105958e+00 1.048255527471657067e-01
2.406620084311438479e+00 6.280070493779119190e+00 3.118928881239188211e+00 2.764836855389263270e-01
1.912105535955099134e+00 4.131823067930652016e+00 2.469057350892398084e+00 2.293509318008969955e-01
9.292295130782117774e-01 3.539987330558213685e+00 2.832755609489627791e+00 1.282736011535742238e-01
1.467028046181225953e+00 2.604208655700586128e+00 2.573751632919262455e+00 2.066216757186742081e-01
1.490513396595034123e+00 4.875287160606855075e+00 2.641098592593075889e+00 2.122735264252876286e-01
2.165402794281508836e+00 9.764460326185730565e+00 3.186373784616956417e+00 1.579670760774349314e-01
2.737686662625916867e+00 4.813857559358879712e+00 2.971232649496265310e+00 1.872720876220104469e-01
1.859423076079650849e+00 4.123843699404673657e+00 2.857550958630193705e+00 1.795219723830042136e-01
2.060158117370102904e+00 6.367848591524177593e+00 3.002707570842737539e+00 1.285078017393092020e-01
1.665859803588638055e+00 3.079438902882127405e+00 2.414281678822164157e+00 3.065506984821834702e-01
1.788113116280513282e+00 6.802985218545545720e+00 2.943031178863044772e+00 4.515745004455878203e-02
1.685615784545709150e+00 4.882323198308467838e+00 2.689593148980174320e+00 2.899722412490611245e-01
1.910113863185760819e+00 7.416398374300783303e+00 2.922929935376136434e+00 2.104622304182316439e-01
2.285413161265427373e+00 4.255129042724727917e+00 3.080418957774849531e+00 5.180642907690564958e-02
2.205204647615179425e+00 5.908339261538515075e+00 2.797094212178881101e+00 1.360272610144279415e-01
2.289856601400810376e+00 4.145782643090774933e+00 2.526860749081649704e+00 1.263800412852122967e-01
