# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
9.062554058329485018e-01 7.538675984810200070e+00 4.071402830059655642e+00 4.717913713828253419e-02
8.227168525132857457e-01 5.636836582162099596e+00 4.031811734799264357e+00 9.360398575733676341e-02
7.758342089669283403e-01 9.574486392596531559e+00 4.061911311109490441e+00 9.358798929602842043e-02
1.079940488285788369e+00 5.829405481971120295e+00 4.095263759213864319e+00 1.161445856175088998e-01
8.767113627543702270e-01 7.333803466534719817e+00 4.015077324355551980e+00 2.124142544909767838e-01
1.049691789904928285e+00 9.813886566620698915e+00 4.344394646090691481e+00 1.898885788423485821e-01
8.865822302130057508e-01 7.655096024237371566e+00 4.087123094890866781e+00 9.104130032574923870e-02
9.273497101960206379e-01 1.100248058351254166e+01 4.171826591524132155e+00 7.520755240017976129e-02
8.420284143069799443e-01 8.091639874971747304e+00 4.068025923847523373e+00 1.110555103788074677e-01
1.033627380727151657e+00 6.248212183533957464e+00 4.037100620303387899e+00 1.158255381798455885e-01
1.073520377164862927e+00 1.437902261127764625e+01 4.159219372597283915e+00 7.258445837024848912e-02
9.920065043177623831e-01 4.918734329586429865e+00 4.075900685864793260e+00 5.306839582322012833e-02
9.878223164210787610e-01 8.932037657867406111e+00 3.823095893232186349e+00 1.288602973546504882e-01
1.028267881589531640e+00 8.334489951735802649e+00 4.116510231627688476e+00 5.683415563882644739e-02
1.016454488969331438e+00 8.421797540676561056e+00 4.119747902137873119e+00 8.060888181354392001e-02
9.924162428465427288e-01 1.115202137187904441e+01 4.077264809542928248e+00 4.717294746557853385e-02
8.912961980947435858e-01 4.493872327555932245e+00 4.124208544969572898e+00 1.429547950605687678e-01
1.120642716589377308e+00 6.714451537897222266e+00 4.075362331305007579e+00 8.152752125292020424e-02
1.028979254945934674e+00 6.339171560276889217e+00 4.104017251817576373e+00 2.737478646702565244e-02
1.063172185527467617e+00 7.681224735339247545e+00 4.111536441044846946e+00 2.924751041088490683e-02
1.024790309618686779e+00 9.942958740828963471e+00 4.105936103779840529e+00 1.823345414232634687e-01
9.112489319292063072e-01 6.407271850216963216e+00 4.280941730747715113e+00 2.057809227274260133e-01
1.047306483199601734e+00 5.905562652000333479e+00 4.094161529666661359e+00 9.160882127329883495e-02
1.061030631386305823e+00 8.141424677248126685e+00 4.113906507341646090e+00 7.462019065246118521e-02
8.611898706746488052e-01 8.301293318923679720e+00 4.183298677372436103e+00 8.433249893885924608e-02
9.724365529074501246e-01 6.829543618597758936e+00 4.154609596973805274e+00 2.849720597500771113e-02
1.069570762661318009e+00 5.660942465785271160e+00 4.097962338474274269e+00 7.894136516040652085e-02
1.142163517199812794e+00 1.008703612122318738e+01 4.167384315595850097e+00 5.623611708419435501e-02
1.205215321829807618e+00 9.260503763395695032e+00 4.072155952214186136e+00 7.614803697593715281e-02
1.130029863990704264e+00 1.514600979398926839e+01 4.180856650008177411e+00 6.517307168784093607e-02
1.036685110496299744e+00 4.926879913006218636e+00 4.105264523117378772e+00 1.424524252993802642e-01
9.614550301664115395e-01 1.305568118073054151e+01 4.029994153767250786e+00 1.942517541823021721e-01
1.095610965280108928e+00 4.617359597684300709e+00 3.984572641094209722e+00 2.070743917368659259e-01
9.267933383852972051e-01 7.002732623553546532e+00 4.268453863810826476e+00 7.468981433017818361e-02
8.649680071046708107e-01 4.151783541134602018e+00 4.133699552195910343e+00 5.875371223139224525e-02
9.714923461421363093e-01 6.081077144718979532e+00 4.027118423712189532e+00 3.026957110939636555e-02
1.019407839890832390e+00 7.369206661575840478e+00 4.094416788218706138e+00 1.467537600291249911e-01
1.162979108203500589e+00 8.644415427658314499e+00 4.081521035588306034e+00 7.424854685603310411e-02
8.264448155613360880e-01 1.158604666145771311e+01 4.143831070306219111e+00 2.042873718926981330e-01
1.126053130397419721e+00 7.942554573867372625e+00 4.011095883295034525e+00 1.020242244286326261e-01
1.195496482580565623e+00 5.648013511535544318e+00 4.012606842223857662e+00 8.574293713139496953e-02
1.143802088631596936e+00 1.201123511281640610e+01 4.050938562410504318e+00 5.823233253647751295e-02
8.888787083335695227e-01 4.712188030807183736e+00 4.003877473010781785e+00 1.864780753204102470e-01
9.334002397837414255e-01 5.481172356943888602e+00 4.080280100928839637e+00 1.507906480669901628e-01
8.185930739144897661e-01 1.047971420218526895e+01 4.229745347868795413e+00 1.956782001822972017e-01
8.472271516119869172e-01 6.632456659811479582e+00 4.173789084963544838e+00 1.404889128130861198e-01
7.830495153564287492e-01 6.307325423893018979e+00 4.208223928859619711e+00 7.505714070137456395e-02
1.005523488702170010e+00 9.940049268580569475e+00 4.066005265813068981e+00 6.279069377072216129e-02
8.491813327487460761e-01 3.776245746443185336e+00 3.969782553569605188e+00 1.142055256683218167e-01
8.272796331446332641e-01 5.166863143929699476e+00 4.097689867394659124e+00 6.189822126010447595e-02
