# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.077578757369455742e+00 5.060840205166432959e+00 4.390900624999939161e+00 2.081572414561805306e-01
8.988466978803457685e-01 8.151586123850169230e+00 4.237235596788901049e+00 1.412153901594377925e-01
1.207747555612358692e+00 9.645203871621912839e+00 4.490016385680061006e+00 1.998399841525517751e-01
1.384324227753488179e+00 2.965011311950530803e+00 4.345752352573252431e+00 7.560914163133219956e-02
1.300680475557443927e+00 3.658959030052999495e+00 4.500937138229899936e+00 1.155187677729477280e-01
2.124538852234370889e+00 6.886083906899383322e+00 4.450130076627293541e+00 4.744731296389221448e-02
1.246066306008283053e+00 5.126542981299070156e+00 4.429828245896816341e+00 9.191053071346727554e-02
9.924627899422406863e-01 6.904931921671092709e+00 4.537374131061343796e+00 1.238953305464373378e-01
1.251221825172986968e+00 5.114007418544535000e+00 4.368952159109754874e+00 7.869595808602017351e-02
1.423719348893591752e+00 3.052484162281417834e+00 4.516845924368436016e+00 1.064537571685484074e-01
1.481875389030590240e+00 5.364727614763964425e+00 3.950689642377014366e+00 1.857104984075237664e-01
1.338150544917998008e+00 9.293331882737826177e+00 4.487396604900450114e+00 6.235270795658227894e-02
2.339118319286871195e+00 4.819331503606891332e+00 4.398260548351096588e+00 1.361334497050050996e-01
1.396714880211615162e+00 8.862977856252244990e+00 4.367265535781348795e+00 1.220747076630016581e-01
1.378253004905684476e+00 1.071301132085769758e+01 4.545507475599305458e+00 5.975526514632575892e-02
1.896334411787402585e+00 6.228543029980166068e+00 4.496020348653996912e+00 9.079618779647746774e-02
1.677344854973124910e+00 4.271666411023638865e+00 4.549562174809544501e+00 1.437672140197099879e-01
2.031965629403695850e+00 7.335754355153840223e+00 4.266233762369112448e+00 1.156551273648142031e-01
1.880115850697366975e+00 6.584300336312566060e+00 4.701805714659926139e+00 8.340356832994744174e-02
1.645494158488091552e+00 4.302757988622794905e+00 4.460951864400310996e+00 1.094933677559361412e-01
1.302556856005769426e+00 7.265761107362970428e+00 4.333906057902100706e+00 3.713327514196881896e-02
9.653757902732365004e-01 5.885322829632533725e+00 4.369873117325255407e+00 1.155245123337444724e-01
1.909745616206160346e+00 6.279671245961250037e+00 4.330270385714851678e+00 2.647477830438615398e-01
1.928848175751803229e+00 5.535300450048582732e+00 4.373802875770000931e+00 6.473513256819246608e-02
1.741664719133270367e+00 4.805935282604502312e+00 4.474180542747911993e+00 8.627279278990622469e-02
1.440797387546041808e+00 7.667706245674926535e+00 4.451914699148740162e+00 1.195572012600733536e-01
1.396039376290105549e+00 6.988740138675781921e+00 4.439789339865831685e+00 1.162071580237371837e-01
1.291903171653932203e+00 6.473954901159351571e+00 4.697809561888913521e+00 6.371450385233187741e-02
1.311930567479605125e+00 6.224256256724093994e+00 4.284339712385428989e+00 8.662648788135490774e-02
1.478620836858083543e+00 1.065773621435114293e+01 4.415408447494700184e+00 1.800356361692958262e-01
8.426374852224881584e-01 5.461360495998247799e+00 4.491020320195086235e+00 5.097011564943076944e-02
1.103232220551424447e+00 4.820617276028619003e+00 4.534004621812121272e+00 5.441412863671664379e-02
1.477160478933587484e+00 9.795403051007806283e+00 4.525953483762212848e+00 1.040858781829262780e-01
9.164818019152203288e-01 5.661406391962460205e+00 4.641816154201267253e+00 8.304494508531985730e-02
1.160875901035852920e+00 5.162298205828696140e+00 4.525997246584954503e+00 3.139150287130174077e-01
1.494239976978567253e+00 4.555659094058310821e+00 4.336891468127282323e+00 5.168360163060845003e-02
1.159565064350182695e+00 8.150873950136588775e+00 4.561362741898410178e+00 6.193035294053034212e-02
7.947136462924583311e-01 5.113473977504882306e+00 4.667840867691730011e+00 1.811643876474029746e-01
1.046933698520625455e+00 3.723666987601570000e+00 4.430896390856969624e+00 1.958464208820388797e-01
1.257217661243533513e+00 4.156696248064008614e+00 4.781059841531387633e+00 1.410149186755953465e-01
1.397278122688193847e+00 3.276101388603131603e+00 4.425719589952834987e+00 7.835128880096170478e-02
1.141144824333719887e+00 8.434695626241097699e+00 4.386713530888239454e+00 1.099100251779629722e-01
1.081311281480398234e+00 7.661678009649000032e+00 4.598494101069016793e+00 1.049051434371078839e-01
1.118211095723709469e+00 4.866805459033115788e+00 4.179802472881295472e+00 1.506132293541667666e-01
1.553244198323769254e+00 5.224545293561328130e+00 4.460485839520376139e+00 2.597938589486895600e-01
1.064999966983738666e+00 1.154613472050715650e+01 4.363822341164822483e+00 1.177091240425833241e-01
9.926433514122005031e-01 4.509785614892866334e+00 4.684836062839051962e+00 1.299210724532295635e-01
1.196074615773404570e+00 4.564945926399358811e+00 4.411321264576550050e+00 7.367641092099833089e-02
1.305775096543371205e+00 4.894945558320669576e+00 4.532058247562188669e+00 1.331844756020710008e-01
1.633656404452212607e+00 5.509472586025503382e+00 4.511698701629153874e+00 1.598399696949386051e-01
1.681333399286875308e+00 4.703485987397219681e+00 4.342966653715436109e+00 3.976243744832593657e-02
1.312566245958748823e+00 7.409885453096068275e+00 4.374588110321491641e+00 7.683414601861210391e-02
1.512972032007420919e+00 5.309612753063652768e+00 4.438695558370550742e+00 8.918147932551041823e-02
1.199405874311412212e+00 3.613672258231199752e+00 4.486042151837263070e+00 8.422284456422295118e-02
2.314825714950680791e+00 4.468076127046461288e+00 4.519115709448746188e+00 1.721726195298803330e-01
1.268970650972059300e+00 6.008013835516050172e+00 4.492473931865183623e+00 1.883146825728492235e-01
1.395752248196834300e+00 5.102726085717628202e+00 4.413806000671568697e+00 1.248530322002431026e-01
1.186938784660224178e+00 7.793333772821889660e+00 4.872309979733828733e+00 3.257574792386163653e-01
9.862935868083199109e-01 6.629883938278351430e+00 4.381598990326033949e+00 1.171837718148576457e-01
1.585423437317460715e+00 7.452081831141562418e+00 4.647675054094509761e+00 1.530071473323041109e-01
2.305423274488697327e+00 4.786558432840234190e+00 4.394289975811391358e+00 6.451187839828206871e-02
1.090569489929667624e+00 1.232852712249299465e+01 4.334041019949055773e+00 9.712534362087861528e-02
1.368806940091141566e+00 4.220227934206476128e+00 4.565387834358944019e+00 2.451248000428816465e-01
1.589480804151766957e+00 5.404576586623350387e+00 4.398378786530624751e+00 5.665376607215247273e-02
1.079655918507484103e+00 3.982535039616554862e+00 4.368177307965799727e+00 5.914417170931438039e-02
1.371232207204963860e+00 4.526059899203178638e+00 4.197018013132055358e+00 1.238058949311221790e-01
1.001670513545813490e+00 6.307057356285042715e+00 4.343966122049430112e+00 7.830701690956345939e-02
1.378953874047432082e+00 1.090595158940027254e+01 4.412529233779387106e+00 2.307839355834082062e-01
1.528972457196863921e+00 4.959533453462488417e+00 4.471671227550750416e+00 1.134719985141699056e-01
1.440674053770484520e+00 9.018698917615724397e+00 4.364529141393964196e+00 1.509592893963825899e-01
2.121439667401859186e+00 3.970236018028345804e+00 4.527369212868028292e+00 1.650758695656055486e-01
1.235410654340497016e+00 4.257849015948130145e+00 4.423738643788353464e+00 7.132683932749592226e-02
1.342813686129678219e+00 6.939065283391480321e+00 4.395559499727515806e+00 5.190237513924139678e-02
8.840707496662274512e-01 6.887646478987445420e+00 4.364374120320752226e+00 9.135919022031327441e-02
8.928516943455979682e-01 7.580271145301355595e+00 4.468637750311915902e+00 1.187438742061506652e-01
8.994784873302650308e-01 3.163644666154579177e+00 4.431315072426020407e+00 1.202452040823189933e-01
1.473878976580434985e+00 9.118065557878988869e+00 4.588478729850367976e+00 8.685834820371589327e-02
1.378206162529860501e+00 8.506489521818405564e+00 4.362377371733843212e+00 5.844451104037039213e-02
1.337687614436485095e+00 1.050177017309268912e+01 4.517158502119228203e+00 2.090946758289443097e-01
9.409860677392988260e-01 8.115147378944355339e+00 4.439709373141492499e+00 3.593636087081084063e-02
1.503246699513042905e+00 1.013866137329500638e+01 4.421833870101933961e+00 1.700169626850130400e-01
1.364018328266005664e+00 6.306815752490969373e+00 4.304002240833478155e+00 1.216856700834093447e-01
1.535938289437704940e+00 5.648186427593559600e+00 4.473222563085256454e+00 7.090596803708779094e-02
1.821964245179035657e+00 5.117822727352013601e+00 4.605039606626387005e+00 1.822918153000867847e-01
1.279378733527860135e+00 1.255619740824629282e+01 4.389696215498165799e+00 8.398569270791819696e-02
1.176861179684677072e+00 8.090102589053659088e+00 4.585160800932342795e+00 3.017805328752831695e-01
1.262958433427831428e+00 5.660381874306029459e+00 4.833725567652224164e+00 5.093939232334010470e-01
1.542645326666230332e+00 8.892628544427084947e+00 4.296491223087795852e+00 1.452501330771588384e-01
9.383984319728861934e-01 7.015524921985706541e+00 4.463882319425789724e+00 1.347805570967094968e-01
1.118686451836973017e+00 5.104812959129075622e+00 4.480157540216658241e+00 1.133910600283905001e-01
1.677317288527024441e+00 4.739981304950976693e+00 4.345018581034801208e+00 9.148417642866135679e-02
1.247844247819449581e+00 9.637591396791476583e+00 4.383538049871022579e+00 4.739254168339063211e-02
1.213722886460591566e+00 5.294661333833740713e+00 4.269637356515326054e+00 2.576663496851075985e-01
1.560747866274277085e+00 5.892890607641611211e+00 4.447188776347080541e+00 2.973685227519717866e-01
9.170217333895170908e-01 6.817107014809421273e+00 4.564623493294789114e+00 2.078574060948845392e-01
1.187109385798252204e+00 5.474093513973116387e+00 4.425081029421477297e+00 3.020566261493145416e-02
