# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
5.667450957415776092e-01 9.072292993259269522e+00 4.721088311160889006e+00 2.265414544461467061e-01
4.590190359665951014e-01 4.455230052863133672e+00 5.061782879083917663e+00 8.671171838351962591e-02
6.646928407440925168e-01 7.339392641697796371e+00 4.890580573960455979e+00 3.862569069959344015e-01
3.764016693482938325e-01 9.147061683971255519e+00 5.742643182331844898e+00 1.749423482034271060e-01
4.922921263368947309e-01 5.777747225791959096e+00 4.923187674031078487e+00 3.340620884381555467e-01
3.697299764242454323e-01 9.245128777898845129e+00 5.743844408448688377e+00 2.891054992298756066e-01
5.566997540783482634e-01 4.475564055081894033e+00 4.976591838195832729e+00 2.147901139912723745e-01
4.542856483194255834e-01 6.199897922154123719e+00 4.846136216788653250e+00 1.303235378712762071e-01
2.949832686768043555e-01 7.380725589185258784e+00 5.165040246367356147e+00 1.600113935072541016e-01
5.529503935826945993e-01 3.825820699286929916e+00 5.781495783891865692e+00 1.447423266401463848e-01
3.079830658926118736e-01 7.733103246930435937e+00 5.288171232096410712e+00 2.915605828895108109e-01
4.540729413045438978e-01 6.928189315429171380e+00 5.745899731082860562e+00 1.571830002832823037e-01
3.998535213413755285e-01 5.971950967892819762e+00 5.293838997371164368e+00 1.908766802844125143e-01
4.259265595671959392e-01 7.265390774773432092e+00 5.083209113612938701e+00 3.014630709897764826e-01
4.412743687425151884e-01 7.655139970682453665e+00 5.203061037057259419e+00 1.634978121954147878e-01
3.920596739867178160e-01 7.085893214569013665e+00 5.246337259699405564e+00 2.759634900653364920e-01
5.528326179140299335e-01 9.247807995758673627e+00 5.031676597469691536e+00 9.503276938084333214e-02
5.104917649067290952e-01 6.775868894080973703e+00 5.247050061053625036e+00 2.613054322273768437e-01
4.140926410768867028e-01 8.013996855464586844e+00 5.413446494396692898e+00 2.269083966455960055e-01
3.276469338293519495e-01 8.057967657472826062e+00 5.440134646613261182e+00 9.301753645707983020e-02
3.558811655213146019e-01 3.320603258746241071e+00 5.061169797845803231e+00 2.963826154261740009e-01
3.504732804441640925e-01 7.298488562822017300e+00 5.130953644730917418e+00 2.333084683676638071e-01
4.965483597018825468e-01 4.400539884458182449e+00 5.018268752396704002e+00 3.012691446540236018e-01
4.081055246463745068e-01 6.966906342769668470e+00 5.308138042565379244e+00 1.415596368935213012e-01
4.709024556510215120e-01 5.043004514613494749e+00 4.923581263953566101e+00 1.885022560651955503e-01
4.233268999914613362e-01 4.879145179109616315e+00 5.411281377351265576e+00 3.166926529417429248e-01
3.534685265209918104e-01 5.099876821191650755e+00 5.141168111496623894e+00 1.357870744357924930e-01
4.129945040838186587e-01 4.744351576835632578e+00 5.229407617160802602e+00 2.107221195006772629e-01
3.595803479914800871e-01 9.735822457809362618e+00 5.500795691257715170e+00 4.191149002689948389e-01
5.432020763013662989e-01 3.868315469404138174e+00 5.214342056370989020e+00 2.748208767224465943e-01
5.973414151923472915e-01 5.860810870216271340e+00 5.033089912688144096e+00 2.319084780817531888e-01
4.300072741575472479e-01 1.249459113420886425e+01 5.138974975653771260e+00 1.184949698390615203e-01
4.287148257298344367e-01 4.730128922225329546e+00 5.177847609663960071e+00 1.519319621354774663e-01
4.326082454841248537e-01 4.829864453637154220e+00 4.934819892780097028e+00 3.643341004378562453e-01
4.253523568357649443e-01 4.191327555668173943e+00 5.474169485414662972e+00 1.217631297533163515e-01
4.270912183812325957e-01 2.387631140475246383e+00 4.956203167449282354e+00 3.061019478916972569e-01
4.620601356855750241e-01 7.697731381703117215e+00 5.081056780993309374e+00 7.052691066544464205e-02
4.101490986603834044e-01 7.487512361024278640e+00 5.122194469589035570e+00 1.742910185419282443e-01
3.863400024287399481e-01 4.072721111030786822e+00 5.316705988805163763e+00 4.300930964845037230e-01
4.107813875173687568e-01 4.692303766032501322e+00 5.272191423787459641e+00 1.018602254462567247e-01
3.114038296337622302e-01 7.076210839466064328e+00 5.243724052320944296e+00 2.221469843019233115e-01
3.962421447973316635e-01 9.221593868226918289e+00 5.353649904130577397e+00 1.931890713773885548e-01
5.176144044960631074e-01 8.312000437282470955e+00 5.320639516632632571e+00 1.549007921252048559e-01
4.422489061986668579e-01 7.362615510640245553e+00 4.835462219286872809e+00 2.415280960283698874e-01
3.984633542538447704e-01 3.847392445759011625e+00 5.680112638638593836e+00 2.615204829178270907e-01
5.501272047601644122e-01 4.167991874132718877e+00 5.276373803656780659e+00 1.039031857299411721e-01
5.350268715829165078e-01 4.383298954659870184e+00 5.195957454198571135e+00 7.795975244265553050e-02
4.370663285559393541e-01 9.069048623748351190e+00 5.183166714268445219e+00 9.930045473701237801e-02
4.483192826799966002e-01 4.452533737087199128e+00 5.083522649466448939e+00 3.379497425931617949e-01
4.582064030009196931e-01 6.282983351944703365e+00 5.418903707543844206e+00 4.691850315877173494e-01
3.774321465346011650e-01 4.823205771519814888e+00 5.243954271236850317e+00 2.892295180269185417e-01
4.822333870204579265e-01 5.484209805105476399e+00 5.196301061043744340e+00 7.941430042555705504e-02
4.898202000568419034e-01 5.915463808472186003e+00 5.453137503757091054e+00 9.841117267551806325e-02
5.084704238521809971e-01 4.035577901202919371e+00 5.347112375475997048e+00 2.083257079420368918e-01
4.603639166345532274e-01 3.839109595091109828e+00 5.589831745794621831e+00 4.802337594398765619e-01
4.735681538768635179e-01 5.448135615416703104e+00 5.356433491477881503e+00 1.281950321383939773e-01
3.933961065579303362e-01 6.258368836576169159e+00 5.313030857184037004e+00 2.263416466117615100e-01
4.367212705583982113e-01 9.127504085157154279e+00 5.278483580806086373e+00 2.305444946284340713e-01
3.554953631854704810e-01 7.744018558938802421e+00 5.054706118223908362e+00 1.862447315622472177e-01
4.950327001387240244e-01 5.980091604366202240e+00 5.362771933305786831e+00 4.223718151350100425e-02
5.381819072522484593e-01 4.700737339314914109e+00 5.313537125637624037e+00 1.856952044329311380e-01
3.899755365720675715e-01 4.496237973422234191e+00 5.167597900275520573e+00 3.423014702259946085e-01
4.544335582195497270e-01 7.174012717513026161e+00 5.056864607620278562e+00 7.979445900098393329e-02
4.186553610310219109e-01 6.587891548880987713e+00 5.096372694104338130e+00 1.882340828178044878e-01
5.010061898567900185e-01 7.322790547541533357e+00 5.169849646570290780e+00 3.121350674097110312e-01
4.706085095858741907e-01 6.080506323978201344e+00 5.088435356912257568e+00 1.257280020670291099e-01
5.821410560270550150e-01 8.965220140573634922e+00 5.316244827504035264e+00 9.084599801143081188e-02
4.609047068629404942e-01 5.894542403625135485e+00 5.085286909556441692e+00 4.532259613744293175e-02
4.438812990258532709e-01 6.444820848598046936e+00 5.028506673772017876e+00 1.392251841894161235e-01
4.080037809865248999e-01 5.793918076585494958e+00 5.272522143528633798e+00 1.213951572948095414e-01
3.647606664375818708e-01 1.623187942951135909e+01 5.091149102337049648e+00 1.535641125937881046e-01
3.691209681737750437e-01 1.085949821202657617e+01 5.352176498658838710e+00 8.806058845487721443e-02
4.771965628120753422e-01 5.436755122171309296e+00 5.254016190100469608e+00 1.542600902733578805e-01
4.756097478462480432e-01 5.642069930993367066e+00 5.308876269183991248e+00 2.813302620711640722e-01
3.712467088613441435e-01 5.272636851243753142e+00 5.720147288140455366e+00 1.886721704674111377e-01
5.265688563347730167e-01 6.584501548707158314e+00 4.958003327793114146e+00 2.203533161239604743e-01
4.580737632619880650e-01 6.825737449251785272e+00 5.224834315123278117e+00 2.715326412485225549e-01
3.738555674826392616e-01 8.821481485824300250e+00 5.193830381922684758e+00 9.126247271036808106e-02
4.582837094426575608e-01 7.843408192468475093e+00 4.682501016431900531e+00 3.540415243935793876e-01
5.283846925582669218e-01 4.270320039677798718e+00 5.504462135705996850e+00 1.068744858167951783e-01
6.331961209650476263e-01 6.177297618913856425e+00 5.114898730066834709e+00 1.623859968806980469e-01
4.132314455292415145e-01 1.213620293349922896e+01 5.159401732559540044e+00 2.559666322436646158e-01
5.389257344295894647e-01 2.840283692250087810e+00 5.224279962614295947e+00 1.374010460357205088e-01
5.207515968615681334e-01 9.702151932706987836e+00 5.224048200189441715e+00 4.007295314183383916e-01
4.771374318944403559e-01 7.889475069649622085e+00 5.032734990596848590e+00 1.881778927625536446e-01
5.056355091764598297e-01 1.258445706650028661e+01 5.173639199088316154e+00 1.355462720502805807e-01
4.187038568054808341e-01 4.265338379416662384e+00 4.987650636335285270e+00 2.501029294463992803e-01
4.192712853498515302e-01 1.630106918440313635e+01 5.375388771502692009e+00 2.051760083228184317e-01
4.446243067104455049e-01 8.019359785528038742e+00 5.244352781748506054e+00 4.799041151774037506e-02
5.350767298590199950e-01 5.659658083709344645e+00 4.896365873814033876e+00 2.612841693707335100e-01
3.766637565854929481e-01 8.337423961759498070e+00 5.137614186836877650e+00 4.866076445533647904e-02
2.835912773954483712e-01 6.250604527359948648e+00 5.550698589517628179e+00 2.297537812308172445e-01
4.386886725935986164e-01 1.150627284623981161e+01 5.438792229286939062e+00 3.832329363957276414e-01
5.236045249415332004e-01 4.966451562932403974e+00 5.302210709070339867e+00 5.137611631339700224e-01
4.763227734472946784e-01 6.403767893332757311e+00 4.936968093692088999e+00 2.848810171187776130e-01
6.622499231953414833e-01 5.966878810271167843e+00 5.103449959310525585e+00 1.335443545575514535e-01
4.407175371868450320e-01 4.988749817914127860e+00 5.187412481137102738e+00 1.451211713570469963e-01
4.751692414098401818e-01 8.921135753239218147e+00 5.146702466191637626e+00 8.893681837091024778e-02
3.354186030258586859e-01 5.300237634434036060e+00 5.322663817038211675e+00 2.604693954942195466e-01
6.238813771969673461e-01 4.135896984969545720e+00 5.234968301206810892e+00 1.687422287383089081e-01
4.206028943535271014e-01 4.525695562410920303e+00 5.210552958212525176e+00 1.025908176441638064e-01
3.441750511173796712e-01 8.723789290745498803e+00 5.272033654270257053e+00 1.710975401218694514e-01
