# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.038694446672684624e+00 4.110321004829926572e+00 4.267488911829317999e+00 1.304950405271757541e-01
1.056351454051399852e+00 3.549630835243594795e+00 4.557625294355475809e+00 7.104766345542583295e-02
1.508766428632498435e+00 5.834693550556941055e+00 4.484162808233854491e+00 1.571645645737642927e-01
1.359386744760263888e+00 3.864911749809897934e+00 4.697378906923916908e+00 1.146966212149834047e-01
1.061344055845572676e+00 3.392890740622203971e+00 4.674332134256785842e+00 1.246977791279144376e-01
1.211474225622191536e+00 3.672359153387017905e+00 4.118199930582076007e+00 2.901982578065642748e-01
1.846647713362417065e+00 8.460031292366197775e+00 4.580359093638953105e+00 8.954514846332377320e-02
1.287952077881042046e+00 2.553381842955129155e+00 4.735899429153255014e+00 1.631568612322506218e-01
1.337056949684975571e+00 6.558511573284141249e+00 4.291782569719154061e+00 1.563217389029849247e-01
1.366107508818529714e+00 6.325443895229596158e+00 4.573551860550383985e+00 6.395510282226030130e-02
1.062513369413732978e+00 3.204610276161924620e+00 4.530185324218808596e+00 1.008276815144324712e-01
1.716545484774996355e+00 4.527235380753445781e+00 4.746352772658964270e+00 1.360827366293210217e-01
1.326115656571059009e+00 4.464537062164638748e+00 4.642381050564914347e+00 8.635213155400511820e-02
1.547716367321402275e+00 3.046863429734711026e+00 4.552571260886872473e+00 8.181052675530468832e-02
1.398613950092319147e+00 3.622600787308829950e+00 4.636348108634239296e+00 1.025894152530311271e-01
8.566579358695642910e-01 3.284637982569142522e+00 4.594139001976847325e+00 7.602121083195285955e-02
1.276748942899930572e+00 5.818179628730738351e+00 4.663273585069325655e+00 1.842586804015962088e-01
1.359989282853480974e+00 6.495833533475331656e+00 4.498389936580390547e+00 1.370312712227713947e-01
1.458665436374292135e+00 2.761469293245144563e+00 4.817604458647850585e+00 7.529182947152060490e-02
1.517208863353369575e+00 3.775061661163755744e+00 4.662948137809914684e+00 9.675145307084030699e-02
1.026974586272930923e+00 4.113690459462742588e+00 4.427580548130176652e+00 3.327549115585484163e-01
1.648248532983288772e+00 4.517472078767180932e+00 4.540180044819819294e+00 1.280180613629033348e-01
1.900255949464735972e+00 3.144223206132437554e+00 4.481092129768709853e+00 1.518858455404879515e-01
1.705028189644434589e+00 3.979713960272916573e+00 4.761001852199124862e+00 1.131532078329200580e-01
1.336540012516231446e+00 5.420949737839409366e+00 4.605513051565505833e+00 2.859726635758056967e-01
9.576910105283180652e-01 6.090036891871982938e+00 4.649754133324067951e+00 1.389983202952007335e-01
1.627903524256522960e+00 3.662594710086670258e+00 4.647257779604450079e+00 6.948278043953232119e-02
7.739655901843152108e-01 3.577377501584575459e+00 4.705552407425455108e+00 8.562661827917793234e-02
1.249287793723093509e+00 4.388307129522645234e+00 4.532402450166842733e+00 1.766533706547124827e-01
9.448638582581141421e-01 2.920582206563490324e+00 4.616775672358731875e+00 6.928295956009561385e-02
9.496118161840738647e-01 3.939892025498452188e+00 4.647392912999274373e+00 1.032656354770939700e-01
1.873420933830345803e+00 2.653640848519020601e+00 4.665803077007960376e+00 6.769659948382435177e-02
1.195347543138787660e+00 3.300899225779433621e+00 4.461778303809719404e+00 1.431551212889555780e-01
8.103493251172269041e-01 9.285113904460761347e+00 4.868804131236568189e+00 1.419833428107336315e-01
1.362326188346745681e+00 9.627767239222238871e+00 4.670172150361183050e+00 1.187813732178285980e-01
1.319513165707157709e+00 4.571633127965391452e+00 4.319207627972671659e+00 1.861484068216261722e-01
1.394889087335900557e+00 3.064866671679870702e+00 4.534914534614915560e+00 8.461164455325971556e-02
1.025033034473132876e+00 4.407648906321622206e+00 4.492556547931630284e+00 1.269056058203216764e-01
1.190877468733484879e+00 3.079787257639068798e+00 4.513473620765267924e+00 1.887473420627662213e-01
1.665954977806206605e+00 6.181934354264885911e+00 4.826204009293565633e+00 1.277587280686496296e-01
1.600710282884773017e+00 6.076630951744292020e+00 4.636647556670417281e+00 1.502427172845686165e-01
1.287564440605596161e+00 5.778334307538369075e+00 4.901931392892829642e+00 2.370971439329760955e-01
7.114842840706169236e-01 3.271599186499312140e+00 4.721878400440393087e+00 1.195130141684745545e-01
1.316500397643301845e+00 3.468467590314729510e+00 4.687943084519389458e+00 9.346028983958072633e-02
1.653741671625763132e+00 3.141962727443158965e+00 4.654237684076192316e+00 8.307553177534821032e-02
1.372775902191521569e+00 4.062165621566176554e+00 4.628493339712529853e+00 7.427449672061813002e-02
1.217912580210338325e+00 5.909466899391222050e+00 4.878892827942372890e+00 3.527643967389039181e-01
1.609085743929179024e+00 5.969598249358967657e+00 4.746440453873944421e+00 5.777545458373085224e-02
1.691004214373662995e+00 5.581423022242315568e+00 4.612113761116476418e+00 3.061741144158586919e-02
1.274587921306029159e+00 4.830446965898833156e+00 4.516042291685233856e+00 1.113189521455812681e-01
1.232205396515036133e+00 4.984307541737008407e+00 4.662305802026548207e+00 2.431852427549304196e-01
1.411110666869117791e+00 3.323020492706536544e+00 4.940494859263318439e+00 9.865447526665108158e-02
1.950276649976494747e+00 4.953531225261442295e+00 4.851650952905515624e+00 1.091107196153610626e-01
1.495666837842786867e+00 2.576049272078122954e+00 4.535206544711927634e+00 1.280618308233065217e-01
1.298721580800053177e+00 7.159139030315568419e+00 4.554045552005527853e+00 8.322360954406105016e-02
1.230435939669944245e+00 3.021208928305024521e+00 4.553233502526099485e+00 3.269475058068911366e-01
1.252145459748321477e+00 5.631832959914617298e+00 4.667149314456027653e+00 1.179767226695868226e-01
9.248338958332976700e-01 6.912721025950476772e+00 4.584662637086708514e+00 2.022146172507345574e-01
1.617638984761344823e+00 3.644411964700719597e+00 4.677523764434679876e+00 8.451990481835135183e-02
1.178192139663147397e+00 6.928587713901290357e+00 4.684740144797753914e+00 8.874168338834802217e-02
1.029992568335176051e+00 5.138066507035708774e+00 4.792958218649991942e+00 1.514527045177387621e-01
1.889154827053508123e+00 8.120412341630654396e+00 4.448791941813704298e+00 1.286795116566946673e-01
8.209181547487720554e-01 5.480622847923218188e+00 4.532504874011184626e+00 7.274855216704242955e-02
1.384560782197587603e+00 4.261895260661206386e+00 4.951326003394679987e+00 2.151198566954700131e-01
1.676550874420719150e+00 2.735819597798726299e+00 4.678342198707754918e+00 7.116596310171809103e-02
1.412230906560362209e+00 3.831055966016125858e+00 4.732965045509234692e+00 1.821122520036137504e-01
1.032208656157574955e+00 4.256085132600183840e+00 4.549248039458825055e+00 7.454847054663812922e-02
1.124573347203507545e+00 4.148211115588719800e+00 4.457911460478867660e+00 1.500031540808017261e-01
1.075653129782714323e+00 3.900867296281260721e+00 4.726267713189768571e+00 7.945384617399937899e-02
1.265218195955580827e+00 2.951777525590971507e+00 4.646014614369967433e+00 1.926041766106263986e-01
1.500713063069445852e+00 5.141459111673135851e+00 4.610220234843221299e+00 1.057130839505394659e-01
1.116594444099508587e+00 2.938501339520095623e+00 4.592969780165742755e+00 1.872297211567152397e-01
1.979218037973832889e+00 4.584743669883377670e+00 4.529109820880729664e+00 1.497021293292922772e-01
