# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.702901796081778052e+00 6.706983710231255280e+00 5.067628255713135133e+00 1.194841541315108668e-01
1.113444719966556251e+00 4.465189789795937614e+00 5.253218060280436141e+00 5.141816948423506839e-02
8.891311778189675552e-01 8.148206397903596354e+00 5.335286117534111305e+00 6.730715037028603409e-02
1.032733433867370598e+00 3.398472645262552660e+00 5.235868134198288004e+00 1.418697139499319748e-01
1.872494079354858121e+00 4.618398214716094685e+00 5.265364426317218793e+00 9.001173638421586243e-02
1.421836209003207063e+00 5.783564836153245459e+00 5.510403767140320319e+00 1.267851716784068605e-01
1.740463360988180552e+00 2.389114746423603552e+00 5.286544569770020630e+00 6.029588644259711860e-02
1.238945445623539587e+00 4.414187236130717729e+00 5.320012741133862022e+00 9.352722549518435735e-02
7.585933621606868460e-01 3.210811958136437827e+00 5.290971051651838231e+00 1.351258927677252697e-01
1.259232117747605795e+00 6.207194528498146013e+00 5.204238045177071115e+00 2.219884476157112374e-01
7.028096903939818896e-01 4.403826630786245921e+00 5.203602249526952939e+00 8.148186679917185371e-02
1.652666502387985181e+00 5.830150532059653834e+00 5.125698335985465981e+00 1.848186422416944197e-01
9.037283867523493441e-01 8.350393802365971396e+00 5.481590792049155780e+00 9.666639235794299845e-02
1.110075021086247116e+00 3.784937817527537884e+00 5.291494414003254931e+00 2.863445589646236578e-02
1.560714910302382963e+00 5.460964194714146736e+00 5.200223525967124338e+00 1.072029966059536987e-01
1.159929220193049559e+00 3.227672972681262298e+00 5.312501131602176407e+00 5.998210630542754468e-02
1.437504689628843035e+00 3.052077381274926005e+00 5.337769329324956402e+00 1.614177311977796903e-01
1.155068072370943222e+00 4.200170289795566170e+00 5.245516171392514693e+00 2.734656456000476854e-02
1.070235968141372895e+00 1.347468430263403327e+01 5.264230440138322642e+00 7.192689446288298705e-02
1.036910670199256090e+00 4.877161785910617553e+00 5.093037337033307743e+00 8.845539931814078161e-02
1.896962287318763485e+00 5.820158404516531547e+00 5.447497239119670098e+00 1.118315153816694107e-01
1.073682411615033416e+00 6.638480382181374928e+00 5.125593666028183115e+00 1.524233973820040555e-01
1.188401404715604404e+00 7.934580956400162144e+00 5.322819927977506360e+00 6.550313542187315152e-02
8.535585096240106973e-01 6.692979166184023221e+00 5.339784708998160490e+00 2.220925165001490231e-02
8.841913540284506157e-01 7.063745786354114209e+00 5.267059835108286237e+00 3.052115340685503803e-02
9.478370672825153775e-01 3.585224664068402678e+00 5.156744486255820270e+00 1.209513078431606464e-01
7.746409216524718921e-01 6.642486810903661443e+00 5.163141706668713304e+00 4.987607449277831062e-02
9.972052148281032036e-01 5.055688087020315358e+00 5.260962365050924738e+00 3.398293042332888036e-02
1.018271262208613415e+00 5.548941444748842322e+00 5.306537695546696298e+00 7.576028438457611813e-02
1.060978806352507409e+00 9.444006936296279520e+00 5.068157333212000459e+00 2.028177869897668240e-01
1.121997177363447618e+00 4.028656242155628675e+00 5.381037354010989482e+00 1.152841916818920232e-01
1.381417408797548374e+00 6.327095779075436077e+00 5.306422018727313450e+00 1.218077580855781300e-01
1.672230458069596803e+00 6.066855102574296943e+00 5.049153777348742267e+00 1.143160556404045208e-01
1.253818753720328472e+00 9.740695642346341998e+00 5.254132081147905531e+00 3.730502308792744970e-02
8.720344945396805159e-01 4.400616668161241307e+00 5.370350583958800605e+00 1.060866584701635473e-01
1.293914496320957674e+00 7.555943528604854187e+00 5.099822196877953573e+00 1.205744859771074040e-01
9.650976689289337829e-01 4.648334606987812201e+00 5.346234507104217215e+00 1.574561629295878618e-01
7.232075693450136233e-01 4.090083301134882277e+00 5.247052180174096137e+00 4.485959279222853646e-02
1.293084715621279690e+00 5.978796997733660135e+00 5.144527734955013365e+00 4.319359288000012009e-01
9.761750577572717580e-01 6.866009261489704585e+00 5.443022475160393725e+00 1.315890360578844120e-01
1.146169698763206402e+00 5.414579638685887986e+00 5.019152732540269390e+00 1.526607748635682160e-01
1.291073760073807364e+00 3.427311430073016751e+00 5.298627675218206434e+00 4.768852420814920223e-02
9.177516925354921584e-01 3.172489985847914529e+00 5.341049062207495979e+00 1.190106975843382014e-01
1.546969475374124992e+00 5.128454328308909460e+00 5.284107905816589401e+00 4.913307730517155886e-02
