# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
3.238901723715900793e+00 6.324393748078371402e+00 3.995363780935550668e+00 3.982136287037918443e-01
3.880107493449780787e+00 3.160386366066147978e+00 4.151272170814325868e+00 2.465758850729663221e-01
3.344611616820360567e+00 5.063477035022248884e+00 3.978672050446963926e+00 3.980966019249202459e-01
3.434670438779000357e+00 3.561632317173070383e+00 4.175963704059794779e+00 8.421828536617913252e-02
3.334766373359529190e+00 3.246916460065460530e+00 3.083709354264298597e+00 2.240663917246280279e-01
3.172460397403543020e+00 2.843067572010456789e+00 4.145056319163016312e+00 1.606389565335578640e-01
3.260428598677484580e+00 4.567640815135273868e+00 3.627835578640139502e+00 1.922399721925513449e-01
4.261262755796185964e+00 3.950380731335638718e+00 4.099769822395957775e+00 4.083057023118857320e-01
5.207021150237297391e+00 7.029084492806910056e+00 4.262038090847410032e+00 3.122227842777660078e-01
3.289905980788922157e+00 5.980273469605242198e+00 3.726440840879239769e+00 4.425565553288964837e-01
4.887662184408238630e+00 3.368477195379032452e+00 4.403712494351071705e+00 1.288248383491055193e-01
3.539437762003547761e+00 3.745950892184697345e+00 3.787659463664222681e+00 5.082378870345423127e-01
5.610418275747740324e+00 4.478803589985329126e+00 4.300554228728360684e+00 2.377621097898294233e-01
3.498940158939901401e+00 4.002043785330075210e+00 3.449481339181355022e+00 4.973953003306109677e-01
4.068186915560687567e+00 5.413571028207545766e+00 4.165976107309700360e+00 1.333864777289178183e-01
3.813844658244841757e+00 3.930155774103623934e+00 4.186490696218418961e+00 1.707259839221925146e-01
3.601539970264236334e+00 3.213307540455804912e+00 4.230731131072543505e+00 2.302386910246740359e-01
4.951566090530050701e+00 3.600802923018732393e+00 4.434549593976861992e+00 1.424482361693936161e-01
4.447075235676350324e+00 6.405606303960047931e+00 3.309160656696083169e+00 2.631752802031143701e-01
4.275451525362379712e+00 4.541915293446059820e+00 3.499122329294804157e+00 1.609061330414687241e-01
3.229688027517044091e+00 5.145195109875940531e+00 4.065700224137288821e+00 1.413971100739091213e-01
3.109208250286345621e+00 2.831110404865663011e+00 4.226013349892999038e+00 1.847291702026682136e-01
3.279289032424036687e+00 4.362684157176232702e+00 4.039208005478275965e+00 2.493308085914302530e-01
2.649474274822615882e+00 3.820417116132689639e+00 3.989285503079210926e+00 2.193478808781522127e-01
5.848212060101705134e+00 5.425140728294509884e+00 4.269315060299275544e+00 1.533935039924677335e-01
3.569768577517877794e+00 3.723188338797828845e+00 4.188760087993995462e+00 2.043952071339454890e-01
4.318292967659551174e+00 3.183646242315850472e+00 3.908732836188477666e+00 2.433355835002702916e-01
3.806331428088955082e+00 2.712520239502293151e+00 4.032107853662508568e+00 1.938640746899281120e-01
5.544481395242929267e+00 5.618866488050393571e+00 4.206421815004046216e+00 4.247043178283516074e-01
3.669984152503966257e+00 4.145274927709198032e+00 4.319974767976519026e+00 1.363794524269493769e-01
4.970670821861870259e+00 3.393181282919088826e+00 4.119347128333550323e+00 8.873055949284971988e-02
3.313121456462710057e+00 3.193037791969270955e+00 3.989744405356539847e+00 3.403195866024548155e-01
3.343138690710849126e+00 3.583347511726953538e+00 4.307574935476586653e+00 1.750889938901625253e-01
3.428269959509290921e+00 3.018300161911191548e+00 4.236877503793427202e+00 1.639831609802326340e-01
5.103096178467549038e+00 3.290789810876234345e+00 4.263474016503072228e+00 3.160462060071972390e-01
2.590501620196067556e+00 3.126167051727752000e+00 4.010564878525731736e+00 1.845681172663095060e-01
6.486179917012228735e+00 5.168395691351016730e+00 4.033436591655370940e+00 3.117381562241806625e-01
4.283575410399422800e+00 3.336571186000914846e+00 4.046879852224993357e+00 1.822033290228553259e-01
4.695660493336883512e+00 4.123285272203812468e+00 3.983240177957000583e+00 4.465210884063978702e-01
4.482912083609834397e+00 2.758732155296558908e+00 4.152997088592011998e+00 2.847127588988518365e-01
3.514081252748452400e+00 4.001364183118421458e+00 3.965774571381072366e+00 3.673809047095987212e-01
3.331045032816138729e+00 2.347835613939974309e+00 4.437301963925560422e+00 2.058522135525705232e-01
5.694391091222713364e+00 4.720230311556791847e+00 3.738697735858948157e+00 3.065013944488251263e-01
3.626596444088134419e+00 2.800251998035392376e+00 3.972298225240293412e+00 2.879944740364387967e-01
4.820539939844619148e+00 5.674308692169285351e+00 4.373340336626482916e+00 1.230839254345611200e-01
4.949970130771676580e+00 6.392659832772978667e+00 4.179240360976812951e+00 1.930387800291792355e-01
4.010275146448504024e+00 4.202834855120974211e+00 4.475828477762416213e+00 1.231656146494842230e-01
3.742231219834936784e+00 3.841748559730898016e+00 4.045429564912533138e+00 3.676490593341628088e-01
4.016534072051047843e+00 3.378482433895729553e+00 4.249051938185880672e+00 1.249427454750946520e-01
3.143422017275998570e+00 4.924288640284681051e+00 3.316506664971139440e+00 5.307133530238413721e-01
2.393364951292213050e+00 2.869614561371773842e+00 4.591186488624781958e+00 2.623934011518206932e-01
3.996809280690412525e+00 4.583596412868722325e+00 4.253143767620452209e+00 1.437270072871489612e-01
5.676227206278962711e+00 7.898705854399688420e+00 4.397240217792417916e+00 2.088374628319067672e-01
5.416828101268031048e+00 7.215951524965854347e+00 4.153650496772608669e+00 2.744002161610737955e-01
3.169305743029545042e+00 3.536068424584352776e+00 4.479534385345926850e+00 2.122941722637586848e-01
3.121460264840078214e+00 2.900359214251478690e+00 3.403377689512740112e+00 3.167569866497672026e-01
3.303300998437893821e+00 3.508204842678242397e+00 4.280445352540994008e+00 2.262361765099882849e-01
4.996481906313976040e+00 5.364551432148545906e+00 4.334103506614281898e+00 1.311713377953415693e-01
2.307997637007217495e+00 2.890035607723751010e+00 4.406968973385129829e+00 3.481554652161715779e-01
4.293050714736266649e+00 3.961717543911150941e+00 4.235455308840336386e+00 2.316022279391803940e-01
2.058760173641425162e+00 2.362470102839414832e+00 3.880306284807575334e+00 3.481804201476518812e-01
2.409994594060346884e+00 3.775954425469349118e+00 4.088160538872179117e+00 1.729315771736059937e-01
4.123283933891101150e+00 4.633638740609550943e+00 3.786920316593287872e+00 1.937647522877667949e-01
2.494789500296879847e+00 3.872417999989109738e+00 4.005763165599786291e+00 3.487498573063180229e-01
3.131296217309483154e+00 3.764367485711188177e+00 4.202299041249154321e+00 3.202161772828376884e-01
4.436618845576782988e+00 4.616951470552167258e+00 3.866833707909391293e+00 1.745678577342322790e-01
4.306533777360018966e+00 3.094444522895034133e+00 4.305496270063672526e+00 1.704800949406042321e-01
3.723286211358401321e+00 5.349976602612174226e+00 3.799880794069999013e+00 1.875083845022522677e-01
5.943837915200389510e+00 4.877559998530214713e+00 4.208438400177715977e+00 2.047760104619675003e-01
3.892964165303489654e+00 2.410294858190992873e+00 4.110576259483737616e+00 2.199534790964880748e-01
4.214380812811718613e+00 4.037363116786266026e+00 4.106708058304961106e+00 1.829219025749196093e-01
4.734775597342619768e+00 3.476888076933584149e+00 4.591573403981039192e+00 5.394711303610058017e-01
4.689863508860151242e+00 3.851977157616491176e+00 4.499802996465541938e+00 4.111085597233448130e-01
2.046506706923359342e+00 2.364134126735522479e+00 4.256437384459409223e+00 3.686126330537075058e-01
4.472011002956281622e+00 2.486795779108292415e+00 4.292985858237376995e+00 1.067721745178440429e-01
