# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.939610284258245221e+00 3.274717810972804344e+00 1.485399278533257705e+00 3.268387941502735594e-01
1.153179619126701194e+00 3.907945549677739550e+00 6.602074623680040943e-01 9.786439103632893488e-02
1.375692891585187372e+00 4.747660275011410747e+00 -1.328630964438610951e+00 9.199150564265565211e-02
2.270811028565371981e+00 5.806545997323368624e+00 -1.078081252124729383e+00 1.000473252014253134e-01
1.799057790339338769e+00 9.653814039916834844e+00 -1.364915000735495765e+00 2.111591899974985531e-01
2.403206394766257414e+00 4.264382578509630761e+00 1.170963584671435243e+00 9.519002251720405650e-02
5.794646603902788851e-01 5.544370820175657855e+00 -8.071988915457151137e-01 1.788919179749517974e-01
7.775974279693108615e-01 4.944471211671961797e+00 5.690518076066894970e-01 1.652032711694236822e-01
1.906264808535395039e+00 3.216117567521443732e+00 1.891586030532820262e+00 2.009183394712242554e-01
1.901344355568858724e+00 6.102412181482887554e+00 -1.315292268666354847e+00 1.722132331165346919e-01
2.577919734123782280e+00 9.205562670262315450e+00 3.164472447859709714e+00 4.975029479258596260e-02
2.695299082065129692e+00 6.407385835185989365e+00 1.602237549254690308e-01 1.685125302335165887e-01
1.013115178199052391e+00 1.013960572198202925e+01 5.653748597008139143e-01 4.339083996481701844e-02
2.125309747687373463e+00 7.476768190574524020e+00 4.658387924262175073e-02 5.799242568486955018e-02
1.977962839414843854e+00 6.121184539881659781e+00 -1.590454891521425829e+00 1.634683541037565691e-01
2.656834960141658541e+00 6.131053796800209454e+00 2.741962068648805317e+00 1.208447769100949448e-01
1.691893546656219716e+00 3.110395540447591589e+00 -8.599596805590123960e-01 1.505017043087760187e-01
2.321273568134846865e+00 7.211100984829426963e+00 -1.794818035891089680e+00 1.297899842157872741e-01
2.546164973366759288e+00 6.383367093646159951e+00 8.680973812465720973e-01 1.294217946078346781e-01
1.555849134845270321e+00 3.163893203791620756e+00 5.368703250456308140e-02 2.078300766400356103e-01
2.556135077774367215e+00 9.639057401995893670e+00 3.087426469293651499e-01 1.689587796671189468e-01
1.680314453591880808e+00 8.844972842422482273e+00 1.152745628159717484e+00 5.171337343825146982e-02
2.266106040073207595e+00 3.165923436615841080e+00 9.945168993195265816e-01 4.235262384976475891e-01
1.482741701326550254e+00 7.404927767361605184e+00 2.273499240247897291e+00 1.276641147092722473e-01
1.237770097213735987e+00 3.703582883442462226e+00 -3.551161167124119444e-01 1.469681470898838715e-01
1.727327148884652885e+00 1.082876879857550634e+01 -7.109484771511143109e-01 1.687641574033731107e-01
9.113989436383280740e-01 8.837157863553004589e+00 2.188313950242706696e+00 2.556856890303167429e-01
1.571907501586395917e+00 7.109351141500114935e+00 1.832053836107845779e+00 4.107277700927824404e-01
1.398990372392980852e+00 6.709859730298411762e+00 -4.702284233804402969e-01 2.121678417298639430e-01
1.366450915933690169e+00 6.216163206159481369e+00 2.444550730460558263e+00 1.154184581252066660e-01
1.858730884332850719e+00 5.210076226890330453e+00 2.632613799254689191e+00 9.468148301086290464e-02
1.287653466470764618e+00 6.386763566547968729e+00 -8.522183310066320239e-01 2.021951510235328597e-01
2.060922054633287370e+00 2.767838328910416479e+00 2.118105778208778656e+00 2.205612479508595736e-01
2.749315755088817426e+00 7.058645119589369799e+00 3.000544634031079738e+00 2.006690679142512090e-01
1.236782933840957277e+00 6.082172167349717107e+00 -5.906570638352584002e-01 6.347806906124206505e-02
1.854139539618215871e+00 3.844994254762041930e+00 7.379666377001485866e-01 1.869946803595946283e-01
1.441383172150258796e+00 6.067897527321060025e+00 -6.819670325742955841e-01 8.300580779543596799e-02
1.586633521537046176e+00 7.482573912990986287e+00 1.520137734813908681e+00 2.034020582429285906e-01
1.265768595101011140e+00 4.362286614862834533e+00 1.030853537294513345e+00 1.052312596409274159e-01
2.140587763436459845e+00 4.543290222563677538e+00 1.983628516555333565e+00 3.211651093825532155e-01
9.262839876357715774e-01 6.572351692501237963e+00 -1.520593835842783959e+00 9.856363928901289151e-02
1.010228770218942751e+00 4.842428254731362181e+00 -1.273842476917038002e+00 1.775803288874486796e-01
1.627242173272814618e+00 6.517753471088838957e+00 -1.900939322924610764e+00 2.558119924496030650e-01
3.100515503842015352e+00 7.309680091584846551e+00 -1.289248117478090094e+00 3.786956216089615301e-02
1.036347222983543315e+00 5.445862685323052510e+00 -8.520215707823206586e-01 2.894741810840924523e-01
9.577100580751120029e-01 4.637629732411409300e+00 2.629908169441462107e+00 1.400170102757525015e-01
2.211040278312029983e+00 3.951356555642458801e+00 2.872527346321593011e+00 3.526438420267473672e-01
1.257910997696875643e+00 8.352950077923445349e+00 1.345568575355441165e+00 8.544304986682783876e-02
2.275756505373154770e+00 4.241041798897708048e+00 -6.705359556608379012e-01 1.483064913676934438e-01
2.339091447156669723e+00 3.688551137807088320e+00 -1.572518679999515001e-01 2.208631984654648717e-01
1.526488274949940660e+00 7.624083433429310830e+00 1.654100347485021105e+00 4.537537589388761505e-01
1.910122225433362964e+00 4.614339988483172839e+00 1.324215616202476742e+00 1.778833269201011424e-01
2.055551941339125221e+00 2.276928746096884115e+00 -5.212528114857617467e-03 1.516614616805415094e-01
