# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.695103600378976338e+00 5.390837371677565493e+00 3.903928866729648117e+00 1.328480870970639716e-01
1.529078156166686853e+00 7.900372216334545783e+00 3.873971840662281174e+00 2.130391803275286100e-01
1.380552858933292049e+00 8.504716695130870363e+00 3.722670598218821958e+00 9.258476005714051660e-02
1.117441788316869244e+00 8.121821677625868929e+00 3.624282242022748068e+00 1.175411842673008134e-01
9.806782685182697801e-01 5.564811288877779205e+00 3.334186213029243895e+00 8.345787957512600108e-02
8.856054193592325374e-01 5.227504960862543015e+00 3.760997988753824739e+00 4.251263746374828179e-02
8.675110986954245318e-01 4.150493902201039198e+00 3.815317912678872325e+00 1.858679983096299948e-01
1.009934103838909580e+00 5.929160934186252341e+00 4.000761839335491565e+00 1.657302828157714569e-01
7.325976729644331220e-01 1.447162314902792524e+01 3.668978100930173625e+00 7.198466564023972558e-02
7.425736030901362028e-01 4.921283770409766056e+00 3.448824480075608712e+00 2.500304402039633944e-02
8.635943036473570089e-01 5.390452958579279752e+00 3.535300319452914231e+00 1.399458731025299274e-01
1.971123980516283236e+00 5.662046527531666484e+00 3.920335697515160422e+00 1.485138260319473213e-01
8.023299450255593213e-01 4.043308549452572898e+00 3.047188669732230348e+00 2.674888746530110772e-01
9.654493277840654475e-01 5.147507968787270016e+00 3.549212173677915860e+00 9.433222558278142600e-02
1.403453316348003188e+00 4.546145907857225055e+00 3.785168845942261662e+00 9.269192461947442507e-02
4.243056098917331598e-01 5.146640554305931481e+00 2.400723981636154303e+00 2.599234126804693124e-01
1.266882516489108212e+00 6.768851931698836921e+00 3.918775699629562403e+00 2.211926901014868163e-01
7.929021934489237644e-01 8.317434407972751131e+00 3.441112316023490880e+00 3.507533067321245979e-02
5.365005107130317308e-01 1.205300294824621687e+01 3.016460453213781534e+00 1.378905695790642039e-01
1.090663424043142982e+00 5.517812269506655376e+00 3.451550506848065414e+00 1.656654900190772939e-01
1.343672193302027473e+00 4.607617683207688053e+00 3.664108913999435835e+00 2.609127499276303608e-01
1.136328749755154188e+00 5.067719503040136964e+00 3.589413086463855151e+00 2.874357311192226594e-01
6.403588042468753017e-01 3.472213631640963971e+00 3.654416683671402044e+00 1.586038938443248836e-01
9.757211454171345055e-01 9.258457687344886722e+00 3.680838039602747802e+00 5.767475589736238695e-02
2.129113015024600042e+00 8.981632746811911261e+00 3.871913356051616795e+00 5.831479284080671316e-02
9.067437272069518439e-01 9.724685323871446130e+00 3.684170215035727391e+00 9.561209592192561335e-02
8.794650170853066662e-01 8.407598034602390413e+00 3.644837927042787751e+00 1.777195670427534346e-01
1.046023051185602570e+00 7.020927974463329058e+00 3.468847895092791234e+00 4.747712430036584719e-01
1.796086767776672311e+00 8.044593067629685734e+00 3.399107713840854306e+00 1.384320405398366816e-01
7.254269786605401782e-01 1.140454968869373253e+01 3.557912275503386290e+00 3.553847779486542513e-01
6.090525547006088170e-01 6.023544389140424116e+00 3.247669061129174750e+00 2.874275652654872948e-01
4.916933650803818612e-01 7.863670728173646651e+00 2.669273125001766722e+00 1.066740160482008565e-01
8.360038905536956166e-01 6.452303411633901753e+00 3.546772139222858389e+00 1.728343874828837667e-01
1.377913393328916491e+00 3.892728231052732468e+00 3.826976454143281359e+00 1.426890773255001243e-01
6.247336763646240687e-01 8.669770731337534286e+00 3.283526913995611363e+00 1.415333214010223717e-01
1.380430132357842510e+00 4.889117266855258492e+00 3.785923109752463045e+00 4.271084175938806571e-02
5.997443665500823418e-01 4.999950504047901312e+00 3.400906994578777987e+00 2.553291844425157886e-01
7.833975969505673209e-01 7.358360749061615635e+00 3.376070967316846971e+00 1.328809984760903617e-01
1.342170952128834749e+00 6.676361520895135904e+00 3.822226518638585535e+00 1.564292495353871160e-01
1.992115042653218593e+00 9.730731845785570044e+00 3.792758080162499823e+00 9.981318707893047093e-02
1.069156410716044059e+00 7.134363642915413806e+00 3.655328866453947612e+00 4.666336157423436187e-02
8.681956641331236568e-01 4.969959932811271131e+00 3.692938967003304374e+00 8.606254146020800300e-02
5.441702133494542570e-01 6.783161366414173443e+00 3.534603674486799907e+00 1.369948066535636999e-01
4.746086963733401332e-01 7.807466198002630975e+00 2.619816262862479039e+00 1.354284318733045833e-01
5.735677633454355773e-01 3.109342248223253335e+00 3.269621611465891586e+00 1.444142688183151224e-01
1.583765671946301801e+00 8.366790310890431570e+00 3.832790025898392905e+00 5.563933383997868298e-02
1.157235340278933045e+00 8.718933687743348315e+00 3.816100203906951371e+00 1.257516205324399616e-01
7.757766609786721501e-01 4.710531368328974011e+00 3.345616110869682025e+00 2.282451209559550886e-01
1.190016834511106403e+00 3.092753781617082698e+00 3.898065178171286504e+00 2.950672393096163137e-01
1.186094956242437215e+00 2.560605240026828877e+00 3.805341179311954924e+00 8.364639201731620399e-02
2.078522996714001536e+00 4.399330359296762971e+00 3.725531845528468722e+00 1.459093871839096945e-01
5.453323097286988386e-01 5.475938977054136458e+00 3.168904652610628592e+00 1.164252647832886983e-01
1.009192440832104465e+00 9.257949376375789186e+00 3.718995354742856918e+00 4.957257434782738614e-02
1.061577122935007056e+00 4.943764242043719115e+00 3.578121453929052898e+00 1.233171878457210990e-01
7.720007926901946149e-01 8.901645130519654003e+00 3.157823224829100717e+00 2.424486578055433661e-01
1.079767098288074489e+00 5.896430394094962502e+00 3.731647296659913238e+00 1.082356165977849116e-01
9.144477069626486543e-01 9.624381237840715642e+00 3.636517743406153969e+00 8.207458646887662301e-02
6.220201430081445659e-01 6.908026275284409046e+00 3.193092795430935382e+00 1.175517399712895650e-01
9.749376932946689500e-01 7.322795293963235252e+00 3.409220982317190618e+00 1.104101660347764913e-01
8.825119762592000816e-01 5.746729954363808623e+00 3.581523777507016337e+00 5.590382347127934026e-02
7.152164684332144029e-01 5.266579306897743784e+00 3.401026909111565022e+00 1.275685916016085220e-01
9.641050711761347536e-01 6.101960999094061755e+00 3.596284800542221216e+00 1.049836642799469449e-01
9.313757675598313135e-01 5.326522563484971329e+00 3.587252163788523518e+00 1.905386848278051160e-01
1.087737194295526288e+00 7.674219667399891698e+00 3.476583215348107991e+00 4.639274304963493523e-02
1.062910105066942501e+00 1.062533833454903132e+01 3.844917507980471161e+00 2.263996773831805087e-01
9.442836345769759498e-01 3.302202900307124267e+00 3.612534071290179227e+00 1.197859717839534488e-01
1.679234650439011656e+00 7.220765072988425182e+00 3.865530511016514126e+00 8.564456314020238437e-02
9.769488893860877043e-01 4.305706938013820206e+00 3.716790017564876702e+00 1.441316299862268890e-01
1.259367752523537165e+00 5.079740815797122444e+00 3.726108943099953663e+00 1.334306553146628882e-01
5.847621209070964499e-01 4.527851494527530107e+00 3.368425881930051435e+00 8.564092492223196462e-02
7.019760295661491289e-01 6.122993188886826310e+00 3.222126508444122628e+00 1.442993094001334964e-01
1.234103488379350022e+00 6.526690844652394574e+00 3.651397133164809183e+00 1.623117603655266916e-01
8.528364237812804394e-01 9.854581819084499372e+00 3.840243677049990811e+00 6.626219471099206726e-02
7.404036238447304630e-01 7.013719907564506251e+00 3.275007407810328175e+00 2.445078327488330594e-01
7.749286468481622059e-01 8.815974460337521634e+00 3.452329988612730105e+00 2.566131659485183514e-01
1.136077189953678790e+00 8.458442654530839988e+00 3.708166588659264296e+00 1.953867555373367260e-01
8.770519853358724749e-01 1.011167257045361012e+01 3.577365267883486410e+00 1.147362330750975740e-01
1.027355282224284405e+00 1.116869523888544080e+01 3.886786746977290541e+00 6.039484199143670129e-02
7.240090824181623086e-01 6.250084045555484025e+00 3.614738817377215252e+00 3.092187130040086052e-02
1.280350806444800593e+00 6.917055302274610185e+00 3.906162686507603787e+00 4.524550490349098231e-02
8.711172339103215867e-01 8.210805442441719393e+00 3.491785328876937378e+00 1.152320162141629994e-01
4.507410138093788099e-01 5.696821757760960558e+00 2.823417122485124775e+00 8.718401846098222663e-02
8.379513193227918766e-01 3.479438807637161624e+00 3.650143327485813494e+00 2.320136817090477921e-01
6.620450651544049769e-01 4.900525547992151232e+00 3.607433687579540305e+00 1.582879550321175943e-01
1.043429015928412085e+00 8.087527046545996967e+00 4.029719961313104726e+00 2.452262306627586430e-01
8.728691931930672165e-01 6.598887691922429077e+00 3.189647369585316028e+00 2.013411201655874172e-01
8.154807981266880557e-01 7.616428759204047161e+00 3.726104107419946132e+00 2.546124083393705440e-01
6.268967562071930955e-01 7.540837445074412670e+00 3.289123025956302460e+00 7.122518090475667141e-02
1.785224785069198905e+00 9.465969949561012342e+00 3.852356766932545806e+00 4.957453164617310615e-02
1.176948658086101718e+00 3.963782684098743125e+00 3.182270351014226950e+00 3.610155406626888164e-01
7.887822201218730456e-01 7.748208057155754780e+00 3.317103786996718817e+00 8.440475332966668187e-02
1.161135941432611673e+00 5.257619415594627199e+00 3.410852223523406668e+00 1.847067580021559130e-01
5.314329636425723091e-01 6.124519499421980484e+00 3.267129162302442325e+00 2.011086539051776603e-02
4.534552491377309980e-01 5.881357164326923126e+00 2.865602541969488382e+00 1.147687734723597808e-01
9.585985665428562452e-01 9.869036146269708709e+00 3.686328294300696307e+00 6.831294519696659573e-02
1.368819324211684174e+00 9.140023144582567483e+00 3.808486568148095941e+00 2.921542042223294194e-02
1.160831602332787149e+00 3.802617451596998155e+00 3.514969239457344408e+00 1.533724378711346370e-01
8.299221428124545774e-01 1.375710447417404936e+01 3.433071933405183351e+00 1.256775505294038253e-01
7.354516134145487882e-01 5.307027164599718461e+00 3.534905019922534031e+00 1.193691360680165237e-01
1.471116080757749911e+00 5.116847642881806379e+00 3.878286121784296103e+00 1.717112404423929706e-01
1.003621097253802885e+00 3.029194298698924648e+00 3.861030489980056046e+00 1.426812639078923750e-01
1.209303993560039814e+00 8.105670188243433216e+00 3.519179986620617040e+00 8.380542140052052447e-02
1.139324778953921813e+00 4.728913163805113840e+00 3.637068246371802704e+00 3.480741813492763126e-02
1.272390098541572145e+00 4.924255908647943158e+00 3.954569193186054044e+00 6.969452809279233496e-02
8.328542461321274404e-01 7.815711612676354392e+00 3.775126156687372170e+00 1.879128576590579358e-01
6.514446494328675064e-01 6.933466439978204221e+00 3.548456603516511709e+00 9.624585894333007041e-02
1.116211259606321837e+00 3.877058575709297461e+00 4.059739143896798019e+00 1.682239793356078983e-01
5.833090020265971898e-01 5.508846485168513496e+00 3.562335337214538988e+00 2.807573274766364535e-01
9.418935990688054316e-01 8.933959463537306078e+00 3.639355052958889836e+00 2.543831006781234749e-01
6.963800641412446479e-01 8.255009153616295947e+00 3.781231385839936010e+00 2.301710945659034002e-01
