# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.930330276949432156e+00 7.016598393869839967e+00 6.485084903848938875e-01 3.795476767182793254e-01
1.620313648141889606e+00 7.736972928958174123e+00 -3.675108361481332353e-01 2.217415647226672337e-01
2.125011019244331223e+00 6.327294257811434619e+00 2.786991278716960174e+00 1.840616405574329872e-01
1.046297737802660111e+00 6.325499990529761085e+00 3.847579901496134269e-01 1.513050813992057875e-01
9.000275682326837057e-01 4.585331181802926537e+00 1.874550990303688991e+00 1.558942572920035963e-01
1.716773896555377155e+00 1.281271493759109958e+01 3.645847089094927718e+00 1.844507205858866294e-01
9.328649135871273090e-01 3.420263907765118905e+00 -3.323803322925811266e-01 5.042660465321660013e-01
1.973692558963438870e+00 3.991927679655998595e+00 1.084288013870635670e+00 4.375774890937936812e-01
1.961538809600790856e+00 8.601151836549435714e+00 -6.615668476060461156e-01 2.925989069190062519e-01
1.769549803468649207e+00 7.191851745571447019e+00 3.655898155237777836e-01 3.369275399552711936e-01
1.081892911962654136e+00 9.231498816337921909e+00 -6.268430465589444056e-01 1.320203105532727905e-01
2.304481970778410993e+00 4.489576552424750844e+00 7.860634225403644038e-02 4.464222254767751252e-01
1.630671366981257586e+00 1.151601546524166864e+01 3.139772911859924243e+00 2.725580753105809606e-01
4.311469808930853964e-01 4.600029745323243269e+00 -4.387371296598778780e-01 7.484833465246043538e-02
1.197412192080713700e+00 4.381894464003943668e+00 2.425108129962640025e+00 2.943987817555393516e-01
1.773547750775901211e+00 2.796086574679711667e+00 -1.851752657837824056e-01 4.033033087530910610e-01
1.864245954421024365e+00 4.148239334931993483e+00 3.407425553823793862e+00 1.373450811687339790e-01
1.125993323030387128e+00 4.570518710364055437e+00 -1.570392327879370775e+00 2.138722433647129439e-01
1.727408321814720926e+00 5.639131070859954242e+00 2.058094778938519109e+00 3.704908018773644396e-01
8.507189476729796196e-01 3.848708011031666931e+00 1.041741861082271292e+00 6.061239857257327140e-02
1.467094807140737478e+00 3.605038699222868015e+00 -1.105298771852473827e+00 1.175247981509495443e-01
1.028211695977584217e+00 3.664248742696073258e+00 -1.189446135912987979e+00 3.015494309415381879e-01
1.257131598921888305e+00 6.380719136549827475e+00 1.048555637919099004e+00 2.112228230082605351e-01
1.049071719834290040e+00 4.764408642506406721e+00 -4.209061680340310807e-01 3.101174812293431282e-01
1.370245120852390475e+00 4.765700583970155613e+00 1.445658661754988472e+00 2.125490647862190163e-01
3.500353051501728263e+00 1.129062772269070081e+01 -1.729513505729826761e+00 3.019006490761221295e-01
1.923524293934528062e+00 3.628003363324349806e+00 3.781862999903298217e+00 1.372752290715561763e-01
1.158000840542965593e+00 4.314469160689112570e+00 2.212785721162288333e+00 3.243831986026386449e-01
9.656588193591627567e-01 4.277827583380726217e+00 -1.139133642604855945e-01 5.884805704179266184e-02
2.307810164738559600e+00 6.248835279333346371e+00 3.554978561607764931e+00 6.817788912160377413e-02
1.488935717945862658e+00 2.832519287715981271e+00 3.102938317502220045e+00 1.802116340908770931e-01
2.525111611142922818e+00 6.204648426325374722e+00 -1.031288486582131458e+00 1.086477734873947110e-01
2.494036572217975589e+00 7.981707759777727063e+00 9.378988811936453396e-03 1.017408570385508054e-01
1.452685460675189333e+00 1.181465986809973323e+01 1.431622918257898336e+00 2.670831955726568063e-01
1.395438756727117147e+00 5.581834793809804296e+00 1.159466909197439888e+00 1.138782653573368331e-01
2.315146739399355003e+00 5.063662243946074781e+00 2.437179206273445420e+00 5.341298189867187129e-02
1.552466830162545719e+00 5.255099609213232270e+00 2.021822799184247010e+00 2.370298678155071115e-01
1.231989134691907184e+00 4.513084508788081983e+00 3.217416407178073978e+00 2.881734874920148792e-01
1.123753157453320828e+00 2.213569590386179620e+00 8.622486829822153531e-01 1.983193850281574078e-01
8.144548769378786579e-01 4.626905545431191591e+00 4.821416768236206352e-01 1.966744318905820910e-01
1.336960647119654455e+00 9.237491442931681007e+00 -1.059440441577772951e+00 2.971869991323744520e-01
1.451164162072950736e+00 7.312480548920785139e+00 -1.746499663294057036e+00 1.254212012622309136e-01
1.000337345116058430e+00 6.697277293874949855e+00 -5.176132926441693316e-01 2.669835027019398788e-01
1.726244823916304183e+00 6.479470984877476525e+00 1.158561380530919838e+00 2.339259987146894426e-01
2.281816037680188369e+00 6.506764446591923878e+00 -1.464514104489561319e+00 2.539566300392026577e-01
1.376731229985419747e+00 3.686638129495040772e+00 2.112028645039340180e+00 7.816659016713220498e-02
1.810336518598809175e+00 3.517507902546515020e+00 2.969574173816784679e+00 1.636909286223511284e-01
1.944817650302016032e+00 7.477953682637157762e+00 1.903156379463845083e+00 2.554007171610301885e-01
1.559809513269504677e+00 6.291346662604460072e+00 4.176690436301822906e+00 3.724314353541873235e-01
1.131946377831789974e+00 8.210537486689817754e+00 2.643478065078178840e+00 2.386620127497942334e-01
1.502249133525283664e+00 2.918834033628868507e+00 -1.211966346578182474e+00 2.293104018414656164e-01
7.379145024041448009e-01 7.357215857224425726e+00 -1.426295999857302377e+00 1.646837630033898270e-01
9.556870331387403716e-01 2.884316733660016396e+00 -1.512069844215809367e+00 9.879381740404583057e-02
1.060036421419875863e+00 4.598173135550692514e+00 1.574494381860678693e+00 2.373139848965148402e-01
2.308652568393974036e+00 6.214303431640280984e+00 2.492258902609983284e+00 4.206139313108646083e-01
2.140380604205545545e+00 3.166739302216142526e+00 -1.670026431777317022e+00 2.409596211830168644e-01
1.298004083704921152e+00 8.158215060100927118e+00 1.515891414527861025e+00 1.296994079466588790e-01
2.573543109359566650e+00 9.252760916602992936e+00 -1.558861414505359200e+00 3.980776252155498462e-01
1.128634469140537888e+00 6.660730047581949087e+00 2.934870098400630400e+00 1.397779831439139309e-01
1.559108592688643879e+00 7.505646165152803917e+00 -3.782874727752590926e-01 2.898069671468526953e-02
1.157629270920993658e+00 4.919046632831531873e+00 2.947871287447234590e+00 1.860385865916550641e-01
1.164475989824380830e+00 3.962486625673200091e+00 1.168696916882120629e+00 9.178114480035161338e-02
2.254633806633044912e+00 6.283139593680309609e+00 6.492751363550552934e-01 8.884102109206870601e-02
3.119242940258143193e+00 4.924859715935386184e+00 2.384707148768925311e+00 1.655624430760631871e-01
3.629912467063902692e+00 1.055134003247060193e+01 4.270991325364643210e+00 7.150958382291065785e-02
1.966026602601534501e+00 4.767975640063827569e+00 3.030630909753135316e-01 1.586333045357116445e-01
1.260253794545751704e+00 8.097289820064448307e+00 2.853125929406920669e+00 7.428153264181898419e-02
4.733143881259305186e-01 6.322661599845792679e+00 -3.148554423701613314e-01 2.981588609719280636e-01
1.376783700790958909e+00 9.789363745302443576e+00 1.139346539004936876e+00 3.576505911478594091e-01
2.099863392108976878e+00 5.415687105895574227e+00 -8.297944341694807324e-01 2.333520974740726783e-01
1.283471305755379044e+00 3.490936694240052596e+00 1.964397860914912641e-01 1.567387164433130531e-01
1.917903700695951841e+00 6.276534379941490549e+00 -4.257273677234483245e-01 3.429464031851764960e-01
1.979227538079533000e+00 3.666886478346214062e+00 4.483601440861864629e-01 2.727776542343310906e-01
2.641392340200450661e+00 4.478310198666823894e+00 1.849937876351456012e+00 1.507804954640325212e-01
9.672162399510114694e-01 5.503255956861554665e+00 -7.795862685725030161e-01 2.456446493437713929e-01
1.467118564283373283e+00 4.499211432863276627e+00 1.747604766163455059e+00 2.538644798775241407e-01
3.181100740808426863e+00 4.591899661114026365e+00 -9.952035093869505689e-01 7.316518541179123369e-02
1.609376177764417326e+00 6.042070496301878535e+00 2.666959914146102006e-01 6.874242566854874004e-02
2.510349919567512078e+00 6.121184771364216459e+00 1.200267103932319390e+00 2.200174099313543241e-01
1.190569588249428490e+00 3.801677408880967945e+00 -1.684624506561405444e-01 3.687544048446669831e-01
2.644907219083172834e+00 7.970265097468825388e+00 2.242144394606806479e+00 1.452200868861115157e-01
1.431572280551303589e+00 6.429103519766492525e+00 -3.190635315407408523e-01 9.518566311121012813e-02
9.236935444739375889e-01 5.091077805460260564e+00 -3.006264887894962712e-01 1.448798022290966325e-01
1.775415633287392714e+00 3.939277421644562516e+00 -3.397577169948755582e-01 9.813479856696730175e-02
1.855654471987881582e+00 4.139910684857855294e+00 1.548635764418835770e+00 2.400256789286896730e-01
