# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.010484200031270152e+00 7.106631694085108641e+00 4.776970049783847649e+00 1.690577127881675024e-01
1.119982543927531493e+00 7.959461577311560454e+00 5.001356065177490429e+00 1.417938309159452459e-01
1.613341659563078734e+00 4.926475654326575082e+00 5.360772059386756716e+00 3.207155833686514135e-01
9.905634485192981176e-01 6.227636427830469223e+00 5.099623866232667169e+00 1.420407211223132515e-01
8.815969683995033002e-01 7.408371177302759847e+00 5.228832079630944207e+00 3.498545982847445224e-01
9.971694582044796640e-01 6.622931679193863275e+00 5.061171758610620408e+00 1.056694849199714681e-01
1.019239546174715239e+00 8.850144909578860464e+00 5.036465886923527258e+00 1.859514837038623580e-01
1.012531903352827056e+00 5.967220610725666674e+00 5.128332045585545451e+00 1.817925384109754794e-01
1.045257668947660701e+00 5.058376445923295606e+00 5.003573510625992427e+00 1.177158235303334133e-01
1.161219413789759791e+00 3.687216702759814169e+00 5.162752297494422216e+00 2.289819887128758391e-01
8.449253719923933703e-01 5.528828226162753268e+00 5.029801863045894272e+00 1.338247026305094400e-01
1.420040808312625247e+00 6.940384561867251278e+00 5.369159012428167621e+00 1.660336463731766354e-01
9.857770341725158314e-01 6.102038543452907859e+00 5.019541589979505503e+00 2.476649700397829390e-01
1.055347597410674076e+00 8.909554544210912752e+00 4.913099866506534852e+00 1.153832234771653698e-01
9.972303130760402645e-01 6.512726368010217648e+00 5.278666095514703116e+00 9.156795030733590190e-02
1.172218407792235739e+00 3.448652123574836637e+00 5.552135122810964774e+00 3.284405720777179849e-01
9.827215081248055206e-01 2.191412337562465673e+00 5.165935885083509760e+00 7.098044743830832226e-02
1.136080551315060250e+00 5.964432144998311536e+00 4.988598627775614247e+00 1.654540858405584292e-01
9.200097597798959637e-01 7.581914977180272075e+00 5.049468404640760966e+00 1.696353761296355844e-01
1.109955369979643169e+00 3.032116093810234947e+00 5.091593629512567887e+00 2.450652572444712574e-01
9.928954044961950665e-01 8.059299923615979466e+00 5.234799323836179852e+00 1.537877679347562920e-01
8.429581737885573078e-01 3.635215320243471382e+00 4.843999230313217552e+00 1.980363519989031540e-01
1.006932627977653150e+00 6.665463742172943462e+00 5.299869931906607157e+00 2.152448154535468172e-01
