# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.344690238570638741e+00 4.102349208909516598e+00 4.234982628768127810e+00 1.169612838957300727e-01
1.721466219305839651e+00 4.359275240094542703e+00 4.085669426587104525e+00 1.766914361250455090e-01
1.935025137236828341e+00 3.177432475775378240e+00 4.260123141187409423e+00 1.148096430781940791e-01
1.391651995923107954e+00 5.247435138160849277e+00 3.920013163231988784e+00 1.746581602299838165e-01
1.892032516137970077e+00 1.099861586473679154e+01 4.161730969636465716e+00 1.190339933872743838e-01
2.314462945410206807e+00 1.507184135389390889e+01 4.227259580401429240e+00 8.487964793885520443e-02
1.332939851883724547e+00 1.360939547977363873e+01 4.245996887585688384e+00 1.296046478683401948e-01
1.995863315152487605e+00 3.353824849095066174e+00 3.762966515543924473e+00 2.695244269482969246e-01
1.389453033646932401e+00 4.451984975909605069e+00 4.028703207843910228e+00 2.079966527660961906e-01
1.309942959260510742e+00 3.884815454052519268e+00 3.946662017215244678e+00 9.013780253429992673e-02
1.230949360484253408e+00 2.927578343153086404e+00 4.083662096099962113e+00 1.479391905271732477e-01
1.569634715141445369e+00 1.121869818921784479e+01 4.246947943543341708e+00 2.022764590666237261e-01
2.355849219520685711e+00 6.676173478233961234e+00 4.337267262844062721e+00 6.153802330135760279e-02
2.007149372730900438e+00 4.303613498714020658e+00 4.282753306298061169e+00 1.813092819994810978e-01
2.401808559765895801e+00 1.020389144753223043e+01 4.287255168130619687e+00 1.799307966490044652e-01
1.910466160069265618e+00 4.833298998423689596e+00 4.199672684018740831e+00 1.837662267590290111e-01
1.776255529937492472e+00 5.083960960409745766e+00 4.016819825300305347e+00 2.739551892855762172e-01
1.820766137231286885e+00 4.090285143491742659e+00 4.343083604465351577e+00 8.125991892177569786e-02
1.556548848775789473e+00 6.235486973402099231e+00 4.248773108424498623e+00 2.509184502815156037e-01
1.813044980941153517e+00 4.633873787455685012e+00 4.372741521807215648e+00 1.557618903797237109e-01
1.516540499246314067e+00 5.054631698674886486e+00 4.089057825368051624e+00 1.817408027946131877e-01
1.529137299385495030e+00 6.698731982702028631e+00 4.155847786966154089e+00 5.080034564698761301e-02
1.421347235116290575e+00 5.937595227074217163e+00 4.401826748133831124e+00 2.147342704219302456e-01
1.624883004278057541e+00 6.618088906268463134e+00 4.159537138252369814e+00 1.448223824780376923e-01
1.640907472902465969e+00 7.914314346607323358e+00 4.271990894339115385e+00 4.993556375411825621e-02
1.993835230673838277e+00 4.800194372144687804e+00 3.968065003453670414e+00 1.903174166699481695e-01
1.334991574957981264e+00 5.096776994753699164e+00 4.260443683451105912e+00 3.637735156163515726e-01
2.926263460401590244e+00 8.669827359670236433e+00 4.326632984021145489e+00 5.226541623841243073e-02
1.794699639491928345e+00 4.829110975274859996e+00 4.268694540767913992e+00 1.323898627675650363e-01
1.944316128223095630e+00 7.473827433328676939e+00 4.204100302000310485e+00 1.456431732727074824e-01
2.222503255243797327e+00 4.021202144341813778e+00 4.269307686855184691e+00 6.998918418301927624e-02
1.648949799957689422e+00 2.613225546409644995e+00 4.294935978095818285e+00 1.474889840724281087e-01
1.353719302099068544e+00 9.661851737194552925e+00 4.112376184699884085e+00 1.372969698809677341e-01
2.296624356235279052e+00 6.754825822580388994e+00 4.349353482370916346e+00 1.246987124940138469e-01
1.496996269436289051e+00 5.594770188079738915e+00 3.933957572920060652e+00 2.709120451163340437e-01
1.567736825972324777e+00 8.497816407974688957e+00 4.241513004095876838e+00 1.936011256196638608e-01
1.669164405523075656e+00 6.585406302398546075e+00 4.064251700985960447e+00 1.108348300340983167e-01
1.789628761257876510e+00 7.201943845478659512e+00 4.321591457178790563e+00 1.464990865882033477e-01
2.291447008526390050e+00 4.739904619581335687e+00 4.223798759100004574e+00 1.257889031516676581e-01
1.274807947411423781e+00 4.167080000049626420e+00 4.312178508622047879e+00 1.616500575193676736e-01
2.688433798616580717e+00 4.358775331428835109e+00 4.247251777518234128e+00 5.795821053575582471e-02
1.200924856664395746e+00 7.402523937320887093e+00 4.250833333221888388e+00 4.267051520584822510e-01
1.784491657080065741e+00 6.465442240982893551e+00 4.282529543310369391e+00 2.837436978535100573e-01
1.457772942503545721e+00 5.312670416311579658e+00 3.862005851206428364e+00 1.330867832501985426e-01
1.568951097450144161e+00 9.711625373730324640e+00 4.632534728764587939e+00 1.889517150979805604e-01
1.592054221013670112e+00 5.741727602892941817e+00 4.094455426473887272e+00 3.257855997263066627e-01
1.860740823201768146e+00 4.358000909130362643e+00 4.328017986034385700e+00 1.323593622698559236e-01
1.230500250366249881e+00 5.904943664792136282e+00 4.065698859578154689e+00 1.708304765729559138e-01
1.867415293530997111e+00 5.898517953164028604e+00 4.149498269978310283e+00 1.125293450129563888e-01
1.748905232525402642e+00 6.793263706158302995e+00 4.179746618750728615e+00 2.656222690832112376e-01
1.492116892875357870e+00 5.333756961180070810e+00 4.247537620407401349e+00 1.543058239442094137e-01
1.268574835383136978e+00 9.281729761276240609e+00 3.942285265164524155e+00 6.911928678776037283e-02
1.748988667533650121e+00 5.321225855244536618e+00 4.204640522577875572e+00 4.967388246589812123e-02
1.322017056548264735e+00 6.462020106826951604e+00 4.475400402132023281e+00 3.484369832470206596e-01
1.956599494424545060e+00 4.676121310517423524e+00 4.281820844189669906e+00 1.881678852855070971e-01
1.673445886345084066e+00 7.078582450668291060e+00 4.051361281967008843e+00 8.178207714231776337e-02
1.986753289907579045e+00 5.355257397726304269e+00 4.333743105830894393e+00 2.417120728416084219e-01
2.193451523731811736e+00 5.838184026941056537e+00 4.141456431604273902e+00 7.705311706267926886e-02
1.631800892796297031e+00 4.905563184686077882e+00 4.347440511542380648e+00 1.851077234440344776e-01
2.011586615147039847e+00 1.103296472810162143e+01 4.266840282812796481e+00 8.518464587404395161e-02
1.807798037448617112e+00 5.968435959481417363e+00 4.191494971830556970e+00 1.675027321630857269e-01
1.564437705423450176e+00 8.690107107358565841e+00 4.458201541734486462e+00 1.817547370340668600e-01
2.202703488853435587e+00 6.529316416096351716e+00 4.412907101354816675e+00 1.308065172751039229e-01
1.342986186620975131e+00 3.173769250845002610e+00 4.335435599535306217e+00 2.467083673799201071e-01
2.023343797953801815e+00 4.690369049124907264e+00 4.414910795038893276e+00 8.581017547238620202e-02
1.213509094051008486e+00 1.007997565913591309e+01 4.205424893246888729e+00 1.786260918497675210e-01
1.604262778494925712e+00 5.674116362467123587e+00 4.165900966891411983e+00 1.527097008300564995e-01
1.602468534234442021e+00 4.520501434816189601e+00 4.223544524198752370e+00 1.215315561249195042e-01
1.629355908898683314e+00 1.014174889651214251e+01 4.237504246043294565e+00 1.018290036744471105e-01
2.029645874227238522e+00 7.553317611227985395e+00 4.245204289924804364e+00 1.035625885254106843e-01
2.039362887751035469e+00 7.545081358755004075e+00 4.277252065396434766e+00 1.213927250639803279e-01
1.729905247751406305e+00 6.172987099917483178e+00 4.252231303410728636e+00 9.781726198028832531e-02
1.679790081575194716e+00 1.058666438902986151e+01 4.279192554431404005e+00 1.921425254107561598e-01
2.442447577088902921e+00 4.675553713670305811e+00 4.227625997903277089e+00 2.323797411979900418e-01
1.646321607219320970e+00 6.086520240650553859e+00 4.304839584288370880e+00 1.141603137948097174e-01
1.368997272572129997e+00 8.078493437303407632e+00 4.319131272570269076e+00 1.386565495929731884e-01
1.519204595846345374e+00 2.591697005721874891e+00 4.024061950110741748e+00 2.115524481791751787e-01
