# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.007374511539941064e+00 5.381190305466054369e+00 5.280697658777650183e+00 1.296051284421535221e-01
6.368492198719472031e-01 6.218190316112553795e+00 5.192300367675375838e+00 4.962419476812234692e-02
7.907384888096418152e-01 5.128212913393460859e+00 5.164872575641633823e+00 1.003453605679159172e-01
8.504099529537076929e-01 7.305435557578888961e+00 5.218647030713032819e+00 2.659655455295154014e-02
7.832599683401682000e-01 7.955327112349242391e+00 5.343520788538922872e+00 1.367676771247914036e-01
1.300281233377961865e+00 7.996214744909456940e+00 4.866985118553668777e+00 2.762298440300155478e-01
1.039552084852748193e+00 5.113384167701545024e+00 5.178681778484156339e+00 1.629068442176883624e-01
8.848675509718794130e-01 4.579212933636460647e+00 5.279699346031575757e+00 1.353536040567288601e-01
8.466322552685778824e-01 4.488809460450441158e+00 5.061013575853386293e+00 1.829356773258108693e-01
9.025152743854134574e-01 1.047847762418178164e+01 5.341221442385506002e+00 1.085888945562227259e-01
1.282698861208723118e+00 4.783558833651380127e+00 5.094623129924126914e+00 3.485017314027748919e-02
6.697700260456849186e-01 5.149451653792039174e+00 5.145280953831625759e+00 1.366932018366871782e-01
9.380127743852013644e-01 5.306364320181205407e+00 5.227831967834825733e+00 4.588810836608785831e-02
8.094809252498967878e-01 4.688001182807917999e+00 5.083024360585098655e+00 6.133768902486216867e-02
9.991646768436653891e-01 4.659250929379057382e+00 5.258675049825718872e+00 1.594381662183302628e-01
9.346171257268848231e-01 2.989515788775176208e+00 5.179372361333366648e+00 1.363966622409563678e-01
8.860201046824395243e-01 5.132182079989119572e+00 5.152693763051813036e+00 7.617535073551943980e-02
8.199828514192862849e-01 1.097636170130512667e+01 4.969234904470329894e+00 9.569757709159674997e-02
9.638906386191631315e-01 2.801195370211080338e+00 5.097565867546758334e+00 2.944645248027786266e-01
1.145294540896625524e+00 6.522335628743864078e+00 5.636442982628132370e+00 2.113853647228845778e-01
7.922142154536908620e-01 5.264233024695887053e+00 5.207560920126772963e+00 1.690226801780907451e-01
8.216651521777835754e-01 5.616270972335600575e+00 5.242614074365631538e+00 1.068755232501261559e-01
1.168717322211792808e+00 6.509008327189438781e+00 5.291505174931070421e+00 8.329827743462323020e-02
1.044869994659296086e+00 6.020860478372480173e+00 5.287162454255451394e+00 2.052091470290870467e-02
1.358449377057246998e+00 7.056333315686581287e+00 5.213610858453062491e+00 4.466326148262114715e-02
8.915024958074644346e-01 9.171396961355647193e+00 5.357743317513936177e+00 4.382108636682588432e-02
1.280715403863122770e+00 7.209393956058645969e+00 5.224083010334091171e+00 5.346002727693573153e-02
1.261527041503486490e+00 8.188019617375392301e+00 5.286999233417678745e+00 6.508631602549211359e-02
1.196581406144595183e+00 3.212597865147559517e+00 5.116509738862485612e+00 9.469108043306685707e-02
1.183759396833102828e+00 7.771291610461831034e+00 4.986702327683965486e+00 1.731345343481748567e-01
1.186344700570078237e+00 7.220277841699135557e+00 5.436607107201365530e+00 1.348396942698038281e-01
8.702221770989125860e-01 6.040926482774201745e+00 5.466001077021756416e+00 2.091547139825769008e-01
1.381582434325868469e+00 6.125524043189035872e+00 5.247277775591543403e+00 6.813737350596651976e-02
1.296184736260859616e+00 4.566466646350317404e+00 5.286447732824909096e+00 4.369045733569160844e-02
8.476666590290710124e-01 4.936398906304191314e+00 5.263613823212851983e+00 4.193783842240477594e-02
9.065187317570762016e-01 7.764113559282362687e+00 5.259020698297667273e+00 1.660610992006061881e-01
9.152993316710856808e-01 6.983873396246700338e+00 5.258053815384218233e+00 7.441991243544321399e-02
9.892613471599475128e-01 2.665937085056031108e+00 5.159492720675569188e+00 8.208845474830064881e-02
8.142027634834357874e-01 2.924017328451249398e+00 5.307559758048013165e+00 1.512880176109148711e-01
9.894812836479457419e-01 6.032158748509646173e+00 5.346625886519715820e+00 3.947497034899064006e-02
7.447310897014653985e-01 3.463362662450682805e+00 5.283420146466244915e+00 1.647479715848588488e-01
1.391824143861671415e+00 5.202946304760791563e+00 5.213056063298866505e+00 1.288864572833390287e-01
1.242080302534885883e+00 6.372352865618827522e+00 5.186367094769448904e+00 1.295150921434639057e-01
9.598747512419489869e-01 4.362128691957486204e+00 5.270352152365168408e+00 9.854016743715014737e-02
6.716432496356504744e-01 6.292864373190413474e+00 5.184177679816430739e+00 1.719040387574091722e-01
7.751116889499565232e-01 7.505833156131541450e+00 5.093496842478584696e+00 9.369024455116317651e-02
8.591913177266693458e-01 3.355261790064186567e+00 5.150405090497604199e+00 9.633095237834957136e-02
5.437996478686297763e-01 2.600323178143649105e+00 5.200191481062931942e+00 9.502675885463332528e-02
9.530870646984681560e-01 3.061132002958832476e+00 5.135603623702090559e+00 1.516414621735477919e-01
1.001694716448920719e+00 6.014924892915180621e+00 5.354535606474672527e+00 1.495230107497771410e-01
7.834783657344200902e-01 9.749591729345242541e+00 5.261664510953843354e+00 2.118664708291277399e-01
1.087871257290700999e+00 8.626878046697889602e+00 5.277690630584926268e+00 4.113273305492069765e-02
1.220965781470171097e+00 4.711865954396527556e+00 5.216675018621820037e+00 2.155194531588907891e-01
7.092873871876809178e-01 8.678134997171087051e+00 5.179283262040789815e+00 1.063285365905047020e-01
1.163576149446602370e+00 6.812946498945373186e+00 5.280703516276755494e+00 1.779737782235384924e-01
9.011986918180415751e-01 2.958595152545912654e+00 5.215478643736075171e+00 4.478884865939666837e-02
7.445141129359813537e-01 8.880507630592026302e+00 5.252925691746597181e+00 6.201140868053053173e-02
1.122552035022608141e+00 4.443078147041910952e+00 5.473330471674718645e+00 1.350617424965221136e-01
8.176908892029831621e-01 6.587966061718870669e+00 5.103015135955703663e+00 5.068920462585658343e-02
1.120791272078073275e+00 6.015514187624406262e+00 5.232666744454658847e+00 4.924674383305847891e-02
1.044782323242201771e+00 2.866451070152018943e+00 5.100297898326026313e+00 2.574933149635553198e-01
1.000194397662099055e+00 4.391651618916321276e+00 4.845394455762617625e+00 2.214999066707883935e-01
7.369376953795788721e-01 5.817242254496168385e+00 5.278540091380339305e+00 1.490362311651845517e-01
1.047316862025611250e+00 6.795905404339523059e+00 5.136928051616584057e+00 3.615796548039341696e-01
7.544513529020874243e-01 8.818617294683621211e+00 5.303011191978279193e+00 5.829433703345798107e-02
1.141723564637724619e+00 4.565999957034716061e+00 5.205381285586669016e+00 4.066673991058074311e-02
9.932071284094476926e-01 1.173198020911469719e+01 5.040637666899186797e+00 1.006161842061766287e-01
1.041000582756103521e+00 8.125523385528373055e+00 4.902723183899542647e+00 2.181157569123501339e-01
1.320220343152358700e+00 3.749497249727276937e+00 5.291447343959041483e+00 7.053312630707225805e-02
9.106254251097696262e-01 1.092548580821916815e+01 5.145941351702411737e+00 5.768906450368607719e-02
1.027754634322799232e+00 8.974294184966582932e+00 5.441831425618222973e+00 1.592190925214162223e-01
6.115742502118752810e-01 6.578820576642288032e+00 5.210540660653242284e+00 1.040545034905901722e-01
9.003487550854561983e-01 4.280438570321320135e+00 5.158640584476118285e+00 4.789721379469555340e-02
1.065400083040240808e+00 4.520298785340507663e+00 5.056786605193277495e+00 1.645092640669740813e-01
7.813085915816220250e-01 3.509290869632222254e+00 4.895270408817080643e+00 1.303153828007480031e-01
1.179929316973631792e+00 6.233344086650192573e+00 5.035164610533312768e+00 1.062862552695303664e-01
1.059191846428499950e+00 4.014156826940011413e+00 5.152794631052251439e+00 1.021494451718861357e-01
1.081228187054014134e+00 6.485587959519144796e+00 5.262816169723591564e+00 1.603885233580555070e-01
9.684921818954029815e-01 2.642401283041071025e+00 5.244127699685914301e+00 1.390876313610070192e-01
8.884394753550952650e-01 7.575210633109129787e+00 5.145567710017895813e+00 1.037377683337142864e-01
9.186607267025023171e-01 7.471620612949775975e+00 5.245820839500693111e+00 1.180672721942237213e-01
