# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.372608560472527994e+00 1.281098726772969698e+01 5.162100815537335130e+00 8.494238744600489388e-02
8.963287861277675628e-01 3.188223114185200657e+00 5.000612913995678532e+00 5.001883966549475202e-02
1.428772628915700782e+00 1.029473256791524705e+01 5.202220284206203083e+00 1.200350613398200039e-01
1.137538232252435666e+00 5.558952946336446210e+00 5.047720575118351150e+00 1.207446927541807324e-01
1.463740867158234149e+00 1.106838901664592179e+01 5.095574648689382258e+00 1.816965993559513382e-01
1.455341382390133553e+00 1.025229321681544370e+01 5.120231409590178195e+00 1.285425782477943035e-01
1.054708370057701128e+00 4.596797704862916945e+00 5.121888817424117946e+00 7.359887698728305450e-02
1.297647270216452320e+00 4.686200849681762648e+00 5.049329021803813156e+00 1.016956071045402865e-01
1.370283914610424869e+00 9.375514483432905166e+00 5.186779017307629580e+00 3.364019787383976112e-02
1.429493262615398219e+00 7.241410393166852977e+00 5.098596035305083873e+00 9.545765894806669538e-02
1.279792838875456917e+00 3.912153946289743001e+00 5.236202994069440564e+00 9.174270146934049297e-02
1.062613675360355003e+00 6.121625413877919364e+00 5.022321964808995176e+00 1.196937251227308957e-01
1.351539274217898878e+00 6.280289278826971966e+00 4.885209020058421281e+00 1.592956875544579431e-01
1.298810424673980002e+00 3.616372803548570047e+00 5.080958778764808059e+00 5.484821404629727781e-02
1.831602605094081682e+00 4.987501522571187174e+00 5.032763609879886246e+00 1.005594938454278664e-01
1.479590091035896782e+00 6.351622510637080943e+00 5.160908815989063925e+00 1.743314108271326948e-02
1.416151324931080202e+00 4.964040558169361184e+00 4.786099689308795924e+00 2.332938276764109364e-01
1.928267959480781002e+00 8.954923774741342157e+00 5.161696613826859625e+00 1.098641126764296344e-01
1.225659070059263778e+00 7.984416538486100556e+00 5.068324450859978292e+00 5.387635611908581784e-02
1.206363561282673302e+00 9.033434306359247046e+00 5.225894860838031342e+00 2.215721543089425039e-01
1.013962940007014035e+00 3.256363891509129971e+00 5.203406964320389960e+00 1.177052437078540958e-01
1.382452641287685191e+00 9.443942881184250737e+00 5.083909931869565746e+00 2.014883242055896528e-01
1.106788545449026051e+00 7.691667304674088435e+00 5.137497903922954912e+00 7.104887038362280027e-02
1.377801324496095381e+00 6.465949721514125947e+00 5.061838594387883639e+00 1.985972320091633769e-01
1.345314509005026471e+00 1.082740175214924960e+01 5.084781964587945957e+00 6.855129736536030860e-02
1.320305659145785793e+00 8.277501822318670932e+00 5.195536286238986889e+00 1.352834315561370904e-01
1.177006230273411891e+00 6.249528526998999745e+00 5.060178648888225439e+00 1.492668166261019724e-01
1.406494194839933654e+00 8.854885746902095178e+00 5.115618342801864671e+00 1.199208261151632482e-01
1.307424781260801749e+00 4.392232426706378590e+00 4.948720532775572778e+00 6.815419312595688561e-02
1.735199256296035442e+00 7.212074988906293171e+00 5.184563922495312838e+00 1.222349671393981735e-01
1.094935378598567599e+00 4.657840719481074920e+00 4.953486592997450089e+00 3.204523371100037044e-01
1.147136639777808886e+00 1.169000077141266658e+01 5.052176231657043992e+00 3.952210308868761568e-02
1.189625983352583738e+00 7.546518803597013658e+00 4.771873198311360476e+00 1.872831747276036407e-01
1.517889665275858890e+00 7.760034622562584694e+00 5.194703953950312147e+00 1.128908703424753579e-01
9.648473626403828440e-01 8.100016024857161767e+00 5.237901304048397044e+00 1.444849893238126237e-01
1.351697444819167648e+00 9.017500142156437803e+00 4.949180991740085744e+00 6.269367616165036350e-02
1.519619415865474332e+00 4.077863018858352007e+00 5.110195147109968694e+00 4.772886685075938829e-02
