# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.052559176200478452e+00 4.019066097498289025e+00 1.194557836281175067e+00 1.060178625358501464e-01
1.562352945753199496e+00 3.354004105204734909e+00 7.249254170136618658e-01 2.052615939044150906e-01
1.762876272055913240e+00 5.038853126499004631e+00 2.443893416618588166e+00 1.170567673080995102e-01
1.645896116294553790e+00 7.749853579368286560e+00 -8.711640525917110356e-01 2.112343983289539928e-01
1.706163777957440342e+00 2.607900271523376556e+00 -1.675874143131250049e+00 4.400197716364962486e-01
2.160161477588414591e+00 2.580547012555387543e+00 1.413631507775573226e+00 1.606003675228275529e-01
1.505040563133404730e+00 2.879469908835847747e+00 3.172391600042548720e+00 2.527095641592234654e-01
2.280284026417985110e+00 6.988909760061448040e+00 9.796902177862822914e-01 1.963042652943605970e-01
2.168725480135377026e+00 4.756884722699846968e+00 1.460634094828889840e+00 2.406133855801064203e-01
1.678889390388784042e+00 1.168795475865395161e+01 -3.013799393269672722e-02 2.705786781772675509e-01
1.312353227953099610e+00 9.824799661697944941e+00 2.871168107658746749e+00 1.003581533727588571e-01
1.492974817324514536e+00 5.023870351037051485e+00 2.555250964048540130e+00 2.366535042475475525e-01
2.442915430050166758e+00 4.364731555809457930e+00 1.324475717001615038e+00 1.393248201548103193e-01
9.747034883206869837e-01 6.631928348635773851e+00 -1.701411537478235425e-01 3.489185016307616016e-01
7.246169547427512292e-01 3.203057737638578484e+00 -1.633909630367174515e+00 4.810877713435807168e-02
8.287142045281769009e-01 9.812952971839719041e+00 1.422853137911902488e+00 1.609146100032555760e-01
1.520998660468403152e+00 4.453623511954587499e+00 2.547624545682638963e+00 2.070429430262326898e-01
1.126209428492973563e+00 4.203327641440973039e+00 2.234785093116888888e+00 1.296991979775761195e-01
1.510816918237829931e+00 5.092573354467233138e+00 3.194089172172128066e+00 3.859433815479906826e-01
3.060333456017705789e+00 5.510421189299492539e+00 1.365997153867756220e+00 2.042745830680923746e-01
8.922904845778779626e-01 2.558766988744286763e+00 1.070475957240052622e+00 2.426408982938205727e-01
2.695814340985818180e+00 8.219673384927935089e+00 -2.222949356670214094e-01 7.395330685918151403e-02
2.482074017229024321e+00 3.114665863040955163e+00 2.707420489984703416e+00 2.146602547919658766e-01
1.841575763180370195e+00 6.188408414203326657e+00 -1.589465148651286963e+00 8.716451115157057561e-02
1.242955588520551435e+00 4.574894098160909195e+00 1.768735784449321446e+00 3.189826213788762299e-01
1.364000400597532581e+00 5.030139586477686109e+00 -1.833823140214242420e-01 2.519202786671509986e-01
1.419600662443762484e+00 4.440168866620626709e+00 3.200282077854835983e+00 4.036899591711873292e-02
1.313778231050366063e+00 9.892865989591250298e+00 3.679598192413041868e+00 6.905400128084014655e-02
1.059593320233978231e+00 3.970973371355525749e+00 -1.184127587216821542e+00 7.156673447280251232e-02
2.349498366055375875e+00 7.949580511834978935e+00 -3.948616448020428327e-01 1.010174965213523901e-01
1.725192367777231173e+00 5.703598998904659823e+00 -5.268080618296167028e-02 3.341915454635241423e-01
1.556169483673955911e+00 5.736289538824726364e+00 3.344428857579297976e+00 1.798689073508730196e-01
1.095974620701560376e+00 3.980418085222083846e+00 -5.207688565501925604e-01 2.788384264706525451e-01
1.060449183472717216e+00 2.804905142469668711e+00 1.703694802545066000e-01 9.583063914235828706e-02
8.915945814042913753e-01 7.699287525609898708e+00 -6.756006322440538669e-01 1.493389107026902862e-01
1.670187766123967243e+00 5.453042196099191941e+00 2.373622761761060573e+00 2.442513074943911400e-01
1.996609771898173458e+00 5.951942689479134074e+00 -1.857585999773470053e+00 4.127870485393631550e-01
1.786537711174095211e+00 6.935117982623361321e+00 3.589390264696291410e+00 7.579174185343559578e-02
1.511821334995118615e+00 8.200472450835301075e+00 9.156147000037471173e-01 2.065129573557922815e-01
2.897581324246071510e+00 7.579171915154510053e+00 1.898011924405626161e+00 2.000417847323439080e-01
2.841572599453737968e+00 6.370812918757160936e+00 1.974412214663375353e+00 1.737070268143133811e-01
1.984843906580666228e+00 7.070863551898771249e+00 1.046672315844958900e+00 2.131465189116333314e-01
1.846268787400684896e+00 7.751012707749715958e+00 -1.718349559169645380e+00 1.135654466476640756e-01
1.940960811810469089e+00 9.338754086085367945e+00 9.988644623074106610e-01 2.169288175993200618e-01
1.239286925209678536e+00 1.023710016908164988e+01 7.248490324452674383e-01 2.128176010341260305e-01
1.863458412893185701e+00 4.238702711271602475e+00 7.529125911944071214e-01 8.523042995624398321e-02
1.845413467989513112e+00 5.255963902128230281e+00 2.223702317838096576e+00 1.473812429842514538e-01
2.497006409279160621e+00 4.836174558927716305e+00 2.781504651324046673e+00 2.949132356512447206e-01
1.477200057880872386e+00 5.403413244449870589e+00 2.201742788470300916e+00 2.326092237579399091e-01
1.322119944845403072e+00 3.108997309024032152e+00 -7.570197891901635501e-01 2.588522163879024562e-01
