# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
8.161269789381311313e-01 7.447542158779676846e+00 3.825345540671134970e+00 1.387232923416389929e-01
1.138923895510346895e+00 5.989213920759905108e+00 4.189842587327524015e+00 1.674066667452673851e-01
5.079846363950407673e-01 2.761838393332780583e+00 3.756094712923578882e+00 1.137546998427804712e-01
1.695155382878278605e+00 3.629030472722129197e+00 3.138141741258380968e+00 9.293422206186563450e-02
5.313148585689714265e-01 9.212259121685271168e+00 3.720037408504806020e+00 1.097286790111845350e-01
5.514339022265489776e-01 8.698048531441459730e+00 3.582985676541034170e+00 3.575905056788504233e-01
1.376132755949868613e+00 4.245153336949912593e+00 4.368118027747073917e+00 2.418997542355423302e-01
1.018834077469417787e+00 9.029383471100008052e+00 4.172442509294601365e+00 5.121922346943277859e-02
1.362206744470010999e+00 4.131939261758482473e+00 4.058962338703116401e+00 1.105717131958612043e-01
8.396742353161196215e-01 6.237339978129999629e+00 3.907132804816328076e+00 1.254741773185728271e-01
1.097021224755394986e+00 7.707950241857385976e+00 4.097205041007200066e+00 1.771520958028609538e-01
8.516043066715368592e-01 3.755013615439920294e+00 3.393184374050289609e+00 1.093253498626314962e-01
1.185765911891068614e+00 7.258489406750140205e+00 4.414615871903155409e+00 1.461125663778683192e-01
9.938009384739060481e-01 2.971016156373949446e+00 4.046163878715052675e+00 4.048589800162963326e-02
1.040831499730177967e+00 8.415610643708371086e+00 2.479939806588757012e+00 9.630341313210706577e-02
1.293262060573049377e+00 6.465475049048505340e+00 4.354317423007962873e+00 9.232235827474113976e-02
1.110171655745524788e+00 4.257317832765453502e+00 4.407516348644054283e+00 6.704258568634041682e-02
1.077028985900298608e+00 4.022481017637907108e+00 4.125723540586644589e+00 7.977695764263759148e-02
6.215219405934462316e-01 7.372942776912768892e+00 3.571071670485919114e+00 3.461407353455278058e-01
1.849242371665860585e+00 3.793564991303439271e+00 4.394549016178480372e+00 2.994043604492144239e-01
1.716177889800272416e+00 5.324132380688920030e+00 4.376321708525272136e+00 2.378952869477281851e-01
1.055352840230752820e+00 4.450641474434509526e+00 3.449867461702925020e+00 8.205126543528096228e-02
8.577133553887504869e-01 3.821106598939258525e+00 4.088284769790475615e+00 1.861168960967980179e-01
7.996789735384564057e-01 7.218788836408152498e+00 3.619419516194783526e+00 3.665724204311090473e-01
1.384004668770506541e+00 5.332672519674074962e+00 3.963730175900132213e+00 4.488013430020912353e-02
8.187374636226042446e-01 1.010291388171965998e+01 3.567761063415610501e+00 3.605799162802814650e-01
1.415941579944758555e+00 4.892103810227345306e+00 4.296180507050169517e+00 4.473073738160119467e-02
7.135871887929721158e-01 6.117316443032471796e+00 3.710975585777565477e+00 3.570891574804904156e-01
7.885695208169758441e-01 8.476770571732664905e+00 3.559766500643993137e+00 1.120148845414636329e-01
8.889668356866453625e-01 5.564364009132663824e+00 3.998911575938260299e+00 1.585997657148087436e-01
1.671406116316098256e+00 5.199097466225017783e+00 -1.059500829569115066e+00 1.313519735103601815e-01
1.397686069698759415e+00 5.302018844966855049e+00 2.067869992003190660e+00 1.057085636309418597e-01
1.678479372457274632e+00 2.671604372784758041e+00 3.613804139915893110e+00 8.111538765195777656e-02
1.382711615770789271e+00 3.989905393717757764e+00 3.955512312843668443e+00 1.672346233893041156e-01
9.496120193185557667e-01 6.858198529025562706e+00 4.059299004889622253e+00 4.705736495205511266e-02
1.384434338041770962e+00 3.599264285454080614e+00 4.073004136437472056e+00 8.517873165368559929e-02
1.600783611526087391e+00 6.694842086282069005e+00 3.789877105547318603e+00 3.254090123260368062e-01
6.908466503423333904e-01 1.038952412933370262e+01 3.167203511159598861e+00 2.378298516280711317e-01
1.017836564483154405e+00 8.345231571784852420e+00 3.937852528988230905e+00 1.922277580927355123e-01
1.815562946183573834e+00 4.990712067849139011e+00 4.310935280057204722e+00 3.556944130762781930e-02
7.596389192097869891e-01 9.485211046951638636e+00 3.601964236705369249e+00 1.601122987935931774e-01
9.690323698946732289e-01 4.220250792262715045e+00 4.451637531932413516e+00 2.394791180866342739e-01
8.848850509362070627e-01 3.313272136043135863e+00 3.298250492045503357e+00 2.815630468936092812e-01
4.853409710608453387e-01 5.847484382434468664e+00 3.444206332266316561e+00 7.659661580034368700e-02
6.832604610813238777e-01 4.664803963945547416e+00 3.843101604792457326e+00 2.337265527679289190e-01
1.325880732009621976e+00 7.230573317145110757e+00 4.310862936613371943e+00 7.598464547102902478e-02
9.482029471796986630e-01 5.319139766115541512e+00 4.091195524182880128e+00 8.929805806631668785e-02
1.196450089902535208e+00 5.089723510529351458e+00 4.260817097741578685e+00 1.066896223564812868e-01
1.279817459103175015e+00 5.140371318319244764e+00 4.269876156005668832e+00 6.826496601212246607e-02
8.026967121245250913e-01 1.011460810701221469e+01 4.069204848698664279e+00 1.317609812675217262e-01
1.539409957335354573e+00 4.344635976538707034e+00 3.987242106513730455e+00 4.323956637741402931e-01
8.876964895493206775e-01 7.227516014364038455e+00 4.090276303491780396e+00 1.741444828513292187e-01
1.083407491379632770e+00 6.572254619042905865e+00 4.296785561035687984e+00 1.853686040207854491e-01
1.094399779272945628e+00 7.552799545942595394e+00 4.122476371796179428e+00 1.767607554416936178e-01
7.636031731226151642e-01 1.217923311807793674e+01 3.321518218714194504e+00 3.596548288039774777e-01
1.222705145091252055e+00 5.876968631961130285e+00 8.349495860555100624e-01 1.419836379588948483e-01
4.397224935350781960e-01 6.574082658342957686e+00 3.285002046052756253e+00 9.877783406626096385e-02
7.437195415849789937e-01 4.310549414755735498e+00 3.214235034200194630e+00 2.036528772227313155e-01
1.864748561661606407e+00 4.960667472609848971e+00 4.417687727525950514e+00 3.709196199919628234e-01
1.401612423751390724e+00 6.285208159114171522e+00 4.251145112125277237e+00 9.017570958667484038e-02
7.804081658685839695e-01 7.650670564551125707e+00 3.776677310400286647e+00 1.182482824128485016e-01
1.153842483764731197e+00 4.939460470154013016e+00 3.827469885371469260e+00 1.803435346690978047e-01
1.076994613498947206e+00 1.063192498163529720e+01 4.190032801053520828e+00 1.522738463001035714e-01
9.797016313853996738e-01 8.648720939862098334e+00 4.036346303427254867e+00 1.503331075545941420e-01
9.121329421442436747e-01 3.594391782447727390e+00 3.920041129688506043e+00 3.274305327827394252e-01
4.120620187033383619e-01 4.874770143814616929e+00 2.191382052328652463e+00 2.665568458506660243e-01
1.161166782253017615e+00 4.176330613051321805e+00 4.000266205657753815e+00 4.644135239491612999e-01
1.581295341157928025e+00 5.283026277005595794e+00 3.894333861053521861e+00 1.514800978417242816e-01
1.278729557929622285e+00 6.213858995670396013e+00 4.428460816753301721e+00 2.231339167747386498e-01
7.931940362000546862e-01 1.032456736657412577e+01 3.952593279423919359e+00 3.951619461847202808e-01
1.698341229146946851e+00 1.105547543908328656e+01 4.109661070124365878e+00 1.189776562004034866e-01
5.718438295807172222e-01 8.213137511783880740e+00 3.415213004709562572e+00 2.889830053764493867e-01
7.760226737286433085e-01 8.215976414380167014e+00 3.628079786974492738e+00 1.376196733444143283e-01
8.326102642257259268e-01 5.476085317680189135e+00 3.789442454431042329e+00 1.162998484943411209e-01
1.776102422067154185e+00 3.101511094789354495e+00 1.842443451575255908e+00 1.834687563097376906e-01
1.322574758799170969e+00 5.521335097892920096e+00 1.170030549103191042e+00 2.084445839227506980e-01
5.468594023049445640e-01 5.989621111978583379e+00 3.275133325066812429e+00 7.807293631709157078e-02
1.518438136075511036e+00 5.346171923787302660e+00 4.081972577252567902e+00 2.058517149291549664e-01
1.114319092297349156e+00 4.352489884931211250e+00 4.669430154834388169e+00 3.490544498944586627e-01
1.407984740931097933e+00 2.703896472945685137e+00 3.765209363017981481e+00 1.839079460364275165e-01
1.273328821439225988e+00 3.893302784046522635e+00 3.360264575028019784e+00 7.020285751122930240e-02
2.140478476159847432e+00 2.661191701763706341e+00 7.939132529715391406e-01 2.117517910770013723e-01
1.338348725929823013e+00 4.427365379683127600e+00 3.952774934207012425e+00 1.075461454296808284e-01
1.443864892408191825e+00 3.986561555997221618e+00 3.871203616618513976e+00 1.839989659078236084e-01
9.602112719244058070e-01 3.344546900457108229e+00 2.546460310039704744e+00 1.309758782768834506e-01
1.034348760444810722e+00 1.053717432280084232e+01 4.333160066500076901e+00 6.635509410976538069e-02
1.105860079206003155e+00 1.051663042543746585e+01 4.007304242765080460e+00 9.901195971385348682e-02
1.136774794519132881e+00 4.699229431257948342e+00 4.330792596302161179e+00 9.590553259391972063e-02
1.019286925903283514e+00 7.065229520909944050e+00 4.094680809892971673e+00 1.566246792139005528e-01
1.003987911501160291e+00 5.793403290866891098e+00 3.916574267046105895e+00 1.684718888359358069e-01
1.105866938321937498e+00 5.253315137567299509e+00 4.050322310407850068e+00 9.617824995796578347e-02
7.061476330018525704e-01 5.856062340728070303e+00 3.723362119887092980e+00 2.960850693726923000e-01
9.936591474284720560e-01 8.782501931348635438e+00 3.780305712414823383e+00 1.558096498597784096e-01
1.032908205775501465e+00 7.820170390807196448e+00 4.038920388440567777e+00 7.946254094532270718e-02
1.285087903408658860e+00 4.593714369800057540e+00 3.985808384092554224e+00 2.968474789696859406e-01
1.135192199811376979e+00 4.323879518602628202e+00 3.545617885596413554e+00 3.582680111283873536e-01
9.956472383427664719e-01 6.127918010352797040e+00 3.591553631446336325e+00 1.913289182764704166e-01
7.433325471253939831e-01 8.520351385700154268e+00 3.759398118416093393e+00 1.335092764432966317e-01
1.082256737293496807e+00 6.175526049748642166e+00 4.248134399052815979e+00 2.623914716563616745e-01
1.705708584394310723e+00 3.026613841279543582e+00 4.134154377045480722e+00 2.431236738813637999e-01
2.016035375341817648e+00 3.155623330948489347e+00 3.942325757216218030e+00 1.495886809539125617e-01
1.179216577117271791e+00 1.208245015350372320e+01 3.024039913855697925e+00 7.319079123839769552e-02
1.672179373542066916e+00 6.839593119534870702e+00 3.828519405463550740e+00 3.899832692687162927e-01
6.568256968519821104e-01 5.578750986836443992e+00 2.889474736743593120e+00 2.028644913086747881e-01
1.417068662244966415e+00 7.542062828647279282e+00 4.349098839219222690e+00 2.620969004014171988e-01
1.211769900553950841e+00 7.455514223364041904e+00 4.155189865950858596e+00 4.189532966158154847e-02
7.044319044666459417e-01 4.914187424669340665e+00 2.809397626209064747e+00 1.063210220043188936e-01
1.051280644014789489e+00 5.877583452357354687e+00 4.028102143502749755e+00 7.160360667338760976e-02
2.190146367547825434e+00 6.213911609900362620e+00 4.390758418735393853e+00 6.438485931327653233e-02
1.849003514102237622e+00 6.485505138380447399e+00 4.403766413854631523e+00 8.059132789081652204e-02
8.780865136292993478e-01 7.899788403607113985e+00 3.135303591560386849e+00 4.721094633249860451e-01
6.988017098056326093e-01 1.338619771496603406e+01 3.882640475269323321e+00 1.864750154379519742e-01
1.155475201377353045e+00 4.638482279672682118e+00 3.912378287940826205e+00 4.576905509515417914e-02
7.985159247517196190e-01 6.943781104907981394e+00 3.726342538272400251e+00 9.277745271176107700e-02
7.141721275503691846e-01 6.530505030075538286e+00 3.945540841136389698e+00 1.264351202992716194e-01
5.656011062551407065e-01 6.196734703065867933e+00 3.473959778073782090e+00 2.621971824928713835e-01
1.141574851096736953e+00 6.415956204067107649e+00 3.816778841237781439e+00 1.717499117706831613e-01
1.146218866453911911e+00 6.415032347049813843e+00 4.212891774924569788e+00 2.579685681679042553e-01
7.524130665441892685e-01 6.072817397569231446e+00 3.941992879196145605e+00 1.905898369805760495e-01
2.029565506425330401e+00 5.608272370820346353e+00 4.374930916130344905e+00 1.918313014334520061e-01
1.356539358791780003e+00 5.252576523629670646e+00 4.113205774667987313e+00 8.953344075496555421e-02
7.636031731226151642e-01 1.217923311807793674e+01 3.321518218714194504e+00 3.596548288039774777e-01
7.030553879383529825e-01 4.156516928318281678e+00 3.385601048859154805e+00 4.469955651435068844e-02
4.767227198387615772e-01 1.156317002582246722e+01 3.765301918497856448e+00 5.843184574244499885e-01
6.520613598863110871e-01 7.495599048237810536e+00 3.435336944526104830e+00 2.973662278322890540e-01
1.914381869543326786e+00 5.411073732682459614e+00 4.540070358072980206e+00 2.192268157951228202e-01
1.650411956249688616e+00 6.753544317292548449e+00 3.888412807861448606e+00 2.732384937282490989e-01
