# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
8.771785312556450442e-01 4.569576297144486432e+00 4.060795069345775943e+00 2.754394986090313857e-01
1.252211419315266694e+00 5.364396745021268842e+00 3.577363628310965105e+00 3.181041490104106750e-01
1.922794674336810061e+00 2.295363276418551646e+00 4.028854318767431941e+00 2.302554803168311293e-01
1.491755414610533403e+00 3.742082979804759013e+00 4.348218431878799528e+00 1.939061360850550531e-01
1.487322200735480715e+00 3.432779292615047773e+00 4.288177797324965290e+00 1.414953823315807380e-01
1.178582370664113421e+00 4.225982178005088130e+00 3.553825461329751523e+00 3.941253776756364902e-01
1.394778862325652957e+00 2.871586162383904295e+00 3.761674304612558029e+00 1.394849859069249853e-01
1.347057405747022152e+00 5.595196683848412178e+00 3.983142001890616513e+00 2.142632420383351333e-01
1.251127876822288876e+00 3.090277587421163208e+00 3.817333049465642336e+00 2.706873296277937380e-01
1.136670839523065357e+00 4.428722870248257948e+00 3.573088334212006334e+00 4.331570127761325550e-01
8.335194633769249517e-01 4.556047958296852052e+00 3.050162494030962623e+00 3.932829126151167753e-01
7.774500493537284118e-01 4.830847628321935261e+00 3.133578293884140109e+00 1.909076120560982137e-01
1.381337485245518915e+00 2.780630131519415738e+00 3.995086226895181447e+00 2.007908750324072789e-01
1.603685563522395885e+00 3.141359537506099642e+00 4.279953759244888190e+00 2.848943880599951739e-01
1.111493527271215420e+00 2.871392804782793462e+00 3.834799621008322390e+00 8.727291732317248030e-02
1.147528688607900360e+00 4.010661104263254728e+00 3.992089653455980880e+00 7.394011047910115098e-02
1.261791612516358407e+00 4.987320691105298742e+00 3.841337509503747416e+00 3.066876740931961387e-01
1.408649660611794641e+00 4.429788802949928161e+00 4.312488459211625269e+00 1.957998866498983082e-01
1.188458760875006348e+00 4.046732705494257232e+00 4.135544259778925813e+00 9.265288861830131562e-02
1.006584732376360813e+00 7.109183555395641285e+00 3.951699648820791833e+00 1.889505161672568045e-01
1.472464316261664852e+00 3.177049831207519937e+00 4.053024002213955868e+00 3.096401819421218393e-01
1.266274719345158895e+00 3.933716908397440370e+00 4.197851399593719890e+00 1.130857377094574845e-01
1.142457682201449387e+00 4.678967691066122647e+00 4.322449064783822514e+00 2.298187441472427650e-01
1.517151338505898339e+00 2.747805036433604187e+00 3.480467723487661758e+00 4.732490723645295105e-01
9.551615448572052802e-01 3.233900814449964134e+00 3.661477511808276297e+00 2.105948466249475681e-01
