# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
6.738730387214778572e-01 7.636055587625434349e+00 5.265901992700192658e+00 1.364103780958371426e-01
7.544246980622936194e-01 5.639419184094935922e+00 4.858377554618372507e+00 1.399645673489970654e-01
7.573621947496255169e-01 3.390348050357792520e+00 5.330475523560417095e+00 3.087574251992972196e-02
7.844099455221587025e-01 9.866729201470928245e+00 5.473949413442493750e+00 3.531496969943205833e-01
6.565025285625539775e-01 6.705993523161417613e+00 5.284219631703365394e+00 2.726408001045705909e-01
6.583165948559921432e-01 1.030006156768052072e+01 5.051609929579664815e+00 1.080914469558616475e-01
7.446412843909088197e-01 9.225857271040091234e+00 4.966409082487312610e+00 1.193144351367784600e-01
8.367153480540163724e-01 5.854759576237590579e+00 5.152422269352831208e+00 7.802109380670861627e-02
7.439873982196610891e-01 3.928929117870326060e+00 5.016750759820511441e+00 6.052459919743643363e-02
9.046546707581077928e-01 6.388768842900644174e+00 5.247428118917589757e+00 1.327287866056822696e-01
6.938048180336513493e-01 9.694227169269453270e+00 4.992989107230191514e+00 1.829807943204325715e-01
9.046065786237847961e-01 4.204673429049467615e+00 5.262727937718135074e+00 1.486718181686776385e-01
6.342314289059854948e-01 7.769526994565911338e+00 5.155873952452543207e+00 8.652142795389777818e-02
7.568920498580327116e-01 8.192474691944724441e+00 4.784827735255803738e+00 2.037983102319084472e-01
1.364822426223889273e+00 3.531197442529492747e+00 5.362588250362840370e+00 1.473068682277013097e-01
1.005145083967379671e+00 6.487711831191285583e+00 5.068633570524085918e+00 1.753753091884071857e-01
9.903847782815824452e-01 4.797475917447425076e+00 5.138361314088266241e+00 4.204091935288735427e-02
6.450062527831954551e-01 5.459230968786083160e+00 5.034802785576705908e+00 1.644217784733971455e-01
5.484457029541660589e-01 3.380494671941675300e+00 5.060280642264352480e+00 1.108660045928991367e-01
7.613562081668477921e-01 3.515887977039831025e+00 4.944635096279669462e+00 2.741717065332444636e-01
8.072793646431781767e-01 7.473866526182620262e+00 5.115650429503595831e+00 1.797853485831078513e-01
7.961948192357133358e-01 8.823327127640599343e+00 5.436685241421262305e+00 8.477378228916848668e-02
7.998241375354908644e-01 4.921054599233375626e+00 4.961807429105904887e+00 2.875275357117267894e-01
6.419492419901700053e-01 8.447534208210605300e+00 4.975364577719306070e+00 1.332224011499235639e-01
8.309920381873144857e-01 4.765860907574002603e+00 5.488093943477963421e+00 6.459498594472798394e-02
8.301481573113684842e-01 4.728385501182533979e+00 5.422034981259598041e+00 3.334065790357534365e-01
6.540466568043490359e-01 7.177858439874807317e+00 5.098121104871048637e+00 1.297823134176005477e-01
1.117135965442738188e+00 3.539775839869828022e+00 5.215351240798263177e+00 8.611095248580469264e-02
7.069774398428340101e-01 5.115856660212095619e+00 4.997422462946125243e+00 3.438739180046435778e-02
6.505862323147826309e-01 4.973225149500589914e+00 5.169421255399254456e+00 1.204309010064645580e-01
8.049723407007733922e-01 5.685317007057326677e+00 5.204908751778729581e+00 8.735861398505986863e-02
1.169992889428282501e+00 6.247305837757556546e+00 4.960334802660129050e+00 1.559883498544419878e-01
6.947674555692979759e-01 5.310263073658983757e+00 5.440297780766766067e+00 1.274874528427826503e-01
1.034676775936076654e+00 4.243716049142026492e+00 5.104511861445540255e+00 9.602350330971225201e-02
7.245417495384954831e-01 5.635803032270943369e+00 5.040453685513996973e+00 3.721215229354703918e-02
1.026880924398261508e+00 5.219343434839724516e+00 5.076851322445128822e+00 1.425659513771871945e-01
7.795550900448504628e-01 1.137711132953874404e+01 5.043345344651415374e+00 1.363079652323803681e-01
9.645434236092921276e-01 2.496335299608473335e+00 4.991017670289157770e+00 1.631330829580563413e-01
1.098135875013170226e+00 3.639791634208918047e+00 5.142636087256700961e+00 1.633438157575416438e-01
6.200470835861017216e-01 4.217926137847930690e+00 5.274666783589894159e+00 6.157972666708780296e-02
8.185767192822532845e-01 3.899239665293142032e+00 4.872457767013483654e+00 3.399266913236169141e-01
6.320311276964000191e-01 9.307508728447148272e+00 4.940645878438438388e+00 1.839102439021718660e-01
6.770273260868173715e-01 4.061285599852149986e+00 5.176128700152593076e+00 6.695906904204948495e-02
6.033081803678800314e-01 7.050934735539250653e+00 5.116548176854712082e+00 1.046692338852109883e-01
9.630377502728435513e-01 8.038119200239663087e+00 5.456706578856373113e+00 5.612086423955591624e-02
6.346116308047922150e-01 3.336238808852381776e+00 5.023830485494512388e+00 6.399992221254957592e-02
8.063760244388250564e-01 7.066477086706770550e+00 5.231026223059491720e+00 1.857928879807254907e-01
8.188806493259791486e-01 4.448242629613096355e+00 5.087133888912920732e+00 7.422017804889435855e-02
5.781183228856082712e-01 5.575565299219878312e+00 5.039419740385131519e+00 1.644214955558502556e-01
8.845396875790223490e-01 4.228326899291612762e+00 5.143573733987865992e+00 2.520564952591533570e-02
7.630693837500447385e-01 1.130701410959718345e+01 5.333366729411884499e+00 2.398230320488676515e-01
8.266252656896333484e-01 4.622642590480696256e+00 5.022314122527268054e+00 1.220600770851987538e-01
5.645345905951931753e-01 7.026628915211621695e+00 4.922109592438884462e+00 1.468147072248530138e-01
8.800377322748477171e-01 5.630924329050081667e+00 4.816895883258259126e+00 3.709672274138943737e-01
4.793328459638335204e-01 7.297509554668845766e+00 5.126107026777504849e+00 9.962588830163990328e-02
5.217232461858546388e-01 6.990037207706786049e+00 5.369976461904986564e+00 1.279153716524330242e-01
8.223051169697621621e-01 4.679925658315409187e+00 5.393483438816674358e+00 1.368247118429588294e-01
1.207453084219191064e+00 4.529700484314800768e+00 5.150085694604145559e+00 1.107203593007892173e-01
6.426951175953287132e-01 9.724025312709708047e+00 5.211665437104505472e+00 2.281772371577659997e-01
1.066144140635923110e+00 6.642253198938155023e+00 5.049615683097228747e+00 1.470150834474444057e-01
6.779177182436260107e-01 6.490324195866983281e+00 5.074843829552146524e+00 1.901411215248925424e-01
7.058630804573026163e-01 7.316225124997172813e+00 5.115306319978808247e+00 1.364220270749857411e-01
7.683342296602433397e-01 7.705522626716204471e+00 5.244739111214654415e+00 6.738357580986575890e-02
8.516386946122456170e-01 8.351582721901444017e+00 4.934390782188356361e+00 1.703562039451060051e-01
5.129556092866576211e-01 5.295661386993171682e+00 5.349723322092075684e+00 2.953816703919728281e-01
7.750596529555182634e-01 6.648546640728422830e+00 5.040981647641364916e+00 1.974659755359224889e-01
7.611134436725106589e-01 5.502451335487975825e+00 4.815202026671034474e+00 2.644142001511521900e-01
1.197822539846827627e+00 3.698763485386963090e+00 5.189910976142774857e+00 8.889094477863580812e-02
1.066579238996555379e+00 5.160297251292609744e+00 5.260716601267433568e+00 1.380985069610631277e-01
5.457841671688022922e-01 7.621483491174828373e+00 5.322378521831777398e+00 1.167649780080736305e-01
1.112632574286373410e+00 4.086422628382436528e+00 5.222075258075352444e+00 1.380977701601563412e-01
7.735557360539685456e-01 6.549378799426689213e+00 4.854378545607820783e+00 1.711385612359390407e-01
7.970026818845843408e-01 4.322194033895615739e+00 4.915885267262525282e+00 4.353433849643900122e-01
9.007847831709965281e-01 5.030953905226708933e+00 5.127343670738302883e+00 2.884488983419397981e-02
8.845339950800128470e-01 3.797937292321384994e+00 5.242724816974732249e+00 1.040776105403320578e-01
9.492574590597726569e-01 5.233315343684630250e+00 5.014704727978985588e+00 3.288858810436010027e-01
8.118235410529394125e-01 7.977531641836563381e+00 5.328191135941383827e+00 2.396156234525389228e-01
5.884617136974051865e-01 6.229143123693511974e+00 4.923961893732268891e+00 7.305825509807739593e-02
8.499874752093133923e-01 6.461387464614415599e+00 5.397518950435597596e+00 2.361104439508233122e-01
7.655933194760294880e-01 6.610495842020766233e+00 4.915938001398975743e+00 3.305998665566282080e-01
6.408796122686281072e-01 3.721164336273171447e+00 4.909233987312107139e+00 2.089141706917913566e-01
4.899632377938500372e-01 6.563951019209347315e+00 5.158979974618834063e+00 1.419842867376668039e-01
1.046426652306302607e+00 3.633699318031104575e+00 5.181071871868819123e+00 1.365694247725430799e-01
7.255526413052274526e-01 1.384927242565824734e+01 5.366313021217472112e+00 1.590648995312716474e-01
