# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
4.410521553241434911e-01 1.003784865846653851e+01 4.552018108866082713e+00 5.680283286537351345e-02
5.445452527532717024e-01 4.753982484369285721e+00 4.699771007376184251e+00 1.516616156651407477e-01
5.191079937873369632e-01 4.777912547108946306e+00 4.493049069466458434e+00 1.114640654769702977e-01
6.196018460068907219e-01 2.910845683759764491e+00 4.653638581143894726e+00 2.522008931395354203e-01
5.780728020510598197e-01 5.571750496204964875e+00 4.334880453852848703e+00 8.017786007756487476e-02
6.351315489031698069e-01 1.062158714793982739e+01 4.577264988107186738e+00 1.317313381056999522e-01
6.993434599526816564e-01 8.642902568442993427e+00 4.532104022099074925e+00 2.026836958421665558e-01
5.919208559631556898e-01 5.673879641684281161e+00 4.314131504768452530e+00 1.797986849058550163e-01
6.749770666088381610e-01 6.315113244693288053e+00 4.474568229691739063e+00 1.329361162475333480e-01
4.047558833448837712e-01 1.693246688093799079e+01 4.511705242644171499e+00 2.107085560811502445e-01
7.111913569172513272e-01 8.664135793797717255e+00 4.516813390429108566e+00 8.146636887681699135e-02
6.544392892262536066e-01 6.726763451824978368e+00 4.228590967876898254e+00 1.347544641384713360e-01
6.049012712461171448e-01 7.527126086338958189e+00 4.595335146829347295e+00 1.589388377301065858e-01
4.317471248056705124e-01 3.936213917366450321e+00 4.358097071678351142e+00 1.078270380105716131e-01
5.751395937394726543e-01 9.823267374796071039e+00 4.679203155424911387e+00 1.653164075312908710e-01
5.084866843777477996e-01 8.465489754377497178e+00 4.477567994070598800e+00 2.510165538387705841e-01
5.108029088906410609e-01 4.115018399947047101e+00 4.703628098268605839e+00 2.087967351380703163e-01
5.320788307724907407e-01 6.614948737755296904e+00 4.521946926347442108e+00 1.111232059961209662e-01
6.064767536983592944e-01 6.181368597485268346e+00 4.691667747566700797e+00 1.202416225543795764e-01
7.534639486739473924e-01 3.193279664610373825e+00 4.724652002298530107e+00 8.678401546486633200e-02
6.756052362836000302e-01 6.714959745536477342e+00 4.479687199768748407e+00 2.274597600330471592e-01
5.620059484690558271e-01 6.965668409042195641e+00 4.402542083770535797e+00 5.382156415957203149e-02
5.145933485790624706e-01 1.024077653042583869e+01 4.426022075674032941e+00 9.596950578852082858e-02
4.823418320893310129e-01 5.472304136349046999e+00 4.726637980400943739e+00 1.727858231611879569e-01
4.627266782602198480e-01 7.132222976034771733e+00 4.302785507210610483e+00 3.366070879560054685e-01
8.500293841471294742e-01 7.099794806523565427e+00 4.713598402963890877e+00 2.510746291000185981e-01
4.620340101856290627e-01 7.675104104850255737e+00 4.299840734613152193e+00 1.554983115771980118e-01
5.127217991636348060e-01 2.463201290642364150e+00 4.301317578388933249e+00 1.143560435811086656e-01
4.746079971813089160e-01 7.315904809268321429e+00 4.415908112015946685e+00 2.210790206224500232e-01
5.810337917078466363e-01 5.705670984755312425e+00 4.615447503659767747e+00 2.160005046606954526e-01
6.311828101884149334e-01 5.780563607479106025e+00 4.812937578565943397e+00 1.262266081266018858e-01
6.585657232115691428e-01 9.467229108181289376e+00 4.846192290554355964e+00 2.240489218928810033e-01
4.401989359444543615e-01 3.413809739368438123e+00 4.442364199868909402e+00 1.019283875906511622e-01
5.304998515346981414e-01 9.969844971546422130e+00 4.464129357322853764e+00 2.187234930576033853e-01
4.748231593470813028e-01 7.077385725712582953e+00 4.393470235534275403e+00 9.258227641726021750e-02
5.666456319194989044e-01 4.631784678365870711e+00 4.626877646513333886e+00 3.152056869442662612e-01
8.320723005025002506e-01 3.675666412978968900e+00 4.548290440028314841e+00 9.243199834557419559e-02
5.101551039193655823e-01 1.112706099707293284e+01 4.459492930773520492e+00 6.497146146594472149e-02
5.771341237318939887e-01 6.788776333050948963e+00 4.444753267209205383e+00 1.128794962819414244e-01
5.504694325152696965e-01 8.407108640048349457e+00 4.544804167024495634e+00 5.037874464501738286e-02
4.853413227863012658e-01 8.597721791362726407e+00 4.389156545775095175e+00 1.666722138440293044e-01
5.763496204113385257e-01 5.003391390607738742e+00 4.470257028901857943e+00 4.869203904919335857e-01
5.353967894468514288e-01 8.735906554185906003e+00 4.531654236504651934e+00 8.716601577519547672e-02
4.089768352944603835e-01 7.731384161699643265e+00 4.307246579882189508e+00 1.130315353151434971e-01
5.289751017240720277e-01 1.177669621866363947e+01 4.547290415171912237e+00 9.754596145819348363e-02
5.535198659995662629e-01 4.530051467887599159e+00 4.580929313685823345e+00 1.293563297175579774e-01
5.108344657664892763e-01 5.600584878305616243e+00 4.525850371974859954e+00 1.280525295425052057e-01
5.313561159912634224e-01 7.859492515591164796e+00 4.824730640291070571e+00 3.242607223870392907e-01
6.370601492975460634e-01 4.671429647983969424e+00 4.423759676976871447e+00 1.114760547924045081e-01
5.408910959862454071e-01 8.635384837294770577e+00 4.716643221302816436e+00 1.822435509197090076e-01
4.995630446736923913e-01 1.011200974046363221e+01 4.512880308317605227e+00 1.195463261534101540e-01
5.157985634346036186e-01 5.181068280355333400e+00 4.581911759722257393e+00 6.522234537769391882e-02
4.513159467994261043e-01 8.569103660527623845e+00 3.866067807602570738e+00 2.240188121196954596e-01
6.702727799950832788e-01 3.086551463809866558e+00 4.691476790141329012e+00 3.920809337644267090e-01
4.831779285158575021e-01 8.731938454946078565e+00 4.125041142014596041e+00 2.862137635178786943e-01
5.145901863228220519e-01 5.540667472243282710e+00 4.407795256029160669e+00 1.504250851931558386e-01
5.082463914417224560e-01 7.415691562037138418e+00 4.393021642327226139e+00 2.381597582558791504e-01
7.806395035104086721e-01 4.641802085338708750e+00 4.595064607456063044e+00 1.291705503544831324e-01
5.754932730174958655e-01 3.974303186449603231e+00 4.356497424778046579e+00 5.626106538413399444e-02
4.908611570279439174e-01 9.715506776060278682e+00 4.478433071943946686e+00 1.353440272148850043e-01
5.691956631778802844e-01 7.634920807023038769e+00 4.598071669359596214e+00 4.433184449266536209e-01
4.169940932860042304e-01 4.252162780541878462e+00 4.396297838097700250e+00 5.907322340355325441e-02
5.057051771368372695e-01 6.939393442639077314e+00 4.524192610208976895e+00 6.027365079673917270e-02
4.026167119052738719e-01 3.689514500134303265e+00 4.217004664805827474e+00 1.257931721268684688e-01
6.275731760918210611e-01 5.063585594722703753e+00 4.685971564518674803e+00 2.975285797995219084e-01
5.539728942438382209e-01 8.574311125276466328e+00 4.568302473832032362e+00 6.897595068380538152e-02
6.705395796894145777e-01 9.729191485388323457e+00 4.525755604541622290e+00 1.593738829195709972e-01
5.148004521741740280e-01 7.725466785188018548e+00 4.375530242742081022e+00 1.966431589957596815e-01
5.272991554531587521e-01 7.371016088100369679e+00 4.501954982417016637e+00 1.660562922969276434e-01
5.833183752603420258e-01 4.580816123446744825e+00 4.514710552341197669e+00 1.957097193410117508e-01
5.267197026524569337e-01 9.379147239293571303e+00 4.602379886197364378e+00 1.371360613480369917e-01
8.381643471551699642e-01 5.344466143076527231e+00 4.695008157886723765e+00 4.358659049366460370e-02
4.675757923698859453e-01 6.166447945215574045e+00 4.467738385637042953e+00 7.969349025911892648e-02
6.581539413827051099e-01 3.963159665896135664e+00 4.599249202291671779e+00 2.113956775456498072e-01
5.710737746494205513e-01 6.652313890782870942e+00 4.536067184392655882e+00 1.665939734605929867e-01
5.258620734833960864e-01 7.043880338876276070e+00 4.427956738629176492e+00 2.335092815527552712e-01
9.952314786917922929e-01 3.932519470373892378e+00 4.526537579775814280e+00 1.348397444310952265e-01
5.696237262075393160e-01 7.543273632969519582e+00 4.133535198234017827e+00 1.989643842128688833e-01
6.821143911834395279e-01 7.028042323618393539e+00 4.685485237321215024e+00 6.622651451516944898e-02
4.883444149094261499e-01 5.704185436253125907e+00 4.676416528525886740e+00 1.167910860813197449e-01
6.895099178045935862e-01 7.447261373055240163e+00 4.674245247324940067e+00 7.381477768749117319e-02
5.741880675729805761e-01 3.692246336210772029e+00 4.436274627016228322e+00 2.580003748122775345e-02
5.951008277421180326e-01 1.106008403525156680e+01 4.332537972448173846e+00 2.167519328699117898e-01
5.477582031198804380e-01 5.400960109174617330e+00 4.412167240096247944e+00 4.144464635498342625e-02
6.275885631776753071e-01 4.106624113137818277e+00 4.590697442265962103e+00 9.230775597832489854e-02
6.519313398412230898e-01 5.670994349160449310e+00 4.556449530533098979e+00 1.350472121522188484e-01
6.880349618779271204e-01 5.507532238897460353e+00 4.413514681364025805e+00 1.845118361146553254e-01
3.970429480337721584e-01 6.779380037054012931e+00 4.363614587453141347e+00 1.565088998499568618e-01
4.889282393800252202e-01 9.148762766753131714e+00 4.253113166396262024e+00 2.130902976704204532e-01
7.572166884266858800e-01 3.547575668517216396e+00 4.747138448085494566e+00 1.907432701425429977e-01
5.479483353027591042e-01 9.262768304840877320e+00 4.394605887737829342e+00 1.833604828304135625e-01
5.316843215853185312e-01 4.732678150988133936e+00 4.615983985094264774e+00 1.525093498214271093e-01
6.801769692394168398e-01 6.631812745649813046e+00 4.581863065724035344e+00 4.392151446402924042e-02
6.047664326846439176e-01 7.485130142912149509e+00 4.473283986958675129e+00 4.681983323690414034e-02
5.328279589078163125e-01 6.963261569262768624e+00 4.419033555494562115e+00 6.120897287190516650e-02
6.455735138556395469e-01 3.394052527900549343e+00 4.410758393646119657e+00 1.787161780874487738e-01
1.036694433648259528e+00 5.181139236269171278e+00 4.654401561622479200e+00 5.100460536465097061e-02
3.609872659986005372e-01 5.263558125899701068e+00 4.290878676773135503e+00 7.375161793883826256e-02
4.141044199668383885e-01 6.844333571720343734e+00 4.654949783719384726e+00 9.635366080941636102e-02
5.445809375494479188e-01 5.646685020527264953e+00 4.367343946429310897e+00 2.013768447721875909e-01
5.047972038672898787e-01 7.439808789356790797e+00 4.515813246702475858e+00 8.818590238495628564e-02
