# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
1.194781942067393743e+00 8.503448714999844782e+00 5.487832970143029065e+00 1.599052436664452070e-01
6.218089895733043271e-01 4.321103287272443083e+00 5.223734790156696839e+00 3.418364411996107077e-01
1.584294385638684410e+00 3.391195600340184857e+00 5.373506550580407826e+00 9.914353157476850364e-02
8.335614922871189547e-01 1.227254592616398199e+01 5.135125522190083558e+00 1.062218567671337349e-01
8.920458596041860311e-01 4.214827068875061755e+00 5.314412443076250270e+00 1.372547915417087205e-01
1.053802939020684226e+00 6.416347379510456861e+00 5.358684876784253426e+00 1.106291584646558745e-01
1.131683780282175089e+00 4.640547131026882433e+00 5.309079707470807818e+00 1.950156855652949439e-01
1.232581132127607004e+00 4.223830073072294411e+00 5.085952488924483816e+00 2.188641825855884848e-01
1.185216210829814543e+00 3.590874284112206105e+00 5.338665917033954322e+00 1.663245550553849317e-01
1.074285990921666212e+00 9.788598456265605208e+00 5.222050605842248672e+00 1.326725385003869884e-01
1.214824428459020389e+00 7.040095251753498040e+00 5.310618841018663439e+00 1.836186945578995311e-01
9.022339824801181019e-01 5.990332140604618161e+00 5.292374479235853357e+00 1.998611269430843884e-01
7.606102912572244579e-01 3.992305519817971327e+00 5.087523628601670289e+00 1.729275468599150156e-01
9.241745131937475488e-01 5.961647168307090183e+00 5.254281816451974230e+00 1.763650813020017361e-01
8.932165353386545270e-01 9.098163576617322335e+00 5.394506154841238299e+00 9.708805780238957683e-02
1.056623585739859594e+00 5.397757303025398024e+00 5.580351203875161481e+00 5.370285175549022183e-01
9.884414866478715700e-01 9.268943300533727836e+00 5.507264442700572360e+00 2.439405280025888911e-01
1.035379733713015282e+00 7.483664890764021749e+00 5.151424219127809678e+00 1.336759647468582501e-01
9.604782480399162159e-01 5.955894081031053666e+00 5.227630485251000714e+00 1.600275727685220584e-01
8.889598036171248996e-01 8.264645082484346261e+00 5.224575457486734464e+00 1.519212682620174615e-01
1.209062932356914866e+00 5.237281341846248495e+00 5.370015170507494773e+00 1.163328701830933926e-01
1.225272920753164296e+00 6.870149110344502930e+00 5.270278050804995118e+00 2.227941842365643021e-01
9.688626971994007686e-01 4.859687436534241733e+00 5.314163131585208255e+00 2.507566072888100517e-01
1.301720538967620744e+00 4.846983155911241958e+00 5.364569251379385229e+00 2.182140905969340294e-01
1.032877842573004301e+00 7.577471364655409936e+00 5.318423887061954680e+00 1.037047634827425180e-01
1.118802871706173541e+00 5.126506208277632481e+00 5.241052137242369291e+00 7.455726885983190999e-02
9.321381574400150472e-01 8.463647690609146679e+00 4.889475104960126828e+00 2.684134310343588847e-01
7.900533312889415072e-01 4.529039592167234396e+00 5.387321426472182928e+00 1.784790859052181600e-01
1.327566988991783159e+00 8.095788967522251411e+00 5.266745732030736704e+00 6.514876140151487638e-02
1.004088637253485849e+00 4.054829058010296805e+00 5.289214092853781857e+00 3.979309987661335674e-02
1.420479872616371875e+00 7.873263979106614130e+00 5.400718056712958237e+00 1.695837193133349630e-01
1.128666174265242628e+00 1.176806823234752564e+01 5.090619738299972497e+00 2.259616989192015923e-01
1.331383989613244889e+00 4.483284401610751146e+00 5.402040467177693372e+00 1.219608245741147373e-01
9.519261580789172283e-01 7.096308164772144877e+00 5.486344032081342803e+00 2.099396725988809664e-01
9.180777012064240683e-01 9.850658899372099597e+00 5.380123044035024726e+00 1.438265935091090075e-01
1.202557861618974266e+00 3.884588733575935038e+00 5.395099547188245026e+00 2.003999166535089804e-01
1.003247320402515186e+00 6.276222601897177178e+00 5.043845808806000974e+00 1.236636719087754327e-01
8.939329922950007834e-01 7.638222482177667416e+00 5.295005946795256158e+00 1.686695643062334771e-01
8.834695834438442974e-01 2.562043591035772394e+00 5.170181254844403718e+00 2.768838219359766040e-01
1.062691207690474204e+00 4.659106376994163412e+00 5.428645678840595679e+00 2.682233352548468175e-01
1.585276023194343686e+00 3.560971125520734581e+00 5.333524947606104405e+00 1.277093322033243661e-01
1.258955695104164052e+00 7.891508980518705307e+00 5.383220649054120344e+00 1.302524616597868778e-01
1.061804441584675684e+00 5.290841069993704515e+00 5.299019781034090215e+00 1.542299271754870860e-01
1.139254372719285424e+00 5.724588174965346887e+00 5.270319211837170670e+00 5.423792583192522249e-02
1.144535990635508593e+00 6.454369746407986774e+00 5.331007829493136896e+00 2.582134607965789197e-01
9.243172011766461749e-01 4.329680135231095406e+00 5.287248923475174500e+00 2.247880316083993857e-01
1.104493067427250619e+00 8.926707612678763226e+00 5.094408987424265511e+00 2.125141509304323273e-01
9.264828448442078423e-01 7.887449083203726730e+00 5.306570559787189723e+00 7.366647272900436749e-02
7.747638747911489432e-01 3.964187793098528090e+00 5.255972361061934883e+00 2.557800780105299321e-01
7.317777222785460944e-01 3.604007940765410645e+00 5.286459614793090012e+00 3.926827348206554658e-02
9.709575350062209509e-01 5.386748608266273664e+00 5.602475034287549782e+00 3.284740542048174561e-01
1.024219096934294360e+00 4.175452182140928059e+00 5.293053711129943828e+00 1.323898334025950529e-01
9.325230473891026328e-01 6.087784496988869698e+00 5.241274633160834640e+00 1.846770809347927644e-01
1.234002588001577694e+00 8.478667534652560178e+00 5.372225585704526019e+00 2.960921858052088518e-01
1.048264141731627408e+00 3.832321772197957443e+00 5.367821868812884034e+00 8.909977202729828238e-02
8.875669529125733703e-01 2.720812838393334765e+00 5.284551537458977322e+00 6.283340981473196918e-02
1.492157111665958213e+00 6.308645061559452039e+00 5.147284734710670051e+00 1.251510113254734602e-01
6.548913134783539425e-01 5.832772649423355382e+00 5.365953997328086977e+00 2.819120695457902892e-01
9.698753335211187654e-01 5.626373907083975112e+00 5.567482567543438954e+00 4.365091707425323708e-01
