# Hierarchical MCMC downsampled to get 500 samples
# alpha, beta, mu, s
7.769236811392359332e-01 7.122853993345555246e+00 3.333593786994387020e+00 2.638448904803663564e-01
8.640074897785112729e-01 8.710871474271359105e+00 3.582846460715730874e+00 1.489804177148773834e-01
7.267718851470397201e-01 6.676756536493577698e+00 3.592124331006508964e+00 7.097451088282606679e-02
1.068775739934550328e+00 4.340362450956949836e+00 3.320106509850410337e+00 1.087335272277011600e-01
1.744061426849275787e+00 5.405368476714608406e+00 3.598521994162672932e+00 1.365702133010035235e-01
1.248960918839097323e+00 5.871588276275879537e+00 3.616255132349072809e+00 6.736148678073065887e-02
9.799265703405426464e-01 7.422156057633188198e+00 3.642669783847480414e+00 4.548608968679328235e-02
1.483936827522675195e+00 4.037998740893738336e+00 3.662157327159520026e+00 5.678948463290144077e-02
8.508119752192576657e-01 8.036287679201898015e+00 3.597150237574194609e+00 7.710979483330039630e-02
6.053394506002274245e-01 3.466232551536004181e+00 3.319443525792927563e+00 1.033998473983287897e-01
1.286214678166913261e+00 5.518241420788047691e+00 3.543882003689962090e+00 4.762661907440251391e-02
8.505209742885815327e-01 8.582701266618649072e+00 3.557651460308871805e+00 2.934498129314807094e-02
1.262765964106829397e+00 8.013632222135305128e+00 3.673229350077514610e+00 5.798899848111494643e-02
9.784023141368003440e-01 3.900811903175416706e+00 3.594852496745164050e+00 1.010211024779856803e-01
8.756654066525213498e-01 6.068321682330823030e+00 3.565998132974408819e+00 2.015429019956968548e-01
7.709770202129951899e-01 2.928699442975759126e+00 3.369579939025880488e+00 6.443474661587707264e-02
7.783275896091375046e-01 5.639877591654908429e+00 3.699797069733095523e+00 1.353449648827172447e-01
1.281253674915823204e+00 5.952486321010082015e+00 3.607624259363560348e+00 1.425120047518516342e-01
1.265114918423930312e+00 7.357179750463787471e+00 3.617322370771373308e+00 6.121129374677005547e-02
1.037288835386946051e+00 7.929756287060644837e+00 3.429493566353267298e+00 2.819389011180328253e-01
1.021973917557188916e+00 2.748721331766464715e+00 3.469894826278361766e+00 4.935188493442559110e-02
1.212078018127678014e+00 7.121260461208093417e+00 3.697086358540691897e+00 1.315965198883197462e-01
8.620945736346661281e-01 8.114579017028422214e+00 3.439025199459215809e+00 1.757669394615366254e-01
6.353608833655952637e-01 5.941994502206800810e+00 3.544612257227317098e+00 3.226026704961643121e-02
9.865757654290617795e-01 7.306989027440584650e+00 3.547536160344306744e+00 5.933484051844713919e-02
1.124688036866374530e+00 3.154337219258996683e+00 3.809448406685514321e+00 2.384814510655229314e-01
1.244711319012809403e+00 6.607256247958509299e+00 3.528698191330926104e+00 5.234849244858141848e-02
8.564368811633790157e-01 7.079850189154694995e+00 3.504599862332491433e+00 6.122094680768104535e-02
1.056250509308670482e+00 5.016034132920074384e+00 4.033163745254620736e+00 2.502859953273303684e-01
8.557876929373527952e-01 3.176967375327205190e+00 3.530829712749113725e+00 2.962454747147047485e-01
8.740113337999197984e-01 8.016849502556828710e+00 3.588786586771481879e+00 5.167478936735336870e-02
7.946408982752749539e-01 9.771347478419642130e+00 3.435313895229803016e+00 7.546816355107499596e-02
7.718660655809319593e-01 7.296149530356865753e+00 3.561769835378887805e+00 2.828706940365340733e-02
1.204926117395018537e+00 5.173326418625791234e+00 3.598257538701841174e+00 8.701324587022050971e-02
1.117085219922600459e+00 7.155015608475294719e+00 3.601549429633330135e+00 1.953637416956304496e-01
6.275828054858321181e-01 8.588612677541668461e+00 3.600427294524183974e+00 6.145569945645946996e-02
1.180031860963833612e+00 1.018745572351075168e+01 3.326813759990624231e+00 2.142735103634451355e-01
1.242964573939971729e+00 6.083882746486156456e+00 3.495995152569036257e+00 9.530950600157325758e-02
1.319938155483415976e+00 4.290994939357275051e+00 3.805342671259418275e+00 1.182542386707867710e-01
9.637631314234910151e-01 4.551149263539752354e+00 3.522907356320821748e+00 5.191913361131826610e-02
5.699665481325637550e-01 9.388879516181486196e+00 3.389383270446253871e+00 1.619751293715328555e-01
1.139183072382643935e+00 3.599226051709544461e+00 3.648199958179171531e+00 1.138120151667094265e-01
9.954281799469710812e-01 9.072729393961251887e+00 3.443618758195698515e+00 7.051919422791985692e-02
9.440899972799284834e-01 1.013548177143789175e+01 3.599414937592312125e+00 1.279101697948121508e-01
1.041477666981486916e+00 3.861089341583578527e+00 3.592332862424811868e+00 1.431182712375056454e-01
7.892506108281651667e-01 6.684769340763873302e+00 3.502729383443785149e+00 1.858959155452466483e-01
1.219176293247520970e+00 5.515554956024154798e+00 3.629285233458492410e+00 1.419484480228291046e-01
8.680894638011080744e-01 7.373554857335005153e+00 3.541660667559554554e+00 3.819340996974919522e-02
7.353623435820211274e-01 6.161875693771508899e+00 3.535879630534628504e+00 5.230041980116039574e-02
1.210822496582690366e+00 3.134409205876302451e+00 3.383939760507316930e+00 4.342620161034628501e-02
1.528239075192169061e+00 5.973091202068610883e+00 3.481385105205828001e+00 8.094244313751461362e-02
1.179702347895488446e+00 7.527927945180304725e+00 3.631346779687404158e+00 1.118518528436596715e-01
1.095989677809209750e+00 1.562500540150689510e+01 3.604909827841396908e+00 1.970985504838706770e-01
1.011399738061371290e+00 7.642076069296917851e+00 3.655114073255156804e+00 3.105058241208790565e-02
1.124279849908766948e+00 4.361823091877718106e+00 3.519425049058407140e+00 1.401439625040324932e-01
9.867215536400779641e-01 5.570964037270098146e+00 3.837971523683625819e+00 2.057391544091403679e-01
8.195740651746542538e-01 7.961151238386958262e+00 3.720674082315380105e+00 1.842357361438548835e-01
6.308879113807488448e-01 6.029247886707001847e+00 3.314270038948101238e+00 5.805175548667289992e-02
1.278026657405449962e+00 2.848579542363713912e+00 3.501864903787378580e+00 1.292691805005769246e-01
1.007111303162368632e+00 4.327383834393208062e+00 3.595954760411518958e+00 3.544133059636266070e-02
9.106208052938330466e-01 1.221019654549991706e+01 3.665382039162011552e+00 7.276387788300238413e-02
8.259340532365982979e-01 6.778431807411271492e+00 3.614919586081865255e+00 9.033844954637477997e-02
1.085111736020001549e+00 4.424166063268444304e+00 3.499001612330107758e+00 1.165010612432917092e-01
1.358728399278881893e+00 5.574479570545531004e+00 3.573156213308764872e+00 7.323385948275400181e-02
6.751730092565689789e-01 2.541256194133805213e+00 3.665413144096387743e+00 8.005916613137091520e-02
7.686161268946755110e-01 6.429324157602576584e+00 3.371115800050019651e+00 1.935954351316014899e-01
1.068801138529373640e+00 6.116694867269758973e+00 3.676914881333189999e+00 8.202056490630008079e-02
1.240606347130502218e+00 5.382414729422940525e+00 3.822768200535809235e+00 2.111873279162044537e-01
1.006128477082893324e+00 4.986064378943501296e+00 3.561449418298110015e+00 9.086644022646125918e-02
9.812623281498005223e-01 8.381585201816790232e+00 3.679450298785938767e+00 7.484085274244814401e-02
9.536232756036040481e-01 6.290218670245711685e+00 3.592919200902149335e+00 4.275758263959290872e-02
8.492950655842317342e-01 4.242348202943495572e+00 3.573404261746723432e+00 4.786033116635490803e-02
1.174435863408425762e+00 9.835618468039870166e+00 3.503051595058705114e+00 1.720314242066766086e-01
9.458642537347671242e-01 6.233617063570418004e+00 3.447045038424787045e+00 7.202808544955685566e-02
1.112869367376976948e+00 2.860373137538720023e+00 3.663621554770653876e+00 4.266834855304151020e-02
1.135691935650978035e+00 3.580775967281613514e+00 3.548614216991204273e+00 7.147215577343622728e-02
1.310368050557509267e+00 6.116256118676909992e+00 3.622133136398340891e+00 8.475467982275622369e-02
5.878979296370645535e-01 8.586992952260990464e+00 3.536853676131098467e+00 8.116353401575854276e-02
7.009542989521997391e-01 6.831390302709208662e+00 3.602412130880623842e+00 7.512760099167278827e-02
1.049832399588212395e+00 8.533818141587506290e+00 3.590950276453911627e+00 9.120387769320963123e-02
8.509634714229391550e-01 3.152153093349348012e+00 3.616182491631608542e+00 3.735237318387181482e-02
7.919265999795866984e-01 7.186769120965617930e+00 3.578424209140363299e+00 2.094043902434884752e-01
7.481936283058662207e-01 5.584232312218623484e+00 3.565383508285020930e+00 6.418578497987983966e-02
1.046493178972156102e+00 5.972677976201412164e+00 3.428525019755950698e+00 2.052747099602587888e-01
1.436300280247189587e+00 3.984101828118803645e+00 3.670330875607586307e+00 5.091909495405382013e-02
1.263388777767521454e+00 4.590569018744581342e+00 3.455154578130880783e+00 1.641877105931509873e-01
9.751677502785219831e-01 6.178222479806163570e+00 3.567993744118445942e+00 7.603314901677328541e-02
1.000052401548799930e+00 8.517211896861317300e+00 3.533023229264534493e+00 6.213290115101901406e-02
1.120233394066740829e+00 5.016374879589657887e+00 3.573175747203429342e+00 7.273702859486483319e-02
7.366410354207085787e-01 5.540547834726700316e+00 3.477387750833746516e+00 5.532120367403865757e-02
8.811177006497373787e-01 7.868700819849641981e+00 3.461889513445610245e+00 8.047951929461891196e-02
7.166744280667272093e-01 4.570818316670977488e+00 3.490515773395030052e+00 1.495518569782332552e-01
9.668431464886043658e-01 5.713519088220969877e+00 3.398633760527548286e+00 6.408910111693377765e-02
7.550386357436308371e-01 1.149647483852243468e+01 3.640353835906849689e+00 4.632651693805729665e-02
